 	a66	a87	a23	a40	a47	a36	a75	a5	a12	a96	a62	a75	a79	a98	a6	a36	a56	a75	a85	a98	a85	a6	a36	a5	a36	a25	a92	a79	a15	a7	a44	a26	a57	a87	a23	a18	a43	</S>
son	0.0567918	0.0660639	0.0653557	0.0730854	0.118102	0.125998	0.0962651	0.100022	0.0355912	0.0210049	0.0149781	0.0125811	0.00888864	0.0115622	0.00947777	0.0150151	0.0141134	0.0100811	0.00813792	0.0154211	0.0124127	0.00702355	0.00771652	0.00576966	0.00744232	0.00728636	0.00440778	0.00481925	0.00282195	0.00371536	0.00256914	0.00254229	0.00541808	0.00384841	0.00653037	0.00629314	0.0061969	0.024649
père	0.00505535	0.0138628	0.0272603	0.118199	0.117947	0.153953	0.0664578	0.0600646	0.0619579	0.024753	0.0359669	0.0198564	0.0326585	0.0305112	0.0222819	0.0107442	0.0184141	0.0168335	0.0243854	0.0135134	0.0123603	0.0175709	0.0267762	0.0173013	0.0138554	0.0136752	0.0125752	0.00258435	0.000676147	0.000455184	0.000272155	0.000163286	5.77552e-05	0.000200458	0.00039169	0.00108656	0.00255565	0.00276512
l'	0.0332661	0.0180557	0.030763	0.0218357	0.0367151	0.0723157	0.0709045	0.149648	0.128385	0.0547282	0.0543098	0.0683951	0.0511121	0.0360742	0.0172293	0.0250487	0.0193191	0.010937	0.0112473	0.00615505	0.00752147	0.00500054	0.00383432	0.00638448	0.00689076	0.0082116	0.00778035	0.00200318	0.00103319	0.00108524	0.000611759	0.000849988	0.00103519	0.00169985	0.00347535	0.0105886	0.00815689	0.00739298
a	0.0186467	0.010959	0.0173599	0.0107176	0.0089263	0.0149862	0.00798242	0.0288676	0.0372665	0.0491399	0.0463581	0.0472411	0.0392751	0.0622087	0.0587328	0.0741639	0.0761715	0.0711655	0.071545	0.0366802	0.0205201	0.0197402	0.0255926	0.0496817	0.021624	0.0135123	0.012295	0.00754967	0.00169753	0.00222908	0.00135167	0.00391953	0.00247729	0.00568929	0.00299823	0.00323842	0.00378971	0.0136996
réprimandé	0.0197161	0.0168576	0.012145	0.0129921	0.026088	0.035633	0.0357768	0.0645209	0.0788402	0.0909317	0.0812447	0.050289	0.0782323	0.0674037	0.0672133	0.0482494	0.0327664	0.0199384	0.0234266	0.0151767	0.0138789	0.0129044	0.00845128	0.00863134	0.00633727	0.00476002	0.00412146	0.00405746	0.00179946	0.0024376	0.00161522	0.0033825	0.0040009	0.00614821	0.00902914	0.00765456	0.00843549	0.0149127
car	0.0523784	0.0216816	0.0214263	0.0211363	0.022889	0.0456536	0.0295141	0.0346998	0.040589	0.0661427	0.0554132	0.0770561	0.0821761	0.0676219	0.0519999	0.0341292	0.0147535	0.013493	0.00715027	0.0107169	0.00483845	0.00203794	0.00357342	0.0023813	0.00823361	0.00627942	0.00519089	0.00618431	0.00762509	0.0128588	0.0105325	0.0127979	0.0142478	0.0199152	0.036978	0.02729	0.0152978	0.0331166
il	0.0296614	0.0320157	0.029494	0.02688	0.0262107	0.032271	0.0382752	0.036294	0.0371314	0.0512239	0.0484357	0.0587111	0.0531241	0.0647168	0.0479253	0.0453671	0.0292306	0.0357893	0.0232334	0.0234881	0.015826	0.0105712	0.0140692	0.0175318	0.0188462	0.0204224	0.0189949	0.0150878	0.00637822	0.00968667	0.0063132	0.00992323	0.00780801	0.00790332	0.0116796	0.0115141	0.00957114	0.0183941
prend	0.0491877	0.0479317	0.0324809	0.0342933	0.0293266	0.0402274	0.0295784	0.0181758	0.0183964	0.0322417	0.0169145	0.0237491	0.0231796	0.0433781	0.0266178	0.0354759	0.0285037	0.0364008	0.0233206	0.0205464	0.0254232	0.0158473	0.0219171	0.0206215	0.0262527	0.0421436	0.0289084	0.0389636	0.0144434	0.016174	0.0121285	0.0318928	0.0173428	0.0279252	0.0185697	0.010496	0.00863998	0.0123836
ses	0.11739	0.0800327	0.035875	0.0170407	0.00938207	0.00807311	0.00932859	0.00984642	0.0119524	0.0325801	0.0225033	0.0189427	0.0222308	0.0394366	0.0328853	0.0404626	0.026794	0.0437438	0.021668	0.024355	0.013561	0.0141362	0.0169822	0.0207938	0.0223545	0.0200321	0.0230383	0.0154341	0.00660953	0.00776835	0.00488076	0.0100056	0.00721454	0.0186803	0.0405338	0.0239506	0.0239874	0.0855137
études	0.10506	0.0507018	0.0235449	0.00834328	0.0043121	0.00315535	0.00360488	0.00558942	0.00903901	0.0177237	0.0124768	0.019267	0.0183414	0.0196648	0.0217341	0.025757	0.0195067	0.0254362	0.0177504	0.0181632	0.0144776	0.0112776	0.016749	0.0195774	0.0281617	0.0223733	0.0307386	0.0227992	0.016797	0.0238135	0.0139961	0.0211818	0.0240942	0.0305085	0.0659077	0.0300645	0.0226701	0.155641
à	0.0623208	0.050779	0.0336793	0.0136963	0.00881414	0.00703189	0.0077047	0.00860673	0.00770575	0.011129	0.0120875	0.0123175	0.0123092	0.0100259	0.0123434	0.0175976	0.0149982	0.0179795	0.013855	0.0192181	0.0181236	0.0185044	0.0214568	0.0258539	0.0281101	0.0217951	0.0295089	0.0301298	0.0350173	0.0322768	0.0242568	0.024965	0.0287357	0.0220601	0.0388854	0.0355918	0.0546691	0.15586
la	0.0503942	0.0390303	0.0256873	0.0123848	0.00856177	0.00620281	0.00890846	0.00936136	0.00921274	0.0138987	0.0156406	0.0138909	0.014164	0.0121884	0.0128168	0.0151424	0.0144174	0.0178077	0.0144461	0.0162968	0.0156873	0.0148256	0.0182441	0.020746	0.0273322	0.0190723	0.0330777	0.0264339	0.0298714	0.0359393	0.0338594	0.0343893	0.0429219	0.0367544	0.0543572	0.0510172	0.0546129	0.120405
blague	0.0904297	0.083737	0.0652056	0.0422991	0.0312869	0.0228684	0.018624	0.0195845	0.0138193	0.0181616	0.0211196	0.0221454	0.0195515	0.0183219	0.0177105	0.0261277	0.026999	0.0275248	0.0266032	0.0296671	0.032136	0.0241575	0.0282802	0.0146263	0.0353529	0.0275442	0.0381604	0.0125163	0.00617693	0.00740881	0.00435782	0.00427081	0.00469034	0.00946241	0.0216841	0.0360653	0.0225743	0.0287488
</S>	0.0471831	0.0336214	0.0308275	0.0250203	0.0271683	0.0217459	0.0149164	0.0143156	0.00489562	0.00351883	0.00349051	0.00381034	0.00389574	0.00338916	0.00354228	0.00964819	0.00906926	0.00808281	0.00754613	0.0153461	0.0155149	0.00910308	0.00949241	0.00893071	0.0217939	0.0200332	0.0240856	0.0302094	0.0167248	0.0510903	0.0245301	0.0324058	0.0535	0.0654898	0.0979401	0.0718422	0.0597684	0.0965117
