 	a66	a87	a23	a18	a50	a62	a31	a21	a56	a92	a90	a25	a79	a56	a96	a62	a12	a34	a62	a47	a88	a98	a47	a36	a2	a57	a97	a87	a97	a3	a87	a23	a87	a23	a83	a62	a34	a98	a47	a5	a12	a61	a75	a5	a92	a56	a90	a25	a56	a75	a6	a36	a27	a84	a82	a10	a87	a23	a99	a97	</S>
c'	0.0393964	0.0281556	0.0314141	0.023969	0.0120888	0.015197	0.0248848	0.0171591	0.0164384	0.0145118	0.013891	0.012	0.0151065	0.0181176	0.0372473	0.021837	0.0262554	0.0154722	0.0270935	0.012164	0.0120397	0.00834662	0.0216444	0.02206	0.00710681	0.0121875	0.0121312	0.0131432	0.011037	0.016247	0.0267072	0.0550406	0.0436598	0.0341984	0.0133276	0.0089478	0.00603833	0.0105709	0.00675137	0.00807855	0.0107973	0.0142886	0.012436	0.0226773	0.0175127	0.0125331	0.0155692	0.00698021	0.00888801	0.00644785	0.00651024	0.00695817	0.00735898	0.00951826	0.00705718	0.00839949	0.00774044	0.00783268	0.0131562	0.00887142	0.0168033
est	0.027094	0.0302612	0.026583	0.0325207	0.0200714	0.0800492	0.0632474	0.0280934	0.0285136	0.0233303	0.0201753	0.0252334	0.0143415	0.0160179	0.0109821	0.0133789	0.0121936	0.0112325	0.0109787	0.0117159	0.0175658	0.0121277	0.00850319	0.00728854	0.00858279	0.0116903	0.010139	0.0198557	0.015797	0.0134814	0.0141058	0.0105412	0.0120529	0.0134065	0.00995019	0.0148997	0.00904003	0.00947315	0.00670977	0.00464629	0.00706899	0.00544047	0.00882599	0.00839003	0.0115336	0.0121396	0.00953314	0.0129163	0.0122245	0.0142436	0.015573	0.0138543	0.0144503	0.013863	0.0131883	0.0113035	0.0150358	0.0154396	0.0157534	0.0166552	0.0166965
par	0.0296563	0.0163808	0.00835785	0.0130447	0.00629822	0.0172366	0.0140274	0.0190565	0.0176896	0.0184465	0.0240971	0.0248111	0.0198217	0.027084	0.00891662	0.00940095	0.00640335	0.0120949	0.00847535	0.0116574	0.018393	0.0163321	0.0152982	0.015954	0.0313093	0.0480254	0.0372149	0.0558248	0.0478627	0.0323479	0.0191851	0.0123748	0.0158057	0.00663223	0.00357549	0.00664857	0.00331982	0.00384277	0.00333235	0.00490933	0.00620992	0.00944753	0.00666402	0.00725095	0.00875432	0.0137545	0.00286821	0.00777632	0.00592567	0.00722821	0.00460388	0.00637165	0.00588527	0.00826109	0.0162369	0.0116113	0.0182088	0.0282792	0.0364624	0.0474914	0.029563
un	0.0125754	0.00543529	0.00172948	0.0018663	0.00157558	0.00196591	0.0015154	0.00150702	0.001719	0.00224273	0.00220798	0.00293507	0.00390118	0.00721694	0.0114591	0.0105676	0.0184925	0.0133625	0.015406	0.0129667	0.013856	0.00721809	0.00748316	0.00674094	0.00891001	0.0141442	0.0147651	0.0130276	0.0118822	0.0117668	0.00909738	0.00871587	0.017841	0.0136884	0.00987935	0.0130156	0.0153366	0.0100938	0.00800823	0.00776676	0.00769918	0.0120238	0.00985292	0.0157394	0.0290651	0.036336	0.0104927	0.0272643	0.0336807	0.0166989	0.0142106	0.0238915	0.0183733	0.0295066	0.0459683	0.0359381	0.0700397	0.0610403	0.0566817	0.0504543	0.041158
anneau	0.0167469	0.0106325	0.00439717	0.00293863	0.00183549	0.00149534	0.00162731	0.00116128	0.00133368	0.00214924	0.00278594	0.00457207	0.00803763	0.0118277	0.0143984	0.0106775	0.0166606	0.0205265	0.0175139	0.00678609	0.00696871	0.00690769	0.010932	0.00544858	0.0070275	0.00805242	0.0141488	0.00966433	0.0101145	0.0144755	0.0148648	0.019057	0.0246467	0.0387796	0.0476031	0.0361767	0.0482081	0.0431013	0.0363495	0.0528875	0.0354045	0.0378643	0.0247814	0.0271805	0.0186004	0.0349661	0.0179548	0.0170865	0.019857	0.0157921	0.0128985	0.00999373	0.010048	0.0165675	0.0104673	0.00809259	0.0134661	0.0135603	0.0156663	0.0176061	0.00862777
que	0.033816	0.00972511	0.00452346	0.00330881	0.00226477	0.00571271	0.00534303	0.0068488	0.0102915	0.0110441	0.0110623	0.0220208	0.0238751	0.0623888	0.0562184	0.0533621	0.0516099	0.0648625	0.0670923	0.0472734	0.0554991	0.0358299	0.0235269	0.0171813	0.0167814	0.0267133	0.0206556	0.0211067	0.0159385	0.0110196	0.00828598	0.00609102	0.0089579	0.00512203	0.00459635	0.00643179	0.00411475	0.00601516	0.00357276	0.00443157	0.00511882	0.00881091	0.00682934	0.00983638	0.0116862	0.0225236	0.00243926	0.00659618	0.00658491	0.00740108	0.0042499	0.00575791	0.00242781	0.002284	0.00273468	0.0031428	0.00562054	0.00839749	0.00816374	0.00988243	0.00499672
cette	0.0176043	0.00566979	0.0031428	0.001755	0.00203771	0.00374192	0.00347348	0.00249759	0.00548835	0.00394475	0.00323533	0.0103598	0.00884745	0.0295809	0.0337817	0.0350005	0.0312071	0.0456147	0.0353316	0.0179432	0.0219611	0.0142195	0.0125951	0.00926586	0.00667661	0.0140301	0.0160643	0.0155794	0.0103782	0.00826834	0.0064843	0.00528747	0.00974606	0.00432982	0.00533387	0.00989516	0.00909198	0.0101403	0.0105172	0.0178483	0.0210649	0.0307053	0.0256066	0.0386378	0.0499931	0.0690234	0.0194875	0.049515	0.0466211	0.0394799	0.0218591	0.0158565	0.00538287	0.00622195	0.00779149	0.00503367	0.00670069	0.00901648	0.00535083	0.00521246	0.0034684
femme	0.0502551	0.00979045	0.00602233	0.00274291	0.00142257	0.00303404	0.00413784	0.00577407	0.00757222	0.00740345	0.00774947	0.0117816	0.00701517	0.0150896	0.0420249	0.0200466	0.0170584	0.0202278	0.0145115	0.00919834	0.0102452	0.00993886	0.0147195	0.0256253	0.0173362	0.0297745	0.0182339	0.0265222	0.018094	0.0151354	0.0143752	0.0189	0.0244064	0.0126808	0.0118002	0.0108791	0.00812017	0.0132745	0.0116483	0.0165603	0.0176086	0.0195627	0.0207216	0.0352424	0.0338058	0.0416715	0.0165943	0.015845	0.0190673	0.0106987	0.0088397	0.0101508	0.00801367	0.00975834	0.00621911	0.0107331	0.0247493	0.0198365	0.0310823	0.040104	0.00856692
a	0.0388065	0.0195762	0.0154026	0.00446162	0.00265078	0.00199581	0.00228464	0.00458233	0.00583031	0.00468172	0.00612157	0.00831934	0.0121837	0.0165365	0.0364939	0.0186946	0.0244147	0.0290626	0.0201613	0.00995669	0.0125261	0.00949882	0.0147355	0.0162394	0.00978368	0.0181532	0.0229064	0.023576	0.0196908	0.0212159	0.0268055	0.0361993	0.0306796	0.0245911	0.0129177	0.0126885	0.0091344	0.0109646	0.00736547	0.00881132	0.00811383	0.0145692	0.0118809	0.0145988	0.014807	0.018601	0.00980535	0.0163865	0.011036	0.00959332	0.0119748	0.0117784	0.0102005	0.0134648	0.0105769	0.0109887	0.0179435	0.024849	0.0372827	0.029667	0.061181
porté	0.0396728	0.0162525	0.0159138	0.00461025	0.0035728	0.00238934	0.00232667	0.0049493	0.00550453	0.00459734	0.00647846	0.00818049	0.012931	0.0134097	0.0184006	0.0109989	0.0170765	0.0257508	0.0144217	0.00939656	0.0118525	0.0103232	0.0167529	0.0138362	0.00985854	0.0173958	0.0266906	0.0249201	0.0218574	0.0234989	0.0310523	0.0252782	0.026537	0.0274081	0.0193858	0.0192258	0.0171106	0.0175697	0.0120245	0.0149736	0.0150252	0.0154981	0.0169922	0.015911	0.0174348	0.0210654	0.0170605	0.0212089	0.0152801	0.0130746	0.0117692	0.0091523	0.00766534	0.00978814	0.0127497	0.00764624	0.0124034	0.021268	0.0253614	0.0224944	0.0667649
