 	a66	a87	a23	a79	a4	a53	a90	a98	a47	a15	a7	a90	a93	a96	a70	a0	a75	a56	a96	a62	a88	a71	a9	a87	a23	a87	</S>
il	0.0949958	0.10796	0.0860669	0.0654129	0.0551799	0.0397339	0.0618554	0.0220435	0.042307	0.0244784	0.0366817	0.0388999	0.0364103	0.0115382	0.00735786	0.00673691	0.0100281	0.00834697	0.0112543	0.0127302	0.0294553	0.0337023	0.0404506	0.0307692	0.0227284	0.0226419	0.0402339
est	0.00520341	0.00547542	0.00549377	0.0234544	0.0346218	0.0408748	0.0795729	0.0582801	0.0358596	0.0495354	0.0912556	0.0818021	0.091459	0.0405937	0.0338127	0.0288286	0.0249683	0.0142879	0.0291567	0.0255055	0.0271532	0.0280331	0.0310713	0.0265365	0.0246651	0.0343361	0.0281631
en	0.0125784	0.00795267	0.0106429	0.00673409	0.00406863	0.00427341	0.00744682	0.00996651	0.0111974	0.0334058	0.0316934	0.0425773	0.0237219	0.010065	0.00905104	0.0152656	0.00658266	0.017081	0.0333295	0.0394751	0.0531847	0.0667769	0.101964	0.116435	0.0987116	0.0897743	0.136045
train	0.0313582	0.0152345	0.0143159	0.0185078	0.016769	0.014631	0.0104897	0.0159617	0.0101566	0.0106107	0.0121304	0.0266313	0.107711	0.0929583	0.116129	0.141445	0.0478183	0.0303828	0.0269214	0.0471957	0.0593346	0.03579	0.0284664	0.0212175	0.0162857	0.0121113	0.0194362
de	0.134281	0.0512931	0.023293	0.0220817	0.0152022	0.0244174	0.0247055	0.0204471	0.0452312	0.0553749	0.0485499	0.0513701	0.0187521	0.0127976	0.0178888	0.0332768	0.0362851	0.0449374	0.0353496	0.0418581	0.0442401	0.0205025	0.0215402	0.0219615	0.032661	0.0574909	0.0442118
faire	0.0897209	0.0381113	0.0428464	0.0389389	0.0435989	0.059506	0.0254182	0.0255623	0.0418588	0.0540072	0.0411277	0.0554683	0.0415093	0.027285	0.0291148	0.022934	0.0218805	0.0291119	0.0340148	0.0310643	0.0339312	0.0236133	0.0328966	0.0263702	0.0264839	0.03165	0.0319753
l'	0.0755832	0.0362807	0.0247471	0.0126758	0.00838092	0.00789697	0.00512521	0.00884592	0.0162071	0.0221182	0.0184463	0.0313372	0.0259421	0.018518	0.0134316	0.0204199	0.024328	0.0191467	0.0588178	0.0808427	0.0785062	0.0810925	0.0864951	0.0600748	0.0490125	0.0382695	0.0774578
amour	0.053078	0.0243674	0.0143835	0.0110811	0.0105191	0.0108409	0.00656818	0.00834771	0.0114365	0.0267622	0.029117	0.0524267	0.0425276	0.0347535	0.034664	0.0372031	0.0268508	0.0151384	0.0447738	0.0514928	0.0602094	0.0608999	0.0860621	0.0715956	0.063618	0.0489612	0.0623218
avec	0.0361697	0.0318465	0.0168582	0.00976441	0.0114831	0.0278626	0.0400804	0.0323459	0.025129	0.0321525	0.0461688	0.0601333	0.0446938	0.0203862	0.0139271	0.0140978	0.0182425	0.00898252	0.02639	0.0288187	0.0456899	0.0673121	0.0773356	0.067359	0.0688828	0.074352	0.0535354
une	0.0532127	0.0303549	0.0157582	0.00926534	0.00585561	0.0117172	0.0182604	0.0168858	0.0230811	0.0198561	0.0363537	0.0438911	0.0290821	0.0154657	0.0132041	0.0170686	0.0333898	0.0242707	0.0707728	0.0792015	0.108527	0.0991249	0.0762819	0.0448159	0.0352095	0.0319118	0.0371812
femme	0.0764765	0.0457644	0.0274909	0.01804	0.00925019	0.0128675	0.010385	0.0131075	0.0130888	0.0189465	0.0334928	0.0462962	0.0225873	0.0189587	0.0159964	0.0160085	0.0194323	0.0117039	0.0333965	0.0379085	0.0549897	0.0709777	0.0697704	0.0663605	0.060501	0.0573709	0.118831
dans	0.0467972	0.0325282	0.0106711	0.00751026	0.00348207	0.00779156	0.0189951	0.0389235	0.0521622	0.0397986	0.0404471	0.0460361	0.0299316	0.0144926	0.00967847	0.0134096	0.0108105	0.00716742	0.0313743	0.0369748	0.0533414	0.0724657	0.0736533	0.0655662	0.0654989	0.0552769	0.115215
la	0.0302274	0.0339719	0.0213131	0.0189012	0.00918505	0.0131789	0.0105004	0.0112836	0.0160248	0.0232629	0.0122306	0.0113891	0.00799606	0.00498954	0.00498205	0.00858244	0.0202824	0.0235134	0.0920065	0.0988048	0.119938	0.112697	0.0905081	0.0566045	0.0498458	0.0436685	0.0541122
maison	0.0201893	0.00727977	0.00209635	0.00165883	0.00137758	0.00257419	0.0074564	0.017299	0.0209685	0.0212485	0.0242891	0.026896	0.0261182	0.0119036	0.00838354	0.0150297	0.0255861	0.0168201	0.0608841	0.0658567	0.104952	0.0867386	0.0913462	0.0850945	0.0925091	0.0662622	0.0891816
</S>	0.0283026	0.017442	0.0068593	0.0042118	0.00250266	0.00460139	0.0147849	0.0259675	0.0383771	0.028996	0.0287521	0.0316239	0.0253978	0.0200154	0.0185874	0.0276296	0.0249624	0.0223694	0.059415	0.0493921	0.0647904	0.0795875	0.0833794	0.0857537	0.0681826	0.05144	0.0866761
