 	a66	a87	a23	a87	a23	a2	a40	a2	a11	a93	a4	a54	a47	a37	a93	a4	a13	a53	a15	a20	a69	a53	a4	a44	a54	a36	a27	a18	a88	a0	a24	a9	a10	a87	</S>
il	0.0762682	0.078286	0.0773876	0.0905362	0.0487196	0.0278053	0.0403702	0.026656	0.0286684	0.033176	0.0276775	0.0204695	0.0192919	0.0221783	0.0178127	0.0115395	0.00889344	0.00797806	0.00856356	0.00614996	0.00576506	0.00375453	0.00607328	0.0114041	0.0145046	0.0203491	0.0288146	0.034216	0.0301217	0.0268529	0.019975	0.0281979	0.0257434	0.0183298	0.0474702
y	0.0153063	0.0123991	0.0175038	0.0154616	0.0182722	0.0150955	0.00747369	0.0132135	0.0148555	0.0164645	0.0168507	0.0213567	0.0542144	0.0349483	0.0451319	0.037059	0.0466476	0.0393504	0.0399455	0.0281241	0.0236088	0.0215247	0.0384032	0.0353192	0.0308277	0.0407364	0.0471873	0.0584421	0.0423772	0.0439258	0.0285234	0.0260827	0.0169561	0.0212731	0.015138
a	0.0724254	0.0604655	0.0484951	0.0275545	0.0341126	0.0187871	0.0119044	0.0120797	0.0180692	0.0197187	0.0186065	0.0180853	0.0213547	0.0288791	0.0222242	0.0236927	0.023431	0.0163115	0.0142833	0.00545607	0.0104603	0.0138583	0.0139174	0.0179057	0.026615	0.0251172	0.0289016	0.0388514	0.0465595	0.0509367	0.0434262	0.0401083	0.0261157	0.0648351	0.0364546
des	0.0329888	0.0447608	0.0439593	0.0530511	0.0449322	0.0552154	0.0134496	0.0333472	0.0348865	0.0379567	0.0245117	0.0173727	0.0131944	0.0142611	0.0152326	0.0181575	0.0261042	0.0527925	0.0514099	0.0592469	0.0657261	0.0646875	0.0531908	0.0400561	0.0190753	0.00946064	0.00639075	0.0053685	0.00725428	0.00655892	0.00667089	0.00618942	0.00490596	0.00749221	0.0101414
fourmis	0.0565685	0.0241091	0.0230898	0.0227371	0.0362532	0.0239116	0.0461743	0.0435964	0.0412652	0.063093	0.0812492	0.0541362	0.0351709	0.058543	0.0502612	0.0464918	0.0337871	0.0382229	0.0339027	0.0199763	0.0128567	0.00855286	0.00622923	0.00315308	0.00594496	0.00844741	0.00744688	0.00846104	0.00881614	0.0136836	0.0120808	0.0201673	0.016067	0.0142225	0.0213309
magnants	0.0462411	0.0463367	0.0472695	0.036525	0.0421277	0.0185602	0.0146363	0.0175203	0.0313109	0.0307172	0.03287	0.0242895	0.0161328	0.0228131	0.018341	0.0213378	0.017579	0.0172494	0.0242471	0.0251145	0.0262561	0.0248648	0.0338627	0.0413104	0.0426451	0.0311742	0.028052	0.0187197	0.0236827	0.029535	0.0257872	0.0250211	0.0337285	0.0287513	0.03539
sur	0.0896567	0.0457	0.0506489	0.0191935	0.0210684	0.0211207	0.0205546	0.0243033	0.0284763	0.0338108	0.0337178	0.0382518	0.0393801	0.0418692	0.0334307	0.0294984	0.0315441	0.0160478	0.0166268	0.00868818	0.0097415	0.00581501	0.00471109	0.00565913	0.0113284	0.0215395	0.0255965	0.0201281	0.0233973	0.0369528	0.0448637	0.0280683	0.0332528	0.0572265	0.0281315
le	0.0279243	0.0188569	0.0169569	0.0142699	0.0134719	0.013217	0.0128674	0.0146164	0.0175241	0.0217579	0.0212885	0.0248919	0.0420406	0.0306818	0.0253511	0.0268589	0.0179532	0.0154932	0.0156063	0.00854548	0.00867138	0.00623865	0.0052113	0.00744313	0.0137689	0.0287394	0.0543641	0.0376967	0.0415255	0.0712126	0.0761224	0.056323	0.0810862	0.0647092	0.0467138
chemin	0.0330237	0.0162825	0.0107958	0.011959	0.0102996	0.00861332	0.00986606	0.00541257	0.0114931	0.0150368	0.023285	0.0170613	0.0155569	0.0135814	0.0132907	0.0204696	0.0197752	0.0193637	0.0241028	0.0148828	0.0204954	0.0186427	0.012462	0.0104124	0.0239513	0.0316367	0.0532369	0.0433774	0.0451831	0.105074	0.0615772	0.0647746	0.0653457	0.0757459	0.0539328
de	0.148622	0.0746742	0.0598965	0.0203664	0.0176038	0.0146369	0.0158232	0.00809013	0.0110178	0.0136543	0.0167747	0.0138123	0.012058	0.0200651	0.0295582	0.0241789	0.0235741	0.0115535	0.0124876	0.0040039	0.00959379	0.00731266	0.00723969	0.007727	0.0149437	0.0237775	0.0243455	0.0197132	0.0233022	0.0403935	0.0345589	0.037281	0.0333556	0.0951597	0.0688441
