 	a23	a12	a96	a62	a31	a12	a88	a61	a75	a73	a25	a56	a96	a75	a92	a44	a90	a76	a25	a44	a58	a21	a47	a88	a31	a88	a9	a24	a31	a62	a31	a24	a9	a10	a87	a23	a87	</S>
le	0.0724905	0.0534346	0.0528346	0.027414	0.0440085	0.0337048	0.0636503	0.0569585	0.0484054	0.0361776	0.0195767	0.0139666	0.0147278	0.00977527	0.0117812	0.0120302	0.0115085	0.0192571	0.016537	0.01618	0.0156039	0.0116373	0.0162681	0.0201573	0.0254338	0.0219739	0.011424	0.0111672	0.0129863	0.0221272	0.0228163	0.0237016	0.024462	0.0259899	0.0243666	0.019043	0.0203118	0.0361108
sac	0.000476904	0.00379922	0.00415119	0.00788712	0.00904442	0.0302897	0.0399502	0.0355815	0.0316269	0.0284393	0.0332924	0.0501466	0.0543095	0.0596322	0.0862749	0.149675	0.095633	0.0668802	0.034161	0.0295432	0.0335724	0.0218941	0.0234593	0.0176019	0.0107247	0.0143334	0.00718418	0.00287652	0.00242751	0.000905692	0.00212984	0.00225358	0.00135689	0.00201294	0.0017069	0.00138652	0.00254546	0.000833894
qu'	0.0184361	0.0134853	0.0131346	0.0108258	0.0257185	0.0376376	0.0717061	0.139669	0.138439	0.091712	0.0438794	0.061889	0.0691232	0.0553846	0.0367957	0.0502524	0.0244594	0.0180273	0.00773902	0.0101526	0.00508652	0.00904175	0.00327362	0.00320454	0.00266654	0.0024686	0.000933305	0.000874461	0.00124168	0.00187577	0.00209628	0.00310358	0.00472139	0.00406288	0.00353864	0.0035824	0.00616978	0.00359233
il	0.044433	0.0328689	0.0358919	0.0260212	0.0298823	0.0294471	0.0303806	0.0298136	0.0282004	0.0198169	0.0125853	0.0141586	0.0118108	0.00914347	0.00731454	0.0161931	0.0107107	0.0132577	0.013083	0.0161023	0.012395	0.0261055	0.0191049	0.0178255	0.0277999	0.00944621	0.0119143	0.0104417	0.0211794	0.019264	0.0273896	0.046978	0.0573085	0.0508893	0.0525417	0.0526472	0.0579903	0.0476637
a	0.0367023	0.0385726	0.0439304	0.0172411	0.0108898	0.0107089	0.010349	0.0103843	0.0112508	0.0117654	0.00651451	0.00838232	0.00873995	0.00604791	0.00688683	0.00695089	0.00670409	0.0120428	0.0183814	0.0152798	0.0154517	0.014989	0.0120271	0.00626334	0.0181366	0.0123038	0.0183728	0.02103	0.0360945	0.0259445	0.043136	0.0457403	0.0771162	0.0440255	0.0653436	0.0602214	0.0584297	0.127649
en	0.00909748	0.00791286	0.0108038	0.0072723	0.0105169	0.0118118	0.0163941	0.0152894	0.0164542	0.0190036	0.00733199	0.00982584	0.0104352	0.00767858	0.0109462	0.0108058	0.0183797	0.0250372	0.0371484	0.0327876	0.0393308	0.031744	0.0272522	0.0179616	0.0290917	0.0219189	0.0124804	0.0114347	0.0156848	0.0332877	0.031082	0.0304627	0.0761991	0.0837813	0.0494988	0.0473626	0.0508611	0.0956326
main	0.0141525	0.0101911	0.0124028	0.00807061	0.0175818	0.0127241	0.0241599	0.0239866	0.0287862	0.0233725	0.020884	0.0234622	0.0116516	0.00913497	0.0103005	0.0119185	0.0179066	0.0248996	0.0382828	0.0457034	0.0395612	0.0473633	0.036553	0.0278259	0.0338419	0.0316722	0.0141848	0.00756856	0.0149616	0.0322456	0.031403	0.0407331	0.0520197	0.0465103	0.0328258	0.0321851	0.0368515	0.0521212
est	0.0284478	0.0148015	0.0139199	0.00850431	0.0151471	0.0097479	0.0130188	0.0187428	0.0258739	0.0151085	0.0109605	0.0131604	0.00926252	0.0072813	0.00605627	0.00742393	0.0100958	0.0222077	0.0268142	0.0317774	0.0193868	0.026338	0.0263896	0.0268714	0.0271994	0.0356671	0.0238419	0.017551	0.0206809	0.0578206	0.0307333	0.0255991	0.0686904	0.0939568	0.0476775	0.0530923	0.0306725	0.0594792
bleu	0.0188196	0.00934226	0.0139921	0.00652582	0.0101805	0.00705686	0.00937547	0.0218307	0.0189911	0.0224979	0.0120493	0.013099	0.0132194	0.0134059	0.01202	0.011794	0.016127	0.0201717	0.0155777	0.013247	0.00947974	0.015081	0.0137668	0.0139632	0.0178469	0.0239882	0.0151369	0.0148906	0.0186357	0.0388363	0.0326796	0.0323551	0.061213	0.0993136	0.0890691	0.0778562	0.0643617	0.0822032
foncé	0.0442346	0.0270458	0.0240127	0.00979007	0.0134875	0.00675685	0.0084533	0.0191304	0.0114007	0.0137564	0.00689224	0.00677528	0.00680751	0.00705542	0.00509549	0.00503049	0.00835976	0.0140977	0.0105388	0.00736587	0.00525914	0.00862972	0.0095241	0.0101802	0.0119169	0.0148631	0.0116124	0.0125007	0.0126056	0.0361291	0.0256818	0.0224574	0.0670884	0.12286	0.107025	0.0854544	0.0738263	0.106299
</S>	0.0475637	0.0351685	0.0284953	0.0179655	0.0271805	0.015171	0.0137249	0.0226133	0.0171709	0.0107544	0.00400952	0.00339721	0.00277528	0.00232812	0.00182244	0.00192414	0.00235236	0.00404911	0.00393974	0.00286001	0.00280994	0.00389863	0.00682993	0.00691386	0.00926383	0.0125586	0.0137583	0.0184413	0.0155206	0.0353081	0.0306325	0.0272579	0.0572164	0.0995376	0.102731	0.0873686	0.0762344	0.128453
