 	a66	a87	a23	a99	a18	a9	a82	a30	a93	a94	a62	a21	a85	a5	a12	a62	a70	a90	a98	a85	a47	a7	a90	a69	a58	a82	a62	a88	a62	a56	a92	a98	a85	a5	a47	a34	a98	a79	a15	a7	a26	a2	a57	a87	a23	a87	</S>
ibhoyi	0.0726123	0.0877712	0.0590019	0.0352782	0.0402068	0.0561152	0.0399124	0.0807997	0.061842	0.0334285	0.0336823	0.0170224	0.0192193	0.0156376	0.00988127	0.0062795	0.00682284	0.0120002	0.0076587	0.00702139	0.00728077	0.00363925	0.00348589	0.00607238	0.00858534	0.0105717	0.0191067	0.0132401	0.0234583	0.0126728	0.0146424	0.0112105	0.00758788	0.00616147	0.00954235	0.0144581	0.0144348	0.00990229	0.0102978	0.00685372	0.0151595	0.0132684	0.011833	0.0093154	0.0123824	0.0117054	0.0109377
a	0.011613	0.00861152	0.00756087	0.00728424	0.00481356	0.00713873	0.00713513	0.0316218	0.0190864	0.0485834	0.0478868	0.0280199	0.0542618	0.0911045	0.0994652	0.0757039	0.0730338	0.0471359	0.0471859	0.0437141	0.0273813	0.020323	0.0141735	0.0136708	0.016859	0.00520572	0.00558884	0.00462257	0.00328931	0.00302613	0.00313385	0.00299908	0.0017546	0.00403269	0.00318129	0.00537811	0.00398288	0.00701577	0.00802962	0.00403722	0.0085299	0.00551848	0.00929588	0.0119318	0.0104571	0.0112804	0.0243409
reçu	0.0402891	0.0257468	0.0147094	0.0128425	0.0127803	0.0193649	0.0167481	0.0294652	0.0180514	0.0347505	0.0478957	0.0248085	0.0586517	0.0708917	0.0641073	0.0440947	0.0444175	0.0385546	0.0239406	0.0160751	0.0110136	0.0102193	0.0110228	0.0124849	0.0192106	0.0250903	0.0156045	0.0127555	0.0132159	0.0115624	0.00922888	0.0025231	0.00309099	0.00747416	0.00454201	0.0200844	0.00655835	0.00717992	0.00714917	0.00473127	0.0106809	0.0102853	0.0138586	0.0198704	0.0182429	0.0321677	0.0219667
beaucoup	0.0125396	0.00362976	0.00346007	0.00265227	0.00276857	0.00170109	0.000881742	0.00194881	0.00171159	0.00314759	0.00466041	0.00320463	0.00726077	0.00909186	0.0104307	0.0167786	0.0220966	0.0346569	0.0251388	0.0256041	0.0250757	0.0358576	0.0582652	0.0504538	0.0602074	0.0507266	0.0313634	0.0592948	0.0512874	0.0344293	0.0439878	0.0254984	0.0328005	0.0523048	0.0364776	0.0675174	0.00887129	0.00561639	0.0047466	0.00129972	0.0069009	0.0064394	0.00566099	0.00755029	0.0104111	0.0155997	0.0179915
de	0.0327171	0.00667766	0.00700536	0.00460184	0.00331655	0.00216472	0.000828387	0.000981478	0.00182801	0.00199112	0.00633175	0.00600996	0.0134912	0.0119909	0.0128325	0.0267151	0.0348262	0.0381819	0.0336827	0.0356528	0.0306156	0.0436709	0.0584253	0.0641135	0.0647219	0.0367461	0.0244033	0.0262951	0.0336811	0.0288089	0.0353494	0.016308	0.0190476	0.0197792	0.015268	0.0283798	0.00993549	0.00930369	0.015017	0.00839351	0.0254328	0.0174736	0.0152522	0.0140763	0.01675	0.0193659	0.0215586
gratifications	0.0501704	0.0105123	0.00702226	0.0049808	0.0031895	0.00261069	0.00115749	0.00214378	0.00282278	0.00318454	0.00800172	0.0128458	0.0260339	0.0213916	0.0294633	0.0611269	0.0711317	0.0857611	0.0653618	0.0408029	0.0523943	0.0413269	0.0470311	0.058961	0.044397	0.0339114	0.0211733	0.0190837	0.018467	0.0121395	0.0132663	0.00598927	0.00990555	0.00882475	0.0079483	0.0176992	0.00736446	0.00661069	0.00888862	0.00442494	0.00864746	0.00713203	0.00835481	0.00650632	0.00799912	0.00581742	0.00602003
lorsqu'	0.0474505	0.0191303	0.0218006	0.0131939	0.0127983	0.00756943	0.00571726	0.00566211	0.0101524	0.00759369	0.0198717	0.0148607	0.0273687	0.0273827	0.0289938	0.0408333	0.0567637	0.0948034	0.0502512	0.0498636	0.0183177	0.00944974	0.00675611	0.0131983	0.0235205	0.0139226	0.0148748	0.0154204	0.017778	0.0207507	0.0241868	0.0167154	0.0175161	0.0189539	0.0110293	0.0104169	0.0113167	0.0103257	0.012507	0.00536437	0.0185699	0.026029	0.0149585	0.0212558	0.0200824	0.0148269	0.029895
elle	0.02332	0.0193877	0.0172185	0.0138137	0.0132065	0.0121412	0.0107592	0.0131149	0.0167759	0.0118771	0.0174707	0.0106334	0.0159188	0.0251384	0.0205076	0.018113	0.0187757	0.0367613	0.0284625	0.0268995	0.016296	0.0171554	0.00965777	0.010962	0.0160302	0.0121257	0.0136356	0.0110262	0.0173109	0.0180752	0.0194179	0.0203059	0.0169853	0.0164263	0.0138618	0.015023	0.0216385	0.0189724	0.0308494	0.0185126	0.0597845	0.050384	0.0381893	0.0476677	0.0481237	0.0192522	0.0320348
chantait	0.0180968	0.0165506	0.0170981	0.0124307	0.0119016	0.0107952	0.0116461	0.0131464	0.0191362	0.0110596	0.017707	0.0121875	0.0147803	0.016683	0.015388	0.0151286	0.0158549	0.0242662	0.0229061	0.0210737	0.0198113	0.0248548	0.0180611	0.0185849	0.020608	0.0155336	0.0202754	0.0183674	0.0181072	0.022667	0.0217547	0.0206097	0.0232465	0.0191927	0.0241753	0.0207594	0.0234551	0.0260266	0.0299789	0.017048	0.0462089	0.0387423	0.0321098	0.0402238	0.039721	0.0195345	0.0425058
</S>	0.025746	0.0192725	0.018652	0.0101814	0.00960276	0.00449404	0.00504218	0.0037828	0.0090085	0.00522702	0.00974434	0.00806216	0.0114029	0.0096689	0.00904025	0.00925984	0.0108797	0.0184833	0.017435	0.0172766	0.0194626	0.0393569	0.0379641	0.0528624	0.0492703	0.0482192	0.0548085	0.0520648	0.0371546	0.0513498	0.0501529	0.0288322	0.0495723	0.037564	0.0396313	0.0319868	0.0208285	0.0128558	0.00720912	0.000939807	0.00211737	0.00224414	0.00778006	0.0126545	0.00602977	0.0094286	0.00539716
