 	a66	a87	a23	a97	a99	a24	a31	a88	a38	a75	a25	a56	a12	a96	a21	a92	a56	a98	a85	a47	a36	a56	a43	a25	a92	a79	a75	a6	a37	a88	a71	a9	a87	a23	a3	a97	</S>
j'	0.0721055	0.0583221	0.0351835	0.046455	0.0170006	0.0276439	0.0196308	0.0161408	0.0117732	0.0133511	0.00688819	0.00776604	0.00489415	0.00869361	0.00797636	0.00816622	0.00824056	0.0117292	0.0225105	0.0201014	0.0141419	0.0126718	0.0239751	0.0331989	0.0226985	0.0347873	0.0232971	0.03302	0.0362859	0.0382085	0.0309196	0.0519257	0.0302976	0.0436029	0.0415013	0.0405925	0.0643028
ai	0.0182795	0.0218026	0.0236868	0.0263838	0.0236794	0.0161557	0.0181819	0.0245221	0.0280451	0.0472808	0.0390946	0.0272129	0.0282591	0.0298847	0.0318024	0.0442345	0.0437845	0.0247453	0.0300498	0.0403239	0.0440806	0.0367608	0.0145049	0.0136468	0.00958731	0.0101974	0.0211886	0.0236843	0.0277642	0.0192924	0.025276	0.0194291	0.0324846	0.0198676	0.0219236	0.0332397	0.0396629
ramassé	0.0317884	0.0220681	0.0288677	0.0189864	0.019624	0.013408	0.0134736	0.0158275	0.0225512	0.033926	0.0284141	0.034446	0.038472	0.0303621	0.0303694	0.0528058	0.0423956	0.0266787	0.0316833	0.0187061	0.0197125	0.0244879	0.0191165	0.0100505	0.0112427	0.00974218	0.0171669	0.0171228	0.0274163	0.0190409	0.0209626	0.0232519	0.038673	0.0343632	0.0418027	0.0664085	0.0445849
des	0.0933402	0.0343936	0.0238589	0.0157144	0.014919	0.0122321	0.00640967	0.0064032	0.00847392	0.00409852	0.00615427	0.00402251	0.00601895	0.00724812	0.00609884	0.0105336	0.0193237	0.0374209	0.0490837	0.0342722	0.0424332	0.0824827	0.0466028	0.0326392	0.0411756	0.0260851	0.0365895	0.022911	0.0429756	0.0259402	0.0356417	0.0234628	0.0267804	0.0394655	0.0322673	0.0250269	0.0175001
longues	0.033194	0.0331997	0.0432253	0.0185218	0.0660361	0.0351215	0.0337748	0.0172544	0.0263723	0.0137183	0.0178686	0.0139932	0.0108993	0.00990005	0.0121918	0.0204053	0.0484637	0.0585933	0.0717522	0.0611847	0.0517515	0.0958112	0.0530271	0.0249433	0.0178973	0.0121924	0.0119195	0.0124091	0.0140517	0.011342	0.00872511	0.00972629	0.00582007	0.00913272	0.00541956	0.00495055	0.00521048
plumes	0.0286251	0.0360831	0.0466531	0.0238925	0.0816421	0.0723198	0.0804689	0.0472178	0.0630238	0.0387894	0.0200424	0.0129022	0.0102803	0.009409	0.00744124	0.00981861	0.0158585	0.0125143	0.0269296	0.0282762	0.0275774	0.0640955	0.0553797	0.0469746	0.0243391	0.0123014	0.00932324	0.0132975	0.0123501	0.0127426	0.0092211	0.0137949	0.00680012	0.00614963	0.0049227	0.00379132	0.00475098
de	0.0482367	0.0480593	0.0562335	0.0462021	0.0730264	0.0696767	0.0472566	0.0514082	0.0499284	0.0469331	0.0173987	0.0110356	0.0140041	0.0165861	0.012688	0.0130883	0.00887717	0.00923092	0.017315	0.0196454	0.0246483	0.0407388	0.0311055	0.0269654	0.0163168	0.0120347	0.00874517	0.0138298	0.0151863	0.0139431	0.0190077	0.0163723	0.0153992	0.0185457	0.0166435	0.0194089	0.0142785
coq	0.0506905	0.0436974	0.0380733	0.0359066	0.0515073	0.0458446	0.0289063	0.0314031	0.0521884	0.048169	0.0297375	0.0153265	0.0156926	0.0198615	0.0141457	0.0191472	0.0219989	0.0126479	0.0152399	0.0213905	0.0181192	0.0282378	0.0239716	0.0159382	0.0117995	0.0152589	0.013862	0.0198966	0.0181217	0.0186816	0.0274305	0.0256666	0.0341787	0.0285593	0.032046	0.0308565	0.0258007
dans	0.0830387	0.0586606	0.0407093	0.0353266	0.0446549	0.0426768	0.0290295	0.0276371	0.0501764	0.041172	0.0360098	0.0213368	0.0194655	0.0295571	0.0175619	0.019612	0.0192161	0.0154389	0.0263458	0.0270655	0.0151254	0.015649	0.0169693	0.0126851	0.0115268	0.0107215	0.0189464	0.0134637	0.016532	0.0148368	0.0176347	0.0196407	0.0275039	0.0229858	0.0188114	0.0260565	0.0362197
la	0.0839191	0.0660727	0.0431921	0.0320257	0.0330342	0.0330273	0.0174473	0.0175836	0.0267595	0.0148765	0.0155411	0.00772897	0.00826045	0.0130147	0.00699241	0.0155391	0.016115	0.0124847	0.0174669	0.0272672	0.0128737	0.0155308	0.0159697	0.0163418	0.0173478	0.0137774	0.022905	0.0173588	0.0258347	0.0223079	0.0273539	0.0341424	0.0568825	0.0383249	0.0339826	0.0553014	0.065416
cour	0.0629764	0.0480349	0.032431	0.0307033	0.0251438	0.0276638	0.0232247	0.0199806	0.0221221	0.0117843	0.00956119	0.0067281	0.00611216	0.0103078	0.00708374	0.00836707	0.00954229	0.0116479	0.024619	0.0267934	0.012627	0.0186532	0.0219924	0.0240536	0.0263104	0.0170217	0.0222214	0.0187742	0.020196	0.0254928	0.0311433	0.0373085	0.0511232	0.0532605	0.0501751	0.0680984	0.0767208
</S>	0.0491975	0.0389241	0.0260255	0.0177465	0.0194878	0.0201196	0.0104959	0.00938511	0.0175966	0.0124581	0.0128598	0.00858387	0.00640421	0.00825867	0.0052345	0.00672651	0.00698606	0.00542007	0.00641142	0.0129474	0.00518574	0.00515646	0.00837688	0.00917205	0.0156645	0.0203628	0.0255459	0.0294926	0.0372618	0.042942	0.062409	0.0504081	0.0806476	0.0632624	0.0578048	0.0768994	0.108139
