 	a66	a87	a23	a30	a4	a93	a62	a96	a83	a93	a44	a54	a15	a79	a75	a79	a7	a90	a25	a69	a15	a7	a84	a57	a87	a23	a50	a83	a18	a99	a83	a37	a26	a82	a87	a23	a99	a83	a36	a27	a54	a36	a7	a37	a0	a75	a12	a61	a75	a6	a43	a61	a75	a5	a36	a27	a30	a87	a23	a87	</S>
l'	0.0136842	0.031975	0.0110911	0.0170495	0.0268138	0.0433787	0.0665208	0.0797446	0.068662	0.063813	0.0322683	0.0265785	0.0216874	0.0245841	0.0221096	0.0133185	0.020932	0.013513	0.0258702	0.0129222	0.0141008	0.0167182	0.0170991	0.015388	0.0214787	0.0169572	0.0142393	0.012214	0.0137972	0.0134051	0.0172378	0.0155488	0.0105776	0.00904085	0.00700869	0.00765527	0.00704859	0.0054247	0.00769207	0.00687684	0.00568049	0.00424483	0.00339337	0.00430163	0.00329002	0.00250482	0.00319645	0.00481082	0.0053126	0.00562386	0.00368539	0.00362842	0.003323	0.00724643	0.00374497	0.00551791	0.00545879	0.00668057	0.00813751	0.00969291	0.0144998
argent	0.00628925	0.00778326	0.0205565	0.056764	0.0169872	0.00806166	0.0404637	0.02699	0.0220036	0.0349821	0.0427212	0.0194642	0.0162807	0.0262842	0.0414096	0.016198	0.0165614	0.0225167	0.0523873	0.0205215	0.022899	0.0254988	0.0194983	0.0195077	0.0150036	0.0231426	0.0134298	0.0101232	0.0143772	0.00949788	0.019745	0.0097289	0.00529693	0.0115106	0.0128096	0.0107196	0.0135724	0.0169631	0.016056	0.0186945	0.0178322	0.0257091	0.0332972	0.0280955	0.0237562	0.0122045	0.0124297	0.00476714	0.00291576	0.00123258	0.000978154	0.000935885	0.000834996	0.00245046	0.000676834	0.001032	0.00110178	0.00109551	0.00160408	0.00161884	0.00213094
que	0.0105777	0.00826542	0.00611282	0.0131985	0.0320467	0.0359367	0.0397417	0.0352631	0.0408822	0.0288223	0.0161527	0.0119738	0.0197373	0.0346982	0.0126442	0.0319461	0.0339795	0.0166797	0.0229371	0.0288652	0.0129911	0.0198776	0.0197473	0.0184013	0.0237309	0.0158014	0.0154534	0.0139961	0.0299818	0.0147835	0.0196177	0.0107557	0.0213975	0.0143542	0.0138434	0.0167033	0.030021	0.0194071	0.0185333	0.0280181	0.0179325	0.016925	0.00775848	0.00399363	0.00279468	0.00301046	0.0022544	0.00189648	0.00260446	0.00360894	0.00308679	0.00479695	0.00459161	0.00587582	0.00602581	0.00640996	0.0112974	0.00919846	0.0102032	0.0108782	0.00697988
je	0.0137885	0.00882354	0.00748324	0.00667035	0.00730452	0.00780507	0.00875863	0.0083903	0.0104472	0.0170369	0.0241366	0.0190379	0.0410999	0.0646787	0.0264144	0.0564381	0.0652642	0.0226247	0.0361128	0.026095	0.0246407	0.0304057	0.014764	0.015139	0.0233601	0.0136078	0.0193533	0.0122212	0.0213124	0.0237561	0.0160173	0.0126205	0.0121526	0.0118653	0.0155237	0.00727356	0.0140211	0.0120802	0.0107417	0.0138742	0.00820637	0.00896954	0.00672408	0.011203	0.00652691	0.00742513	0.0082233	0.0063137	0.00467838	0.00825906	0.0033405	0.00409515	0.00395594	0.00900326	0.00775279	0.0102531	0.0127935	0.014455	0.0174179	0.0189518	0.0183109
garde	0.0133398	0.00824696	0.00618233	0.00581291	0.00798938	0.0130064	0.0174185	0.00814869	0.0126622	0.0232295	0.0292148	0.0327945	0.0351088	0.0327709	0.0242216	0.0406707	0.0227116	0.0340712	0.0203003	0.0286064	0.0264827	0.0336662	0.0307572	0.0379859	0.0372131	0.0272989	0.016467	0.02402	0.0216694	0.0271333	0.0143079	0.0203673	0.0219224	0.0193971	0.015542	0.0182398	0.0167405	0.0167632	0.0220323	0.0221444	0.0192507	0.0127765	0.00939736	0.00521827	0.00765435	0.00493927	0.00570893	0.00607619	0.00598644	0.00589376	0.00205075	0.00236303	0.00175243	0.00262784	0.00168498	0.00243104	0.00249405	0.00243094	0.00349219	0.00476733	0.00434514
chez	0.0166441	0.0105816	0.00740842	0.00783147	0.0126476	0.00910636	0.0163098	0.00912058	0.0112513	0.0153414	0.0176318	0.0162182	0.0148447	0.0186517	0.0142396	0.0314811	0.0291152	0.0354096	0.0196405	0.0310213	0.0469286	0.0548663	0.0344564	0.0564516	0.0370857	0.0334661	0.0284481	0.0275311	0.0317004	0.0263681	0.0192589	0.0240738	0.0252582	0.021608	0.0172517	0.0154637	0.013108	0.0125323	0.012241	0.0107338	0.00774067	0.00481624	0.00418612	0.00440452	0.00363726	0.00242387	0.00298346	0.00232874	0.00343861	0.00345416	0.00186883	0.00243061	0.003288	0.00584946	0.0067344	0.00847378	0.00776309	0.00755594	0.00780012	0.0087275	0.0067669
lui	0.0132285	0.0112415	0.00834708	0.00982686	0.010659	0.0076898	0.0116646	0.00993504	0.0105752	0.00974156	0.0107452	0.0101012	0.0110187	0.011286	0.01044	0.0195304	0.0158897	0.0220915	0.0137978	0.0270086	0.044174	0.0313135	0.0309631	0.0503729	0.0308206	0.0406598	0.0241756	0.0346517	0.0293152	0.0218669	0.0227211	0.0220309	0.0238769	0.019721	0.013232	0.0130496	0.0121801	0.0121049	0.0116202	0.0130328	0.0096477	0.00647879	0.00731501	0.00753222	0.00766431	0.00788065	0.00781747	0.0098224	0.00748663	0.00991136	0.00734257	0.00952392	0.0114467	0.0139558	0.0193586	0.0171703	0.0167645	0.0153376	0.0191077	0.0168771	0.0148578
a	0.0137406	0.0162861	0.00921674	0.00311622	0.00315096	0.00198243	0.00153176	0.00102408	0.00117655	0.00263717	0.00501136	0.00493998	0.00764301	0.00543135	0.00705834	0.0155808	0.00727268	0.0144771	0.0109416	0.0157501	0.0461303	0.0281023	0.0343505	0.0479581	0.0295306	0.0352536	0.0232698	0.0362607	0.0260917	0.0252973	0.0257434	0.0230694	0.0290875	0.0248862	0.014047	0.0129204	0.0125435	0.0148723	0.00954516	0.011658	0.00806994	0.00577009	0.00755377	0.0119345	0.00930084	0.0110066	0.00839494	0.0108772	0.0132471	0.0260928	0.0125133	0.012213	0.0150496	0.0181243	0.0232439	0.0179592	0.0227488	0.0286575	0.0355613	0.0245539	0.0185408
augmenté	0.00534668	0.0106367	0.00497222	0.00167971	0.0024726	0.00230474	0.0020894	0.00161283	0.00201084	0.0033135	0.00395361	0.0053954	0.0081388	0.00571455	0.0103856	0.0157923	0.0140576	0.0325616	0.0294659	0.0252963	0.0457794	0.0465618	0.0402489	0.0617318	0.039727	0.0571423	0.0344364	0.0454426	0.032754	0.0416101	0.0248393	0.0284919	0.0250061	0.0200308	0.0179259	0.0162506	0.0135209	0.0110942	0.00994822	0.00952751	0.00685223	0.00487073	0.00446052	0.00466512	0.00370669	0.00410931	0.00316712	0.00507876	0.00791009	0.0153084	0.00623951	0.00722742	0.00809247	0.014618	0.00886595	0.009978	0.0108088	0.0148508	0.0178869	0.0191692	0.0128634
car	0.011001	0.0148287	0.00937881	0.00436476	0.00538525	0.00804727	0.00658703	0.00356826	0.00388395	0.00775344	0.00770236	0.0087358	0.0130551	0.0101243	0.0118263	0.0161228	0.0213433	0.0269506	0.0414197	0.028279	0.0313697	0.0341863	0.0278525	0.0298686	0.0331359	0.0428382	0.0242019	0.0354521	0.0334626	0.0350514	0.01947	0.0217565	0.0186761	0.0156971	0.0187717	0.0166113	0.016087	0.00968282	0.00820364	0.00794449	0.00693271	0.00475286	0.00403645	0.00340465	0.00479918	0.00424469	0.00489898	0.00873918	0.0104188	0.0193166	0.00598455	0.00908647	0.00644454	0.0128492	0.00797335	0.0069263	0.0136281	0.0190213	0.0209275	0.0292956	0.0556413
