 	a66	a87	a23	a87	a23	a10	a24	a83	a21	a5	a47	a62	a83	a34	a61	a47	a62	a31	a62	a24	a9	a10	a87	a10	a97	a10	</S>
il	0.108955	0.115154	0.0954347	0.0399697	0.0151663	0.013624	0.0119935	0.0118519	0.00924334	0.00490062	0.00312537	0.00274468	0.00401801	0.00487426	0.00411216	0.00603383	0.0132027	0.054477	0.0658599	0.0540281	0.0650395	0.0709254	0.0429153	0.0314453	0.0664084	0.0374955	0.0470012
y	0.0312103	0.0246789	0.0412458	0.0466826	0.040846	0.0325727	0.0470915	0.0612557	0.0643807	0.0411714	0.0603816	0.0542613	0.0695243	0.0484517	0.0426835	0.0210888	0.0144641	0.0121244	0.0164653	0.0275189	0.0215428	0.0216398	0.0256973	0.0276858	0.0281185	0.0427943	0.0344218
a	0.0277794	0.0270571	0.0258089	0.0226438	0.024163	0.0172568	0.0174604	0.0265026	0.0236686	0.0138965	0.0277557	0.0183737	0.0216297	0.00483175	0.0131418	0.00522994	0.010306	0.0127022	0.00839876	0.0397993	0.0591266	0.0426578	0.0730689	0.152666	0.0821638	0.14569	0.0562205
plusieurs	0.0888215	0.0904644	0.0921279	0.0680354	0.142269	0.0944771	0.0564118	0.0396065	0.0207174	0.0118832	0.0226719	0.0195128	0.00857132	0.0260778	0.0283093	0.0145704	0.0173602	0.0144802	0.00751399	0.00845391	0.0117554	0.00775294	0.0177924	0.0217446	0.0173416	0.0205942	0.0306831
manières	0.102197	0.0557444	0.0379509	0.0375346	0.0366215	0.0443827	0.0316628	0.0573051	0.0328252	0.0398867	0.0420017	0.0250472	0.0360449	0.0132708	0.0150614	0.00999045	0.0188883	0.0357757	0.0190347	0.0383666	0.027692	0.0330626	0.0340615	0.0559674	0.0489826	0.0326159	0.0380257
d'	0.221412	0.107192	0.0913554	0.0316136	0.0156831	0.01269	0.00867726	0.018454	0.0132487	0.0111855	0.00910734	0.00627534	0.00403205	0.00375581	0.00852987	0.0122555	0.0268843	0.0338031	0.0397779	0.0523436	0.0327659	0.0402918	0.033658	0.0426404	0.0378491	0.0569047	0.0276138
être	0.12476	0.0864853	0.0722012	0.0336489	0.0246172	0.0226946	0.0214819	0.0233699	0.0236416	0.00939862	0.0298589	0.031638	0.0190066	0.01257	0.0353092	0.0180838	0.0207856	0.0407229	0.0227702	0.0551762	0.0411619	0.0408731	0.0456754	0.0636085	0.025819	0.0469779	0.00766367
contaminé	0.113629	0.0555531	0.0502701	0.044633	0.0452331	0.0430868	0.0219301	0.0216395	0.0147198	0.00917574	0.00751574	0.0113272	0.0134186	0.0173397	0.0276232	0.0413872	0.0400692	0.0725876	0.0427961	0.0473979	0.0301677	0.0373377	0.0384008	0.0414512	0.0405404	0.0399531	0.030817
du	0.0908645	0.0518937	0.0637888	0.064139	0.0321793	0.0226746	0.0129815	0.0136841	0.00845534	0.00720321	0.00543635	0.00610387	0.00728416	0.00563659	0.0119183	0.0242772	0.0429026	0.0490535	0.0452687	0.045649	0.0323383	0.0366686	0.0369839	0.050748	0.0481609	0.076817	0.106889
sida	0.0735574	0.0377253	0.0363882	0.0327128	0.0314548	0.0304713	0.0167848	0.0220675	0.0181577	0.0145636	0.0117416	0.00983874	0.009338	0.00534505	0.0156657	0.0199414	0.0264639	0.051088	0.0339987	0.0344329	0.043954	0.0477164	0.0314991	0.0490468	0.0682752	0.0785325	0.149238
</S>	0.0826069	0.0260753	0.0199814	0.0138893	0.00463222	0.00321911	0.00130778	0.00177528	0.00142566	0.001021	0.00150893	0.00150086	0.00128235	0.00148509	0.00389937	0.00644593	0.0164211	0.0226839	0.0265897	0.0469398	0.0581335	0.0564383	0.0665229	0.101889	0.112293	0.16065	0.159383
