 	a10	a87	a23	a11	a24	a41	a35	a14	a41	a66	a38	a26	a24	a25	a53	a90	a13	a38	a41	a35	a94	a24	a98	a71	a38	a90	a98	a41	a56	a98	a14	a44	a38	a76	a20	a84	a38	a70	a34	a98	a14	a73	a94	a76	a73	a35	a98	a41	a56	a93	a13	a38	a62	a21	a41	a27	a57	a40	a75	a14	a73	a57	a87	</S>
le	0.0420845	0.0295328	0.0230386	0.0113307	0.00868194	0.0108647	0.014563	0.0137607	0.0139586	0.00700345	0.00786131	0.00902371	0.0101422	0.0071949	0.00715637	0.00588134	0.00650769	0.00728967	0.00652094	0.00697836	0.00491637	0.00860533	0.0042556	0.00650951	0.00721362	0.00487156	0.00570769	0.00396892	0.0064808	0.00832555	0.0150264	0.00584538	0.0141626	0.0162448	0.0145513	0.0255249	0.0217458	0.0219346	0.00819226	0.0056898	0.0102568	0.0138547	0.0160175	0.0128163	0.0145608	0.0224204	0.025073	0.0193008	0.012735	0.0267428	0.0141182	0.00941337	0.0131525	0.00756835	0.0236957	0.0265148	0.0346419	0.0373884	0.0274242	0.0235128	0.0263605	0.0346219	0.0315942	0.0570668
singe	0.00109085	0.00438949	0.00449759	0.00446346	0.00572775	0.00696762	0.00930117	0.0139435	0.0166332	0.0093256	0.014427	0.00913641	0.00775919	0.00897464	0.0096722	0.00943018	0.0105455	0.0108589	0.00785147	0.0115442	0.0157343	0.003709	0.012117	0.0235088	0.0245026	0.0129011	0.00997988	0.0108954	0.0133381	0.00918927	0.00955327	0.0253764	0.0323656	0.0296562	0.0282666	0.029477	0.0387065	0.0453929	0.0410867	0.0331982	0.0323226	0.0251994	0.0338329	0.0491718	0.0546546	0.0498606	0.0403307	0.0229758	0.0126832	0.0115656	0.0128593	0.00538372	0.00293	0.00362062	0.00201603	0.00409074	0.00308688	0.0006291	0.00135072	0.000411193	0.00136979	0.00107056	0.00232495	0.000764573
n'	0.0220799	0.0197342	0.0245962	0.0173573	0.024507	0.023457	0.0165442	0.00504239	0.0190011	0.0170187	0.0328238	0.0172637	0.0143243	0.0197868	0.011819	0.01156	0.0123792	0.0146085	0.022334	0.0119599	0.0111985	0.0099684	0.0127633	0.0202116	0.0232369	0.0104748	0.012321	0.00692956	0.0172678	0.00887656	0.0129788	0.00645078	0.0256649	0.0248413	0.00885663	0.0197182	0.0190681	0.0344708	0.0298413	0.0177731	0.0277193	0.0316091	0.0261502	0.0276948	0.0293477	0.0285381	0.0176984	0.0136162	0.0109425	0.00761264	0.0062585	0.00673409	0.00725674	0.00774791	0.00632623	0.00668591	0.0103828	0.00762301	0.00434532	0.00245039	0.00582563	0.00461041	0.00670449	0.0050103
adopte	0.0248038	0.0147873	0.0124062	0.011236	0.00911396	0.0113548	0.010302	0.00734664	0.0090827	0.0135085	0.0181087	0.0164636	0.0136655	0.0172806	0.0168534	0.0203059	0.0305646	0.020688	0.0214309	0.0373009	0.0160997	0.0207859	0.0095531	0.028548	0.0274758	0.0225346	0.0339607	0.0491597	0.0325463	0.0280062	0.0392463	0.0297974	0.0190696	0.0161617	0.0207792	0.0253628	0.0319566	0.0163766	0.0126874	0.0123609	0.0128103	0.0159695	0.0297085	0.0229177	0.0197454	0.0151188	0.0110844	0.00961482	0.00563703	0.00450411	0.00282608	0.00211842	0.00157122	0.000931456	0.00114962	0.000800265	0.00121136	0.00181804	0.00100133	0.00109328	0.00130617	0.00156533	0.00128228	0.00514212
pas	0.0381985	0.0264766	0.021129	0.0188751	0.0139732	0.0192991	0.0154826	0.0168554	0.010807	0.0086407	0.0102122	0.0101339	0.00999284	0.00786055	0.00677228	0.00531976	0.0109258	0.011841	0.0235339	0.0253094	0.0234674	0.0310346	0.0161101	0.0346472	0.0190605	0.00893818	0.0206595	0.0188825	0.0142234	0.0148004	0.0177197	0.0211796	0.0210789	0.0103698	0.0220091	0.0175209	0.0303381	0.0146033	0.011684	0.0122329	0.0111307	0.0108949	0.0129391	0.00879495	0.00978191	0.0105531	0.00788299	0.00639509	0.00581806	0.0104395	0.00782849	0.00534192	0.00886863	0.00568418	0.0147897	0.012617	0.0232825	0.0285472	0.0217142	0.0129758	0.0122648	0.012594	0.0145862	0.0320763
l'	0.0161992	0.0126764	0.0104119	0.0107516	0.00666516	0.00423698	0.00309015	0.00342627	0.00354149	0.00430076	0.00989849	0.0110755	0.00946032	0.0157995	0.0101942	0.0140946	0.0188425	0.0178916	0.0117341	0.0130949	0.0190471	0.016403	0.0193961	0.0297579	0.0158842	0.012301	0.017726	0.0238465	0.020135	0.0154792	0.0164417	0.0197679	0.0159861	0.0126175	0.0163705	0.0200524	0.0202363	0.026842	0.0393831	0.0394735	0.0487012	0.0229423	0.0291919	0.0304064	0.0197643	0.0151053	0.0116382	0.00948531	0.00769145	0.00783648	0.00946661	0.00910885	0.00998885	0.0147555	0.0117269	0.00969364	0.011046	0.0107293	0.0111435	0.0095528	0.0130382	0.0160592	0.0155826	0.0208125
enfant	0.0288823	0.0143447	0.0163021	0.0140687	0.00981546	0.00761287	0.00710909	0.00460266	0.00766884	0.00861397	0.00645405	0.00609837	0.00857318	0.0102858	0.0117713	0.00928427	0.00919536	0.011017	0.0116549	0.00931695	0.0124396	0.0249687	0.0110154	0.01663	0.0134587	0.00748355	0.00990349	0.0122743	0.0182849	0.0104288	0.0164071	0.0132025	0.016183	0.0208802	0.0235576	0.0150509	0.0221501	0.0271913	0.0169304	0.0185285	0.0288562	0.0431835	0.0392689	0.0349644	0.0261561	0.0256545	0.0215732	0.0198462	0.0137127	0.0150175	0.0133719	0.0127382	0.0152678	0.00780398	0.0109908	0.0091063	0.0131797	0.0124146	0.00879431	0.0111718	0.0206608	0.0191152	0.016231	0.0212798
de	0.0201563	0.0111015	0.00827516	0.00409358	0.0021175	0.00172984	0.00235767	0.00185193	0.00298451	0.00284161	0.00485156	0.00780547	0.00983573	0.011895	0.0177059	0.0233868	0.0216898	0.0256404	0.0202008	0.0189028	0.0245588	0.0194125	0.0154693	0.0273892	0.0174943	0.0125514	0.0133245	0.0151165	0.0174878	0.0098499	0.0158701	0.0114112	0.0135784	0.0209133	0.0180077	0.0296325	0.0306908	0.0464612	0.0196716	0.0321987	0.0249597	0.0467598	0.0341743	0.0365713	0.0145092	0.009071	0.00796451	0.00753531	0.00397473	0.0061138	0.00439718	0.00295313	0.00586951	0.00630918	0.00812787	0.0126177	0.0108527	0.00932261	0.0144335	0.013399	0.0198679	0.0203703	0.0200393	0.0292932
son	0.00685409	0.00710508	0.00568248	0.00458862	0.0026505	0.00188566	0.00171235	0.00136263	0.00158661	0.00183967	0.00304331	0.0046252	0.00487677	0.0105834	0.0144328	0.0227757	0.021569	0.0214504	0.0237915	0.0175418	0.0128652	0.0241717	0.0216329	0.0176006	0.0180277	0.0229769	0.0270593	0.0335699	0.0378204	0.0206476	0.028586	0.0204078	0.0221683	0.0265042	0.0312188	0.0237657	0.0225141	0.0320146	0.0152541	0.0298532	0.0243631	0.0380842	0.027081	0.0289988	0.0178374	0.013021	0.011122	0.0122219	0.00725124	0.00638181	0.00604755	0.00479982	0.00750239	0.00831025	0.0126388	0.0153412	0.00939456	0.00715279	0.0122789	0.00888991	0.0110387	0.0127465	0.0121772	0.0167023
frère	0.0161097	0.0121397	0.0111594	0.00665038	0.00482991	0.00305011	0.00372429	0.00443885	0.00472986	0.00482299	0.00463843	0.00609186	0.00633425	0.00797777	0.010703	0.0121462	0.014948	0.0182557	0.0206604	0.0186371	0.0237193	0.0227971	0.0200797	0.0235692	0.0252603	0.0146712	0.0150457	0.0198083	0.0195877	0.00942181	0.0110388	0.0199337	0.013812	0.0200276	0.0233084	0.0239671	0.0215678	0.0326028	0.0164668	0.0212668	0.0175333	0.0331029	0.0274883	0.0281813	0.0181754	0.0180059	0.0143359	0.0149497	0.0109223	0.0103299	0.0127605	0.00724319	0.0106909	0.011707	0.0135954	0.0240456	0.0200481	0.0136264	0.0193518	0.0142908	0.0173664	0.0195659	0.0201518	0.0125311
