 	a23	a99	a38	a11	a66	a9	a38	a75	a5	a75	a73	a56	a75	a11	a75	a85	a41	a0	a11	a75	a5	a27	a11	a75	a56	a75	a85	a61	a11	a75	a37	a75	a70	a13	a90	a44	a98	a56	a11	a75	a73	a44	a98	a44	a98	a47	a36	a2	a57	a87	a23	a87	</S>
j'	0.0634143	0.0673368	0.0591854	0.0528902	0.0336904	0.0410872	0.0276303	0.0118659	0.00802912	0.0123608	0.011917	0.0110425	0.013444	0.0213581	0.0117425	0.00953562	0.00777008	0.018116	0.0119026	0.00515393	0.00641043	0.0060912	0.00673939	0.00975494	0.00835113	0.0070953	0.00886929	0.00777316	0.0114757	0.00907717	0.0115936	0.0129176	0.00797885	0.0255724	0.0232337	0.0462346	0.0194007	0.0351992	0.0397754	0.0240511	0.00918599	0.0100865	0.00740108	0.00868828	0.007705	0.0101716	0.0163164	0.0108391	0.013605	0.0110263	0.0202251	0.0160531	0.0316289
ai	0.00860555	0.00868062	0.00775221	0.0189354	0.0193986	0.0187829	0.0367223	0.038207	0.0650077	0.0379677	0.0428562	0.038838	0.0796892	0.0553651	0.0493908	0.0409039	0.0383216	0.0162798	0.0111108	0.0146387	0.0193898	0.0177868	0.0181523	0.013871	0.016466	0.0137812	0.0140833	0.00862928	0.0166912	0.0148257	0.0165296	0.00945588	0.00649123	0.00802371	0.0069204	0.00482049	0.00360576	0.00366522	0.00237878	0.00281673	0.00266372	0.00458304	0.0121507	0.0120984	0.0101428	0.0174034	0.0130552	0.0130352	0.0114789	0.0111642	0.00702117	0.00970753	0.00965708
rencontré	0.0221788	0.00716355	0.00685604	0.00588172	0.00848373	0.0108489	0.0197749	0.00815064	0.0194332	0.0176757	0.0241756	0.0341654	0.0326995	0.0367355	0.0208426	0.0176519	0.0222934	0.0125937	0.00967747	0.0093409	0.0138934	0.0173669	0.0172707	0.0164505	0.0154735	0.0270653	0.0395459	0.0300954	0.0431975	0.0538455	0.0502026	0.0292372	0.0135097	0.0176486	0.0194471	0.0139321	0.00761532	0.00906034	0.00514617	0.00441862	0.00773879	0.00946554	0.0178143	0.0187809	0.0112745	0.0194301	0.0150094	0.015728	0.0200433	0.0235353	0.0156474	0.0198154	0.0146713
brusquement	0.0196817	0.0147203	0.00933247	0.00813114	0.00929221	0.00723351	0.0138103	0.017544	0.0140065	0.015726	0.0137608	0.0133439	0.0168862	0.0144027	0.0218759	0.015257	0.0131349	0.0170841	0.0212439	0.0280762	0.0273514	0.0180526	0.019885	0.0180895	0.0155838	0.0199215	0.0137099	0.018477	0.0181975	0.0202336	0.0198787	0.0206508	0.0163116	0.0245967	0.0201349	0.0214414	0.030451	0.0296378	0.0439073	0.0576493	0.0451535	0.0324031	0.0166864	0.00937466	0.0202307	0.0093476	0.00962883	0.0217142	0.0115455	0.0109983	0.0115077	0.0121356	0.0105687
dans	0.0149154	0.00876539	0.0084917	0.00945427	0.00763628	0.00490144	0.0060179	0.00482234	0.00338807	0.00458608	0.00823952	0.00573919	0.0071689	0.0062828	0.0148257	0.0109777	0.00828235	0.0117099	0.0121903	0.0142452	0.0183588	0.0122531	0.0119062	0.0141217	0.00974177	0.0185452	0.0097883	0.0103023	0.0124081	0.0138522	0.0158859	0.0210706	0.0234877	0.0327687	0.0392942	0.0361659	0.0467806	0.0643201	0.0458365	0.0354094	0.0251266	0.0343893	0.0209001	0.0172623	0.0221698	0.029177	0.0203165	0.0274373	0.0311599	0.0214984	0.0298907	0.0279941	0.0277402
la	0.0349782	0.0197169	0.0132446	0.00696405	0.00557497	0.00334191	0.00356291	0.00300925	0.00131868	0.0021265	0.00589896	0.00238171	0.00236704	0.0104803	0.0228378	0.0257964	0.0186836	0.0176587	0.019589	0.0177807	0.028556	0.0171215	0.0237352	0.0238205	0.0170174	0.0245052	0.0179566	0.00999767	0.0320386	0.0160134	0.0157008	0.0248824	0.0184467	0.0275445	0.0346343	0.0534157	0.052127	0.0514252	0.0304452	0.044463	0.0207547	0.0238158	0.0117991	0.0109376	0.0130659	0.0142089	0.0154447	0.0173159	0.0151128	0.0110632	0.0193109	0.0105211	0.0154904
rue	0.017496	0.00875451	0.00541497	0.00202568	0.00344893	0.00316839	0.00356055	0.00521222	0.00215624	0.00372015	0.00898108	0.00302458	0.00434032	0.0097914	0.0144736	0.0148873	0.0147234	0.0115391	0.0235571	0.0349846	0.0433652	0.0305354	0.0414668	0.0290196	0.0279012	0.0280904	0.0190272	0.0127831	0.015988	0.0141194	0.012916	0.0267165	0.01422	0.0262513	0.0244781	0.0329685	0.0223881	0.0292475	0.0304067	0.0295298	0.0191526	0.01828	0.0109541	0.0153313	0.0191404	0.0220878	0.0253459	0.0368294	0.0439498	0.0221943	0.0333521	0.0206725	0.0060307
un	0.021295	0.0124502	0.00562784	0.00282253	0.00268422	0.00298489	0.00345735	0.00352426	0.00146087	0.00270589	0.00739532	0.00347962	0.0046719	0.0113649	0.0221358	0.0269996	0.0209992	0.0127982	0.0206564	0.0255312	0.0610045	0.0271599	0.0335808	0.0587247	0.0305349	0.0292689	0.00893738	0.00390392	0.00832885	0.00523516	0.00603729	0.00891982	0.00859491	0.0127378	0.0180742	0.0189042	0.0132767	0.0369694	0.0178672	0.0106613	0.017929	0.00989651	0.0112049	0.0117005	0.00864032	0.0197049	0.041884	0.0405063	0.0500483	0.0473755	0.0352664	0.0376446	0.0344318
homme	0.0239392	0.00619557	0.00390115	0.00145192	0.00190471	0.00201491	0.00368038	0.0054242	0.00291829	0.00461222	0.0102874	0.00535803	0.0117323	0.00982423	0.0199952	0.0267482	0.0261971	0.020506	0.0333411	0.037498	0.066521	0.043545	0.0410818	0.0446352	0.0382355	0.0440324	0.0286993	0.0196215	0.0227956	0.0162076	0.0179636	0.0254644	0.0149081	0.0243152	0.020812	0.0193714	0.0123975	0.0160858	0.0170339	0.0145161	0.0127636	0.0119782	0.00669887	0.0108597	0.00646507	0.0120269	0.0131429	0.0161594	0.017051	0.0103117	0.020576	0.0198727	0.0363209
qui	0.0311098	0.0170448	0.00679111	0.00154364	0.00122329	0.00148199	0.00187892	0.00181753	0.000850418	0.00136638	0.0043557	0.00158713	0.00206117	0.00410633	0.00554904	0.00647924	0.00679218	0.00602579	0.0137269	0.0165618	0.0315362	0.0237742	0.0238992	0.0343545	0.03064	0.0192076	0.00776282	0.00420009	0.00563553	0.00338821	0.00318026	0.00722658	0.00660563	0.0111792	0.0131433	0.01509	0.013386	0.0210421	0.0160584	0.0141804	0.0232822	0.0216371	0.018411	0.0242877	0.0204749	0.0491098	0.0539047	0.0500704	0.0806304	0.0528629	0.0532526	0.0654773	0.0487558
annonçait	0.034685	0.0212646	0.0119046	0.00411337	0.00342546	0.00504557	0.0078078	0.00435875	0.00234761	0.00339563	0.00739274	0.00362841	0.00393781	0.00970982	0.00694728	0.00934093	0.0119253	0.0117178	0.018358	0.0150557	0.0270957	0.0239641	0.0204674	0.0247318	0.025802	0.0191182	0.0132958	0.00818155	0.012273	0.00920056	0.00821245	0.0174552	0.0144366	0.0201606	0.0238199	0.0257825	0.0170076	0.0329897	0.0333425	0.0334709	0.0391286	0.0365747	0.0218222	0.0354507	0.0135632	0.0296376	0.0245313	0.0268176	0.0360839	0.0176549	0.0328215	0.0432975	0.0354461
l'	0.0158808	0.0106723	0.00709792	0.00310104	0.00248549	0.00244607	0.00346842	0.0029015	0.000988864	0.00147847	0.00203876	0.00132186	0.0013414	0.00271844	0.00272139	0.00324138	0.00370945	0.00524628	0.00536085	0.00561927	0.0105609	0.00824438	0.00877677	0.0141364	0.00944991	0.00777542	0.00403091	0.00412239	0.00428467	0.00544972	0.00499765	0.00900085	0.00726458	0.0121502	0.0137465	0.0138729	0.0122336	0.0205488	0.0237412	0.0252543	0.0343527	0.0581661	0.0410623	0.0486334	0.03173	0.0545569	0.0392214	0.0509795	0.0661769	0.0323133	0.0661251	0.0764484	0.0967518
évangile	0.0327792	0.0109787	0.00722987	0.00248559	0.00240236	0.00330786	0.00389811	0.00230997	0.00226138	0.00150912	0.00231246	0.00251779	0.00278586	0.00331693	0.00659842	0.0116472	0.0104639	0.0151163	0.0150772	0.0254611	0.0304637	0.0227701	0.0286917	0.0323991	0.0228602	0.0160834	0.00817854	0.012002	0.00887346	0.011061	0.0119869	0.0160261	0.016555	0.0375268	0.0377505	0.0375513	0.0379913	0.0349899	0.0273837	0.0197476	0.0244473	0.0334014	0.019353	0.0217212	0.0262794	0.028437	0.0153683	0.0282274	0.031778	0.0277268	0.0355774	0.0341579	0.0381732
de	0.0148654	0.0132802	0.00969101	0.00523994	0.00207854	0.00273657	0.00249663	0.00143959	0.000975269	0.00210065	0.00278627	0.00249561	0.00257297	0.00315119	0.00263501	0.00291973	0.00304388	0.00502074	0.00461805	0.00436118	0.00463038	0.00530009	0.00548132	0.00942842	0.00628396	0.00606081	0.00502705	0.00583812	0.0046172	0.00518683	0.00545519	0.00609034	0.00537178	0.00709128	0.0100629	0.0118704	0.014901	0.0250501	0.0189022	0.0171229	0.0168306	0.0295097	0.0415232	0.0493517	0.052967	0.0779763	0.0700042	0.0823281	0.0764397	0.0570667	0.0459237	0.0519421	0.0798564
