 	a66	a97	a3	a97	a87	a82	a97	a87	a79	a69	a58	a90	a94	a58	a54	a36	a7	a2	a11	a94	a12	a96	a62	a70	a54	a47	a54	a44	a43	a54	a56	a7	a54	a7	a54	a47	a7	a26	a90	a69	a58	a54	a44	a96	a54	a36	a26	a38	a70	a27	a26	a82	a57	a87	a23	a87	a82	</S>
la	0.0174606	0.0264409	0.0245754	0.0194056	0.0233959	0.0267624	0.0133338	0.00789744	0.014577	0.011701	0.0116636	0.0300055	0.00937979	0.0191885	0.0319054	0.0166594	0.0378922	0.0706772	0.092142	0.111263	0.0687488	0.0315555	0.0323091	0.0283033	0.0217382	0.0179824	0.0132308	0.00926612	0.0106854	0.00770617	0.00785441	0.00677276	0.00685671	0.006477	0.00449355	0.00419543	0.00403199	0.0033216	0.0056211	0.00343	0.00474257	0.00657169	0.00518568	0.00668075	0.00368936	0.00293189	0.00309686	0.00376115	0.00286239	0.00342823	0.00392756	0.0038886	0.00364312	0.00418792	0.00400756	0.00538516	0.00348829	0.0176147
bise	0.000548522	0.00190785	0.00279055	0.00242626	0.00492697	0.0234115	0.0327966	0.0433601	0.0625887	0.0946324	0.0796196	0.105365	0.0802718	0.107082	0.141862	0.0468471	0.018578	0.00783297	0.0111106	0.0291098	0.01203	0.00572422	0.00349977	0.00656473	0.0103774	0.00446283	0.00450635	0.00236546	0.0077987	0.00522497	0.00344512	0.00595984	0.00825423	0.00362521	0.00141343	0.00309459	0.00171652	0.000960375	0.00117514	0.000587848	0.000483941	0.000889468	0.00109504	0.00116531	0.000743092	0.000959075	0.000654286	0.000481739	0.000501316	0.000633383	0.00054476	0.000313045	0.000196227	0.000403884	0.000288543	0.000251251	0.000416379	0.00012474
et	0.0135345	0.0106784	0.0131046	0.00817946	0.0097025	0.0136375	0.00641977	0.00846266	0.00911259	0.00608616	0.0073243	0.00945621	0.014681	0.0280077	0.0529279	0.0487188	0.0368094	0.0375077	0.0302232	0.0586187	0.0573177	0.0729036	0.0664291	0.0484628	0.0414774	0.0376336	0.0290297	0.0204046	0.0303414	0.0239758	0.0213997	0.0195344	0.017729	0.00824117	0.00660626	0.00511871	0.00613507	0.0046478	0.00471072	0.0071598	0.00558369	0.00979047	0.00837949	0.00317764	0.00148631	0.00112736	0.00113908	0.0013665	0.00135233	0.00201721	0.00195427	0.00182817	0.00116938	0.00129376	0.00224587	0.000979941	0.00177014	0.000886907
le	0.0157422	0.0134768	0.0100935	0.00696365	0.00651554	0.00934448	0.00494353	0.00781737	0.0070042	0.00642392	0.008122	0.0171372	0.014034	0.0173537	0.0319759	0.0485826	0.0323986	0.0367576	0.0305085	0.0505114	0.0284667	0.0226924	0.0254307	0.0279904	0.0300143	0.017405	0.0178952	0.0176966	0.027773	0.0306182	0.0225911	0.0316989	0.0469107	0.0261172	0.0180243	0.0218602	0.00786886	0.0125446	0.0101237	0.00758352	0.00580914	0.00914538	0.0115564	0.0086915	0.00737478	0.00701519	0.00848923	0.0118018	0.00997237	0.0150688	0.0102075	0.00902832	0.0108152	0.0084108	0.014623	0.00817161	0.00741175	0.00939528
soleil	0.0120598	0.00796755	0.0104249	0.00802113	0.0157216	0.0199829	0.01649	0.0241418	0.0311908	0.0330583	0.0258355	0.0257832	0.0177258	0.0218265	0.0205405	0.0304435	0.0114449	0.00918827	0.00878001	0.0159264	0.0162218	0.0278608	0.0213657	0.0321328	0.0204309	0.0149285	0.0136823	0.0350935	0.0140592	0.0275189	0.0220512	0.027603	0.0158864	0.0183151	0.00910109	0.019023	0.0110475	0.0126286	0.0105917	0.0173916	0.0154808	0.0251282	0.0179806	0.0140391	0.00950932	0.00623261	0.00534045	0.00589484	0.00463434	0.0089742	0.00596013	0.0111363	0.0176318	0.0117915	0.0449006	0.0121116	0.0148216	0.0149449
se	0.0186731	0.0120322	0.00829402	0.0058967	0.00848359	0.00823066	0.0118392	0.0126314	0.0159218	0.0115913	0.0147622	0.0238491	0.0172143	0.0190802	0.0143241	0.02972	0.0229857	0.0220511	0.0313266	0.0400091	0.0534513	0.123894	0.0504811	0.0335037	0.0198719	0.0230621	0.0177367	0.0195124	0.0131384	0.0165819	0.0187266	0.0154694	0.0184286	0.0144805	0.0135307	0.0191575	0.0203684	0.0205728	0.0198558	0.0194938	0.0147014	0.0209985	0.0185337	0.00989645	0.00404182	0.0032805	0.00399618	0.002085	0.00150749	0.000916175	0.00147098	0.00154094	0.00187252	0.00176174	0.00493719	0.00372053	0.00189203	0.00261343
disputaient	0.0266231	0.0181028	0.0115137	0.00964353	0.0176249	0.0149133	0.0206986	0.0369058	0.0454474	0.0398607	0.047226	0.0725043	0.0456449	0.0373419	0.02525	0.0204642	0.0276867	0.0118305	0.0191965	0.0184899	0.0211579	0.043196	0.0171668	0.0180933	0.011809	0.0104572	0.00741765	0.0104778	0.00710946	0.00689878	0.00840673	0.00610112	0.00632481	0.00546502	0.00648189	0.0107077	0.0114749	0.0126615	0.0132562	0.0231102	0.0165181	0.0243759	0.0229327	0.0299506	0.0130877	0.0080708	0.00772195	0.00574656	0.00390976	0.00364251	0.00523184	0.00462104	0.00567042	0.00441961	0.00780285	0.00515256	0.0034745	0.00292804
chacun	0.0361965	0.0277537	0.0222426	0.0140931	0.024357	0.0233708	0.0118729	0.0210896	0.0178028	0.00990506	0.0141737	0.0300048	0.0231021	0.0210346	0.0206042	0.019183	0.0399645	0.0195714	0.0371544	0.0402328	0.0395495	0.0600841	0.0246387	0.0253249	0.0183127	0.0173053	0.0133057	0.0124551	0.0115524	0.0081535	0.0107417	0.00716269	0.00870288	0.00628582	0.00918866	0.0102104	0.0118627	0.0107279	0.0159351	0.0156135	0.017481	0.0186494	0.0211278	0.0359682	0.0192257	0.0069032	0.00490842	0.00561779	0.00345106	0.00226621	0.00549052	0.00368763	0.00627744	0.00627569	0.0064714	0.00858888	0.00784662	0.00894016
qu'	0.0204306	0.0226244	0.0220802	0.019343	0.0202587	0.0203234	0.012328	0.00837781	0.0120944	0.00482316	0.00491676	0.0102737	0.00708467	0.0168365	0.0281642	0.0259614	0.0376895	0.0260506	0.0608952	0.0460707	0.048802	0.0419	0.0314025	0.0431356	0.0307151	0.029294	0.0258238	0.0204358	0.0182994	0.0182871	0.0175464	0.0152295	0.0143421	0.00947929	0.0124179	0.00712421	0.00632451	0.0052262	0.00733094	0.00551103	0.00436679	0.00767531	0.00447813	0.00501859	0.00911152	0.00674133	0.00711679	0.00755159	0.00396805	0.00409319	0.0089066	0.00696979	0.012712	0.011636	0.0148656	0.0142478	0.0106451	0.0246414
il	0.0189544	0.0145369	0.0136775	0.0134445	0.0125495	0.010595	0.00558181	0.004252	0.00503194	0.00343937	0.00296124	0.00364004	0.00389862	0.0051436	0.0127836	0.0108725	0.018398	0.0171471	0.0180593	0.0167984	0.0350827	0.0304141	0.0298086	0.0194773	0.0207475	0.0261841	0.025837	0.0246851	0.0269366	0.0220635	0.0240439	0.0219438	0.0202249	0.0167807	0.0202765	0.0184401	0.0155992	0.0146886	0.0147409	0.0132907	0.0120949	0.0134705	0.0103665	0.0165751	0.0221269	0.0162733	0.0142003	0.0171047	0.00864282	0.0113105	0.0178824	0.0221669	0.0202861	0.0248213	0.0250594	0.0227814	0.0315143	0.0402913
était	0.0222547	0.0226502	0.02519	0.0247925	0.0232007	0.012017	0.0118583	0.0129479	0.00992382	0.00586231	0.00467618	0.00829218	0.0112244	0.0153055	0.0268129	0.0203715	0.0313888	0.0148811	0.02372	0.0170921	0.0232806	0.0235165	0.0185425	0.0167047	0.0157374	0.0167653	0.0152908	0.0153478	0.0129694	0.0139264	0.0151475	0.0147823	0.0132834	0.0130483	0.014072	0.0146696	0.0131617	0.014034	0.0145101	0.0166012	0.012677	0.0223061	0.0112666	0.0160786	0.0166848	0.0121078	0.0127344	0.0119049	0.00686193	0.00767528	0.0135953	0.0192857	0.0181363	0.0221003	0.027433	0.0275785	0.0288869	0.052833
plus	0.0278155	0.0207506	0.0206867	0.0198981	0.0209641	0.00725633	0.00825829	0.00669009	0.00758105	0.00426944	0.00412278	0.0067371	0.0103923	0.0137472	0.0231564	0.0270021	0.0345804	0.0222737	0.0289985	0.0228601	0.0372471	0.0265671	0.0215103	0.015699	0.0121374	0.0161102	0.0164483	0.0184609	0.0101118	0.0140627	0.0145694	0.0142885	0.0142319	0.0134865	0.0131803	0.012273	0.0128221	0.0139925	0.0151032	0.0155086	0.0128339	0.0205537	0.0123103	0.0186275	0.0212382	0.0180096	0.0286894	0.020459	0.00961157	0.00942993	0.0139025	0.0156473	0.0186664	0.0163216	0.0319978	0.0223884	0.0200934	0.0233679
fort	0.0173729	0.0119002	0.0107729	0.0102887	0.00992287	0.00523346	0.00620201	0.00359761	0.00581591	0.00385583	0.00459185	0.00569665	0.011112	0.0110467	0.0235864	0.0225698	0.0292446	0.0425336	0.0343228	0.0340818	0.0383705	0.0293202	0.0302047	0.0221783	0.0221504	0.0210276	0.0179155	0.0184887	0.0108927	0.0115014	0.0117324	0.0103099	0.0118993	0.0120121	0.0118194	0.00973744	0.0108356	0.011026	0.0132882	0.0120832	0.0115497	0.0153787	0.0123222	0.0150318	0.0170522	0.0191854	0.029845	0.0318358	0.0153845	0.0148399	0.0154847	0.0191498	0.0242455	0.0178155	0.0266636	0.0182279	0.0181713	0.0372744
</S>	0.0247011	0.0173829	0.0161321	0.0126924	0.0124074	0.00624271	0.00334255	0.00219047	0.00320571	0.00232083	0.00163612	0.00270729	0.00368368	0.00421411	0.0067522	0.00970422	0.0131323	0.0258156	0.0153167	0.0177925	0.0247119	0.0257831	0.0231539	0.0176656	0.0186031	0.0196715	0.0187375	0.0214496	0.00803678	0.0095327	0.0101578	0.00787501	0.00987969	0.00942101	0.0118431	0.00693856	0.0107289	0.0102681	0.021541	0.018131	0.0208627	0.0271476	0.0203693	0.0245475	0.030432	0.0279528	0.0355687	0.0359275	0.0265202	0.0222917	0.0262484	0.0243152	0.0290698	0.024407	0.0294536	0.0304255	0.0285923	0.0303652
