 	a10	a87	a79	a5	a96	a18	a61	a21	a47	a88	a71	a75	a56	a96	a93	a90	a98	a92	a96	a47	a88	a66	a21	a85	a5	a43	a11	a47	a88	a98	a9	a75	a92	a96	a62	a66	a38	a41	a73	a57	a10	a87	a23	a99	a97	a82	</S>
le	0.0683903	0.0635819	0.061303	0.0339175	0.0365209	0.0413982	0.0265763	0.0493422	0.0499675	0.0393803	0.0211238	0.0121171	0.012335	0.00893381	0.00914433	0.0103809	0.0127323	0.00597146	0.0116076	0.00863697	0.00854589	0.00938899	0.0110387	0.0132803	0.00963136	0.00950726	0.0136483	0.014148	0.00852532	0.014454	0.012346	0.0132789	0.0222966	0.0282402	0.0202796	0.012854	0.00958651	0.00854686	0.0118185	0.0102104	0.0144174	0.0112767	0.0231541	0.0194773	0.0279722	0.0163261	0.0423892
panier	0.00155198	0.00577623	0.0118016	0.0133856	0.0219951	0.0332777	0.056426	0.0869338	0.0708117	0.0476011	0.0218849	0.0273052	0.0255671	0.0247316	0.0367699	0.0432079	0.0693823	0.0483737	0.048762	0.0312761	0.0386545	0.0395836	0.0296239	0.028131	0.0282774	0.0221725	0.0154327	0.0169727	0.0118994	0.00596166	0.00559338	0.00419175	0.0027556	0.00366642	0.00162983	0.00184019	0.0014343	0.0014532	0.0013753	0.00083323	0.000937544	0.00104408	0.0014105	0.00120669	0.00217694	0.00280875	0.00211172
qu'	0.0239686	0.0313302	0.0329122	0.0237098	0.0205772	0.0466569	0.0551044	0.0714557	0.0630308	0.0682181	0.0315249	0.0532364	0.0284285	0.0453253	0.0464075	0.0558306	0.0449613	0.0416435	0.02787	0.025406	0.0266415	0.0168056	0.023111	0.0171733	0.0162226	0.0114727	0.00746123	0.00471417	0.00350187	0.00409153	0.00354386	0.0021788	0.00198839	0.0019922	0.0016907	0.00129444	0.000823842	0.000648784	0.000884418	0.00144137	0.000982139	0.00112396	0.00212193	0.00235252	0.0027421	0.0027917	0.00260537
il	0.0493665	0.0185833	0.007088	0.00766612	0.00706956	0.0105375	0.0106513	0.0128578	0.0131082	0.014916	0.00659938	0.0135742	0.00569285	0.0137438	0.0133402	0.0170617	0.0112659	0.0115734	0.0187559	0.0183724	0.0253454	0.0239802	0.0279197	0.042861	0.0320424	0.0277878	0.029822	0.0168691	0.0345913	0.043345	0.0222561	0.0262242	0.0163242	0.0211765	0.0211426	0.0176709	0.0108936	0.0109405	0.0117508	0.0234478	0.025692	0.0318996	0.0268729	0.0311791	0.0298413	0.0391542	0.047146
a	0.0670804	0.0288623	0.0122531	0.0150406	0.0148009	0.0142056	0.0079697	0.0059933	0.00905243	0.00950878	0.00518957	0.0176216	0.0126153	0.0180622	0.0252755	0.024261	0.0186293	0.0222379	0.0260128	0.0221581	0.0267881	0.030984	0.0239825	0.0246692	0.0266325	0.03184	0.0340596	0.0257353	0.0604213	0.0610601	0.030042	0.0338785	0.0254254	0.0231256	0.030199	0.00726356	0.00758458	0.00450139	0.00382518	0.00743191	0.00843364	0.00587411	0.0120153	0.0105666	0.0186687	0.0165841	0.0315772
fabriqué	0.0231771	0.0199566	0.012363	0.0135142	0.00919765	0.0122538	0.00699751	0.00790263	0.0157341	0.015621	0.0100686	0.0162407	0.0130758	0.0150824	0.0323984	0.0267624	0.0386007	0.0357631	0.036222	0.0239737	0.0263204	0.0306606	0.0222971	0.0301887	0.0285711	0.0258654	0.0280636	0.0131806	0.0198678	0.019573	0.0327668	0.0222753	0.0110133	0.009866	0.0206591	0.0141449	0.0100504	0.00510064	0.00670305	0.0108275	0.0203653	0.0163305	0.0281655	0.0280019	0.0245189	0.0514449	0.0582725
pour	0.0265063	0.0144081	0.00675918	0.00744934	0.00648311	0.00858995	0.00600343	0.00860979	0.0152994	0.0114719	0.0163077	0.0119948	0.0167088	0.0129702	0.015037	0.0161316	0.0237269	0.0246222	0.029972	0.0255393	0.0236635	0.0249606	0.0221111	0.0160863	0.0168109	0.0117943	0.0143877	0.0146436	0.0208748	0.0190318	0.04937	0.0353384	0.0196221	0.0134061	0.0152541	0.0220268	0.014331	0.0152714	0.0214431	0.0199742	0.0217968	0.0426497	0.02358	0.0333409	0.0211583	0.0844397	0.0580417
transporter	0.0259142	0.0194294	0.0111038	0.00585169	0.00410794	0.00391496	0.00290544	0.00301016	0.00396297	0.00439196	0.00626076	0.00496625	0.00740916	0.00519655	0.01087	0.0129617	0.0186481	0.0206557	0.0306954	0.0286013	0.023913	0.0180534	0.0135488	0.0122514	0.0126263	0.0120661	0.0163589	0.0196513	0.0214007	0.0196646	0.0470402	0.0330934	0.0306291	0.0222609	0.0331871	0.0335535	0.0333669	0.0294813	0.0371311	0.0250466	0.0248053	0.0338379	0.0332324	0.0378098	0.0261267	0.0588739	0.0601319
du	0.0244934	0.0118378	0.00597007	0.00392575	0.00248364	0.00150194	0.00209338	0.00404006	0.00569887	0.00266742	0.00238235	0.0032612	0.00320419	0.0060259	0.00913878	0.00859869	0.00738488	0.00760547	0.00799207	0.00573082	0.0049364	0.00433388	0.00542655	0.00868457	0.00688871	0.00638743	0.00960054	0.00637535	0.00963495	0.0144631	0.018397	0.0258976	0.022165	0.0223835	0.0335967	0.0275192	0.0215674	0.0204318	0.0254571	0.0328924	0.0714157	0.0667899	0.0833206	0.0887644	0.0878151	0.0739723	0.0748461
poisson	0.036152	0.0275889	0.0164607	0.00602314	0.00302921	0.00172922	0.00234377	0.00454352	0.00873137	0.00512627	0.00724102	0.00769159	0.00938443	0.0133437	0.015066	0.0191489	0.0184632	0.0208117	0.0183461	0.0151088	0.0136908	0.0107572	0.00868561	0.0109095	0.0099854	0.0102914	0.0151119	0.0112186	0.01442	0.0249708	0.0251357	0.0292799	0.0286625	0.0199364	0.0231811	0.0176262	0.0119996	0.0113769	0.0132471	0.0204723	0.0453463	0.0400721	0.0544165	0.0514193	0.075688	0.0654109	0.0803546
