 	a66	a82	a87	a97	a53	a44	a93	a75	a5	a12	a21	a5	a18	a75	a41	a0	a96	a94	a98	a66	a38	a5	a93	a94	a96	a75	a6	a37	a96	a70	a11	a36	a26	a82	a30	a97	a3	a97	</S>
qui	0.0321273	0.0901344	0.103629	0.0726603	0.0653072	0.0560901	0.0615487	0.0291306	0.0408212	0.0171345	0.0151264	0.015493	0.0130971	0.00921183	0.00999121	0.00677952	0.00698709	0.00887288	0.0113592	0.00857624	0.00595213	0.00537055	0.00482024	0.00510022	0.00464133	0.00527249	0.00780945	0.0120046	0.0187587	0.0244843	0.0313329	0.0326993	0.0252442	0.0210696	0.0191604	0.01826	0.027647	0.0186446	0.0376501
est	0.0290569	0.0313017	0.0215651	0.0158391	0.0120677	0.0187534	0.0197146	0.0365137	0.0319674	0.0202069	0.018974	0.0203021	0.0155301	0.0189234	0.0324497	0.0459338	0.0446179	0.0385187	0.0376176	0.033512	0.0498189	0.0269213	0.0220463	0.0197498	0.0201862	0.0242069	0.023554	0.019062	0.0205878	0.0159575	0.0220171	0.0229808	0.0205659	0.0206338	0.0223765	0.0223801	0.0299759	0.0279016	0.0257116
celui	0.0671594	0.0892803	0.0708558	0.0553218	0.027159	0.0321203	0.0246346	0.0261569	0.0256125	0.0193988	0.0292035	0.0308005	0.0163991	0.0156613	0.0227758	0.0309632	0.0376054	0.039381	0.0289722	0.0221551	0.0185064	0.0234821	0.00986361	0.0101127	0.00760893	0.00683882	0.00786191	0.00692441	0.00753608	0.00624681	0.0107182	0.0123559	0.0126929	0.0159941	0.0171391	0.0273108	0.0109314	0.0388922	0.0373672
qui	0.0511602	0.0243117	0.0172262	0.00613601	0.00628122	0.00605682	0.00358569	0.00845139	0.00612491	0.0169015	0.021715	0.0213784	0.0199323	0.0271233	0.0259162	0.0412511	0.0627182	0.0404524	0.0380401	0.0423698	0.0573737	0.0447284	0.0269603	0.0221396	0.024508	0.00934876	0.0227787	0.0204212	0.0131821	0.0143024	0.022208	0.0270896	0.0220077	0.0306214	0.0226381	0.0358857	0.0287076	0.0344246	0.0335418
a	0.0984536	0.0637025	0.0413436	0.0113283	0.00878298	0.00717076	0.00397603	0.00547416	0.0100283	0.0205157	0.0260549	0.025525	0.0228838	0.0294976	0.0329087	0.0305391	0.0295757	0.041794	0.0349381	0.0343737	0.0474513	0.0502216	0.0268751	0.0368208	0.0466186	0.0132825	0.0210376	0.0187444	0.0170781	0.0163534	0.0145472	0.0155373	0.0126797	0.0103048	0.0152342	0.013825	0.013888	0.0194864	0.0111473
enlèvé	0.0741774	0.0310468	0.0267375	0.0222713	0.0117007	0.0376375	0.0439473	0.0523674	0.0218332	0.0311826	0.0206674	0.0193677	0.0211837	0.0247524	0.0189275	0.0153238	0.0185397	0.0189081	0.0355466	0.0391929	0.0371354	0.0263664	0.0257888	0.0219245	0.0227966	0.0197512	0.0299362	0.0255037	0.0277022	0.016166	0.0198567	0.0220637	0.0149057	0.0126178	0.0232574	0.0193302	0.0161734	0.0143737	0.0190388
la	0.0972949	0.0547819	0.0247016	0.0119783	0.00857698	0.0101828	0.00980538	0.0127868	0.0124923	0.0232881	0.0226021	0.0179551	0.0164147	0.0113234	0.00773324	0.00958259	0.0112056	0.0129065	0.0314234	0.0303939	0.048771	0.0384611	0.0287448	0.0227115	0.0123596	0.0127015	0.0217837	0.0151208	0.0193652	0.0109927	0.0179565	0.0253081	0.0193737	0.029557	0.055925	0.0481501	0.0429408	0.0611013	0.0312463
feuille	0.0718103	0.0156428	0.00671295	0.00323802	0.0034298	0.00465773	0.00372441	0.00482456	0.00653569	0.0114035	0.0129576	0.0141563	0.0215268	0.0102476	0.0115027	0.0182757	0.018127	0.0115683	0.0180604	0.0141201	0.0169531	0.0174104	0.0179985	0.0291404	0.0219252	0.0180595	0.0290597	0.042126	0.0346976	0.049372	0.0432913	0.0448345	0.034807	0.0355191	0.0753898	0.054454	0.0612951	0.0639646	0.0271798
que	0.0763771	0.0446081	0.031115	0.01623	0.0215827	0.00982338	0.0063265	0.00502519	0.00724943	0.0135534	0.0226813	0.0262204	0.029418	0.0394103	0.0219366	0.0213142	0.0163202	0.0130777	0.0125969	0.0116639	0.0155732	0.0281928	0.0237513	0.0280032	0.0130761	0.010908	0.0138099	0.00959834	0.0104909	0.0120151	0.0187155	0.0247392	0.0288792	0.0420926	0.0674749	0.0524981	0.0515991	0.0627595	0.0392927
j'	0.0575837	0.043463	0.031552	0.019948	0.0181688	0.0124187	0.00914477	0.00523702	0.00747569	0.00895933	0.0149403	0.0117865	0.0118291	0.0120218	0.0104062	0.0102341	0.0146723	0.0113573	0.011925	0.0113616	0.0152752	0.0289963	0.0197207	0.0347024	0.0235431	0.0199588	0.0220513	0.025497	0.0189184	0.0217355	0.0273484	0.0398478	0.0327505	0.0421959	0.0779259	0.0603753	0.0510931	0.0774096	0.0261697
