 	a87	a97	a82	a3	a97	a13	a99	a93	a34	a93	a70	a93	a70	a53	a15	a79	a44	a43	a79	a44	a93	a70	a83	a11	a56	a12	a54	a37	a70	a54	a44	a34	a93	a4	a44	a30	a4	a99	a38	a82	a10	a82	a3	a82	a97	a3	a82	a10	a82	a9	</S>
tous	0.064727	0.0899228	0.0612278	0.0555359	0.0354279	0.0699963	0.0520156	0.0276807	0.0142534	0.0265583	0.0183645	0.0245741	0.0226128	0.0153682	0.0218756	0.0234367	0.00451446	0.00521971	0.00403978	0.00409564	0.00373756	0.00550309	0.00661789	0.0228621	0.0329416	0.0248877	0.035282	0.03215	0.0375079	0.0272609	0.0131425	0.0166587	0.0113243	0.00574265	0.00359707	0.00344714	0.00331586	0.0037292	0.00357906	0.00423742	0.00373182	0.00528909	0.00533836	0.00451694	0.00495592	0.00278019	0.00286731	0.00320158	0.00366745	0.00581971	0.0188599
les	0.00857919	0.0128704	0.015273	0.0163936	0.0111006	0.0208343	0.0284015	0.030283	0.0473101	0.0596852	0.0297239	0.0301203	0.0270309	0.0347124	0.0618687	0.0575727	0.0575333	0.03893	0.0728584	0.0421872	0.0318552	0.017721	0.0154767	0.0145019	0.0105193	0.0113137	0.00834157	0.0128311	0.0129035	0.0180116	0.014768	0.0111526	0.0152248	0.00894509	0.00640441	0.00743972	0.00633903	0.00547484	0.00312842	0.00307523	0.00246872	0.00460268	0.00480957	0.00442747	0.00447313	0.00318301	0.0035686	0.00417161	0.00737752	0.00866012	0.0135613
habitants	0.0109082	0.00455328	0.00767714	0.00527039	0.00778191	0.00742858	0.0120278	0.00548943	0.0057487	0.00548644	0.0135957	0.0114304	0.0191256	0.027133	0.0164983	0.0237265	0.0497745	0.0699921	0.107214	0.0742813	0.121573	0.0934629	0.0928748	0.0233552	0.0210556	0.016912	0.00752222	0.00974723	0.00490742	0.00516021	0.0037591	0.00604387	0.00525089	0.00386905	0.00421565	0.00572721	0.00409498	0.00256719	0.00330134	0.00690654	0.00562302	0.00726498	0.00487123	0.00563721	0.00527417	0.00861625	0.00777435	0.00715032	0.00961584	0.00691864	0.0038042
d'	0.00925081	0.00570785	0.00456845	0.00459103	0.00555788	0.00659241	0.00673295	0.0091231	0.00605802	0.00720489	0.0137636	0.0125708	0.0333458	0.0511073	0.0169476	0.0286834	0.027714	0.025829	0.0572555	0.0508264	0.0694709	0.0585394	0.0666568	0.0481496	0.0397823	0.0339921	0.0260058	0.0160747	0.0183468	0.0165447	0.0124671	0.00874498	0.0140341	0.00930396	0.00790782	0.00506753	0.00490994	0.00709496	0.00731573	0.00969267	0.0126662	0.00977081	0.00960582	0.0150049	0.0143863	0.0168575	0.0148357	0.0151628	0.011023	0.0110953	0.00605891
ongondza	0.0147957	0.0131801	0.0151241	0.0130121	0.0140845	0.00998152	0.00913319	0.00797817	0.0105063	0.00921379	0.014	0.0167871	0.0202296	0.0258832	0.0148708	0.0235007	0.0352426	0.0271799	0.0413102	0.0386342	0.046948	0.048597	0.0454706	0.034882	0.0291544	0.0264089	0.0208312	0.0194715	0.0256493	0.0178043	0.018616	0.0181254	0.0295875	0.0151838	0.0121217	0.00818039	0.00671622	0.00987641	0.00715879	0.0116054	0.0131855	0.0112139	0.0148852	0.0211537	0.0174524	0.0164176	0.0197572	0.0174485	0.0129372	0.0067061	0.0218062
se	0.027328	0.0130383	0.0125194	0.0088362	0.0130231	0.0095996	0.0124765	0.0100264	0.00882473	0.00813667	0.0241952	0.0168239	0.0626175	0.0581229	0.0301144	0.0560728	0.0460419	0.0377673	0.0285777	0.0344802	0.0157316	0.0248934	0.0158268	0.0250764	0.031313	0.021051	0.0211051	0.0200539	0.0243071	0.0149933	0.00897021	0.00909559	0.00762118	0.00657062	0.00858304	0.00498912	0.00491547	0.00961006	0.00808761	0.00958772	0.00805462	0.0134093	0.0136896	0.018501	0.0169195	0.0157892	0.0106852	0.0147284	0.029947	0.0167446	0.0305268
sont	0.0223418	0.021202	0.0145367	0.0132938	0.0183985	0.0147165	0.0118106	0.00747201	0.00668804	0.00515531	0.00770894	0.00772304	0.01835	0.0294884	0.0391614	0.053009	0.0320247	0.03793	0.0886913	0.0456177	0.0356263	0.0477982	0.0443438	0.0434583	0.0488204	0.0482151	0.026781	0.0272844	0.0298705	0.0225345	0.012754	0.0144537	0.0160152	0.00929223	0.00647245	0.00625636	0.00476147	0.00260588	0.00260457	0.00234938	0.00225488	0.00337788	0.00260254	0.00391936	0.00344369	0.00351155	0.00448786	0.00538132	0.011932	0.00678658	0.00468475
levés	0.0289355	0.0204812	0.0206257	0.019537	0.033041	0.0217352	0.019325	0.0136517	0.00749006	0.00908948	0.00895816	0.00777555	0.021318	0.030718	0.0790593	0.0881448	0.0299381	0.024276	0.0341003	0.0317738	0.0164879	0.0185445	0.0136755	0.0204637	0.0213263	0.0191653	0.0154396	0.0224576	0.02653	0.0173364	0.0106752	0.0116853	0.0135588	0.0109356	0.00907637	0.0100618	0.0127706	0.00659287	0.00727796	0.00827088	0.00793583	0.0109685	0.00714243	0.0120289	0.011527	0.00766938	0.00930754	0.0169001	0.0198898	0.0233388	0.0309858
pour	0.017155	0.0104616	0.00973465	0.00636914	0.00594362	0.00949577	0.022368	0.0208305	0.0400907	0.0247274	0.0264276	0.0296581	0.0383451	0.0317676	0.024996	0.0284002	0.0297695	0.0327491	0.0164179	0.01349	0.0108663	0.0123834	0.00854451	0.0106533	0.0173434	0.0165183	0.0122873	0.0182015	0.0197358	0.0110977	0.0120578	0.0161918	0.0107588	0.0181131	0.0104311	0.0140198	0.0102677	0.0134368	0.00727565	0.0181348	0.0096025	0.0123247	0.00997724	0.0159329	0.0242505	0.0266809	0.0270344	0.0482032	0.0477619	0.0473906	0.0233249
aller	0.0283701	0.0154	0.012257	0.0124163	0.0110384	0.0150462	0.0197615	0.022074	0.0236918	0.0397304	0.0184192	0.0260373	0.0291227	0.0310884	0.0413378	0.0434609	0.0302122	0.0339958	0.0395244	0.0283964	0.0196575	0.0169729	0.0161905	0.0204052	0.0251197	0.0312015	0.0216148	0.0344479	0.0241843	0.0195286	0.0152361	0.0171095	0.0141999	0.0198089	0.0145485	0.0131074	0.00862828	0.00705092	0.00385158	0.00499766	0.00354119	0.00590778	0.00706927	0.00598379	0.0138908	0.00768701	0.0071904	0.01404	0.0195637	0.017307	0.0285767
accueillir	0.0162059	0.00672472	0.0100732	0.00864621	0.00832219	0.012846	0.0280023	0.0172661	0.0160577	0.0156517	0.0165209	0.0139561	0.0294166	0.0258712	0.0201122	0.0215721	0.0282964	0.0369164	0.0248237	0.0180694	0.0154927	0.0203105	0.0200183	0.0282961	0.0325588	0.035461	0.024986	0.0429461	0.0425993	0.0305141	0.0238677	0.0300387	0.023716	0.0161367	0.0141252	0.0131358	0.013171	0.0101211	0.00756189	0.013408	0.0105123	0.0109871	0.00987949	0.013208	0.0186576	0.0164082	0.0139791	0.0190115	0.0248278	0.0155974	0.0131158
le	0.0222619	0.00472668	0.00739145	0.00530471	0.00749793	0.00554286	0.0085465	0.00505999	0.00535813	0.00346235	0.0127827	0.00518207	0.0238171	0.0259115	0.0104519	0.0139361	0.0264461	0.0333051	0.0346727	0.0219212	0.0159329	0.0249739	0.0298074	0.0141476	0.0193101	0.023973	0.0119203	0.0183313	0.0203447	0.0159252	0.0136726	0.0110706	0.0120965	0.0107058	0.0141409	0.0103914	0.0123459	0.01473	0.0118522	0.0249819	0.0196075	0.0260477	0.0281152	0.0363605	0.0439102	0.0385105	0.0257505	0.0359767	0.0609302	0.0365386	0.0340194
chef	0.0477531	0.0163382	0.0158169	0.0077504	0.00852907	0.00731058	0.0100586	0.00470107	0.00358692	0.00410502	0.00478008	0.00295591	0.0137371	0.0202354	0.010825	0.0234116	0.0127106	0.0132265	0.0161169	0.0142018	0.00822365	0.0147811	0.0175284	0.0173357	0.029326	0.0345403	0.0284061	0.0256527	0.0300502	0.0250956	0.0217351	0.0233839	0.0136441	0.0244853	0.0184129	0.0162786	0.0122872	0.0112402	0.011798	0.016654	0.0119361	0.0207779	0.0189712	0.0236374	0.0304353	0.0292617	0.0202715	0.0314807	0.0777156	0.0453556	0.0311469
</S>	0.0333274	0.0147912	0.0154512	0.0106409	0.0151545	0.0150633	0.0100091	0.00371732	0.00124473	0.00144447	0.00261036	0.00124345	0.00430969	0.00516599	0.00242616	0.00425875	0.00305213	0.00438834	0.00570586	0.00389956	0.00355529	0.00573495	0.00828135	0.00600883	0.0103715	0.0134333	0.0101713	0.0147993	0.0132385	0.0137807	0.0117833	0.0119543	0.00616989	0.0152152	0.0192865	0.0247242	0.0253172	0.0276649	0.0339388	0.0444129	0.0396223	0.0521792	0.0397487	0.0474765	0.0484682	0.0476339	0.0445004	0.0480777	0.0505346	0.0532021	0.0508099
