 	a66	a87	a23	a87	a23	a79	a13	a70	a94	a70	a96	a90	a25	a79	a75	a85	a47	a98	a47	a7	a79	a15	a7	a44	a70	a66	a71	a9	a87	a23	a87	</S>
le	0.03139	0.0246339	0.0287466	0.025484	0.0248876	0.0180373	0.0295971	0.0558505	0.0566972	0.0382067	0.040397	0.0732618	0.0599763	0.0699351	0.0517911	0.023843	0.039471	0.0139685	0.0121523	0.0188032	0.0119263	0.00515255	0.00743916	0.0115504	0.0310906	0.0261035	0.025321	0.0283456	0.0283544	0.0275333	0.0206747	0.0393784
poisson	0.00148322	0.00437767	0.00555801	0.00515952	0.0076571	0.00393207	0.00948624	0.0161481	0.0727158	0.0673481	0.110728	0.172794	0.107161	0.141042	0.108404	0.0448988	0.0390589	0.0204179	0.0148469	0.00969355	0.0037212	0.000756296	0.00126047	0.000914746	0.00308972	0.00279092	0.00216789	0.00227621	0.00356467	0.00538779	0.00699715	0.00416214
olombi	0.0388595	0.0414753	0.0470927	0.0388186	0.0425683	0.0407874	0.0873933	0.088024	0.0914848	0.045317	0.0837776	0.0630219	0.0383556	0.0401917	0.0188582	0.0152525	0.0119905	0.0115228	0.00859713	0.0071004	0.0044841	0.00505138	0.00416264	0.0033036	0.00798116	0.0135739	0.00953158	0.0216179	0.0187393	0.0151025	0.0243427	0.0116202
se	0.0137284	0.0177813	0.0114712	0.00754654	0.0081959	0.0066725	0.00614559	0.00575602	0.0119011	0.0113068	0.0240388	0.028762	0.0445993	0.0334752	0.0290282	0.0167857	0.0253557	0.0322411	0.0617839	0.0436916	0.105718	0.0703453	0.0298203	0.0556877	0.0236916	0.0353925	0.0319312	0.0341604	0.0439081	0.0325881	0.0359142	0.0605755
nourrit	0.0240071	0.0304803	0.02218	0.0261215	0.025679	0.0390167	0.0331757	0.0277447	0.0408378	0.0503067	0.0250929	0.0236784	0.0179459	0.0363991	0.0495509	0.033595	0.0355871	0.0243449	0.0295978	0.0203522	0.0300666	0.0221082	0.0220406	0.0585531	0.0323062	0.0293186	0.0281331	0.0286785	0.044398	0.0298698	0.0274633	0.0313704
de	0.0318251	0.0301838	0.0165771	0.0213287	0.0125861	0.0245624	0.0313804	0.0257673	0.0343163	0.0235788	0.0269598	0.0317512	0.0289269	0.0257993	0.0198204	0.0197148	0.0174709	0.0119493	0.0106727	0.00962678	0.0093703	0.0105225	0.0161938	0.0271359	0.0342387	0.0557062	0.0630289	0.0681466	0.0682167	0.0670472	0.0565392	0.0690559
petites	0.0340131	0.0158742	0.0126315	0.0128122	0.0106903	0.017552	0.0282615	0.0323913	0.0327029	0.024561	0.0268788	0.0358512	0.0271999	0.0471084	0.0268875	0.0262683	0.0174355	0.0188677	0.0235279	0.0216858	0.0188453	0.0203082	0.0235168	0.0384073	0.0485823	0.065008	0.0682273	0.0531034	0.0553852	0.0364108	0.0378267	0.0411777
fourmis	0.0460507	0.0252687	0.0173468	0.0189669	0.0123353	0.0201932	0.0419842	0.0552358	0.0547224	0.0393707	0.0384993	0.0286035	0.0162083	0.0147319	0.00891309	0.00839968	0.00449542	0.00458735	0.00613071	0.0066553	0.00607003	0.0091671	0.0136962	0.0179871	0.0325216	0.0444889	0.0599089	0.0622889	0.0612207	0.0632127	0.0399212	0.120818
noires	0.0427215	0.0342562	0.0315051	0.0309652	0.029044	0.0307812	0.0389216	0.0545389	0.0433724	0.0318018	0.0284476	0.0204121	0.021452	0.0206213	0.0184529	0.021548	0.0141363	0.0162978	0.0166409	0.0200143	0.0174858	0.0127584	0.0158621	0.0239463	0.0266085	0.0492431	0.0573847	0.0463656	0.0390511	0.0391368	0.0380076	0.0682194
</S>	0.0419257	0.0446361	0.03898	0.031938	0.0212374	0.0262358	0.0327359	0.033116	0.0420165	0.0243168	0.0289692	0.0289537	0.0241591	0.0218026	0.0183354	0.0176167	0.0164413	0.010335	0.0116624	0.0156181	0.0134045	0.00764242	0.0124096	0.0203692	0.0407011	0.0382365	0.0426762	0.036859	0.0400168	0.0520839	0.0459638	0.118605
