 	a97	a3	a82	a3	a99	a38	a50	a62	a47	a31	a47	a21	a47	a21	a85	a47	a92	a98	a85	a6	a75	a85	a92	a34	a56	a44	a57	a13	a70	a96	a75	a92	a21	a34	a96	a93	a70	a44	a98	a79	a7	a37	a54	a6	a36	a26	a38	a71	a38	a66	a9	a3	a99	a57	a9	a3	</S>
ce	0.0382908	0.0316811	0.0183181	0.00840264	0.0128415	0.0263758	0.0321352	0.0460462	0.0386555	0.0553093	0.0387165	0.0175341	0.00723928	0.00715623	0.00317628	0.00624112	0.00814505	0.00493452	0.00784554	0.00866387	0.00998398	0.0176597	0.0131908	0.0206526	0.0152167	0.0212859	0.0312212	0.0224264	0.0298925	0.0260084	0.0328319	0.0163968	0.0248416	0.0164937	0.00861691	0.00501299	0.00519721	0.00637867	0.0156927	0.00735135	0.010771	0.00842923	0.00832989	0.018434	0.0176848	0.0159273	0.0230597	0.016432	0.0158938	0.01331	0.012136	0.0122473	0.00628104	0.00732009	0.00807064	0.00760157	0.0340111
cheveu	0.00473815	0.00414928	0.00439325	0.00392709	0.00662596	0.018301	0.0207986	0.0142695	0.0162701	0.0175803	0.0232105	0.0127172	0.0313975	0.0918292	0.0447351	0.0790382	0.0707156	0.162846	0.155229	0.0252246	0.0156195	0.0193091	0.0181711	0.00711105	0.00641449	0.00448862	0.007034	0.00170683	0.00252262	0.00427909	0.00351114	0.00436811	0.00924725	0.00430175	0.00407377	0.00336173	0.00353495	0.00500606	0.00529376	0.00578095	0.00459846	0.0078857	0.00637747	0.0058676	0.00316526	0.002533	0.00240641	0.00184991	0.00187663	0.0013263	0.00152919	0.00172432	0.00281317	0.0019695	0.00346698	0.00237983	0.00509795
est	0.0137034	0.0120733	0.0103576	0.0129303	0.011745	0.0103641	0.00904817	0.00768786	0.00792184	0.0097823	0.00859604	0.0154514	0.0338992	0.0340546	0.0358774	0.0329184	0.0305727	0.0456822	0.0464198	0.0516708	0.0221295	0.0223324	0.0135035	0.0241689	0.030345	0.0531696	0.0497652	0.0361014	0.0357172	0.0444629	0.0238821	0.0195471	0.0134766	0.0198444	0.0144136	0.0372857	0.0203105	0.00805218	0.00459494	0.00780936	0.00383709	0.00421051	0.00236025	0.00246537	0.00199251	0.00297647	0.00222853	0.00338333	0.00228817	0.00301912	0.00247552	0.0033721	0.00349074	0.00371731	0.00237985	0.00912475	0.00500966
celui	0.0361373	0.0223837	0.0222404	0.0162134	0.015254	0.0110639	0.00893229	0.0035049	0.00425628	0.00677728	0.00326369	0.00313819	0.00196399	0.00211025	0.00256066	0.0035098	0.00391916	0.00712783	0.00848222	0.0122751	0.00880669	0.0108295	0.0110688	0.0309037	0.0279836	0.0486591	0.0657893	0.0516621	0.0633698	0.0361709	0.047571	0.0267586	0.0220237	0.0248866	0.0227343	0.0300633	0.0347759	0.0252004	0.0169737	0.0354434	0.0203875	0.0222471	0.0146858	0.0114507	0.0100566	0.00762724	0.00539401	0.00572709	0.00283346	0.00349398	0.00485108	0.00637455	0.00660497	0.00571596	0.00693336	0.0106194	0.0182083
de	0.012922	0.00847496	0.00746032	0.00830415	0.00449445	0.0032223	0.00210975	0.00139353	0.00125084	0.00202751	0.00110647	0.00256124	0.00110212	0.00241335	0.00326604	0.0049828	0.0104428	0.0162883	0.013311	0.0313658	0.0473888	0.0289815	0.035477	0.056231	0.0633308	0.0891156	0.0695092	0.0806637	0.0713073	0.0473688	0.0527092	0.0193406	0.0210047	0.0176467	0.0210298	0.0210285	0.00958056	0.00858071	0.00802786	0.00833937	0.00845252	0.00762598	0.00593269	0.00572512	0.00791326	0.00891242	0.00375354	0.00323561	0.00182196	0.00198724	0.00317888	0.00306047	0.00388695	0.00321843	0.00361125	0.00548445	0.00703766
ta	0.0233018	0.00968198	0.0105886	0.0114279	0.0101841	0.00579721	0.00520015	0.00191285	0.00320737	0.00355741	0.00258952	0.00216946	0.00268386	0.0100439	0.0109962	0.012747	0.0186405	0.0298441	0.020005	0.0312416	0.0488837	0.0182438	0.0426331	0.0620239	0.0476328	0.0516361	0.0430713	0.0530455	0.0500361	0.0318796	0.0422215	0.0267282	0.0262672	0.0167785	0.0260423	0.0239124	0.0156135	0.0162178	0.0107088	0.0114605	0.0124229	0.00956515	0.00985167	0.0082368	0.00629966	0.00720954	0.00368952	0.00234201	0.00207571	0.00232075	0.00264563	0.0047011	0.0070397	0.00466815	0.00490344	0.0137155	0.00745593
femme	0.0187665	0.00597821	0.00655996	0.00677363	0.00903582	0.00746637	0.00615941	0.00235406	0.00392202	0.00299256	0.00262069	0.00267168	0.00431998	0.00945544	0.0118918	0.0156895	0.020835	0.0229295	0.014917	0.0194545	0.0372641	0.0121861	0.0402637	0.054355	0.0386832	0.0328745	0.0258434	0.0404549	0.0405383	0.0284638	0.0338503	0.0347312	0.0313532	0.0169336	0.0223516	0.0233895	0.0226802	0.0398327	0.0166022	0.0269479	0.0343414	0.0301094	0.0294859	0.0172608	0.00917263	0.0101954	0.00446127	0.00391775	0.00282395	0.00251594	0.00236268	0.00524089	0.00521965	0.00450463	0.00493318	0.0132933	0.00576803
ce	0.022896	0.0103516	0.010149	0.012007	0.0139602	0.00612603	0.00556012	0.00271962	0.00339491	0.00343162	0.00447158	0.00454062	0.00907254	0.0152897	0.0194561	0.0256044	0.0236231	0.0255792	0.0197895	0.0230245	0.0185453	0.0110827	0.0191645	0.0297258	0.0262968	0.0234986	0.0210477	0.0307787	0.0348502	0.01966	0.0236419	0.0208053	0.0201011	0.0140797	0.0090363	0.0252485	0.0151672	0.0219195	0.0208122	0.0171762	0.01774	0.0183843	0.0181624	0.0158877	0.0114729	0.0129954	0.0104858	0.0153761	0.011582	0.0163744	0.0143799	0.0263919	0.0203668	0.0242543	0.0191475	0.0357683	0.0275447
n'	0.0178931	0.0120617	0.0105403	0.0125086	0.0103295	0.00612693	0.00807874	0.00364377	0.00411353	0.00556922	0.00493112	0.00745781	0.0111427	0.0112686	0.0129431	0.0137509	0.0141755	0.0203915	0.0147605	0.0223576	0.0242861	0.0142454	0.0284534	0.0331438	0.032579	0.0333587	0.0222208	0.0366909	0.0310789	0.0275869	0.0195541	0.0197647	0.0173747	0.0236005	0.0181187	0.0403356	0.0236941	0.017582	0.0239827	0.0208584	0.016476	0.0193313	0.0162172	0.0136864	0.00748775	0.0101235	0.00680007	0.0108737	0.00774136	0.00895	0.0088872	0.019811	0.013276	0.0162017	0.0188574	0.0412362	0.0314893
est	0.0195935	0.0149682	0.0132817	0.0109998	0.0125932	0.0130018	0.0128991	0.00600821	0.00491957	0.00812867	0.00716261	0.00748628	0.00328327	0.00813271	0.00780998	0.0107318	0.0121853	0.0196314	0.0115854	0.0127807	0.0180544	0.0142524	0.0253932	0.0329824	0.0281185	0.0245836	0.0174939	0.0317146	0.0235556	0.0230451	0.015718	0.0143626	0.0147969	0.0165731	0.00867407	0.0171342	0.00910123	0.00697588	0.0139942	0.0108984	0.0122604	0.0141236	0.016122	0.0252602	0.0162866	0.0247115	0.0190807	0.0303973	0.0203431	0.0254505	0.0223773	0.0364507	0.0177234	0.0317537	0.027438	0.0349771	0.0406386
