 	a23	a53	a20	a44	a84	a54	a41	a32	a24	a26	a24	a76	a90	a38	a24	a41	a35	a7	a57	a87	a40	a73	a44	a13	a38	a90	a35	a56	a35	a75	a56	a35	a90	a93	a70	a99	a9	a99	a87	</S>
elle	0.0127887	0.0308679	0.0517417	0.106218	0.113374	0.0491936	0.0952414	0.0531252	0.106943	0.0515932	0.0473209	0.0358503	0.0143909	0.012735	0.0198612	0.00831128	0.00673611	0.00449699	0.00168427	0.00142686	0.00203781	0.00118499	0.00114469	0.0010521	0.00121405	0.00123403	0.00126266	0.00383124	0.00221221	0.00194158	0.00827214	0.0137604	0.0179776	0.0145541	0.0152402	0.0169272	0.0184936	0.0185057	0.0103944	0.0248579
changea	0.00195856	0.00236032	0.00225373	0.0153592	0.0333954	0.0658643	0.0594575	0.0490167	0.0743915	0.0479578	0.0343194	0.0344663	0.0623743	0.0385044	0.0480774	0.0315724	0.0318586	0.039749	0.0108917	0.00941016	0.00720697	0.0113941	0.00613528	0.00838222	0.00505495	0.00355186	0.00522034	0.00475413	0.00596411	0.0067323	0.00802281	0.0138246	0.0210164	0.0156766	0.0265791	0.0321485	0.0292196	0.0347473	0.0399859	0.0211442
d'	0.0156502	0.0239891	0.0172534	0.0378368	0.0248496	0.0358058	0.0289152	0.0304	0.0393795	0.0481741	0.0487525	0.0327583	0.0477308	0.0289431	0.0319909	0.0178002	0.0100535	0.011448	0.0111743	0.00891826	0.0158022	0.01331	0.0149184	0.0108441	0.0114159	0.00881905	0.0121596	0.00916128	0.00657025	0.00483544	0.00975255	0.0116566	0.0141538	0.0374549	0.0399139	0.0436679	0.0501592	0.0441322	0.0463377	0.0431115
avis	0.0511837	0.0241046	0.0103476	0.0157521	0.0240675	0.00505704	0.011953	0.0149617	0.0168421	0.0380816	0.0311653	0.0214453	0.0178373	0.0401165	0.0413854	0.0224009	0.0184006	0.0223898	0.0405319	0.0537741	0.0370665	0.107849	0.0557632	0.0406076	0.0459081	0.0448022	0.0529129	0.0092242	0.00757591	0.00565743	0.00581591	0.00775058	0.00653172	0.0116177	0.00692727	0.00573743	0.00569986	0.00696402	0.00458909	0.0092013
et	0.0280367	0.00906084	0.00557773	0.0126644	0.0187075	0.0238566	0.0473054	0.0602814	0.05256	0.110742	0.0830338	0.0717341	0.0362973	0.0407295	0.0611297	0.0342244	0.0360398	0.0349625	0.0183187	0.021719	0.0204139	0.0171246	0.0136159	0.0109685	0.0149311	0.0141206	0.0105907	0.00678422	0.00491232	0.00433198	0.00304415	0.00447368	0.00517795	0.00781815	0.00621037	0.00866121	0.00628066	0.0107814	0.00789953	0.0148779
rentra	0.0233796	0.011695	0.00591332	0.0153637	0.00927992	0.0129699	0.0163195	0.0154728	0.0228348	0.0590462	0.0424258	0.0448004	0.0303429	0.0391126	0.0526626	0.0392245	0.0440927	0.0452787	0.0290106	0.0256617	0.0210629	0.0129825	0.0200608	0.0154064	0.0177295	0.0179298	0.0177708	0.0208892	0.0126294	0.0124159	0.0133049	0.024042	0.0200003	0.0133946	0.0192442	0.0299633	0.0301263	0.0428864	0.0252014	0.0280723
chez	0.0338757	0.0221119	0.00840541	0.0224944	0.0127562	0.0309531	0.0172746	0.0169325	0.0313306	0.0342646	0.0235696	0.0481017	0.0347778	0.0313961	0.0492969	0.0381668	0.0349132	0.0508789	0.0125128	0.0134739	0.0170708	0.00550844	0.00779403	0.00791987	0.00683535	0.00744388	0.00470619	0.00651748	0.00617986	0.00429673	0.00290133	0.0112325	0.0178879	0.0209742	0.0288121	0.0438266	0.0396661	0.0680322	0.0472014	0.0777063
son	0.00772419	0.00739687	0.0052337	0.00470425	0.00744737	0.00473369	0.0071378	0.00598131	0.00979485	0.0232207	0.037692	0.0349589	0.0299586	0.0466757	0.0484583	0.0438691	0.0468814	0.0552906	0.0395061	0.0231136	0.0103727	0.0112719	0.0131115	0.0127617	0.0104572	0.0144402	0.00989424	0.0141084	0.0153943	0.0126287	0.0127543	0.0320342	0.0522084	0.0556414	0.0539671	0.0676404	0.0364534	0.0469576	0.0160867	0.0120367
mari	0.0143562	0.0140821	0.00430923	0.0104441	0.00613033	0.00518085	0.00920874	0.00527861	0.0114521	0.00961517	0.0152755	0.0147388	0.00816219	0.0105468	0.016085	0.00968518	0.00937475	0.00958406	0.0107669	0.0085756	0.00771193	0.00978067	0.0149903	0.0169059	0.0187201	0.0216643	0.0219284	0.0212354	0.0380276	0.034557	0.0474897	0.0632177	0.0959475	0.0529749	0.0665776	0.0673486	0.0568274	0.0476671	0.034862	0.0587137
</S>	0.0143395	0.0132778	0.00431224	0.00642341	0.00734333	0.00457853	0.0119465	0.00866071	0.0192818	0.0128252	0.011354	0.00632108	0.00528265	0.00542663	0.00799931	0.00735148	0.00756104	0.0109592	0.00879629	0.0101879	0.00686946	0.00792585	0.0103717	0.00686821	0.0092633	0.0105283	0.0129709	0.0155064	0.012634	0.0073968	0.0148733	0.0224628	0.0475791	0.065465	0.0657248	0.104033	0.0958472	0.0948785	0.0640531	0.14052
