 	a66	a87	a23	a99	a53	a20	a54	a56	a96	a56	a96	a34	a54	a73	a7	a54	a92	a37	a94	a70	a0	a90	a44	a11	a62	a88	a0	a24	a9	a83	a9	a87	a23	a87	a23	a87	</S>
la	0.0224238	0.0233742	0.0228219	0.0333291	0.0326508	0.119286	0.0592651	0.0482724	0.039384	0.0409126	0.0308676	0.041572	0.0258809	0.0200262	0.0158844	0.0154274	0.0148887	0.0126675	0.0156525	0.0173165	0.0192419	0.00901867	0.0112348	0.0102972	0.0118395	0.0156069	0.0167994	0.0181825	0.0174828	0.0224996	0.0263751	0.0200236	0.023146	0.0278242	0.0261331	0.021799	0.0505916
pluie	0.00263135	0.00484596	0.0087521	0.0129342	0.0246284	0.095245	0.0773751	0.12267	0.0413504	0.0411978	0.0806591	0.0663729	0.0884069	0.0439936	0.0279866	0.0364226	0.0336869	0.045621	0.0236043	0.025194	0.0186089	0.0103923	0.0141864	0.0106816	0.00894371	0.00477256	0.00366373	0.00289538	0.00118173	0.00185105	0.00249614	0.00203031	0.00343196	0.00283578	0.00242636	0.00278134	0.00324275
d'	0.0321147	0.031665	0.0250772	0.0563297	0.0388784	0.0763235	0.0689289	0.100112	0.0372823	0.0256768	0.0814251	0.0622426	0.0679022	0.0335062	0.0220246	0.0279695	0.0397544	0.0365687	0.0450709	0.0168695	0.0207376	0.0114448	0.00680616	0.00432268	0.00403453	0.00270463	0.00311741	0.003142	0.00252257	0.00325773	0.001005	0.00196979	0.00158396	0.00204496	0.0014182	0.0031794	0.000986276
hier	0.0151351	0.0117094	0.0092983	0.0182373	0.0181158	0.0133442	0.0174299	0.0127195	0.0156734	0.0201697	0.0509423	0.0386711	0.0442788	0.0736795	0.0546904	0.0466087	0.0467857	0.0457403	0.0320111	0.0150137	0.0133033	0.0111768	0.00824544	0.00933486	0.00907714	0.0112623	0.0127704	0.0187735	0.022757	0.0280096	0.0299308	0.0289462	0.0301032	0.0330405	0.052986	0.0464956	0.033533
a	0.0215902	0.0221203	0.0152025	0.0178804	0.0225758	0.0102947	0.0428089	0.0327215	0.0260007	0.0407024	0.0645582	0.0575799	0.0360072	0.0954198	0.0864868	0.0805946	0.0554454	0.0468123	0.0444607	0.0250019	0.0186196	0.00442932	0.00545209	0.00392555	0.00463256	0.00434286	0.0028762	0.00526435	0.0029773	0.00680646	0.00625915	0.00895119	0.0122383	0.0147146	0.0139519	0.021835	0.0184594
fait	0.0352635	0.022783	0.0187817	0.00956285	0.00637923	0.00472656	0.0146313	0.00996089	0.0194394	0.0309382	0.029104	0.0223184	0.0172525	0.0197309	0.0256774	0.0263357	0.0360741	0.0471198	0.0455791	0.0342756	0.0354747	0.0300543	0.0315029	0.0165384	0.0122892	0.0137761	0.0139746	0.0178204	0.0255854	0.0330285	0.0362536	0.0274051	0.0483607	0.0572327	0.0497687	0.0381308	0.0368696
déborder	0.0360554	0.0216273	0.0201439	0.0157379	0.00976716	0.00618031	0.0172408	0.0115725	0.027276	0.0366523	0.0435001	0.0387622	0.0336341	0.0293963	0.0268211	0.0196883	0.0199948	0.0213287	0.0232022	0.0197643	0.0222009	0.0243918	0.0184458	0.0148299	0.0110123	0.00782736	0.0117664	0.0149794	0.0256999	0.033847	0.0302757	0.0461177	0.0523334	0.0534371	0.0551176	0.0394716	0.0599002
la	0.0527731	0.0262692	0.0307475	0.0293555	0.0124592	0.0072157	0.0047559	0.00246768	0.0121259	0.022775	0.0235497	0.0142942	0.0121897	0.00642652	0.00474072	0.00356159	0.00412546	0.00295656	0.0043507	0.00403847	0.00592962	0.00879247	0.00669856	0.0135791	0.0183269	0.013417	0.0158788	0.0225607	0.0211747	0.0247215	0.029595	0.0487165	0.0512442	0.0659655	0.100574	0.109818	0.161829
rivière	0.0348847	0.0218617	0.0246707	0.0172148	0.0147777	0.0145951	0.0149896	0.0119022	0.0307306	0.0316565	0.0215096	0.0175776	0.0146025	0.00887677	0.00872764	0.00925362	0.00866452	0.0202031	0.0268195	0.0235463	0.0364466	0.0286444	0.0219547	0.0193424	0.0126343	0.00785278	0.0154877	0.0156142	0.0314939	0.0268828	0.0464457	0.0460181	0.0649778	0.0477221	0.0635629	0.0488689	0.0889858
</S>	0.0412058	0.0322096	0.023855	0.0201316	0.0168892	0.0166288	0.0218649	0.0112339	0.0177639	0.0259518	0.020308	0.0138764	0.0121245	0.0180018	0.0156336	0.0110944	0.010354	0.00768685	0.0110187	0.0135542	0.0144339	0.0139685	0.00981534	0.00787277	0.00997178	0.00656921	0.0125122	0.011259	0.0243297	0.0347171	0.041907	0.0473094	0.0625064	0.0771458	0.0716405	0.0897403	0.102914
