 	a87	a23	a18	a75	a6	a37	a44	a98	a15	a7	a84	a75	a5	a31	a47	a0	a90	a57	a53	a90	a44	a90	a92	a61	a47	a88	a71	a75	a21	a61	a75	a85	a47	a73	a26	a53	a4	a13	a54	a47	a26	a11	a56	a34	a75	a12	a96	a61	a12	a96	a66	a38	a9	a10	a87	a23	a87	</S>
dieu	0.0333673	0.0318698	0.0246043	0.0207608	0.0240476	0.0187272	0.0229718	0.0208687	0.018881	0.0125137	0.0112111	0.0140144	0.0153038	0.0151424	0.0119182	0.0135182	0.0147336	0.0155312	0.01673	0.0144813	0.0190791	0.0247836	0.0251937	0.0332978	0.0466636	0.0285778	0.0162943	0.0191023	0.0201758	0.0137903	0.0172956	0.0133059	0.00652175	0.0063883	0.00608468	0.00858214	0.01227	0.021652	0.033649	0.0254997	0.0269332	0.0295357	0.0254052	0.0339929	0.0134644	0.0110934	0.00598555	0.0086393	0.00669219	0.00487529	0.00528859	0.0055366	0.00373011	0.00698405	0.00523712	0.0113511	0.00780885	0.0180425
a	0.00921818	0.0132858	0.0123759	0.0192315	0.0159771	0.0204529	0.0303761	0.0379296	0.0392394	0.0424676	0.0397132	0.0314532	0.0265684	0.0261656	0.0178776	0.0162603	0.0110899	0.0197951	0.0118717	0.0249341	0.0151921	0.0229345	0.0178865	0.0142911	0.0152387	0.0158631	0.017842	0.0120462	0.0147318	0.0124461	0.0129272	0.0192044	0.0269964	0.0348119	0.0406491	0.0148825	0.0303615	0.0144161	0.0088236	0.0115704	0.00719919	0.00703489	0.00459498	0.00382911	0.00326766	0.00296923	0.00488762	0.00565581	0.00660261	0.00703903	0.00757759	0.0109426	0.0138084	0.014301	0.0134444	0.0146574	0.0180115	0.0147787
donné	0.0271104	0.0111207	0.00844097	0.0110271	0.016434	0.0200877	0.0190349	0.0199472	0.0296873	0.0390845	0.0368881	0.0350949	0.0272115	0.0215099	0.0280102	0.0210328	0.010033	0.0168854	0.014223	0.0204719	0.0155967	0.026468	0.0186802	0.0121757	0.0170002	0.0161137	0.0148676	0.0104365	0.0157378	0.0127335	0.0155308	0.0202254	0.0280591	0.0418985	0.0310357	0.0199906	0.0150681	0.0216991	0.0133384	0.0192221	0.0213629	0.0189186	0.00838206	0.00602358	0.00663941	0.00265053	0.00377041	0.00338464	0.00386097	0.00584808	0.00427113	0.0107868	0.011236	0.0109388	0.0109071	0.0136615	0.0219255	0.016219
à	0.035387	0.0135484	0.00701225	0.00697079	0.00777538	0.00473275	0.00381369	0.00221022	0.00389475	0.00280476	0.00241087	0.00360017	0.00374824	0.00638988	0.00740776	0.00458796	0.00663392	0.00782156	0.0065276	0.0121529	0.012294	0.0160629	0.0164749	0.0206892	0.0190378	0.0214148	0.0278765	0.0227855	0.0228847	0.0262415	0.0297939	0.035438	0.023396	0.0237331	0.0215206	0.00923408	0.00758903	0.0151485	0.0145017	0.0205344	0.0347313	0.0253047	0.0253937	0.0208236	0.0304403	0.0177817	0.0264184	0.0198115	0.0181447	0.022467	0.0208363	0.0308707	0.0246641	0.0208628	0.0237798	0.0279918	0.0244739	0.0291217
jésus	0.0225874	0.00623833	0.00490991	0.00348472	0.00308374	0.00330326	0.00437111	0.00466774	0.00602459	0.00529912	0.0072078	0.00836406	0.00957088	0.0101556	0.0142805	0.0120822	0.00921772	0.0109959	0.0314444	0.0229114	0.0233079	0.0174232	0.0314591	0.0515809	0.0355386	0.0266461	0.0436571	0.0567286	0.0475483	0.0438754	0.0498885	0.0458208	0.0332671	0.0247147	0.0251505	0.0136481	0.00839322	0.0125563	0.0111148	0.0112586	0.0117638	0.0128367	0.0100738	0.0105278	0.0118151	0.00660656	0.0152775	0.00932408	0.0178482	0.00630198	0.00970431	0.00758759	0.00855968	0.006628	0.00804674	0.0118496	0.0110861	0.0103844
le	0.0157962	0.00683962	0.00380391	0.00366537	0.00330675	0.00306765	0.00400721	0.00465647	0.00683206	0.00447827	0.00395311	0.00499895	0.0059352	0.00502568	0.0120956	0.0170389	0.0140418	0.0284251	0.0368663	0.040992	0.0433163	0.0309646	0.0569628	0.0778515	0.0442883	0.0497101	0.0411825	0.0817903	0.0507441	0.0633671	0.058546	0.0321123	0.0118514	0.00730811	0.00708138	0.0060125	0.00310562	0.00357973	0.0034525	0.00334997	0.00387379	0.00425407	0.00448877	0.00482765	0.00481571	0.00293102	0.00424214	0.00445478	0.00728761	0.00283847	0.00463738	0.00426469	0.00354792	0.00602377	0.00687336	0.0085163	0.00868313	0.0110363
nom	0.0114461	0.00749661	0.00340761	0.00291145	0.00354823	0.00331034	0.00646158	0.00895061	0.00728045	0.00661702	0.00889912	0.00959923	0.00912724	0.00806699	0.0100418	0.0178769	0.0159346	0.0261131	0.0303675	0.0367436	0.0468599	0.0439203	0.0506988	0.0677737	0.0580702	0.0594153	0.0623788	0.0722706	0.0594064	0.0593448	0.0543168	0.036276	0.00711842	0.00557047	0.00734799	0.00893279	0.00642571	0.00424264	0.00475159	0.00601568	0.00326993	0.00297457	0.00215964	0.00197566	0.00175952	0.000686537	0.000856298	0.00123451	0.00268364	0.00108769	0.00176618	0.00170807	0.000900938	0.00278249	0.00419265	0.0045525	0.00557836	0.00449391
qui	0.0354162	0.0148262	0.00976279	0.0102802	0.0106484	0.00647598	0.00489161	0.00377117	0.00472695	0.00388321	0.00424031	0.00580356	0.00690489	0.00910456	0.0160504	0.0140156	0.0297652	0.0306028	0.0244531	0.0193951	0.033675	0.0297957	0.0430881	0.0544686	0.053643	0.0466006	0.0414523	0.0476106	0.0535102	0.0344685	0.0317622	0.0294432	0.0103192	0.00532496	0.00370595	0.00221798	0.00222617	0.00312088	0.00229932	0.00363684	0.00694947	0.00687061	0.00725255	0.00634737	0.00754951	0.00455995	0.0103479	0.00884952	0.0168915	0.0107898	0.018032	0.0117631	0.0126207	0.018943	0.0154439	0.0146146	0.0157458	0.00904116
dépasse	0.0481166	0.017708	0.0126487	0.0115162	0.00933212	0.00613038	0.00572659	0.00409973	0.00526924	0.00346467	0.00392233	0.00521219	0.00610674	0.0100062	0.0107449	0.0120313	0.0215296	0.0114637	0.0194584	0.0116245	0.0259506	0.0174385	0.0239976	0.0321228	0.0437262	0.0226932	0.0229861	0.0306269	0.0378016	0.0189182	0.021157	0.0169326	0.00978213	0.00867424	0.00683932	0.00482665	0.00687446	0.00871268	0.00619094	0.0108377	0.0223071	0.0275793	0.0188504	0.0226843	0.0173245	0.0109699	0.0220476	0.0223692	0.0355971	0.0129974	0.0288654	0.016966	0.0151268	0.0224066	0.0225385	0.0277871	0.0257985	0.0145829
tout	0.034035	0.0167993	0.00898283	0.00603722	0.00501266	0.00230364	0.00198704	0.00169224	0.00284013	0.00379898	0.00521869	0.00687186	0.0144479	0.0177818	0.0217107	0.0224804	0.024349	0.0141938	0.0375225	0.0243711	0.0338949	0.0250003	0.0310335	0.0329411	0.0352676	0.0246376	0.0216582	0.0332467	0.0339878	0.0196492	0.0268295	0.0228195	0.0120198	0.0108168	0.0113326	0.0083401	0.00714448	0.00757632	0.00534762	0.00567666	0.00866522	0.00970479	0.010053	0.0112987	0.0130541	0.010826	0.0180875	0.0217646	0.0246203	0.00939454	0.0130919	0.0130923	0.0147629	0.019258	0.0163457	0.0350666	0.025016	0.0442409
