 	a87	a23	a87	a23	a87	a23	a79	a58	a82	a54	a15	a73	a69	a44	a70	a83	a38	a75	a85	a47	a6	a66	a62	a21	a5	a27	a10	a75	a6	a96	a62	a70	a53	a90	a82	a40	a98	a47	a36	a57	a87	a23	a38	a70	a75	a79	a15	a92	a37	a85	a44	a38	a90	a56	a21	a5	a11	a24	a83	a9	a38	a75	a6	a36	a2	a57	a87	a23	a87	</S>
il	0.00826211	0.0119469	0.00867151	0.0114672	0.0070203	0.00820286	0.00586683	0.00498199	0.00615712	0.00441782	0.00539229	0.00701236	0.00736358	0.0151469	0.0144063	0.0252462	0.0510088	0.0357408	0.0451194	0.0466148	0.0429526	0.0492424	0.0564529	0.0417193	0.0171879	0.0160764	0.0256801	0.0129711	0.0135006	0.0206283	0.0163957	0.0219468	0.0216675	0.0214356	0.0185531	0.0155194	0.00947666	0.0111648	0.00879068	0.00517679	0.0118832	0.00960708	0.00671067	0.00474592	0.0084738	0.00841832	0.00423601	0.00437921	0.0056474	0.00291805	0.00891579	0.012896	0.0091355	0.00646852	0.00579958	0.00570033	0.00356756	0.00426763	0.00379449	0.00652267	0.0042638	0.00462997	0.00953515	0.00532694	0.00684945	0.00920864	0.00503216	0.0119559	0.00830811	0.0242175
ne	0.00442207	0.00351998	0.00399651	0.00308742	0.00467025	0.00362449	0.00374664	0.00772652	0.00721037	0.00790665	0.00900989	0.00644654	0.0235259	0.0328947	0.0188901	0.0337749	0.0281295	0.021665	0.0149613	0.014509	0.0142666	0.016364	0.0153113	0.0229858	0.0160982	0.0144477	0.0155065	0.017555	0.0131928	0.0131783	0.0157378	0.0164323	0.0171036	0.0188104	0.0174078	0.0156263	0.0152019	0.0149089	0.0149734	0.0128286	0.0161247	0.0124003	0.0127948	0.0143379	0.0179191	0.00992875	0.00890691	0.0093816	0.00796943	0.00869899	0.0101294	0.00985258	0.00972937	0.00579578	0.00645881	0.015604	0.00943522	0.00830388	0.00976283	0.006959	0.00646466	0.00998391	0.0107105	0.0272587	0.0289421	0.0274616	0.0329616	0.0268571	0.0311179	0.0160933
faut	0.0102661	0.00628589	0.00579652	0.00370985	0.00479933	0.00492632	0.00519829	0.00658886	0.00734033	0.00703992	0.00920212	0.00818371	0.0119167	0.00889365	0.012735	0.0115004	0.0158583	0.0296613	0.0215333	0.0209561	0.0124098	0.0197055	0.0208542	0.0227421	0.0211144	0.0164554	0.0283133	0.0242425	0.0135335	0.01128	0.0185631	0.0212909	0.0317263	0.0274113	0.0302367	0.032268	0.0339726	0.0359653	0.0352663	0.0252952	0.0322504	0.0256891	0.0181244	0.0182719	0.0128792	0.0142435	0.0142467	0.0142571	0.0185082	0.011954	0.0105765	0.0117163	0.00401616	0.00264865	0.00225159	0.00531187	0.00236398	0.00259991	0.0042709	0.00259674	0.00235519	0.00290267	0.00317975	0.00717763	0.00665507	0.00846027	0.0108772	0.00974489	0.0138056	0.0110262
pas	0.0355935	0.0264075	0.0293625	0.0190437	0.0103131	0.0110968	0.0137908	0.0114889	0.00863551	0.00571632	0.00438872	0.00358754	0.00365095	0.00403621	0.00521039	0.0079409	0.0120631	0.00863181	0.00677823	0.0111919	0.0120128	0.0138217	0.0101584	0.00740862	0.00613028	0.00760784	0.00693977	0.00596571	0.00725915	0.0115914	0.0102948	0.0085254	0.0128008	0.00740058	0.016059	0.0119602	0.0110514	0.0153597	0.0107144	0.0125608	0.0119261	0.00726162	0.0127923	0.0094058	0.0172564	0.0169403	0.0157576	0.0158722	0.0153436	0.0275864	0.0515865	0.0254572	0.0353157	0.0290931	0.0320359	0.0311382	0.0272361	0.0143657	0.0198777	0.0117415	0.0102147	0.00905851	0.0117271	0.0118274	0.0106969	0.0128223	0.00984955	0.0123082	0.012136	0.0268183
lui	0.0135763	0.00994551	0.0110909	0.00875239	0.00696532	0.00909905	0.00991684	0.0151522	0.00915306	0.00435426	0.00730105	0.00463497	0.00699752	0.00470402	0.00490421	0.00392728	0.00304927	0.00262941	0.00398477	0.00548741	0.0079626	0.00761366	0.00975319	0.0123458	0.0083476	0.0169348	0.0170443	0.0114405	0.0113723	0.0138066	0.0140894	0.0190409	0.0157773	0.0217294	0.0291576	0.0190718	0.0147933	0.0227354	0.0141444	0.0306683	0.0377705	0.0398789	0.048581	0.0449399	0.0441365	0.0490201	0.0497738	0.0340296	0.0256052	0.020353	0.0121348	0.0118928	0.0183771	0.0107439	0.009378	0.0108999	0.00861753	0.00633696	0.00623484	0.00470174	0.00355155	0.0035024	0.00254948	0.00474793	0.0040784	0.00460369	0.00391195	0.00636487	0.00473267	0.00509605
servir	0.00880801	0.00613565	0.00576918	0.00480782	0.00478625	0.00534744	0.00808684	0.0104104	0.00758902	0.00903423	0.00601851	0.00462676	0.00596171	0.00478675	0.00642153	0.00383827	0.00470375	0.00631016	0.00498232	0.00722799	0.0108512	0.00925694	0.0150741	0.0185827	0.0225138	0.0225546	0.016138	0.0336457	0.0289264	0.0199253	0.0202685	0.0275042	0.0213364	0.027613	0.0345759	0.0269155	0.0244834	0.0381741	0.0260204	0.0184197	0.0165765	0.0237031	0.0348506	0.0464675	0.0377669	0.0363758	0.0502085	0.0339803	0.0234522	0.00872345	0.00577217	0.00374725	0.00499387	0.00408708	0.00476245	0.00748032	0.00680228	0.00583258	0.00590534	0.00649083	0.00484527	0.00391971	0.00342977	0.00452571	0.00384271	0.00461617	0.00422207	0.00417961	0.00429847	0.00570892
le	0.0121943	0.0069194	0.00670084	0.00359201	0.0015953	0.00114281	0.000893978	0.0012772	0.000937595	0.000673829	0.000814272	0.00189571	0.000669358	0.000496637	0.000596365	0.000683432	0.00131957	0.00317972	0.00407709	0.00396417	0.00642827	0.00814115	0.00982774	0.0123159	0.0212392	0.0164244	0.0167327	0.0287688	0.0233719	0.0140711	0.0342856	0.029333	0.0372668	0.0471654	0.0343965	0.0470808	0.0386849	0.0553122	0.0561937	0.0385895	0.0440074	0.0297861	0.0354787	0.0366854	0.0398113	0.0242045	0.0405427	0.0144941	0.0108334	0.00778422	0.00264436	0.00395765	0.00303724	0.00269225	0.00329981	0.00498674	0.00585151	0.00277608	0.00516024	0.00696346	0.00345499	0.00233379	0.00400137	0.00515685	0.00360258	0.00432893	0.00445268	0.00665718	0.00667886	0.00508227
repas	0.0104815	0.00625148	0.0079072	0.0048505	0.00468234	0.00428016	0.00497201	0.00611927	0.00537565	0.0026078	0.00321189	0.00208042	0.00169529	0.00101604	0.00229641	0.00227009	0.00308228	0.00300965	0.00354226	0.001977	0.00524497	0.00973543	0.00813671	0.00973827	0.00956664	0.0150875	0.0110361	0.0154461	0.0172272	0.0125687	0.0178324	0.0210014	0.0186554	0.026899	0.0357368	0.0234097	0.0216443	0.0576211	0.0186092	0.0386947	0.0414284	0.0245111	0.0334306	0.0307779	0.0478282	0.0365707	0.0573005	0.0278307	0.0219188	0.0136255	0.0092064	0.00617231	0.00705411	0.00853932	0.00746928	0.008737	0.00772847	0.0072774	0.00875127	0.0093575	0.0101562	0.00636142	0.0108004	0.011406	0.010756	0.0124288	0.0114638	0.013927	0.0130524	0.00853156
dans	0.0216616	0.0161966	0.0161879	0.012916	0.00493632	0.00439384	0.00299707	0.00230648	0.0035299	0.00127962	0.00180513	0.0021019	0.00104156	0.000724162	0.00113524	0.00136199	0.00335786	0.00488004	0.00847682	0.00813314	0.014162	0.0174028	0.0168198	0.0177463	0.0220311	0.0238637	0.0164944	0.0201429	0.0223271	0.0300026	0.0202476	0.0209576	0.022347	0.0219978	0.022836	0.019423	0.0209613	0.0311891	0.0203159	0.0341021	0.0370878	0.0197268	0.0174114	0.0198855	0.0214996	0.0189619	0.0162142	0.00925626	0.00828714	0.00534548	0.00470206	0.00389893	0.0062359	0.00530006	0.00687772	0.00951815	0.0097948	0.00789497	0.0079972	0.00694161	0.00544981	0.00365333	0.0130065	0.018728	0.0162225	0.030887	0.0266858	0.0307361	0.0328432	0.0241568
une	0.0130535	0.00666761	0.00621834	0.00665382	0.00299536	0.00218067	0.00179757	0.00202657	0.00170003	0.00114957	0.000931487	0.000720557	0.000607687	0.00056921	0.00129097	0.00194089	0.00485839	0.00677037	0.0110826	0.0178947	0.0237657	0.0224251	0.023954	0.0276627	0.0213084	0.023802	0.0203762	0.0251044	0.0191102	0.0285048	0.0151289	0.0189565	0.0144339	0.0171005	0.0128988	0.0100957	0.0151889	0.0185625	0.0163262	0.0189167	0.0208241	0.0125203	0.0117934	0.020209	0.016009	0.0146216	0.0107706	0.0113547	0.00982386	0.0112086	0.00724467	0.0081963	0.0100358	0.00871783	0.0127425	0.0189782	0.0162853	0.0126072	0.0165638	0.0121953	0.00794146	0.00847669	0.013379	0.0253245	0.0245727	0.0352308	0.0305156	0.0364132	0.0350155	0.0356966
même	0.0188896	0.00682964	0.00576332	0.00413428	0.00264568	0.00153101	0.00139898	0.00231749	0.000974483	0.000522447	0.000232844	0.00032264	0.00017907	0.000307714	0.0012913	0.0020446	0.00547514	0.00947347	0.0105215	0.0122057	0.0219442	0.0199085	0.021614	0.0285367	0.027511	0.0269949	0.0220165	0.0352189	0.022064	0.0270054	0.0162265	0.0226273	0.018104	0.0203242	0.0185703	0.0138019	0.0212517	0.0226526	0.0250673	0.0164726	0.0207284	0.0120935	0.0102082	0.0163118	0.0118541	0.0122309	0.00673737	0.00820368	0.00684255	0.00841606	0.00895555	0.0112237	0.00833931	0.00792219	0.0108745	0.0162717	0.0153853	0.0126678	0.0145795	0.0121886	0.00648857	0.00696354	0.0118578	0.0241025	0.0238786	0.0302255	0.030408	0.0347218	0.0424696	0.021876
assiette	0.00639755	0.00159299	0.000947898	0.000706785	0.000509439	0.000395942	0.000391962	0.00054218	0.000344092	0.000265411	0.000118708	9.87216e-05	0.000122715	0.000203585	0.000648879	0.00125348	0.00574164	0.00698077	0.0158474	0.0443932	0.0642333	0.0624848	0.0381746	0.0425266	0.0179989	0.0167589	0.020489	0.0195626	0.00937214	0.0194142	0.0137309	0.0172919	0.0159428	0.0175194	0.00695822	0.00945149	0.011716	0.00953469	0.0116643	0.0058901	0.012511	0.00563502	0.00430262	0.00582151	0.00457368	0.00843607	0.00452739	0.00437025	0.00425419	0.00663775	0.00443709	0.00761117	0.00599355	0.00381956	0.00823203	0.0114681	0.00889015	0.00947101	0.0203275	0.0256557	0.0186991	0.0253355	0.0246929	0.0323619	0.0343095	0.038364	0.0384803	0.045047	0.0384136	0.0191026
que	0.0121712	0.00375342	0.00251266	0.00244705	0.00246787	0.001532	0.0014768	0.00221763	0.000868279	0.000777139	0.000355544	0.00040105	0.000413796	0.00116272	0.00202213	0.00293535	0.00638948	0.011519	0.0128574	0.027255	0.0373107	0.0247822	0.0275786	0.0280254	0.0161101	0.0210643	0.0206034	0.0162685	0.0120856	0.0187785	0.0115494	0.0177776	0.0151283	0.0148724	0.014997	0.00988949	0.0158577	0.014365	0.0134253	0.011533	0.0162338	0.00909698	0.00770626	0.00887388	0.00606725	0.0132308	0.00689652	0.00951866	0.00883312	0.0086908	0.00960266	0.00885649	0.00451845	0.00581359	0.0109327	0.0157737	0.012475	0.0120147	0.026	0.0229511	0.0210415	0.0275885	0.0285108	0.033335	0.0379987	0.0392113	0.0310956	0.041204	0.0328286	0.0255616
les	0.00679176	0.00432377	0.00379781	0.00457233	0.00185915	0.0018665	0.00149967	0.00150185	0.00224735	0.0015662	0.00142351	0.00171032	0.0010909	0.00181046	0.00363929	0.00611525	0.0172062	0.0112519	0.0214108	0.0324011	0.0590072	0.0586633	0.0463258	0.0353645	0.0167597	0.0202973	0.0247936	0.0186667	0.016329	0.0224074	0.0171556	0.0199468	0.0158448	0.0160476	0.00766696	0.00957919	0.00929919	0.00879587	0.00828846	0.0063614	0.00874836	0.00534485	0.0050653	0.0070969	0.00649331	0.00747613	0.00556409	0.00585932	0.00675161	0.00661349	0.00622421	0.00657551	0.00759736	0.00578251	0.00993796	0.0188243	0.0105756	0.0134508	0.0136128	0.019039	0.0149657	0.0196621	0.0168648	0.0272765	0.0292854	0.0304283	0.0270195	0.0239115	0.0222018	0.0460644
autres	0.0156816	0.00791803	0.00604485	0.00647548	0.00448454	0.00325467	0.00246578	0.00244547	0.001205	0.00104434	0.000470069	0.000709567	0.00111614	0.0030959	0.00562965	0.0180561	0.0335355	0.0411122	0.0257601	0.0262726	0.0362397	0.030477	0.0238652	0.0222731	0.0148927	0.0162711	0.0140395	0.0161438	0.0111978	0.0175106	0.00955568	0.0112317	0.0095954	0.00937219	0.00637421	0.00508964	0.00529359	0.00259917	0.00475188	0.00834181	0.00344427	0.00349057	0.00351734	0.00541282	0.00496216	0.00297852	0.00173296	0.00334217	0.00354723	0.00621027	0.00933415	0.00831634	0.00639758	0.00889287	0.0170474	0.0134951	0.024043	0.0306608	0.0442166	0.0418016	0.0278158	0.0413283	0.028742	0.0195099	0.029858	0.0236993	0.0208691	0.0349614	0.0258411	0.022638
car	0.0145994	0.0100049	0.00873544	0.00861639	0.00556469	0.00554624	0.00471795	0.0032446	0.00288108	0.00192148	0.00171662	0.00114302	0.00175568	0.00306381	0.00623768	0.0159859	0.0424837	0.0393922	0.0269827	0.0244516	0.0371352	0.034799	0.032438	0.0265118	0.0216497	0.0221563	0.0222201	0.0226241	0.019361	0.023362	0.018368	0.0180979	0.0173827	0.016034	0.00966409	0.00945758	0.00675679	0.00294843	0.00682872	0.00647522	0.00364936	0.00316522	0.00296895	0.00374343	0.00388478	0.00207231	0.00168216	0.00260743	0.00316581	0.00499377	0.00619143	0.00511152	0.00349513	0.00442828	0.00854578	0.00708991	0.0105853	0.0124054	0.0287636	0.0341631	0.0225119	0.0323799	0.0261265	0.016711	0.0309971	0.0203764	0.0177907	0.0291712	0.0213662	0.026541
il	0.00586521	0.0038267	0.00341323	0.00401799	0.00226675	0.0022964	0.00172624	0.00137622	0.00255427	0.00278994	0.00272331	0.00310108	0.00292198	0.00453739	0.00582152	0.0149968	0.0408471	0.0305049	0.0299646	0.030414	0.0545894	0.055633	0.043942	0.0278166	0.0172305	0.0174209	0.0175899	0.0144595	0.0150529	0.0185463	0.0136076	0.0148077	0.01215	0.00979093	0.00595108	0.00625743	0.00653193	0.00577805	0.00668811	0.00607005	0.00759966	0.00354181	0.00350935	0.00458658	0.00390592	0.00521991	0.00506786	0.00476447	0.00451972	0.00458193	0.00653841	0.00577159	0.00454092	0.00777343	0.0106753	0.0169038	0.0144748	0.0178347	0.0161029	0.0276593	0.020764	0.0283763	0.0272026	0.0213641	0.0275205	0.0266318	0.0190248	0.0268631	0.0205405	0.0402605
prend	0.0109071	0.00597819	0.005898	0.00696547	0.00523983	0.00765018	0.00501411	0.00446866	0.00572068	0.00745793	0.00435031	0.00570359	0.0104281	0.0168352	0.0230186	0.0484188	0.0441538	0.0428941	0.0312324	0.0302995	0.0286522	0.0275143	0.0200009	0.0153174	0.010238	0.0113022	0.0112106	0.00977905	0.00905882	0.011432	0.00833632	0.00978218	0.00857328	0.00929906	0.00791569	0.00614271	0.00671429	0.00558927	0.00607341	0.00560993	0.00626241	0.00425042	0.00390992	0.00474551	0.0044091	0.00380619	0.00256274	0.00366341	0.00358625	0.00401403	0.00836783	0.00897357	0.00532129	0.00628857	0.00825818	0.0130175	0.0143322	0.0241701	0.0265359	0.0324136	0.0226131	0.0352036	0.0208433	0.0230506	0.0252482	0.0223805	0.0224255	0.0242827	0.0263819	0.0375056
