 	a23	a38	a26	a43	a75	a14	a35	a75	a14	a35	a32	a11	a75	a98	a14	a35	a76	a35	a14	a35	a32	a75	a25	a90	a9	a84	a90	a35	a83	a38	a0	a9	a87	</S>
j'	0.100819	0.104426	0.0824351	0.0736623	0.0481878	0.0642519	0.059261	0.0411307	0.0351442	0.032788	0.0213063	0.0197638	0.0158559	0.0183427	0.0104301	0.00558413	0.00503325	0.00741771	0.0155323	0.0143049	0.0124856	0.0187118	0.0180636	0.0261731	0.0220807	0.0136558	0.0118834	0.0146846	0.0128679	0.0126619	0.0131742	0.0129977	0.00974426	0.0251383
ai	0.00962593	0.016717	0.0261614	0.0282884	0.0301793	0.0322459	0.0251979	0.0197453	0.0190534	0.0215735	0.00646924	0.0145952	0.0118177	0.0227778	0.0410504	0.0111661	0.0207709	0.0316959	0.0375013	0.0314377	0.0284378	0.0283802	0.0278859	0.0431837	0.0392494	0.0295862	0.0283653	0.032043	0.0286216	0.0700767	0.0459941	0.0478879	0.0442917	0.0479262
acheté	0.0303259	0.0213238	0.017541	0.0116884	0.00946861	0.00821588	0.00718984	0.00654984	0.0034582	0.00611509	0.00382407	0.00348463	0.00328134	0.00601904	0.0069922	0.00407258	0.0046589	0.00493361	0.00596094	0.00524378	0.00639381	0.00499316	0.00733351	0.0226195	0.0245794	0.0380538	0.0347184	0.0601909	0.0560792	0.0758073	0.117482	0.0926228	0.128914	0.159864
du	0.0432328	0.0367687	0.0264588	0.0273088	0.0388183	0.0494017	0.0476231	0.0840844	0.0347525	0.0541226	0.0750268	0.045947	0.0438008	0.0301247	0.0281907	0.0446612	0.0388815	0.0287198	0.0201984	0.0182819	0.0118861	0.0183503	0.0220333	0.0241169	0.0226203	0.0120194	0.00970303	0.00851194	0.00827316	0.00921331	0.00943373	0.0067887	0.00633741	0.0143081
poisson	0.174492	0.0638098	0.0544807	0.0452038	0.044096	0.0519036	0.0558401	0.0536475	0.0324086	0.0418869	0.0395107	0.0307363	0.01999	0.0177072	0.0199153	0.0222775	0.0176153	0.027168	0.0339245	0.0160953	0.00894915	0.00890145	0.00564781	0.00597176	0.00812878	0.0058098	0.00522455	0.00564941	0.00740904	0.00793953	0.0118733	0.0171242	0.0192704	0.0193919
pour	0.117167	0.0766101	0.063847	0.0582155	0.0494452	0.0410533	0.039089	0.0391799	0.041438	0.0445757	0.030322	0.036277	0.02138	0.0189771	0.0120033	0.00862102	0.00879997	0.010386	0.0171797	0.00822956	0.00463422	0.00843913	0.0110493	0.0173082	0.0194358	0.0105495	0.0105907	0.0122326	0.0234798	0.0206876	0.023244	0.0218926	0.0264063	0.0472537
la	0.0767251	0.041534	0.0200179	0.0162825	0.00979196	0.00676031	0.00732188	0.00710121	0.0122255	0.0207337	0.0134479	0.0182114	0.0155832	0.0197719	0.02692	0.0238125	0.0178754	0.0244322	0.0290277	0.0305585	0.0161823	0.0169597	0.0131727	0.0154862	0.0334148	0.0226767	0.0291076	0.0269498	0.0431639	0.0289169	0.0740617	0.0996126	0.0963472	0.045813
femme	0.118731	0.0623464	0.0463787	0.0299747	0.028142	0.0257617	0.0178145	0.0167357	0.0154399	0.0157751	0.0154359	0.015135	0.0113868	0.00820101	0.0098501	0.00837101	0.00876095	0.00993943	0.0219567	0.0320886	0.0217744	0.029997	0.0203113	0.0223333	0.0451353	0.0249954	0.0229685	0.0213401	0.0398211	0.0246898	0.0414968	0.0563546	0.0569816	0.0535754
du	0.105366	0.0621485	0.0408776	0.0413758	0.0351815	0.0279167	0.0233869	0.0240206	0.0253743	0.0230734	0.0192401	0.0249474	0.0197522	0.0173458	0.0144283	0.00671592	0.00960184	0.0127179	0.0162378	0.0162684	0.0173572	0.0298866	0.02751	0.0283854	0.0239864	0.0104352	0.0112793	0.0165477	0.0289254	0.0353517	0.0503927	0.0404632	0.0504014	0.0631011
chef	0.0855444	0.0609036	0.0569183	0.0496708	0.0453733	0.0379898	0.0268651	0.0227769	0.0237287	0.0221401	0.0236845	0.0193944	0.0159279	0.0159223	0.0164332	0.0131847	0.0134797	0.0147388	0.0153409	0.01413	0.0219866	0.0199287	0.0124009	0.0176451	0.0173306	0.0134651	0.0161472	0.0289979	0.0255618	0.0391217	0.0643261	0.045713	0.0524707	0.0307575
</S>	0.0953515	0.0472259	0.027269	0.0218651	0.0132387	0.012115	0.00743317	0.00993561	0.00957122	0.0118759	0.00823223	0.00824451	0.00681581	0.0052767	0.00550502	0.00519931	0.00527438	0.00914883	0.0122374	0.0100141	0.0158921	0.0243112	0.0338824	0.0417277	0.0326187	0.0201701	0.0274503	0.0320335	0.0484901	0.0786105	0.143126	0.0686171	0.0605188	0.0407224
