 	a66	a87	a97	a23	a79	a30	a53	a15	a79	a7	a56	a94	a12	a21	a85	a5	a21	a5	a61	a62	a88	a0	a90	a96	a75	a85	a15	a0	a93	a94	a62	a96	a4	a20	a7	a84	a57	a87	a97	a10	a87	a97	a9	</S>
ce	0.0349824	0.0559439	0.0503291	0.0766285	0.0755904	0.0466066	0.0390286	0.0445858	0.0399496	0.0266736	0.0255741	0.0285486	0.0280705	0.0270788	0.0222894	0.0182204	0.0308056	0.0218388	0.0135131	0.00889577	0.00658056	0.00588452	0.00812937	0.0100183	0.00707705	0.00775229	0.00525084	0.00511372	0.00673852	0.00848392	0.00684619	0.00690426	0.0113727	0.0193475	0.0220135	0.0251559	0.0219715	0.0210146	0.019258	0.0205	0.0135169	0.00906923	0.00856868	0.00827837
matin	0.00681223	0.019637	0.0289761	0.0454161	0.058054	0.0962864	0.12446	0.0505358	0.03336	0.0123335	0.0117264	0.00908492	0.00612858	0.00264159	0.0120984	0.00478435	0.0225488	0.00488159	0.00936821	0.0397337	0.030769	0.0285724	0.0380269	0.0280487	0.0241547	0.0284573	0.0395729	0.0212765	0.0182252	0.0187269	0.0111953	0.0175473	0.0233726	0.0212609	0.00940545	0.00668937	0.00383379	0.00384031	0.0040966	0.00315274	0.00434727	0.00329432	0.00542029	0.00784571
votre	0.0552779	0.0765821	0.0745246	0.0765192	0.0809913	0.0919024	0.0740081	0.0297387	0.0330928	0.00744037	0.0128486	0.00806702	0.00780295	0.00372802	0.00513432	0.00156966	0.0129046	0.00126686	0.00140387	0.0147434	0.013148	0.0295501	0.00887583	0.0221495	0.0187245	0.0225446	0.0113203	0.00706079	0.00724688	0.0114292	0.0153839	0.015341	0.0104303	0.0167289	0.0141177	0.00925986	0.00930248	0.0104543	0.0100997	0.0143028	0.0144144	0.0134721	0.0181696	0.00692636
mère	0.0162786	0.0185751	0.024034	0.0260037	0.0248356	0.0314274	0.0601166	0.0595479	0.0683961	0.0420674	0.0374887	0.0274808	0.0300075	0.0144487	0.0161514	0.0198058	0.0221504	0.0269776	0.0505053	0.0302499	0.0137775	0.0176811	0.0135207	0.0135298	0.0268392	0.0476425	0.0496365	0.0166486	0.0193789	0.0277751	0.025049	0.022495	0.00582559	0.00678737	0.00265973	0.00253272	0.00198391	0.00276374	0.00412301	0.0037936	0.0071402	0.00709279	0.00502369	0.00975112
a	0.00569719	0.00825822	0.0104399	0.0162179	0.0161186	0.0177044	0.033117	0.031898	0.03514	0.0210283	0.0163407	0.0131661	0.0289124	0.0164541	0.0165155	0.0236569	0.0368727	0.0392689	0.086684	0.0565184	0.05849	0.0545555	0.0483095	0.0558963	0.0511182	0.0471315	0.0262403	0.0189697	0.0136048	0.00567545	0.00845575	0.0053415	0.00289603	0.0025998	0.0024201	0.00198017	0.00234913	0.00279553	0.00381973	0.00448261	0.00974404	0.0110038	0.0140075	0.0181037
déclaré	0.00368511	0.00197192	0.00278867	0.0033829	0.00543014	0.00984022	0.00901963	0.0232954	0.0290871	0.047044	0.0514692	0.0463233	0.0812159	0.0619478	0.0615838	0.0700682	0.0690002	0.0581101	0.0614387	0.0432647	0.0566208	0.0386083	0.0225909	0.0142393	0.0119317	0.0161869	0.0108331	0.00898633	0.00699753	0.00320797	0.00299672	0.00238016	0.00175245	0.00228128	0.00208421	0.00317393	0.00230826	0.00223988	0.00306133	0.00429616	0.00577602	0.00964051	0.0103768	0.0174624
avoir	0.00981372	0.00736924	0.0100721	0.0123336	0.0197358	0.0235337	0.0319921	0.031096	0.0414776	0.0516667	0.0379081	0.0372011	0.0424743	0.0390921	0.0373168	0.0252449	0.0637874	0.0191783	0.0310877	0.0388681	0.0437708	0.0286249	0.0210378	0.0367276	0.0277794	0.0413473	0.0150501	0.0123699	0.00857108	0.00813552	0.00788492	0.00919989	0.00667244	0.00697871	0.00533972	0.00665066	0.00554795	0.00476049	0.00879162	0.0130359	0.0139317	0.0145325	0.0157368	0.0262729
perdu	0.00879719	0.00831884	0.00857236	0.00834926	0.00961698	0.0128671	0.0152977	0.0274791	0.0276218	0.0227697	0.0197523	0.0166892	0.0234466	0.0238479	0.0251461	0.0225825	0.0409438	0.0355952	0.0406216	0.0516576	0.0723226	0.070928	0.0463177	0.0492922	0.0408584	0.0511629	0.0198115	0.0111789	0.00982034	0.00395491	0.00279162	0.00261907	0.00225906	0.00293305	0.00323692	0.00417053	0.00403347	0.00451263	0.00565828	0.0137158	0.0270831	0.0169638	0.0499416	0.0344606
sa	0.0103456	0.00552971	0.0066251	0.00688029	0.00893089	0.0122336	0.0134237	0.0190555	0.0187431	0.0264078	0.0241	0.0202347	0.0234997	0.0339981	0.0327471	0.0282896	0.0307237	0.0420187	0.0381479	0.0290887	0.0239766	0.0298018	0.0211626	0.0251707	0.0302617	0.032042	0.0211345	0.0179227	0.0146891	0.0139856	0.0109964	0.0114914	0.0112791	0.0141377	0.00807465	0.0126818	0.0110538	0.0105306	0.0168034	0.0266122	0.0481794	0.0409253	0.0626378	0.0534255
machette	0.0108326	0.00764358	0.00795675	0.0061532	0.00938496	0.0113257	0.0187594	0.033099	0.0175131	0.0140715	0.0220162	0.0158169	0.0366817	0.0438225	0.0234997	0.0276365	0.0233323	0.0658501	0.0595744	0.0338794	0.024994	0.0269894	0.0186022	0.0214829	0.02713	0.0195226	0.0150883	0.0150229	0.0140291	0.00760677	0.00446745	0.00624842	0.00814958	0.0130345	0.0094838	0.0150498	0.0105712	0.0141461	0.0152106	0.0240228	0.0431264	0.0235021	0.0709652	0.0627042
