 	a10	a82	a75	a12	a62	a21	a47	a21	a62	a31	a21	a85	a15	a37	a85	a37	a90	a15	a69	a58	a82	a3	a38	a12	a47	a88	a62	a31	a24	a31	a24	a9	a82	a9	a10	a9	a10	</S>
le	0.0631965	0.0678463	0.0374867	0.0238126	0.0340267	0.0328458	0.0457716	0.0280954	0.0292551	0.0291536	0.0152734	0.0148847	0.00712716	0.00795233	0.00982968	0.00768022	0.00636007	0.0128536	0.0154744	0.0158946	0.0232572	0.0261066	0.0334252	0.041822	0.0166412	0.0209519	0.0231513	0.0160227	0.0184998	0.028179	0.0284063	0.0284665	0.0343593	0.0214807	0.028186	0.0347005	0.0205706	0.0509528
sac	0.00101136	0.00277075	0.00602422	0.0069551	0.00566553	0.00699219	0.0135267	0.0233227	0.0282835	0.0564117	0.0956036	0.0894307	0.0856135	0.116393	0.0994358	0.08359	0.0438422	0.0334782	0.0594622	0.0318548	0.0216525	0.0156057	0.014615	0.0106723	0.00803845	0.0129996	0.00433677	0.00198151	0.000774238	0.000638941	0.00104328	0.00123667	0.00269469	0.00258118	0.00259327	0.00334884	0.00328608	0.00223358
qu'	0.0187169	0.0196892	0.0277777	0.0307612	0.0167625	0.0512194	0.0641559	0.114248	0.0831211	0.132894	0.0853127	0.0822745	0.0342759	0.0522438	0.0327999	0.0297285	0.0179225	0.0254754	0.025304	0.014566	0.00650807	0.00416995	0.00451454	0.00184971	0.00191295	0.00167437	0.00132067	0.00110723	0.00144448	0.00135522	0.00177602	0.00107527	0.00122758	0.00202229	0.00269698	0.00210076	0.00216953	0.00182503
il	0.0306109	0.0230147	0.0201009	0.0149122	0.00927816	0.0137857	0.0219931	0.0291966	0.0159165	0.034998	0.031479	0.033988	0.0140044	0.0242635	0.0211022	0.0216854	0.0157817	0.0222217	0.0228977	0.0230131	0.00902998	0.024618	0.024084	0.018603	0.0212699	0.00889153	0.00825919	0.00685209	0.0122251	0.0120434	0.0341276	0.030798	0.0698048	0.0526604	0.0407779	0.058781	0.0483433	0.0745876
a	0.014759	0.0109209	0.00798572	0.00515359	0.00868104	0.00961381	0.0149157	0.010755	0.0109208	0.0134753	0.0208898	0.026615	0.019374	0.0220623	0.0260997	0.0416365	0.0364765	0.0184241	0.0168663	0.0222739	0.016292	0.0163979	0.0175909	0.0147793	0.0187988	0.00868442	0.00806449	0.0055933	0.0153075	0.015711	0.0243589	0.0351709	0.0737556	0.0344111	0.057253	0.0897629	0.0616115	0.128558
en	0.0103548	0.00416683	0.00661254	0.00656445	0.00640531	0.0147073	0.0379973	0.0244338	0.0316091	0.0226459	0.0303151	0.0180971	0.0107271	0.0139032	0.0186384	0.0376394	0.0254989	0.0253398	0.0329426	0.0456102	0.033781	0.0315318	0.0390902	0.0267972	0.0244156	0.0124951	0.00924303	0.00638247	0.00701832	0.00883946	0.0153452	0.0185902	0.0401475	0.0509042	0.0591014	0.0517504	0.0483473	0.0920106
main	0.0146554	0.00860554	0.0118019	0.0110472	0.00816677	0.0183531	0.0197908	0.0312326	0.0187987	0.0283744	0.0189748	0.0299426	0.0220153	0.021139	0.035835	0.0397219	0.0352804	0.0429283	0.0494027	0.0418017	0.0346726	0.0492324	0.0528507	0.044661	0.0327322	0.0163033	0.0149309	0.00980582	0.00394203	0.00890922	0.0131851	0.00914914	0.0182211	0.0334845	0.0302917	0.0287806	0.0355063	0.0554732
est	0.0247061	0.0127117	0.0112116	0.0120645	0.01872	0.029568	0.0262483	0.0399671	0.0250821	0.0332657	0.0290221	0.0295689	0.0151203	0.0152932	0.027613	0.0315574	0.0190587	0.0324708	0.0353921	0.0336185	0.0227775	0.023786	0.029929	0.0210709	0.0176967	0.0121827	0.00995623	0.010684	0.00504763	0.0169987	0.0183187	0.0175751	0.019989	0.0600903	0.0661582	0.0448638	0.0502417	0.0503737
bleu	0.0139021	0.00998628	0.00696635	0.005854	0.00803291	0.0123206	0.0165287	0.0128151	0.028228	0.0136404	0.0420788	0.0296068	0.027046	0.0165788	0.0131481	0.0229437	0.0209259	0.0222835	0.0207825	0.021972	0.0178626	0.0178294	0.018447	0.0113998	0.0102354	0.0135296	0.0113031	0.0198809	0.0109904	0.0203251	0.0340387	0.0146591	0.0860797	0.0507859	0.110325	0.0639528	0.0405554	0.0821598
foncé	0.0130526	0.0116162	0.00915643	0.00874442	0.011861	0.0189081	0.0170129	0.0168856	0.0285354	0.023113	0.0423129	0.0379126	0.0266394	0.0198979	0.0171805	0.0293074	0.0281049	0.0290871	0.0369488	0.039918	0.0368347	0.0356527	0.0388186	0.0300664	0.0258149	0.0270418	0.0229704	0.0199175	0.00886784	0.0145841	0.0224574	0.0111394	0.0462894	0.0282728	0.0465584	0.0354202	0.0239895	0.059109
</S>	0.0636399	0.0462976	0.0288311	0.0184449	0.0237313	0.0193645	0.0105881	0.00885852	0.0126479	0.00822972	0.0107072	0.00779022	0.00646847	0.00425474	0.00397207	0.00645498	0.00500758	0.00540692	0.00963402	0.016378	0.0244328	0.0237595	0.0258019	0.0189256	0.0209524	0.0188466	0.0223307	0.0176788	0.0139399	0.024351	0.0319662	0.0290066	0.069564	0.0593599	0.0730251	0.0501489	0.035857	0.123345
