 	a66	a87	a23	a50	a18	a0	a88	a31	a88	a98	a15	a69	a15	a47	a79	a44	a15	a7	a40	a47	a36	a11	a75	a79	a56	a32	a11	a75	a21	a5	a37	a54	a36	a2	a57	a87	a23	a87	</S>
lorsqu'	0.0861183	0.0904018	0.0502562	0.0315038	0.0485989	0.0216905	0.0246262	0.0252143	0.0140249	0.0289854	0.0421598	0.0255138	0.0168951	0.0247702	0.0138227	0.0198385	0.0221548	0.0301438	0.0209457	0.0210264	0.0173863	0.0225979	0.0155535	0.0159748	0.0152788	0.0113251	0.0122955	0.014742	0.0191073	0.0134937	0.0194994	0.0109269	0.014903	0.0130786	0.0167472	0.0165212	0.0178601	0.0165606	0.057457
on	0.0106629	0.012259	0.0108771	0.0225946	0.0110555	0.0181572	0.0459607	0.0652559	0.06313	0.0911743	0.0904016	0.0821173	0.101513	0.061295	0.0427791	0.052255	0.0341577	0.0191092	0.0146076	0.00613808	0.0099706	0.00561871	0.00508334	0.00678973	0.00561607	0.0144011	0.00833966	0.00426642	0.00615025	0.00665293	0.00678177	0.00334872	0.00487959	0.00948437	0.00746542	0.00702091	0.00997729	0.0100335	0.0126191
l'	0.0377448	0.014054	0.0167498	0.0123687	0.0103247	0.0253362	0.0243159	0.0392775	0.0259605	0.0283678	0.0284217	0.0266803	0.0411732	0.0351736	0.0392269	0.0506956	0.0145693	0.0201239	0.0195251	0.00582224	0.0128461	0.0109876	0.0042541	0.00338483	0.00532441	0.0063351	0.0156209	0.0131737	0.0262946	0.0364282	0.0301034	0.0302267	0.0405615	0.0378795	0.0446588	0.0410923	0.0375486	0.0660107	0.0213572
a	0.0660464	0.0546991	0.042632	0.0220249	0.0278344	0.0165252	0.013093	0.0107184	0.00662467	0.00798115	0.00648017	0.00849572	0.0127404	0.0165644	0.031739	0.028858	0.035127	0.0393624	0.0422263	0.0433681	0.0412224	0.0373872	0.0302581	0.0188888	0.0250663	0.0206085	0.0247564	0.025881	0.0226433	0.0161445	0.0147202	0.0122195	0.0211353	0.0181619	0.0183276	0.0288831	0.0217333	0.0214002	0.047422
poussé	0.0723406	0.0504041	0.0441558	0.0240486	0.0211585	0.0105625	0.0107277	0.00751049	0.00664732	0.00693996	0.00658122	0.00930203	0.0176752	0.0290426	0.0376949	0.0358501	0.0379459	0.0296382	0.0229678	0.0234803	0.0198678	0.0177888	0.0154972	0.0179676	0.0119895	0.00369475	0.00630052	0.0101715	0.0160896	0.0164308	0.0207593	0.0148691	0.0335893	0.0154344	0.0371424	0.0752911	0.0426776	0.0599917	0.0597733
il	0.037639	0.0294253	0.0258947	0.0183335	0.0124622	0.010034	0.0149443	0.0130752	0.0152793	0.0223747	0.0394816	0.0658093	0.089393	0.125822	0.0585186	0.055756	0.0471428	0.0348522	0.0250713	0.0186239	0.01547	0.00790615	0.0025125	0.00366506	0.00261524	0.00539109	0.0108141	0.0114614	0.0125299	0.0178591	0.0218726	0.01289	0.0169814	0.0150072	0.0162863	0.0166522	0.0156759	0.0184364	0.01604
n'	0.0169538	0.0107019	0.00798115	0.00658904	0.00561675	0.00469827	0.0068763	0.00740554	0.00792659	0.0100156	0.0161779	0.0197776	0.0495167	0.0649948	0.0765836	0.0996007	0.0869784	0.0634164	0.0607317	0.0473722	0.0431957	0.014541	0.00513523	0.00627503	0.00432184	0.00517719	0.0101678	0.0115601	0.0173672	0.0284547	0.0252353	0.020762	0.0226105	0.0212938	0.0176961	0.0269953	0.0174675	0.0202603	0.0115684
est	0.0240794	0.0209439	0.0165412	0.0165792	0.0113334	0.0144209	0.0199221	0.0268202	0.0276476	0.0262026	0.0289782	0.0284936	0.0336079	0.0332962	0.0300293	0.0385633	0.0301824	0.0249468	0.023433	0.0190737	0.0231611	0.0215172	0.0108766	0.00935071	0.00400047	0.0110936	0.0197303	0.0257662	0.039007	0.0422791	0.0455565	0.0338094	0.0362992	0.037539	0.0252504	0.0358191	0.0240343	0.0321339	0.0276809
pas	0.0595713	0.0478004	0.0266193	0.0239868	0.0166449	0.0171876	0.0147712	0.0208407	0.0193765	0.0201608	0.0209227	0.0181378	0.0238382	0.0298804	0.0241931	0.0256273	0.031655	0.020694	0.0161625	0.0176142	0.0124686	0.0167269	0.0162781	0.0191018	0.0396734	0.052437	0.0273111	0.026635	0.0254578	0.0258996	0.04188	0.0161269	0.0279409	0.0172344	0.0282763	0.0306567	0.0205166	0.0274026	0.0322916
tombé	0.0421466	0.0325772	0.0259195	0.0193749	0.0162056	0.0106793	0.00903319	0.010869	0.0105037	0.0180466	0.0289972	0.0405148	0.0286539	0.0532729	0.0530379	0.0471812	0.048921	0.0283316	0.0293294	0.024508	0.0226034	0.0228171	0.0185085	0.0192301	0.0188274	0.0192092	0.0189194	0.0113521	0.0101109	0.0147761	0.0245347	0.0113976	0.0170637	0.0170004	0.0256226	0.0260865	0.0223733	0.0302646	0.071199
