 	a87	a10	a76	a25	a56	a43	a75	a25	a56	a35	a62	a0	a21	a61	a47	a24	a0	a47	a24	a9	a10	a87	a23	a99	a97	</S>
il	0.138039	0.148587	0.104058	0.097688	0.070846	0.0388997	0.0113463	0.00421575	0.00242307	0.00160409	0.00159642	0.00170635	0.00129044	0.0021821	0.00335377	0.0047191	0.0127444	0.0204068	0.0331922	0.0294957	0.0448173	0.0274943	0.0345909	0.0418325	0.0568056	0.0660657
y	0.0189363	0.0179322	0.0323624	0.0444995	0.0419288	0.0492419	0.0364743	0.0311059	0.0264563	0.0211233	0.0157831	0.027251	0.0366879	0.0174569	0.0306052	0.029354	0.0321526	0.0397496	0.0558265	0.0732016	0.0895837	0.0544483	0.0709023	0.0378552	0.0409159	0.0281655
a	0.0504359	0.0434451	0.0441516	0.036886	0.03207	0.0420227	0.0209534	0.00567393	0.00434707	0.00266789	0.00611296	0.00437486	0.00905585	0.00909352	0.0129204	0.00790507	0.0171473	0.0151895	0.0294449	0.0260307	0.059901	0.064093	0.0906119	0.0933192	0.141662	0.130484
de	0.0915758	0.094945	0.0899132	0.0898611	0.0546929	0.0900559	0.052035	0.0382396	0.0513381	0.0414383	0.0303996	0.0332766	0.0384064	0.0192862	0.0161588	0.0150486	0.0135713	0.0137206	0.0125341	0.0131791	0.0158024	0.0149755	0.0134878	0.0137019	0.0135843	0.0287719
la	0.0875257	0.0541187	0.0467337	0.0379141	0.0435637	0.0475993	0.0347579	0.0200977	0.0212044	0.0199665	0.015659	0.0249796	0.0314829	0.0142877	0.0259549	0.0208743	0.0310486	0.0287347	0.0352512	0.0250974	0.0504215	0.0496296	0.0397827	0.0489024	0.0509526	0.0934593
moelle	0.109069	0.0611446	0.0402229	0.0366904	0.0326441	0.0411739	0.0363236	0.0157388	0.0112852	0.0103584	0.00808007	0.00645012	0.01806	0.0304185	0.0312073	0.0210847	0.0386339	0.0376624	0.0421844	0.0452482	0.038575	0.0560504	0.0551907	0.0530805	0.050636	0.072787
dans	0.0844439	0.0954437	0.0916812	0.0680998	0.0271915	0.021139	0.0094695	0.00510352	0.00414249	0.00291648	0.000969768	0.000505627	0.00132832	0.00157529	0.00637401	0.00399946	0.0211415	0.0270469	0.0345438	0.0250563	0.0333269	0.0788319	0.0680151	0.0511161	0.0881329	0.148405
l'	0.100651	0.104429	0.0839687	0.0450588	0.0231249	0.0230908	0.0125976	0.00554471	0.00531066	0.00615204	0.00774538	0.0150456	0.0221716	0.0168711	0.0227928	0.0272919	0.0334511	0.0530288	0.0558453	0.0319105	0.0543616	0.042282	0.0345431	0.0547173	0.0603671	0.0576466
os	0.0785098	0.0456532	0.0463579	0.0386515	0.0281557	0.0269566	0.0306563	0.0270814	0.023143	0.0196935	0.0154912	0.0126389	0.0284609	0.0185518	0.0263565	0.0163225	0.0275494	0.0200952	0.0397812	0.0305073	0.0516051	0.0586082	0.0690957	0.0718045	0.0770268	0.071246
</S>	0.103435	0.0532374	0.0449084	0.0380345	0.0195789	0.0173642	0.0130556	0.00841029	0.00714566	0.0068969	0.00609649	0.0059645	0.0109332	0.0160516	0.0226428	0.0196192	0.0282947	0.0234575	0.0311458	0.0291716	0.0350083	0.0474615	0.0503366	0.0614072	0.0849598	0.215382
