 	a66	a87	a97	a30	a93	a4	a13	a11	a47	a62	a88	a62	a21	a47	a62	a47	a96	a90	a56	a25	a44	a98	a47	a36	a2	a57	a3	a97	a9	</S>
c'	0.0677155	0.075727	0.104549	0.0844865	0.0537662	0.0550083	0.0464618	0.0399303	0.0424622	0.0331312	0.025887	0.0256817	0.0195399	0.015145	0.00565393	0.00877861	0.013793	0.0237573	0.0232949	0.0185894	0.0121286	0.0190723	0.0103156	0.0199235	0.0200043	0.0165118	0.017317	0.036815	0.0287873	0.035766
est	0.0623496	0.0411981	0.0233411	0.0202222	0.0199941	0.0333979	0.039164	0.0337904	0.0520392	0.0225771	0.0348082	0.0237799	0.0156319	0.0235695	0.0141224	0.0171296	0.0173787	0.0113397	0.015058	0.0296785	0.0409896	0.0346606	0.0606475	0.0405314	0.0446555	0.0488988	0.0429997	0.0654332	0.052184	0.0184297
leur	0.0688266	0.067106	0.0363792	0.0201279	0.0254479	0.0524767	0.0243224	0.0173574	0.0154147	0.00667365	0.0169299	0.0119869	0.00621189	0.0106126	0.0115403	0.00946592	0.0143443	0.0110184	0.00469409	0.008155	0.011874	0.0203691	0.0265376	0.0452307	0.0655892	0.0669808	0.122282	0.0474845	0.0758201	0.0787411
oncle	0.010448	0.0108883	0.00830365	0.0136804	0.0120515	0.00566492	0.0131354	0.0138716	0.0297661	0.0581348	0.0844074	0.0849518	0.0493206	0.0985342	0.0474283	0.0620529	0.116936	0.0363432	0.0481566	0.0367003	0.0102381	0.00681419	0.0287435	0.0169213	0.0139338	0.0329208	0.01848	0.00920028	0.0137531	0.0082188
qui	0.0345983	0.0251829	0.0148933	0.00876548	0.0141501	0.0270457	0.0276733	0.0175436	0.029333	0.0175387	0.0242328	0.0233627	0.011251	0.0412841	0.0153116	0.0472537	0.0654617	0.0242106	0.0423105	0.035112	0.0625417	0.0274951	0.057105	0.0551978	0.0513576	0.0608173	0.0425574	0.0358827	0.037579	0.0229512
a	0.0675477	0.0562517	0.0253953	0.0104675	0.0120055	0.0370713	0.0296772	0.0223558	0.0297579	0.0132852	0.0350588	0.0305626	0.0184632	0.0432173	0.0482256	0.1026	0.13551	0.0849615	0.0551407	0.0197768	0.0129725	0.0124947	0.0133577	0.0129136	0.0115918	0.0108257	0.0133088	0.0159235	0.013097	0.00618313
coupé	0.0244594	0.0176883	0.00973133	0.00412432	0.00618267	0.0090766	0.0189019	0.0218337	0.0521825	0.0366896	0.0835356	0.0471441	0.0279616	0.06838	0.0557539	0.115529	0.116161	0.0413555	0.0654555	0.0437023	0.020602	0.00846258	0.0245214	0.0187153	0.0180146	0.0125938	0.0111677	0.00809038	0.00763885	0.00434461
ce	0.109363	0.0564702	0.028514	0.0228749	0.0140204	0.0258641	0.0277311	0.0350195	0.0319415	0.0156249	0.0343365	0.0301148	0.0158881	0.0327204	0.0177817	0.0168988	0.0219827	0.0135342	0.0236308	0.0267521	0.0518438	0.0444624	0.0491214	0.0338842	0.0449318	0.0428484	0.036317	0.0506252	0.0347798	0.0101227
palmier	0.0396337	0.0300512	0.0305757	0.0128603	0.00678445	0.0148228	0.0131834	0.0114075	0.0149732	0.00793847	0.01048	0.0101149	0.00708986	0.00946109	0.00657589	0.00854973	0.00965361	0.0100463	0.0171223	0.0239007	0.0301868	0.0476406	0.0469798	0.0732509	0.0849616	0.0559153	0.0924362	0.0977174	0.0859648	0.0897214
</S>	0.0505108	0.0374267	0.0325817	0.0105756	0.00883015	0.0157055	0.010604	0.0142675	0.0145241	0.00958967	0.0125382	0.00670489	0.00517283	0.00533271	0.00447408	0.00288065	0.00377349	0.00565912	0.0101159	0.0185479	0.0265825	0.0429873	0.0452805	0.0663067	0.0860605	0.0614502	0.0958679	0.0825051	0.0886463	0.124498
