 	a66	a87	a23	a99	a9	a24	a12	a18	a21	a47	a88	a62	a88	a61	a62	a75	a6	a36	a27	a11	a47	a62	a75	a6	a47	a7	a4	a57	a9	a82	a87	a23	a87	a23	a87	</S>
nous	0.0723813	0.0601197	0.0372912	0.0296467	0.0185641	0.017296	0.0141617	0.00942331	0.0181215	0.0130975	0.0203496	0.013602	0.0133431	0.014032	0.00841094	0.00916931	0.0129978	0.0142381	0.00834581	0.00957155	0.0149522	0.0320738	0.0309105	0.0443405	0.0498288	0.0371134	0.0277909	0.0245533	0.0434603	0.0301953	0.0216725	0.0281696	0.0267899	0.053941	0.0508805	0.0691642
avons	0.0156277	0.018616	0.0470833	0.0322749	0.0398545	0.0396955	0.0581304	0.0329001	0.0375526	0.0245658	0.0201243	0.0260362	0.0259063	0.0226177	0.0228955	0.0292963	0.0628251	0.0890093	0.0743059	0.0380007	0.0336478	0.0212809	0.00854204	0.00693076	0.00850141	0.0121083	0.0166632	0.0250201	0.00892009	0.0147916	0.0127347	0.0195103	0.0186988	0.0138422	0.0137065	0.00778339
vu	0.00733082	0.00801049	0.01512	0.0122012	0.0225318	0.0189247	0.0284485	0.0274609	0.02642	0.0217374	0.022728	0.0264788	0.040523	0.0523693	0.0564318	0.0500994	0.0696079	0.106471	0.0447754	0.017125	0.0131375	0.0142796	0.0158579	0.0168716	0.0222518	0.0240805	0.0281716	0.0261674	0.0159802	0.0166833	0.0137637	0.0250824	0.0317433	0.0219136	0.0233179	0.0159026
un	0.0630416	0.0274477	0.0176618	0.0319333	0.0292924	0.0302958	0.0147001	0.0161069	0.015761	0.0221275	0.0319613	0.0284879	0.0212737	0.034271	0.0438625	0.038597	0.0278954	0.0331298	0.0493418	0.0481742	0.0342131	0.0388909	0.0399222	0.0331581	0.0192006	0.0160468	0.0154361	0.0211138	0.0237885	0.0252991	0.0161202	0.0195706	0.0215853	0.015911	0.0145095	0.0198718
singe	0.0335427	0.0297518	0.0327966	0.0382265	0.028986	0.0212177	0.00956102	0.0139653	0.0144022	0.0210211	0.0340963	0.0367513	0.0391663	0.0391981	0.051792	0.0651463	0.0488186	0.0530418	0.0505758	0.0343979	0.0447557	0.0532471	0.038583	0.0296002	0.018958	0.0192303	0.0136793	0.0100371	0.0159429	0.016089	0.00676408	0.0125613	0.00705113	0.00691197	0.00436605	0.00576724
vert	0.0413138	0.0301243	0.0277551	0.0442958	0.0409565	0.0524888	0.0261706	0.0293614	0.0319792	0.0356337	0.0424863	0.0389914	0.033231	0.0292218	0.0191332	0.0135952	0.0114954	0.0108407	0.0118838	0.0126647	0.0171928	0.0185137	0.0237243	0.0229485	0.033828	0.0227679	0.0252313	0.0230319	0.0391405	0.0345771	0.036612	0.0345479	0.0299154	0.023542	0.0136811	0.0171227
qui	0.0682616	0.0502232	0.0505776	0.0492962	0.0267535	0.0312127	0.0241963	0.0242938	0.0223321	0.0203419	0.0202455	0.0168688	0.0132253	0.0101467	0.0080366	0.0133737	0.0152308	0.0166462	0.019243	0.0164559	0.0224296	0.0230531	0.0193278	0.0246802	0.0404117	0.0259172	0.0306813	0.0242288	0.0387368	0.041875	0.040968	0.0297993	0.0279319	0.0304857	0.031302	0.0312099
traversait	0.0657291	0.0329074	0.0290942	0.0374381	0.0208187	0.0230618	0.0151356	0.0201985	0.0114216	0.0174201	0.0145222	0.0209805	0.017808	0.0127068	0.00853989	0.0118047	0.0137689	0.0141551	0.0142985	0.0160463	0.0184116	0.0207977	0.0169723	0.0265767	0.0371891	0.023255	0.0242571	0.0188619	0.0352866	0.0292744	0.0438058	0.0419503	0.0466831	0.0503497	0.0622942	0.0861783
la	0.0759972	0.027618	0.0219085	0.0215343	0.0123355	0.00774817	0.00591407	0.00834697	0.00328424	0.00601041	0.00647273	0.00862611	0.0076331	0.00640329	0.0178439	0.0289279	0.0292407	0.0472136	0.0609867	0.0678447	0.0772883	0.0825906	0.0852555	0.0390813	0.0145767	0.0157392	0.0120183	0.0228009	0.0257038	0.0178271	0.0142207	0.0268226	0.0198757	0.0247547	0.0251983	0.0243562
route	0.118112	0.0448598	0.053107	0.038445	0.0234021	0.0211948	0.0163535	0.0131774	0.00775699	0.00678914	0.00516869	0.00558484	0.00455299	0.00317021	0.0101894	0.0139362	0.0263652	0.0360979	0.0429664	0.0326149	0.0445874	0.0454427	0.0395248	0.028422	0.0247283	0.0187448	0.0245714	0.0301881	0.0313611	0.0314171	0.0293706	0.0275005	0.0280977	0.0235532	0.0245375	0.0241081
</S>	0.0325791	0.00785412	0.00414201	0.00500906	0.00225217	0.00205904	0.00135327	0.00231258	0.00121742	0.00151532	0.00171821	0.00204278	0.00196791	0.00197757	0.00174264	0.00175394	0.00145512	0.00253007	0.00323993	0.00415486	0.0150725	0.0181729	0.0264701	0.0531851	0.064962	0.0624969	0.0511778	0.0531635	0.0718412	0.0668042	0.0915681	0.0813491	0.0894717	0.082503	0.06241	0.0264748
