 	a66	a87	a23	a87	a23	a87	a23	a40	a44	a4	a13	a54	a47	a36	a2	a57	a54	a47	a37	a79	a44	a93	a56	a11	a56	a44	a98	a47	a37	a47	a7	a98	a47	a36	a2	a57	a87	a23	a40	a36	a2	a70	a54	a47	a7	a47	a7	a98	a47	a85	a92	a6	a37	a26	a61	a88	a71	a9	a87	a23	a87	</S>
les	0.0280663	0.0381902	0.0395436	0.0301281	0.0355508	0.0203412	0.0197184	0.0200155	0.0264678	0.028342	0.0493374	0.0543237	0.044921	0.0309525	0.0265412	0.0222311	0.0105792	0.0103579	0.0116087	0.0129776	0.00842352	0.0120354	0.00869125	0.0123086	0.00884481	0.0104272	0.00748894	0.00774515	0.0113114	0.0110426	0.00564794	0.00922697	0.00678233	0.0122901	0.00649602	0.00802106	0.0145811	0.00610108	0.00945554	0.0216572	0.00570694	0.0115563	0.00635931	0.00459449	0.00568241	0.007252	0.00839876	0.011853	0.0110967	0.0135479	0.0112197	0.00969255	0.0159566	0.0140792	0.0147894	0.0141306	0.0166061	0.0110402	0.00492252	0.0073916	0.00402106	0.0313303
mamans	0.00237365	0.00209203	0.00375651	0.00391142	0.00516828	0.00528002	0.00470917	0.0164231	0.0281637	0.0485986	0.0411547	0.0651899	0.05628	0.0738402	0.108822	0.0600305	0.0366768	0.0258963	0.0369431	0.0111062	0.0200833	0.0129029	0.0138901	0.0229689	0.0234467	0.0186623	0.0244465	0.0265598	0.021221	0.0205696	0.0223606	0.0168823	0.018696	0.0098675	0.0159705	0.0143021	0.00706796	0.0108521	0.00556838	0.00232384	0.000947142	0.00642381	0.0038152	0.000986538	0.000690577	0.000982851	0.00240337	0.00214563	0.00100997	0.00119404	0.000980242	0.00129196	0.000800557	0.0009315	0.00203158	0.0017474	0.00183139	0.000725698	0.000611386	0.00131525	0.00126587	0.000809451
doivent	0.026348	0.0145383	0.0131645	0.01074	0.0179261	0.0253581	0.0240632	0.0625404	0.0549917	0.0469465	0.0349168	0.0369329	0.0527292	0.0351318	0.042889	0.0676057	0.0370352	0.0208016	0.0217824	0.00999603	0.0144085	0.0204969	0.0222373	0.01383	0.0117392	0.0243973	0.0184416	0.0143986	0.0191706	0.00667954	0.00955401	0.0128463	0.017854	0.00948163	0.00832234	0.007721	0.00755547	0.0161972	0.00495438	0.0022412	0.00326201	0.00368031	0.00916211	0.0101727	0.0019194	0.00297976	0.00633193	0.00431281	0.00794045	0.00195562	0.00531157	0.000868727	0.00150163	0.00197536	0.00136864	0.00281523	0.00337097	0.00285342	0.00311751	0.00131943	0.00346198	0.00135383
vacciner	0.0138741	0.011641	0.0156299	0.0108706	0.00928622	0.00770891	0.00755608	0.00840956	0.0176091	0.0213976	0.0155091	0.018921	0.0268316	0.0104837	0.00798839	0.00806899	0.0115057	0.0172374	0.0203713	0.01574	0.030012	0.0299783	0.0207206	0.0187704	0.0184887	0.0373755	0.0310067	0.0310267	0.0236542	0.030985	0.0225056	0.0390752	0.01562	0.0330747	0.0202342	0.0278879	0.0311495	0.0184853	0.0144079	0.0103076	0.00485475	0.00669451	0.00550554	0.00538045	0.0045309	0.00356805	0.00410004	0.0029897	0.00363981	0.00288864	0.00316297	0.0118237	0.006445	0.0153854	0.00936854	0.014748	0.0157417	0.0255486	0.0117959	0.0146765	0.022959	0.022786
leurs	0.0128485	0.006324	0.00714813	0.00275195	0.00281481	0.00327562	0.00201637	0.00270325	0.00262827	0.00235892	0.00250877	0.00472168	0.0104344	0.0068893	0.00562511	0.00458876	0.00429628	0.00504292	0.0146841	0.0149695	0.0176169	0.0179138	0.0201562	0.0298615	0.0251471	0.0309432	0.0369017	0.0249651	0.0235971	0.021395	0.0269509	0.0226554	0.0224018	0.0459909	0.0484232	0.0246924	0.0805564	0.0309584	0.01848	0.0151087	0.0172194	0.0261347	0.0274869	0.0113146	0.00670579	0.00528571	0.00619945	0.00726937	0.00641517	0.0036759	0.00508862	0.00363821	0.00892041	0.0143008	0.0133905	0.0233768	0.0240399	0.0235396	0.0194738	0.0104111	0.0123577	0.0204091
enfants	0.00805159	0.00409039	0.00347592	0.00186104	0.00298959	0.0022439	0.00167059	0.00126028	0.00223947	0.00109725	0.00201869	0.00410848	0.00545176	0.00382123	0.00282918	0.00253948	0.00732208	0.00986911	0.0238981	0.0259146	0.0197003	0.0292099	0.0323776	0.0391076	0.0255323	0.0355682	0.0424319	0.0255402	0.0231957	0.0300023	0.023542	0.0299914	0.0193942	0.0493929	0.0438264	0.0153715	0.0877953	0.0242874	0.0219201	0.0146946	0.0286704	0.0185454	0.025434	0.0189901	0.0100609	0.0092382	0.012843	0.0120989	0.0113149	0.00582105	0.0094933	0.006371	0.00957154	0.00875645	0.00798969	0.0102192	0.01232	0.00937668	0.00814575	0.0032922	0.004395	0.00741787
contre	0.00977718	0.00446335	0.00375306	0.0025718	0.00294722	0.00184939	0.00139339	0.000832989	0.000997552	0.000424442	0.000970424	0.00208863	0.00254101	0.00280048	0.00134996	0.00248934	0.00614444	0.00888753	0.0156282	0.0257062	0.0141341	0.0340634	0.0580193	0.0552414	0.0419741	0.0726122	0.063116	0.0332796	0.0383957	0.0363013	0.0330529	0.0302627	0.0316544	0.034509	0.0292106	0.0230793	0.0807541	0.0131809	0.0162744	0.00736393	0.014138	0.00644258	0.0198073	0.0149534	0.00755943	0.00918059	0.00919808	0.00562728	0.0108204	0.00556816	0.0080056	0.00286944	0.00527339	0.00404964	0.00328856	0.0049848	0.00487651	0.00569877	0.00507876	0.00283615	0.00252286	0.00312432
la	0.0128779	0.00745801	0.00589806	0.00351286	0.00338145	0.00194126	0.00119304	0.000616182	0.000615483	0.000280707	0.000778627	0.00153042	0.00145638	0.00210354	0.000967771	0.0019258	0.00318383	0.00531358	0.00858023	0.0132701	0.00934216	0.029062	0.0552403	0.0682079	0.0596125	0.069314	0.0770073	0.0504583	0.0368227	0.0470985	0.0479603	0.0402092	0.0456922	0.0382836	0.0316982	0.0237175	0.0445046	0.0115969	0.0102574	0.00507905	0.00852771	0.0041234	0.00856401	0.0104483	0.00677508	0.00572491	0.00468917	0.00443715	0.00789366	0.00613534	0.00633923	0.00184389	0.00655929	0.00424567	0.00318601	0.00496447	0.00422554	0.00488849	0.00698776	0.00335851	0.00375268	0.00427996
rougeole	0.0113026	0.00866392	0.0105249	0.00986755	0.00840968	0.00350504	0.00228013	0.00139129	0.00194347	0.000765058	0.000782541	0.00186998	0.00180464	0.00275596	0.00210796	0.00246609	0.00278719	0.00442112	0.00640647	0.0121736	0.0105128	0.0231227	0.0375329	0.0485086	0.0402637	0.0446478	0.0544537	0.0413934	0.0307423	0.0541597	0.0427677	0.036795	0.0323974	0.0497324	0.033757	0.0207776	0.0660732	0.0113739	0.0112118	0.00516114	0.00939954	0.00730888	0.0105488	0.0115388	0.0107155	0.00877813	0.00904804	0.00775115	0.00972893	0.00669837	0.00954937	0.00439254	0.0107058	0.00682281	0.00667932	0.0119203	0.00771217	0.0074233	0.0128633	0.0120581	0.0113182	0.0154246
</S>	0.0520135	0.0345579	0.0264932	0.0179601	0.014107	0.00725034	0.00446826	0.00217588	0.00247765	0.00111392	0.0013622	0.00375039	0.00392721	0.00555322	0.00424251	0.00322889	0.0030663	0.00492458	0.00718841	0.0106083	0.00823488	0.0156277	0.0278519	0.0373248	0.0305712	0.0232485	0.038874	0.030753	0.0184535	0.0362556	0.0301882	0.0297714	0.0259809	0.0351564	0.0195858	0.0253411	0.0309663	0.0149017	0.0132477	0.0103782	0.0060308	0.00473686	0.00535361	0.00738632	0.00627346	0.00251789	0.00361052	0.00536437	0.00531308	0.00559071	0.00645949	0.00595461	0.0180679	0.0119726	0.0121837	0.021028	0.0182258	0.0128805	0.0241229	0.0360198	0.0282229	0.0395015
