 	a66	a87	a23	a99	a38	a62	a96	a75	a98	a85	a47	a36	a2	a56	a37	a98	a92	a79	a36	a56	a96	a75	a98	a15	a79	a90	a98	a15	a7	a44	a98	a79	a44	a93	a70	a13	a57	a3	a97	a87	a23	a97	a87	a23	a87	</S>
le	0.0427255	0.0505038	0.0314912	0.0222709	0.0380496	0.0620335	0.0772781	0.0781959	0.0670642	0.0583938	0.0318562	0.0116357	0.0126229	0.0118945	0.00620434	0.00657914	0.0128674	0.010626	0.0163071	0.0227758	0.0191195	0.0124148	0.0138826	0.0203451	0.0186025	0.0239037	0.0189458	0.0129371	0.00761544	0.00328642	0.01062	0.00569705	0.00923192	0.010229	0.00716508	0.0104569	0.0102515	0.00906327	0.0153863	0.012199	0.00850107	0.0137351	0.00921307	0.0156209	0.0120163	0.0181849
petit	0.00119125	0.00299826	0.00228008	0.00162189	0.00173502	0.00580558	0.00860748	0.0208992	0.0404753	0.0564744	0.0848539	0.0474892	0.131415	0.0939429	0.0466587	0.0792431	0.0229749	0.0696079	0.0267542	0.0274121	0.0351521	0.035058	0.0365275	0.0281977	0.0266248	0.0129015	0.00583021	0.00452517	0.00408513	0.00487974	0.00445798	0.00528193	0.00342442	0.00301466	0.00391358	0.0038117	0.00156859	0.00180602	0.00153261	0.00134306	0.000315158	0.000153513	0.000524893	0.000884145	0.00138145	0.000363885
oiseau	0.0107164	0.00626766	0.0060932	0.00345248	0.00527707	0.00785462	0.00631781	0.00799726	0.00987405	0.0125839	0.0222016	0.0169845	0.0661219	0.0284084	0.0371093	0.0699128	0.0418961	0.110663	0.0292645	0.0399085	0.0542201	0.0432043	0.0438427	0.0536143	0.0453224	0.0338206	0.0445626	0.0273478	0.0151264	0.0141348	0.0123935	0.00593604	0.00431233	0.0042529	0.00382369	0.00328775	0.00367156	0.00429854	0.00423176	0.00565974	0.00343995	0.00437255	0.00499039	0.00997724	0.00883733	0.00241403
nzunza	0.0402874	0.0257934	0.0153679	0.00644178	0.0141149	0.0120202	0.00877458	0.0107727	0.0123332	0.0152385	0.0386316	0.0190666	0.0495795	0.11046	0.0359014	0.0627186	0.0520067	0.034408	0.0334146	0.0437296	0.0303809	0.0420847	0.0471249	0.0237979	0.00804232	0.0114445	0.0127565	0.0113137	0.0194248	0.0161136	0.0202582	0.0174936	0.0186501	0.0104329	0.00520333	0.0056735	0.00662551	0.0080941	0.0063877	0.00598095	0.00578345	0.00493059	0.00476587	0.0044698	0.00678525	0.00491967
construit	0.0481107	0.0519683	0.0333878	0.0132478	0.0219278	0.0191162	0.0127582	0.0124401	0.00525668	0.00298096	0.0065551	0.00652838	0.0228002	0.0365402	0.0349101	0.0971384	0.0687585	0.0484524	0.0748446	0.0410443	0.0343768	0.0272686	0.0249946	0.0160187	0.0163866	0.0141042	0.0123616	0.00670707	0.0061435	0.00559615	0.00751353	0.00702813	0.00650446	0.0128342	0.0130724	0.0110397	0.0103785	0.0105938	0.00920256	0.0103975	0.0127047	0.0151978	0.0152545	0.0103946	0.0124115	0.0127475
son	0.0349004	0.0237096	0.0202903	0.0141145	0.0196457	0.0156435	0.0124272	0.0200788	0.0155316	0.0283508	0.0370323	0.062685	0.0643241	0.0722462	0.0696893	0.0563392	0.0554622	0.0425913	0.0345658	0.0325779	0.0266351	0.032476	0.020949	0.0141122	0.0131202	0.00924842	0.00389167	0.00459353	0.00440405	0.00350484	0.00363064	0.00277385	0.0022253	0.00424762	0.00618048	0.00506813	0.00556364	0.00414476	0.00984326	0.00579595	0.0081508	0.015479	0.0176055	0.0105698	0.0135866	0.0199939
nid	0.0166693	0.00976039	0.0072442	0.00682091	0.00791084	0.00442032	0.00382818	0.00546207	0.00458084	0.00752779	0.00764326	0.020728	0.0319917	0.0347313	0.0473365	0.0475176	0.0722454	0.104982	0.0674382	0.0605148	0.0557454	0.0463458	0.0336047	0.0350912	0.0269306	0.0184034	0.00881368	0.0068949	0.0126465	0.0141136	0.0110468	0.0092386	0.0118321	0.0129783	0.0179656	0.013779	0.00805941	0.00573095	0.0151306	0.0153786	0.00821044	0.0152059	0.00711529	0.00870844	0.00692336	0.00475302
avec	0.0646215	0.0395698	0.0279984	0.023645	0.021477	0.0151229	0.0213667	0.0234754	0.0202471	0.0182037	0.0261571	0.0216849	0.0229387	0.0319637	0.0376312	0.0218943	0.0374502	0.0319907	0.049962	0.0505419	0.0564449	0.0450454	0.0279187	0.0397027	0.0324343	0.0328576	0.0194107	0.012797	0.0146445	0.00840508	0.00760948	0.00499937	0.00721678	0.00544154	0.00583711	0.0051279	0.00486552	0.00319937	0.00766068	0.00623505	0.00482448	0.0104201	0.00771428	0.00719868	0.0060553	0.00799136
de	0.0489877	0.0329001	0.0277557	0.0162765	0.021358	0.0204972	0.0206968	0.0320372	0.0275706	0.0270188	0.042658	0.031336	0.0329555	0.0314089	0.0259261	0.0149993	0.0217733	0.020247	0.0253568	0.0272264	0.0257712	0.0216927	0.0146798	0.00990799	0.00981773	0.00984468	0.00620683	0.00828526	0.0065602	0.00645107	0.00788199	0.00853181	0.00927276	0.0109861	0.0114635	0.00879471	0.0179527	0.0143885	0.0173642	0.018857	0.0200862	0.0352462	0.0335852	0.0327779	0.0300418	0.054566
l'	0.0235226	0.0235107	0.0208048	0.00939589	0.0148999	0.0174917	0.0156435	0.0221596	0.018726	0.0216483	0.0258731	0.0244891	0.0281039	0.0251553	0.0251332	0.0150269	0.0218585	0.0227742	0.0315725	0.0368643	0.0322929	0.0316956	0.0174985	0.00851342	0.00657393	0.00613619	0.0039463	0.00744867	0.00386152	0.00317988	0.00490266	0.00543878	0.00676855	0.0124762	0.0157764	0.0178578	0.0227855	0.017603	0.0343045	0.032772	0.0185445	0.0458094	0.0361144	0.0480621	0.0405476	0.0744358
