 	a23	a87	a23	a24	a38	a76	a44	a13	a38	a26	a24	a94	a76	a35	a14	a35	a41	a57	a38	a75	a14	a73	a57	a87	a23	a24	a98	a66	a11	a62	a24	a21	a75	a98	a14	a35	a44	a84	a87	a23	a87	</S>
ce	0.17246	0.0793242	0.0789628	0.0438325	0.0212191	0.0133372	0.0151824	0.0203327	0.0153308	0.0148791	0.0163733	0.0121624	0.00981356	0.00842479	0.00975139	0.0098165	0.00993063	0.00886555	0.011642	0.0119677	0.014024	0.0117484	0.00898653	0.0103813	0.0110254	0.00932347	0.00586131	0.00434206	0.004266	0.00445987	0.00472573	0.00556121	0.012923	0.0325858	0.0301676	0.0455543	0.0553983	0.0414638	0.0241594	0.0205774	0.0237349	0.0351217
n'	0.00445952	0.00920742	0.00757887	0.0115998	0.0134326	0.0142322	0.0122181	0.0250638	0.027259	0.037388	0.0253332	0.0320808	0.0199165	0.0330792	0.0557316	0.0559285	0.0735203	0.0393402	0.0498834	0.0636684	0.0733353	0.0491397	0.0281572	0.0262765	0.0470981	0.0291121	0.014327	0.0237156	0.0151985	0.0139715	0.0099901	0.00760515	0.00347244	0.00684437	0.00178564	0.00305039	0.00509859	0.00507349	0.00457801	0.00427144	0.00809982	0.00887769
est	0.0767379	0.0442642	0.0346965	0.0142652	0.0154672	0.0125935	0.018263	0.0272339	0.0170404	0.0205566	0.0223067	0.0181256	0.0263102	0.0160401	0.0235078	0.0242001	0.0176841	0.00996376	0.00673043	0.00943187	0.00797716	0.0128947	0.00812923	0.0139954	0.0123179	0.00798637	0.0100954	0.00526516	0.00873204	0.00337709	0.0077527	0.0136427	0.0176418	0.0338547	0.0327057	0.039379	0.0522657	0.0437708	0.0471231	0.0483931	0.0670081	0.0502731
pas	0.0143133	0.0314595	0.0285067	0.0528015	0.0296187	0.0385146	0.0444004	0.0185771	0.0395132	0.0354996	0.0390184	0.0333449	0.0324709	0.0267899	0.0248758	0.0287428	0.0292919	0.0208029	0.0217377	0.0257792	0.0233469	0.037404	0.0296401	0.026375	0.0296152	0.0218024	0.0110269	0.0139131	0.0169229	0.0165536	0.0120622	0.00926406	0.00920563	0.0104077	0.0100826	0.0131621	0.0117816	0.0113701	0.0109028	0.0142883	0.0143948	0.0304189
mon	0.181418	0.101087	0.112208	0.050033	0.0340605	0.0185217	0.0155492	0.0118124	0.0164736	0.0142065	0.014067	0.0168908	0.020043	0.0115343	0.00811791	0.00789083	0.00966849	0.00996846	0.0132431	0.0122287	0.00853629	0.00672808	0.00596452	0.00579544	0.00686237	0.00524084	0.00398854	0.00332578	0.006332	0.00939644	0.00645674	0.00982296	0.00963052	0.0130151	0.0189817	0.0236778	0.0227129	0.025852	0.023698	0.0249669	0.0287275	0.0512652
affaire	0.0803041	0.0577086	0.054507	0.0469982	0.0565402	0.0407013	0.0269776	0.025289	0.0165708	0.0267338	0.0153853	0.0254805	0.0190234	0.0198206	0.0164638	0.00997841	0.0107704	0.00802562	0.0101063	0.0102938	0.0109536	0.00750304	0.00557516	0.00514625	0.00515987	0.00414338	0.00467513	0.00311554	0.0030139	0.00398369	0.00553525	0.00975774	0.0192382	0.0259207	0.0313254	0.0348623	0.0391134	0.0347122	0.0443514	0.0401575	0.0413863	0.0426914
c'	0.0728931	0.0554477	0.061571	0.0358688	0.024894	0.0140258	0.0110599	0.00894972	0.00605526	0.00800082	0.00946511	0.0151328	0.0123817	0.0125267	0.0126022	0.00690212	0.00605349	0.00466812	0.00632958	0.00519596	0.00541018	0.00396449	0.00347041	0.00283012	0.00281131	0.00213574	0.00213404	0.00165173	0.00209571	0.00319743	0.0031368	0.00670889	0.0160336	0.0308677	0.0505023	0.0394968	0.0484187	0.0722382	0.0806073	0.0562903	0.0551654	0.120809
est	0.0962014	0.0360455	0.0357504	0.0162057	0.0103606	0.00607761	0.00441798	0.0055016	0.00230932	0.00455171	0.00423438	0.0063092	0.00848098	0.00880641	0.00915818	0.00967357	0.0104927	0.0125705	0.0211231	0.0133509	0.0117168	0.0121552	0.00981964	0.0103484	0.00892115	0.00770678	0.00993479	0.0066208	0.00305954	0.00513079	0.00507422	0.00923477	0.0242914	0.0440581	0.054227	0.0435961	0.0479011	0.0595323	0.0715442	0.0674735	0.0614473	0.104584
ton	0.0385751	0.0167961	0.0079138	0.00613904	0.00459749	0.00369647	0.00377746	0.00267479	0.0023834	0.00347225	0.0028409	0.00691167	0.00975131	0.0113422	0.0230175	0.0475634	0.0313666	0.0335613	0.0377686	0.040995	0.032678	0.0498266	0.0438894	0.0354254	0.0477152	0.046895	0.0318609	0.0272817	0.0181744	0.0270961	0.0290097	0.0352751	0.033839	0.0297891	0.0138766	0.0237727	0.0284418	0.0150207	0.0159498	0.0224453	0.0173591	0.0392339
affaire	0.0411257	0.023754	0.016272	0.0168481	0.0144951	0.0113746	0.0106789	0.00951217	0.0064541	0.0108514	0.00831118	0.0154525	0.0134383	0.0168301	0.0140696	0.0193255	0.0228224	0.0187343	0.0247193	0.0261743	0.0225969	0.0204958	0.0174748	0.0155585	0.0169363	0.0190532	0.0114716	0.0101258	0.0143165	0.0214645	0.0220298	0.0379074	0.0488601	0.03588	0.0268824	0.0356454	0.0496152	0.0299773	0.0407648	0.0442789	0.0309934	0.0864279
