 	a87	a97	a3	a97	a30	a90	a15	a47	a92	a37	a47	a62	a70	a93	a75	a21	a12	a96	a88	a71	a3	a97	a83	a50	a62	a47	a96	a70	a83	a75	a92	a85	a43	a56	a93	a62	a93	a90	a79	a7	a26	a3	a99	a83	a62	a83	a93	a34	a92	a56	a43	a75	a47	a37	a93	a44	a57	a62	a88	a71	a9	a3	a97	</S>
si	0.0151716	0.012106	0.0163906	0.011553	0.0167101	0.042442	0.0601805	0.0355151	0.0309138	0.0193327	0.0153024	0.0108031	0.0198511	0.0379272	0.0205269	0.0256126	0.0141228	0.0118053	0.0103843	0.0103396	0.0138469	0.0143877	0.0153039	0.0197413	0.0195663	0.0284954	0.0288655	0.0184116	0.0237988	0.0178621	0.0201191	0.0163025	0.0244184	0.0124698	0.0212723	0.0199914	0.0210267	0.0167813	0.0141732	0.0112688	0.00589424	0.00518458	0.00637311	0.00358258	0.00533814	0.00729364	0.00403169	0.00431085	0.00447624	0.00618547	0.00438054	0.00358041	0.007234	0.00792207	0.00952755	0.00954523	0.0138273	0.00966904	0.01184	0.00886741	0.00775263	0.0095959	0.0106572	0.0178365
je	0.00416699	0.00413579	0.00476354	0.00742469	0.00737727	0.00707703	0.00890812	0.0102523	0.0284567	0.030482	0.0225021	0.0202938	0.014752	0.0194383	0.0188591	0.0224832	0.0118619	0.0120463	0.00776796	0.00623749	0.0128403	0.00694024	0.0136441	0.00495444	0.00857128	0.0126032	0.00408781	0.0100499	0.0203401	0.0185407	0.0248482	0.0166773	0.0296957	0.0170472	0.0225481	0.0282213	0.0398647	0.0299999	0.0239124	0.0197504	0.0096385	0.0185745	0.0116704	0.00555335	0.0173616	0.0110499	0.0197471	0.0180784	0.0127805	0.0136436	0.00989839	0.0101285	0.00916761	0.0148163	0.0169061	0.0288835	0.0268004	0.0186076	0.0232466	0.0181466	0.0152113	0.0122412	0.0145645	0.00885976
meurs	0.00941285	0.00676188	0.00704069	0.00894721	0.00779189	0.00604495	0.00987793	0.029447	0.0423307	0.0461218	0.0597914	0.029794	0.0262793	0.0458154	0.0308786	0.048885	0.0303527	0.0285706	0.0232732	0.034463	0.0210512	0.0165375	0.00916175	0.0176893	0.0122038	0.0174175	0.00651447	0.0152369	0.0140391	0.0170501	0.0120727	0.0145423	0.0118091	0.00928734	0.00676253	0.009423	0.007905	0.00798164	0.0135194	0.00914146	0.0194374	0.0207507	0.010897	0.00821441	0.00891464	0.0113949	0.00967489	0.0068797	0.00382535	0.0029554	0.00402969	0.00204375	0.00229117	0.00320739	0.00342649	0.00477804	0.00824791	0.00777737	0.0102609	0.00977023	0.0121194	0.0096982	0.0212834	0.0168957
enterrez-moi	0.0190567	0.0114438	0.00940037	0.00675328	0.00211222	0.00164417	0.00116376	0.00201215	0.00208522	0.00301919	0.00403152	0.00390452	0.00431055	0.00891346	0.00500618	0.0128983	0.0210825	0.0183835	0.0158001	0.0125148	0.0127799	0.00606605	0.00503535	0.00676652	0.00628632	0.00732783	0.00335473	0.00394816	0.00337273	0.00444194	0.00610016	0.00597142	0.00672954	0.0102153	0.0140542	0.0110626	0.0149318	0.0169301	0.0228997	0.013009	0.0194272	0.0385935	0.0410055	0.0207697	0.0172793	0.0177683	0.0199468	0.0155138	0.0160685	0.0179836	0.0405617	0.0274894	0.0218008	0.0311006	0.0235758	0.0291951	0.0369382	0.0299532	0.0369407	0.0328983	0.0306208	0.0291448	0.0348998	0.023705
dans	0.00778407	0.0050021	0.0045887	0.00355219	0.00257519	0.0033097	0.00380229	0.00749725	0.00634795	0.00975862	0.00919493	0.00863989	0.00911359	0.00894268	0.00771922	0.0100234	0.0116343	0.0188521	0.0108109	0.0152743	0.0169411	0.0106918	0.00669474	0.0113164	0.0109587	0.010462	0.015249	0.0151592	0.011704	0.0130392	0.0241873	0.0183763	0.0253369	0.0215238	0.0118217	0.0137325	0.0242184	0.0257617	0.0360824	0.0342218	0.0517683	0.0413861	0.043756	0.0315468	0.0256306	0.0276084	0.0303546	0.0415876	0.0301304	0.0229384	0.0256717	0.0177496	0.00814079	0.0109022	0.00543192	0.00467414	0.00567086	0.00639937	0.00966156	0.00429983	0.00700902	0.00539067	0.0105807	0.00980832
la	0.0089389	0.011096	0.00950758	0.00386486	0.00169629	0.00185678	0.00357289	0.00471892	0.00249041	0.00303687	0.00316347	0.00402906	0.00327451	0.00837858	0.00373032	0.0111295	0.0151425	0.0181185	0.0107786	0.0115663	0.0104015	0.00801976	0.00941544	0.00585193	0.00924407	0.0285415	0.0189547	0.0183832	0.0257469	0.0324008	0.0344248	0.0459885	0.0291536	0.0484055	0.0534333	0.0477059	0.0388946	0.0403342	0.0309662	0.020198	0.0263407	0.0271564	0.0384658	0.0220358	0.0228637	0.0217073	0.0263085	0.0192145	0.0154275	0.0117495	0.0215956	0.00945969	0.00732325	0.00430967	0.00301646	0.0043259	0.00324362	0.00333219	0.00289211	0.00185188	0.00184158	0.00300307	0.00213904	0.00384123
forêt	0.011476	0.00825538	0.00476154	0.00288564	0.00290611	0.00275948	0.00980459	0.0153861	0.00844631	0.00169672	0.00261846	0.00337776	0.00527018	0.00683032	0.00382965	0.00177527	0.00215328	0.0040085	0.00353636	0.00461136	0.00446593	0.0113635	0.00983298	0.0225585	0.0146291	0.0369643	0.0452898	0.026919	0.0353343	0.0311907	0.0474959	0.0698319	0.0450607	0.0517781	0.0811457	0.0403873	0.0310877	0.0262057	0.0197033	0.00966561	0.0134648	0.0103132	0.0122876	0.0077055	0.00752507	0.0078964	0.0124116	0.00808318	0.00567782	0.00897637	0.0171267	0.0125765	0.00880004	0.0132099	0.00908386	0.0124906	0.00733362	0.00938031	0.00963202	0.00772451	0.0100871	0.0102202	0.00762269	0.00307191
oyoa	0.00412755	0.00385243	0.00268071	0.00168903	0.0012121	0.00119049	0.0018728	0.00209626	0.000927233	0.000763669	0.00156469	0.00213666	0.00211055	0.00267101	0.00270034	0.00224817	0.00412997	0.00587564	0.00416484	0.00430859	0.00859478	0.00570235	0.00650675	0.00441477	0.00439571	0.00680284	0.0147385	0.0143707	0.0337792	0.0266054	0.0653959	0.076265	0.0624616	0.0556744	0.0784431	0.0519184	0.035305	0.0400407	0.0314428	0.0155831	0.0198258	0.0145046	0.0144821	0.0059006	0.00773374	0.00400028	0.0131471	0.00886075	0.00616134	0.00846649	0.00869726	0.00697982	0.00596491	0.0133035	0.0107793	0.0108319	0.0226899	0.0172086	0.0231227	0.0167531	0.0204802	0.0204172	0.0192428	0.00968233
avec	0.00735069	0.00858277	0.00493722	0.00722202	0.00443176	0.00392063	0.00397589	0.00532639	0.003429	0.00289226	0.00552679	0.00768082	0.00583342	0.010594	0.00884074	0.0111519	0.0136363	0.0149092	0.0129805	0.0117871	0.0153132	0.012537	0.0139694	0.00625814	0.0077932	0.0115666	0.0132457	0.0182913	0.0219741	0.0143548	0.0279835	0.0281817	0.0326257	0.029706	0.0352319	0.030188	0.0269857	0.0267184	0.0227312	0.0221342	0.0237847	0.0269582	0.0195174	0.0147065	0.0285567	0.0151428	0.0239511	0.0224973	0.0150283	0.0188628	0.0131701	0.0080876	0.00886546	0.0129787	0.0160245	0.0144675	0.016353	0.0202016	0.0215922	0.0138116	0.018086	0.0181941	0.0159606	0.0204022
une	0.00620947	0.00387434	0.0029272	0.00309371	0.00214767	0.00205778	0.00241748	0.00401929	0.00249894	0.00160341	0.00426479	0.00691686	0.00586429	0.00977072	0.0086977	0.00825096	0.0113013	0.0123373	0.0108995	0.0117407	0.0168469	0.00935347	0.00786355	0.00570429	0.00638122	0.00679597	0.0110456	0.0154457	0.0190024	0.014635	0.0313478	0.0240828	0.0368531	0.0265838	0.0251725	0.0223512	0.023584	0.0226349	0.0204247	0.0211301	0.0273554	0.0296832	0.024592	0.0210634	0.027148	0.017546	0.0268351	0.017944	0.0119073	0.0178525	0.0162039	0.0134491	0.0100701	0.0184649	0.0155657	0.0196659	0.0293029	0.0282542	0.0336412	0.0225654	0.0253458	0.0204107	0.0183511	0.0186499
guitare	0.00442393	0.00335557	0.00343787	0.00532606	0.0075602	0.00932026	0.0131217	0.0117757	0.0139987	0.0103044	0.0107472	0.0164501	0.01437	0.0136082	0.0136605	0.0107329	0.0120641	0.0143523	0.0122816	0.0124862	0.0159315	0.0144567	0.0161048	0.0136398	0.0155488	0.0168176	0.0192959	0.0227313	0.0240354	0.0169577	0.0285557	0.0309389	0.0393831	0.0319059	0.0314148	0.0335417	0.0338996	0.0292083	0.0256271	0.0212158	0.0208811	0.0245245	0.0203852	0.0141936	0.0201362	0.0126857	0.0197033	0.0281332	0.019903	0.0149073	0.0180346	0.00919826	0.00862965	0.00643841	0.00544889	0.00706515	0.00466761	0.00617445	0.00793395	0.00499705	0.00626671	0.00583291	0.00913645	0.0101351
