 	a66	a87	a23	a87	a23	a50	a62	a34	a43	a56	a75	a85	a47	a5	a12	a62	a88	a56	a43	a56	a90	a92	a44	a90	a44	a96	a56	a43	a75	a12	a18	a54	a36	a2	a57	a87	a97	a99	a87	a97	</S>
l'	0.0376501	0.0409733	0.0347822	0.0343254	0.0255032	0.0260387	0.0218723	0.0304339	0.0269479	0.0297886	0.0414562	0.0282603	0.0124902	0.0163741	0.0115102	0.0101527	0.0094483	0.0122186	0.0144736	0.0192753	0.0207138	0.0281052	0.0266408	0.0241542	0.0265029	0.0267875	0.0241966	0.0193776	0.0145147	0.0146899	0.0136354	0.0168191	0.0217886	0.0179853	0.018544	0.0177877	0.018723	0.0261564	0.0290874	0.0246225	0.0851922
albinos	0.00447598	0.00454284	0.00913808	0.00956693	0.0235424	0.0196793	0.0186689	0.0235471	0.0398862	0.0576095	0.054511	0.0720062	0.0579924	0.104179	0.0363579	0.0280388	0.028574	0.0272408	0.0352503	0.0618583	0.051007	0.0666303	0.030579	0.0243475	0.0223789	0.0209744	0.00931549	0.0119462	0.00702733	0.00663101	0.00315282	0.00247868	0.00261388	0.00256489	0.00294666	0.00246656	0.00373379	0.00366732	0.00279843	0.00433318	0.0017409
n'	0.0196458	0.0188544	0.0178723	0.0204475	0.0362454	0.0430539	0.0577111	0.0348114	0.0622906	0.0346989	0.0448559	0.0284605	0.0587337	0.0382483	0.065154	0.0617387	0.073061	0.0558023	0.0644823	0.040656	0.0149808	0.010984	0.00678586	0.00644681	0.00754825	0.00423985	0.00670622	0.00648626	0.00679359	0.00496519	0.00416082	0.00380579	0.00339965	0.0034663	0.00444971	0.00427018	0.00394717	0.005813	0.0045247	0.00736488	0.00203709
aime	0.0754065	0.0377599	0.022807	0.0211784	0.0236995	0.0217605	0.0231433	0.019639	0.0174509	0.018347	0.0219564	0.0198822	0.021814	0.0242465	0.0541659	0.0467575	0.046764	0.0348476	0.0412823	0.0325304	0.0212134	0.020417	0.0317522	0.0349965	0.035778	0.0135087	0.0169814	0.0116452	0.0104254	0.00533406	0.00762066	0.00847186	0.00688533	0.00349865	0.00767232	0.00744766	0.00957866	0.0256239	0.0288966	0.0297754	0.0370384
pas	0.0490424	0.0512798	0.0392223	0.0294065	0.0199383	0.0166087	0.0134177	0.016978	0.0166087	0.017952	0.0207655	0.0213782	0.0240942	0.0205596	0.0223328	0.021112	0.0178776	0.013205	0.015985	0.0108688	0.0153231	0.0164404	0.0166063	0.0169222	0.0110019	0.0184643	0.0337814	0.0249402	0.0296534	0.0198897	0.0285164	0.0285151	0.0229962	0.011239	0.0199622	0.0219849	0.0267774	0.036313	0.042172	0.0446306	0.0552373
se	0.0281811	0.0231168	0.0234585	0.0231242	0.021266	0.0209647	0.0214829	0.0301072	0.0273306	0.0315003	0.0433419	0.0427802	0.0336392	0.0379093	0.0425656	0.0397451	0.0450837	0.0427714	0.032251	0.0287829	0.0234378	0.0155391	0.0123462	0.013	0.0145641	0.013794	0.0133319	0.0197357	0.0169259	0.0177093	0.0150216	0.0219736	0.0251069	0.016592	0.0189223	0.0172352	0.0155063	0.0199883	0.0159484	0.0151185	0.0188001
promener	0.035163	0.033069	0.0326094	0.0305017	0.0249153	0.0238839	0.021912	0.0212048	0.0192942	0.0163364	0.0176823	0.0157796	0.021989	0.0247226	0.0318092	0.0365479	0.0474038	0.039276	0.0304135	0.0300026	0.0174831	0.0175843	0.0141315	0.0198437	0.016142	0.0182017	0.0188309	0.022989	0.0190758	0.0237961	0.0231774	0.0300842	0.0269597	0.0199859	0.0225619	0.0247951	0.0214719	0.0204723	0.0199813	0.0210191	0.0268967
sous	0.0364534	0.0182315	0.0191495	0.00905497	0.00481666	0.0038443	0.00366627	0.00720212	0.00906683	0.00970388	0.0172962	0.0181024	0.0108315	0.0155995	0.0155142	0.0115246	0.00816294	0.00907469	0.00969207	0.00986957	0.018475	0.0127157	0.00484162	0.00617879	0.00470368	0.0135149	0.01873	0.026103	0.0215792	0.0343426	0.0631697	0.0851919	0.0853726	0.0371264	0.0369869	0.0497391	0.0447368	0.0406458	0.0482963	0.0449204	0.0557724
le	0.0387847	0.024303	0.0193698	0.0110638	0.00669578	0.00584892	0.00555471	0.00990307	0.0106247	0.0151177	0.0200366	0.014196	0.0104803	0.0127947	0.0130589	0.0125348	0.0101009	0.00657827	0.00685498	0.00531802	0.00616265	0.00698813	0.00602861	0.00796083	0.00478428	0.0082034	0.0147172	0.0137454	0.0160731	0.0235805	0.0419874	0.0684974	0.0715813	0.0289986	0.0306094	0.0369552	0.0513168	0.0624408	0.059873	0.0893965	0.0908797
soleil	0.0210631	0.0176804	0.015944	0.0144161	0.0118537	0.0110802	0.0107977	0.0142253	0.0132308	0.0135244	0.0179724	0.0134613	0.0161954	0.0112674	0.0137012	0.017341	0.0208052	0.0247096	0.0205209	0.0145151	0.014446	0.0159186	0.0169736	0.0167204	0.00979767	0.0118735	0.0103569	0.0142754	0.0163768	0.0209911	0.0205611	0.0380147	0.0565123	0.0296033	0.0473543	0.0425927	0.0537537	0.0644502	0.0404135	0.0577189	0.08699
