 	a15	a66	a87	a23	a87	a23	a70	a90	a98	a85	a6	a21	a47	a31	a0	a56	a93	a4	a21	a56	a90	a98	a41	a75	a47	a36	a79	a94	a58	a82	a87	a23	a87	</S>
cet	0.0224784	0.0207899	0.0292056	0.0423653	0.0357087	0.0297288	0.0241893	0.0258454	0.0321949	0.0329087	0.0760497	0.0574586	0.0315326	0.0273596	0.0223562	0.0255627	0.0214808	0.023223	0.0244009	0.0338048	0.0269714	0.0264	0.0254592	0.0135601	0.0189573	0.0229503	0.0231636	0.0220918	0.030262	0.0353254	0.0192883	0.0302834	0.0181031	0.0485402
enfant	0.00381254	0.00349806	0.00331042	0.00806937	0.0176625	0.01761	0.0454165	0.0788833	0.0698566	0.12543	0.168382	0.131351	0.11974	0.0416606	0.0165296	0.0153211	0.0212403	0.0101473	0.0162881	0.0094543	0.0154168	0.00974148	0.00927295	0.00406345	0.00299955	0.00480606	0.00372028	0.00266493	0.00408125	0.0037343	0.00322272	0.00225178	0.00393121	0.00642964
qui	0.029797	0.0257923	0.0278038	0.0339781	0.0306138	0.0385909	0.0435916	0.031554	0.0333003	0.0354304	0.0427316	0.0924433	0.0402506	0.0425887	0.0225623	0.0140662	0.0230955	0.0139672	0.00790271	0.00836689	0.0138195	0.0103362	0.015262	0.0263096	0.0265289	0.0288186	0.030559	0.0201176	0.0248582	0.0235902	0.0354144	0.0436691	0.0240348	0.0382547
est	0.0501469	0.0274711	0.0238433	0.0238464	0.018338	0.0134495	0.00869998	0.00505215	0.00488974	0.0056092	0.00362434	0.00780062	0.0108754	0.0147935	0.0233268	0.0244695	0.0365917	0.0616361	0.0349256	0.0490006	0.0502828	0.0409263	0.0338624	0.0228756	0.0124688	0.0202331	0.0192042	0.0222456	0.0233765	0.0351383	0.038474	0.0488706	0.0453558	0.138295
dans	0.0659245	0.0438349	0.0401399	0.0357657	0.0371167	0.041106	0.0340112	0.0348093	0.0423067	0.025275	0.0102198	0.00934968	0.0172135	0.0129023	0.0233701	0.0324264	0.0448516	0.0541977	0.0538978	0.045979	0.0830074	0.0553792	0.0261392	0.0215443	0.00965259	0.00538485	0.00663222	0.00719781	0.011055	0.0105804	0.00835811	0.0100789	0.0101415	0.0301508
le	0.056866	0.0329111	0.0323999	0.0247056	0.0216786	0.0304949	0.021382	0.0154405	0.0231733	0.0162875	0.0069046	0.00748136	0.0115976	0.00991092	0.0162035	0.0299678	0.0261254	0.0302969	0.0127978	0.0305041	0.0364122	0.0324524	0.0386066	0.0358591	0.036737	0.0385565	0.0524352	0.0402622	0.0413994	0.0343529	0.0291035	0.0367122	0.0156481	0.0743334
lit	0.021137	0.0149171	0.00955157	0.014285	0.0115919	0.0118058	0.0267522	0.0279132	0.0433627	0.0476351	0.0248774	0.0156178	0.0445985	0.0251714	0.0269429	0.0363912	0.0155171	0.0167074	0.0133752	0.015342	0.0309426	0.019152	0.0170891	0.022096	0.0413713	0.0556292	0.0642823	0.0573099	0.0669386	0.0354625	0.0462422	0.026589	0.0138356	0.0395672
est	0.0511684	0.034459	0.0333966	0.0394938	0.0465288	0.0436395	0.0498214	0.0517488	0.0541729	0.0304009	0.0134073	0.0149114	0.0209241	0.0230622	0.0344014	0.0242626	0.0277669	0.028972	0.0258938	0.022629	0.035336	0.0244044	0.0187838	0.0140954	0.0135718	0.0203522	0.0278333	0.0156358	0.0252281	0.0175622	0.0366995	0.0210953	0.0148606	0.0434808
encore	0.0661685	0.0614784	0.10952	0.0636559	0.0740124	0.0631502	0.0450363	0.0409659	0.0474611	0.0292239	0.0124859	0.0106818	0.0112141	0.0153105	0.0150197	0.0198866	0.0187646	0.0186326	0.0155876	0.0158795	0.0174193	0.0158325	0.0152663	0.0173844	0.0167786	0.0200272	0.0293669	0.0159354	0.0233716	0.0164215	0.0181999	0.0114536	0.00853302	0.0198746
éveillé	0.0577671	0.0635614	0.099371	0.0643775	0.0643014	0.0525296	0.0350977	0.0272078	0.0331644	0.0261626	0.0185436	0.0205324	0.0187209	0.019434	0.0181097	0.0177014	0.0178646	0.0153704	0.00983849	0.0112411	0.00983767	0.00649842	0.006733	0.00858337	0.0142759	0.018981	0.0199229	0.0169744	0.0255364	0.0235909	0.0254214	0.031351	0.0224021	0.0789945
</S>	0.0584948	0.0529736	0.0851125	0.0569618	0.0496441	0.0410385	0.0227526	0.01853	0.0288008	0.0282367	0.0223999	0.0225399	0.0156469	0.0203203	0.0164631	0.0165373	0.0142973	0.0121008	0.00834526	0.0116023	0.00992298	0.0071906	0.00722464	0.00861576	0.0140987	0.0141485	0.0177382	0.0200763	0.0421391	0.0318689	0.0406185	0.0543105	0.0327534	0.0964954
