 	a23	a87	a23	a87	a10	a87	a23	a13	a75	a41	a94	a75	a96	a18	a75	a56	a96	a98	a73	a56	a75	a56	a32	a75	a98	a73	a84	a53	a69	a20	a84	a87	a23	a20	a44	a56	a66	a38	a11	a56	a54	a41	a56	a70	a93	a90	a93	a70	a54	a73	a44	a15	a73	a69	a58	a53	a4	a57	a9	a87	</S>
autant	0.0649324	0.0634565	0.0454707	0.026453	0.0134615	0.0122725	0.00889124	0.00620842	0.00807924	0.00979282	0.00683799	0.0106422	0.00893815	0.0157295	0.0102758	0.0147199	0.0159846	0.0109334	0.00863583	0.0098039	0.00753303	0.00598132	0.00384617	0.00775249	0.00660323	0.00515407	0.00827369	0.00595522	0.0100066	0.00739229	0.00782392	0.00932614	0.0110997	0.0199231	0.0186532	0.0207444	0.0289162	0.0263193	0.0231941	0.0245026	0.0194865	0.0127676	0.0192546	0.0179096	0.0186966	0.0115801	0.01389	0.017363	0.00691934	0.00644765	0.00411505	0.0084796	0.0065254	0.0161102	0.0180553	0.029585	0.0236534	0.0344476	0.0221296	0.0242339	0.0378297
hier	0.00676753	0.00935641	0.00925925	0.00929914	0.00906321	0.0110124	0.0077772	0.0195546	0.0241802	0.021765	0.017864	0.0307751	0.0547997	0.0275544	0.00682604	0.0144367	0.0219031	0.0198755	0.0310688	0.0334632	0.025987	0.0178294	0.0152683	0.043764	0.0218429	0.044103	0.0415072	0.0440209	0.0356163	0.0355614	0.0298467	0.0167559	0.015934	0.0084532	0.00970968	0.00822693	0.00862972	0.0114079	0.0120856	0.00708222	0.00582567	0.00714434	0.00469935	0.00284993	0.00475861	0.00756281	0.0140634	0.00387677	0.00694496	0.00589409	0.0101018	0.0136997	0.00781851	0.0118893	0.00890432	0.0075825	0.00673735	0.00774882	0.00591129	0.00896922	0.00678354
j'	0.00787407	0.00519767	0.00625246	0.00531402	0.00329864	0.0067508	0.0137964	0.0207345	0.0168119	0.0103392	0.00747636	0.00772393	0.0164129	0.0044467	0.00314572	0.0109961	0.00788564	0.00204941	0.00246844	0.00964709	0.00869325	0.0241213	0.024082	0.0322458	0.0253169	0.0411578	0.0278407	0.0261346	0.0183255	0.0118207	0.0227531	0.0155846	0.0140993	0.0145582	0.00559977	0.00429725	0.00790797	0.012492	0.0108654	0.0105355	0.0179649	0.0326036	0.0166905	0.0213865	0.0261447	0.0577931	0.0950763	0.0178028	0.0167856	0.0211629	0.0293542	0.0147676	0.0154494	0.0134631	0.0132878	0.00720126	0.00829504	0.0131554	0.0113243	0.0163593	0.00687847
étais	0.00654604	0.006284	0.0174609	0.0107102	0.00933141	0.0123254	0.0120039	0.00986586	0.0145613	0.00468426	0.00448205	0.00501621	0.00733519	0.00403228	0.00647879	0.0145031	0.0137383	0.00607014	0.00533571	0.00726128	0.00840503	0.0108356	0.0109597	0.0206391	0.0150218	0.0347213	0.0163265	0.0299525	0.0247091	0.0215231	0.016905	0.0156864	0.0131028	0.0125305	0.0135103	0.00906316	0.00930365	0.00908153	0.00649422	0.00844048	0.0191439	0.0195283	0.0134506	0.025189	0.0427097	0.0489284	0.0550207	0.0348263	0.0328017	0.0367599	0.0382628	0.0203791	0.0156676	0.0138475	0.0124889	0.0205541	0.0196186	0.01517	0.0113551	0.0108356	0.00822392
heureux	0.0164286	0.0115704	0.017966	0.0201153	0.0162663	0.0229135	0.022399	0.00714394	0.00891957	0.00455948	0.00259823	0.0042225	0.00422536	0.00474556	0.01004	0.0213987	0.0205016	0.0224951	0.0109139	0.0174019	0.0239608	0.0241513	0.0304491	0.0251122	0.0323712	0.0464462	0.0274678	0.0337297	0.0284243	0.014982	0.0191076	0.015107	0.0168009	0.0159918	0.0157057	0.0187496	0.0125622	0.0146555	0.00967809	0.0124797	0.0160071	0.0139959	0.0128361	0.0145054	0.0305683	0.0406008	0.0330058	0.0219252	0.0188639	0.0177664	0.0161275	0.0119783	0.00731916	0.00612501	0.00457408	0.00714854	0.00704703	0.00444671	0.00452162	0.00332202	0.00255753
autant	0.0224133	0.0154249	0.00937582	0.00771619	0.00396952	0.00507221	0.00355109	0.00730306	0.0104552	0.00782193	0.00851913	0.0132941	0.0241322	0.00594234	0.00584704	0.00695546	0.0048254	0.00555164	0.00573709	0.00920942	0.00711063	0.00656848	0.00668945	0.0255568	0.0177075	0.0374306	0.0148488	0.0502128	0.0349793	0.0341043	0.021112	0.0154035	0.022205	0.0167337	0.0179121	0.0147812	0.009339	0.00707359	0.00551517	0.00511991	0.0112722	0.00708762	0.00465752	0.00749011	0.00811549	0.0124795	0.018919	0.00962926	0.0164952	0.0160003	0.0193144	0.0219408	0.0270646	0.0273937	0.0462721	0.044462	0.0342325	0.0338922	0.0257454	0.0312938	0.0227215
je	0.0299144	0.0171412	0.0131336	0.00723556	0.00764772	0.00765338	0.00691745	0.00690014	0.00625028	0.00454089	0.00618236	0.0092151	0.0184728	0.00981276	0.00562118	0.00423441	0.00601164	0.00681918	0.00768312	0.00994041	0.00923735	0.00805284	0.00883822	0.0165985	0.0164304	0.0177762	0.0155102	0.0288573	0.0263606	0.0220124	0.0278665	0.0168558	0.0240219	0.0257243	0.0345878	0.0311296	0.017546	0.0154336	0.0120721	0.0118655	0.015345	0.00968278	0.00614683	0.00770082	0.00589881	0.00862314	0.015628	0.00746679	0.010418	0.00872204	0.00972215	0.0116228	0.0149452	0.01889	0.0467331	0.0511266	0.0404964	0.0386963	0.0294455	0.0384695	0.0261154
suis	0.0426243	0.0264128	0.0235796	0.0135509	0.00852682	0.00686245	0.00339158	0.00244583	0.00327647	0.00157949	0.0016648	0.0026142	0.00254465	0.00232114	0.00300259	0.00606677	0.00513437	0.005609	0.00419414	0.00581757	0.00801779	0.00581592	0.00691503	0.0172702	0.0134423	0.0254945	0.0163217	0.0339586	0.0445961	0.0308375	0.0213136	0.0113622	0.0156068	0.0133468	0.0171577	0.0135816	0.0143151	0.012321	0.0137847	0.0165488	0.0361678	0.0136359	0.0182882	0.019811	0.0197368	0.0209118	0.0188509	0.027302	0.032258	0.0151886	0.0144407	0.0120121	0.0101179	0.0141884	0.0163506	0.0317633	0.0335825	0.0356519	0.0300889	0.0316376	0.0247878
triste	0.0445903	0.026178	0.0354602	0.0324612	0.0223176	0.0215913	0.0158761	0.0179069	0.019831	0.00644804	0.00397156	0.00707862	0.00429257	0.0057535	0.00582179	0.00403304	0.00410883	0.00586871	0.00555217	0.0102878	0.0087237	0.0073921	0.00743876	0.0174873	0.00987081	0.016282	0.0117639	0.0193555	0.0252865	0.0295869	0.0143264	0.0112833	0.00890773	0.00674879	0.00632411	0.012677	0.0130469	0.0197613	0.0194455	0.0243068	0.0282399	0.0258818	0.0252308	0.0228711	0.0191913	0.0159891	0.0226545	0.0201484	0.0225987	0.0189789	0.0226467	0.0224697	0.0165552	0.0145719	0.0139473	0.0168867	0.0184854	0.0178355	0.0132012	0.0135004	0.018671
aujourd'	0.044323	0.020275	0.0301159	0.0169875	0.0141459	0.0144384	0.0128737	0.006889	0.00893255	0.00264188	0.00127072	0.00326123	0.00357305	0.00346689	0.00380035	0.00213043	0.00234072	0.00487517	0.00514243	0.0162587	0.0112153	0.0111735	0.012321	0.0254251	0.0142456	0.0137853	0.0118818	0.016697	0.0199664	0.0195777	0.0223011	0.0206828	0.0226218	0.011851	0.010876	0.0119696	0.0152992	0.0236748	0.0181766	0.0288998	0.026746	0.0265508	0.0195062	0.0165919	0.0140827	0.0142159	0.0222243	0.0125763	0.0124507	0.0109937	0.01249	0.0154363	0.0155402	0.0209425	0.0252645	0.0264876	0.0265726	0.0373144	0.027823	0.0314329	0.0243734
hui	0.0498329	0.0191835	0.0313459	0.0168949	0.0112941	0.00911142	0.0104085	0.00436052	0.00635973	0.00252209	0.00198695	0.00312626	0.00378171	0.0030661	0.00244064	0.00190203	0.00228056	0.00321317	0.00283075	0.00751945	0.00530152	0.00698352	0.00788409	0.0160029	0.00800619	0.0118843	0.00817786	0.0119664	0.0207867	0.0196184	0.0165302	0.015716	0.0199221	0.0112052	0.011865	0.00960248	0.0137551	0.0288629	0.0191502	0.0296652	0.0243451	0.0249124	0.0193473	0.0143068	0.0158329	0.0203175	0.03359	0.0242955	0.0232186	0.0185753	0.0229964	0.0266132	0.0246647	0.0341905	0.0304426	0.0267091	0.0290035	0.0313332	0.0283182	0.0244246	0.016215
</S>	0.0747598	0.0380787	0.0344302	0.0137096	0.00541551	0.00542753	0.00570271	0.00610729	0.00539903	0.00278996	0.00204079	0.00252981	0.0032523	0.00289314	0.00337488	0.00424282	0.003817	0.00393316	0.00405873	0.00845341	0.00598151	0.00607338	0.00534698	0.00896783	0.00689994	0.00807371	0.00636701	0.00842518	0.00947084	0.0087502	0.00682726	0.00624847	0.00509374	0.00355228	0.00288292	0.00575068	0.00460569	0.00741925	0.00609485	0.0073924	0.00823872	0.00814162	0.00740288	0.0061544	0.00619047	0.00766716	0.013021	0.0110593	0.00913208	0.00635732	0.0102463	0.0154014	0.013876	0.0345298	0.062885	0.0784917	0.0637179	0.0775148	0.0608921	0.0734004	0.0650389
