 	a23	a24	a71	a24	a11	a56	a66	a61	a31	a66	a90	a15	a20	a73	a69	a4	a53	a54	a85	a43	a11	a75	a5	a43	a11	a24	a31	a21	a12	a18	a25	a83	a61	a12	a31	a24	a62	a0	a75	a85	a5	a96	a0	a31	a0	a24	a9	a10	a87	a23	a87	</S>
les	0.0407412	0.0338375	0.0256451	0.0330978	0.0422504	0.022822	0.0136465	0.0155859	0.00836103	0.0170489	0.0189441	0.0194805	0.0249064	0.0168196	0.0122465	0.0352661	0.053801	0.0371023	0.0413668	0.0323866	0.037975	0.0283244	0.0124697	0.0210123	0.0143459	0.0243467	0.0144727	0.0123947	0.0175415	0.0201547	0.020174	0.0101649	0.0240088	0.015813	0.0161977	0.00885441	0.00949555	0.0103746	0.00724762	0.00405884	0.00489429	0.00643564	0.00633692	0.012306	0.00913568	0.00711122	0.00989576	0.0119939	0.0115786	0.0146301	0.0107435	0.0201552
vieux	0.00156789	0.00737533	0.00974122	0.00881565	0.0127383	0.0173779	0.021579	0.0269145	0.0247747	0.0705148	0.0577735	0.0488069	0.0506543	0.0611915	0.0859595	0.104475	0.0980608	0.0407	0.0375084	0.0146786	0.0442248	0.0190913	0.0117648	0.0103919	0.0159756	0.0176895	0.0172258	0.0175268	0.0160265	0.0087942	0.00420257	0.00259434	0.00355682	0.0013512	0.00112891	0.000603873	0.000350305	0.000341788	0.000291093	0.000191072	0.00020532	0.000872302	0.000239613	0.000337051	0.0003746	0.000433266	0.000489088	0.000520997	0.000654605	0.00053428	0.000639594	0.000168137
oignent	0.0103026	0.00505135	0.00335028	0.00618271	0.00835424	0.0104849	0.0113255	0.0119807	0.00889703	0.00816447	0.0092064	0.0100546	0.011749	0.0125751	0.0292295	0.0453195	0.0410386	0.0313533	0.041443	0.0632012	0.141554	0.0679563	0.0836005	0.0821413	0.0862309	0.0242897	0.0303434	0.0332049	0.0145495	0.0130397	0.00682158	0.00431368	0.00673475	0.00317196	0.00573542	0.00163461	0.00178247	0.0013392	0.00078028	0.000652294	0.0006515	0.000553462	0.000590369	0.000534332	0.000595196	0.000960798	0.00132432	0.00122159	0.00112263	0.00139414	0.00140372	0.000507055
leurs	0.0220228	0.0169128	0.0152021	0.0155695	0.0181818	0.0219241	0.0110155	0.0139592	0.0122101	0.00961897	0.013085	0.00708434	0.010731	0.0136188	0.00852338	0.0130087	0.00925696	0.0147027	0.0174141	0.0220118	0.0247279	0.0260871	0.036977	0.0507827	0.0296443	0.0471039	0.0381571	0.0289137	0.0402956	0.0181035	0.0190839	0.0132189	0.0160383	0.0129877	0.0247767	0.0107681	0.0147752	0.0117927	0.0133045	0.00958593	0.00835968	0.00789934	0.0213293	0.0118911	0.0169033	0.0279543	0.0426615	0.0285486	0.017002	0.0174634	0.0173198	0.00948903
cheveux	0.030547	0.0158087	0.0145073	0.0217278	0.0213307	0.0207773	0.0113293	0.0112773	0.00946849	0.00974835	0.0116622	0.00820201	0.0119363	0.0149176	0.013279	0.0145063	0.0118469	0.0244878	0.0258309	0.024317	0.0276668	0.0363357	0.0515651	0.0553144	0.052267	0.0416432	0.0460056	0.0570117	0.0641269	0.0359467	0.0293064	0.0276275	0.0213962	0.0154367	0.0188753	0.0162872	0.0143574	0.0128151	0.00605432	0.00584713	0.00839236	0.00226641	0.00303433	0.00276471	0.00144171	0.0026604	0.00407652	0.00234736	0.00188897	0.00260595	0.00289723	0.00222985
d'	0.0381097	0.0178326	0.010249	0.0165895	0.0146484	0.00666329	0.00424353	0.00539691	0.0029373	0.00257132	0.00273656	0.00301575	0.00474619	0.00866191	0.0111047	0.0162625	0.015019	0.0262352	0.0258086	0.0331121	0.0323027	0.0351876	0.031436	0.0468864	0.0288571	0.0293474	0.0295959	0.0224805	0.0302116	0.0170691	0.0179102	0.0140188	0.0129204	0.0158729	0.0214126	0.012325	0.0251032	0.0250407	0.0267828	0.0256194	0.0338764	0.0180869	0.0143675	0.00803006	0.00730121	0.0218155	0.0277681	0.022988	0.0145466	0.0312827	0.011624	0.0219886
huile	0.031882	0.0125342	0.0110276	0.0148992	0.0137153	0.00557239	0.00442941	0.00374323	0.00197706	0.0035361	0.00329029	0.00312975	0.00413771	0.00681514	0.0139228	0.0122876	0.0114309	0.0343694	0.0403725	0.0468452	0.045604	0.0535293	0.0494828	0.0548063	0.0398007	0.0295008	0.032374	0.0237041	0.026118	0.0210972	0.0222775	0.0156035	0.0164003	0.0150602	0.0177005	0.0108818	0.0123041	0.01256	0.0138696	0.0156655	0.0301251	0.0159159	0.0149583	0.0108219	0.0079183	0.0181396	0.0180842	0.0168145	0.0126867	0.0185776	0.012492	0.0152078
de	0.0969652	0.0216776	0.0152303	0.0186435	0.0165749	0.0117632	0.0066516	0.00647491	0.00286539	0.00422646	0.00556409	0.00297315	0.00302957	0.00536947	0.0086172	0.00892478	0.0116117	0.0210361	0.0262244	0.0262571	0.0378838	0.0386181	0.0512845	0.0381537	0.0426886	0.0326659	0.0348862	0.0401721	0.0280135	0.0165993	0.0202078	0.0121892	0.0118102	0.00789023	0.0119403	0.00481547	0.00710043	0.0153111	0.0120397	0.00972749	0.0189947	0.0123873	0.00672882	0.00607871	0.00518041	0.00726026	0.0167549	0.0181101	0.0245757	0.0274612	0.0379453	0.0238445
palme	0.028332	0.0152765	0.013629	0.0136885	0.0121943	0.0108151	0.00577603	0.00636109	0.00369175	0.00573199	0.00889203	0.0047634	0.00733664	0.0080245	0.0107533	0.00964731	0.0111611	0.0184909	0.0235794	0.0299845	0.0330935	0.0426149	0.0379607	0.0419397	0.0512705	0.0463406	0.030149	0.0283453	0.0259426	0.0150527	0.020063	0.0136399	0.0155284	0.0091591	0.0151298	0.00536276	0.0101454	0.0172828	0.0132631	0.00927027	0.0223856	0.0108059	0.00966056	0.0117945	0.0107571	0.0134467	0.0241547	0.0288329	0.0295166	0.0381587	0.059478	0.0113252
pour	0.0235458	0.0135732	0.011618	0.0142283	0.0143136	0.00606494	0.0031247	0.0039416	0.00135032	0.00267434	0.00318195	0.00274047	0.00359796	0.00449403	0.00763497	0.0102543	0.0122474	0.0182696	0.0260286	0.0315188	0.0340802	0.0443019	0.0384889	0.0380834	0.0409645	0.04379	0.0329819	0.0334656	0.029016	0.014467	0.0220726	0.0126354	0.0163717	0.0101344	0.0183963	0.00664952	0.0107764	0.0217393	0.0143016	0.0132245	0.0262987	0.0126968	0.00838844	0.0085563	0.00625117	0.00979639	0.0172687	0.0219823	0.029077	0.053537	0.0595108	0.0362922
cacher	0.0406796	0.0185312	0.0157183	0.0142063	0.0122458	0.0072318	0.00226548	0.00381101	0.00237749	0.00279878	0.00440269	0.00269458	0.00361293	0.00350819	0.00552782	0.0060045	0.00736126	0.0140007	0.0204563	0.0255885	0.027417	0.0290432	0.0269593	0.0278561	0.0315043	0.0339716	0.0243175	0.024347	0.0214136	0.011792	0.0144014	0.010064	0.011091	0.00554753	0.0134201	0.00375973	0.00904682	0.0227104	0.0224464	0.01915	0.0268316	0.0187557	0.0153965	0.0130235	0.00962793	0.0102386	0.0251856	0.0332487	0.0468488	0.0683345	0.0654366	0.0637897
les	0.035536	0.0153292	0.0133276	0.0130012	0.0150347	0.00691793	0.00368664	0.00566617	0.0024897	0.00315197	0.00357088	0.00276134	0.00354181	0.0039239	0.0124483	0.0139313	0.0137236	0.0296614	0.0427835	0.0447445	0.0464218	0.0485856	0.0426582	0.0460742	0.0422851	0.0491625	0.0352559	0.0259486	0.0319977	0.0209816	0.0230238	0.0181635	0.018349	0.0118113	0.0186873	0.0102448	0.0124617	0.0214154	0.0137901	0.0151906	0.0175068	0.00800352	0.00536835	0.00308137	0.00227885	0.00330912	0.00580199	0.0063748	0.0098681	0.0187506	0.0282721	0.0536438
cheveux	0.0300712	0.0138513	0.00945182	0.0130634	0.0142304	0.00902537	0.00621094	0.0113747	0.00723426	0.00855333	0.00749696	0.00765386	0.0127345	0.00900176	0.0127761	0.0205416	0.0287023	0.0387649	0.0457565	0.0380416	0.0382358	0.0389142	0.0393644	0.0344656	0.0388549	0.0356163	0.037384	0.0353077	0.0307306	0.0288578	0.0303554	0.0210012	0.0236367	0.0151744	0.0158431	0.00800468	0.00837373	0.0111107	0.00780392	0.00698359	0.0101465	0.00850148	0.00846757	0.00622812	0.00585152	0.00427708	0.00987062	0.0116747	0.0146116	0.0168201	0.0246756	0.0283197
