 	a84	a57	a10	a87	a23	a87	a23	a13	a53	a20	a47	a6	a75	a5	a21	a5	a56	a90	a98	a47	a92	a44	a90	a25	a69	a75	a21	a5	a21	a5	a23	a18	a82	a87	a23	a83	a54	a79	a69	a58	a47	a88	a66	a93	a4	a57	a54	a47	a7	a26	a84	a57	a87	a23	a97	</S>
sa	0.0277392	0.0324247	0.0327144	0.0423199	0.0350739	0.0202887	0.0222139	0.0178184	0.0258186	0.0248352	0.0244835	0.0282594	0.0499384	0.0347969	0.0247999	0.0217243	0.024783	0.0172945	0.0171333	0.0156201	0.014021	0.0200978	0.0141599	0.0248089	0.0173701	0.0187971	0.0199307	0.0171252	0.00729477	0.0131264	0.00572177	0.0143095	0.00341882	0.00967254	0.00411895	0.00811242	0.0102481	0.00872213	0.0105339	0.00917745	0.00773488	0.0127851	0.0162992	0.00569117	0.00679742	0.00397416	0.00766623	0.0100758	0.017176	0.0112014	0.0107086	0.012794	0.0121666	0.0227006	0.0217475	0.0296337
mère	0.00373156	0.00663627	0.0064302	0.00781369	0.00692113	0.0065747	0.00843621	0.0168141	0.0585502	0.10408	0.0680371	0.143674	0.131415	0.052981	0.0341304	0.0147608	0.011027	0.0104623	0.0145575	0.0159724	0.0130084	0.0189513	0.01699	0.0246827	0.0126865	0.0191872	0.00968798	0.0191388	0.0110752	0.00787842	0.00787041	0.0121911	0.00511614	0.00869301	0.00595587	0.00730812	0.00571518	0.00647185	0.00564262	0.00566588	0.00678712	0.00353421	0.00694867	0.00625895	0.00466755	0.00270675	0.00257096	0.00234671	0.0033185	0.000848257	0.00125313	0.00139557	0.00232677	0.00196154	0.00369947	0.00245394
lui	0.00979925	0.0110771	0.00920583	0.00951411	0.0112761	0.00921857	0.0136349	0.0176964	0.0265587	0.0535178	0.100986	0.129498	0.125627	0.0779896	0.0528521	0.0224289	0.0121949	0.0105954	0.0116215	0.00994859	0.00491767	0.00766168	0.00989861	0.00434846	0.00616932	0.00660655	0.0079682	0.0106652	0.00795776	0.00976746	0.0080014	0.0150871	0.0143689	0.00555342	0.0143183	0.0114291	0.00971851	0.00957676	0.00804606	0.00426631	0.00534249	0.00303938	0.00247391	0.00231066	0.00214454	0.001298	0.00281376	0.00615158	0.00900516	0.00605152	0.00801782	0.00452695	0.0106851	0.00731062	0.0195481	0.00771245
a	0.00748195	0.00396488	0.00281783	0.00331069	0.00619444	0.00347713	0.00364971	0.00520743	0.00588416	0.00539334	0.018659	0.0256265	0.0763339	0.0294623	0.0409033	0.0267912	0.0220085	0.01869	0.0216209	0.0206577	0.0227546	0.02273	0.0194131	0.0355679	0.0274821	0.0218829	0.0311368	0.016803	0.0345891	0.044349	0.049082	0.042488	0.0325142	0.0298224	0.026181	0.0285735	0.0166702	0.015489	0.0125859	0.0156622	0.0106663	0.00776611	0.00458757	0.00540448	0.00233861	0.00131544	0.002338	0.00260704	0.00463603	0.00560613	0.00480393	0.00840068	0.0089797	0.010293	0.0136024	0.0127427
administré	0.0201372	0.0162176	0.0152788	0.023796	0.0198257	0.0135992	0.0164932	0.0176659	0.0213288	0.0177907	0.0319918	0.0259093	0.0336013	0.0234566	0.0255371	0.0334015	0.0289281	0.0223992	0.0200945	0.0269725	0.0332079	0.0257223	0.0179879	0.0350714	0.0437535	0.0306068	0.0312163	0.0187113	0.0365081	0.0339188	0.0392707	0.0212461	0.0188451	0.0218698	0.0116884	0.0139474	0.0121298	0.0139639	0.00878092	0.00951568	0.00931665	0.00950619	0.00965066	0.0142121	0.00603901	0.00375837	0.00216035	0.000920205	0.00100436	0.000875085	0.000747483	0.00110042	0.00184532	0.00194785	0.00201447	0.00251418
une	0.0053344	0.00305011	0.00215728	0.00168568	0.00341982	0.000921925	0.00180245	0.00132556	0.00305378	0.00475935	0.00874973	0.00817511	0.033066	0.0260085	0.0322157	0.0184297	0.0277144	0.0336586	0.04216	0.0394081	0.0603301	0.0447018	0.0398656	0.0412091	0.0502926	0.0590617	0.0464894	0.0387125	0.0577315	0.0295995	0.0535632	0.0226961	0.0257318	0.0183983	0.0135491	0.0116119	0.0104147	0.00885732	0.00637841	0.00434631	0.00468242	0.00516735	0.00406246	0.00249924	0.00420734	0.00354353	0.0033706	0.00328675	0.00396703	0.00243982	0.00362696	0.00291288	0.00399571	0.00361092	0.00291292	0.00507682
bonne	0.00994395	0.00721624	0.00545238	0.00401638	0.00561804	0.00196211	0.00200188	0.00157281	0.00251855	0.00319079	0.00854302	0.007242	0.0303477	0.0205787	0.0178717	0.0142527	0.0191395	0.0242141	0.0351445	0.026849	0.0461168	0.0291065	0.0324551	0.0364245	0.0573365	0.0552442	0.0486241	0.0395993	0.0616905	0.0412041	0.060806	0.0262271	0.029052	0.01652	0.0150662	0.0104628	0.00764041	0.00894271	0.00808305	0.00545684	0.00515196	0.00564102	0.00549682	0.00422303	0.00601798	0.00641051	0.00512673	0.00484029	0.00672345	0.00788154	0.010947	0.00718892	0.0141617	0.0102078	0.00661697	0.0096295
fessée	0.00148098	0.000745747	0.000497347	0.000385467	0.000416488	0.000208083	0.000184383	0.000339594	0.000420986	0.000515913	0.00196822	0.00148693	0.00427938	0.00451373	0.00581733	0.0073698	0.0159122	0.0246924	0.0465673	0.0292586	0.0516072	0.028047	0.0462034	0.064114	0.101435	0.0918199	0.0769549	0.0662197	0.061276	0.059297	0.0503194	0.0233668	0.0204206	0.0267937	0.0141994	0.00712128	0.0076268	0.0116254	0.00500616	0.00699303	0.00419805	0.00356142	0.00356659	0.00218772	0.00185427	0.00226381	0.0011265	0.00100049	0.00110693	0.00130662	0.00155869	0.00129853	0.00267452	0.00165967	0.00107418	0.00205422
car	0.00720094	0.00530047	0.00406355	0.00417445	0.00471833	0.00487571	0.00610272	0.00763187	0.0116153	0.015211	0.01582	0.0103278	0.0143684	0.0144178	0.0132465	0.0156439	0.0216	0.0238463	0.0366363	0.0236765	0.0447385	0.0170731	0.0324778	0.0499912	0.128986	0.0574343	0.0446458	0.0462404	0.0352315	0.0248434	0.0254854	0.0139709	0.0118887	0.0190442	0.00920141	0.00526453	0.00657372	0.00792632	0.00466918	0.00805201	0.00579424	0.00390056	0.00463846	0.00331766	0.00279632	0.00291219	0.00415558	0.00423303	0.00514759	0.0122614	0.0100711	0.0144116	0.0135454	0.0148091	0.014168	0.0296212
il	0.0199317	0.0142737	0.0105544	0.00765394	0.0090735	0.00452036	0.0062192	0.00467511	0.00749004	0.0105216	0.00470845	0.00359953	0.00705952	0.00868097	0.0108316	0.0221797	0.0195189	0.0175031	0.0204796	0.0182077	0.0215374	0.0134179	0.0188731	0.0268009	0.0311781	0.0253416	0.0242799	0.0224964	0.0209967	0.0190708	0.0192401	0.0169221	0.0109673	0.0173113	0.0125535	0.00721298	0.00840294	0.0105005	0.00821778	0.00757756	0.00718083	0.0055482	0.00670164	0.00495469	0.00535486	0.00689947	0.0128685	0.0184809	0.0271357	0.049074	0.0492151	0.0534915	0.0465466	0.0456406	0.0446578	0.0456682
est	0.0174823	0.020164	0.0172656	0.0153507	0.00857515	0.00953585	0.014945	0.0118939	0.0143027	0.0108676	0.0145836	0.0120321	0.0152738	0.0186202	0.0202878	0.0191977	0.019982	0.0201394	0.0211723	0.0207123	0.0215679	0.0187917	0.0214371	0.0227417	0.0249432	0.0218042	0.0219097	0.0209007	0.0212553	0.0209297	0.0212064	0.0190667	0.0182387	0.019669	0.0176218	0.0143051	0.016702	0.0184323	0.0191302	0.0154383	0.0139491	0.0132773	0.0111442	0.00768968	0.00772355	0.0067519	0.0121704	0.01024	0.0207452	0.0146727	0.0230458	0.0177389	0.0264879	0.0216149	0.0225169	0.0517559
trop	0.0204084	0.0227749	0.0190752	0.020741	0.016113	0.0116579	0.0153446	0.011358	0.0101637	0.011901	0.0327014	0.0323495	0.050485	0.0527089	0.0428739	0.0328993	0.0312611	0.024274	0.0179036	0.0172464	0.0139843	0.0116604	0.0140611	0.0265092	0.0304083	0.0154526	0.0130973	0.0147595	0.0129305	0.0143278	0.0122199	0.0146939	0.0096546	0.0136129	0.00825395	0.00729978	0.00835097	0.00998339	0.0117949	0.0107842	0.00977652	0.0136899	0.013411	0.0147688	0.0122581	0.0097174	0.0186723	0.00802619	0.0151325	0.0110665	0.0169514	0.0132133	0.0207104	0.0151035	0.0156847	0.0237372
têtu	0.0189788	0.012431	0.00841666	0.00757352	0.0107303	0.0082684	0.0201183	0.00939784	0.0153254	0.0181298	0.0409966	0.0620547	0.0717908	0.0508161	0.036886	0.0218576	0.0211536	0.0225436	0.0158673	0.0145369	0.0131002	0.0102322	0.0157501	0.018503	0.0219937	0.0156558	0.0178955	0.0195312	0.0158895	0.0179397	0.01458	0.0129761	0.00996947	0.0101094	0.00612991	0.00507022	0.00656924	0.00793741	0.0110717	0.0102534	0.0110009	0.0206819	0.0193036	0.0101569	0.015605	0.0106487	0.0144969	0.0085821	0.0155075	0.0154459	0.0191956	0.0165666	0.0216884	0.0154853	0.0162372	0.0203666
