 	a66	a87	a97	a30	a13	a62	a21	a5	a37	a21	a56	a90	a92	a36	a26	a11	a62	a61	a21	a85	a36	a6	a36	a26	a21	a12	a18	a96	a62	a61	a62	a47	a88	a71	a9	a3	a97	a3	</S>
son	0.0228656	0.0420966	0.0478692	0.0262212	0.0450573	0.052001	0.0451477	0.0459771	0.0275675	0.0227136	0.015508	0.0191334	0.0103757	0.00910996	0.00920569	0.0145631	0.0156791	0.0126618	0.0129616	0.0139296	0.0218174	0.0271981	0.0260082	0.0263281	0.0308915	0.019705	0.0252826	0.0228859	0.0107479	0.0295456	0.0283596	0.0400117	0.0364432	0.0207009	0.0158024	0.0126517	0.0211811	0.0186337	0.0551607
ami	0.0106048	0.0106849	0.0120768	0.0142202	0.0180659	0.0101384	0.0171088	0.0256781	0.0396793	0.0352634	0.0315569	0.0944725	0.067859	0.0481527	0.044914	0.0438614	0.0661927	0.0419517	0.058702	0.0376282	0.023987	0.0335808	0.0402349	0.0431154	0.0161785	0.0183839	0.0123374	0.0221672	0.00970802	0.00642742	0.00621343	0.00341847	0.00231943	0.00220865	0.00220301	0.00373139	0.00524425	0.00702933	0.0127
l'	0.0542655	0.0249415	0.0231968	0.020641	0.0487311	0.0366062	0.0310301	0.0534125	0.0389319	0.0535873	0.0649454	0.018517	0.0333582	0.0261623	0.0143877	0.0561754	0.0384636	0.0634491	0.033707	0.0264361	0.0209593	0.0151843	0.00707478	0.0140005	0.00551775	0.00922546	0.00596784	0.00731492	0.00636546	0.00954462	0.0122203	0.0149132	0.0229555	0.0194777	0.012626	0.0121552	0.0148697	0.0174801	0.0112017
a	0.0289556	0.0197746	0.0316555	0.0262007	0.0269917	0.0099555	0.00768754	0.0131124	0.0163098	0.0214877	0.0290286	0.023963	0.038842	0.0408535	0.050714	0.0512194	0.0609965	0.0883366	0.0625899	0.0618758	0.0357367	0.0350101	0.0272644	0.0294109	0.0141076	0.0149076	0.00572872	0.00390279	0.00733327	0.00864653	0.0125272	0.00925294	0.00971983	0.00661354	0.00788168	0.00875402	0.0163225	0.0118927	0.0244363
frappé	0.0234909	0.0343381	0.0442686	0.0313295	0.0186537	0.016976	0.0193516	0.0201886	0.0314634	0.048694	0.0573023	0.0321947	0.0512354	0.0607506	0.0651338	0.0424219	0.0411126	0.0496792	0.0340738	0.0229962	0.0122668	0.0173967	0.0122176	0.012793	0.0187241	0.0195954	0.0156801	0.0171374	0.0152171	0.0335676	0.0211269	0.0145043	0.0109946	0.00297281	0.00225924	0.00359796	0.00571102	0.00555463	0.013028
parce	0.0187858	0.0137666	0.0150639	0.0139631	0.0199687	0.0246208	0.0231327	0.0228654	0.0247177	0.0276864	0.0244582	0.0228872	0.0196114	0.0259101	0.0409853	0.0434206	0.0374731	0.0303801	0.0285626	0.0205298	0.0214873	0.0215175	0.0195336	0.013673	0.0113819	0.00790599	0.0101586	0.0117823	0.0174136	0.0197181	0.0326681	0.0381397	0.0612281	0.0728599	0.0417944	0.0336665	0.0164018	0.0194922	0.030388
qu'	0.0342258	0.017152	0.0189962	0.0258693	0.0196965	0.015526	0.0185897	0.0339843	0.0448349	0.0483852	0.0445573	0.0386225	0.0448501	0.0536333	0.0479595	0.0487799	0.0313944	0.0348226	0.0283762	0.0243146	0.0354255	0.0211074	0.0332744	0.0285663	0.0147788	0.00981149	0.00666697	0.0082605	0.00983927	0.0107944	0.014119	0.0123344	0.0160522	0.0157988	0.0149287	0.017989	0.0141749	0.0199446	0.0215631
il	0.0428352	0.065846	0.0569865	0.0528177	0.0306211	0.0179197	0.0199074	0.0245334	0.0138977	0.0153686	0.0199188	0.0173762	0.0178351	0.0231377	0.0143219	0.0259546	0.022673	0.0411152	0.0316267	0.0417624	0.0517452	0.0331266	0.0421224	0.0437524	0.0331454	0.0249446	0.0102475	0.01168	0.0102029	0.0105252	0.0126412	0.0100253	0.0138325	0.0130802	0.0126618	0.0140132	0.0178073	0.0227363	0.0152548
ne	0.0514299	0.0586728	0.0659637	0.0682988	0.0308805	0.0156842	0.00629652	0.00542713	0.00280173	0.00248872	0.00360193	0.00578057	0.00655431	0.00626302	0.00747082	0.0160793	0.0167055	0.0260817	0.0204394	0.0258556	0.0435771	0.0247245	0.0301444	0.024393	0.0194677	0.013303	0.0060652	0.00631308	0.0079147	0.0112508	0.0171152	0.0202961	0.0225646	0.0356019	0.0703921	0.0568924	0.0479071	0.0682191	0.0310817
sait	0.0577137	0.085475	0.0893571	0.0670371	0.0419663	0.0242681	0.0100053	0.00756597	0.0025431	0.00212465	0.00366899	0.00554366	0.00685822	0.00710916	0.00681069	0.0129317	0.0148235	0.0267005	0.0253463	0.0359016	0.0533924	0.0364147	0.0338577	0.0188385	0.0168814	0.00789354	0.00297625	0.00362107	0.00429594	0.00585836	0.0114732	0.0107643	0.0121106	0.0192276	0.0362156	0.038428	0.0431426	0.0724845	0.0383731
pas	0.0403988	0.0743245	0.0768501	0.043754	0.0248448	0.0194619	0.0129353	0.0132071	0.00963379	0.00955359	0.0134666	0.013653	0.0149526	0.0195378	0.0155774	0.0251809	0.0232677	0.0383115	0.0312836	0.0350179	0.0430022	0.0279924	0.025605	0.0169313	0.0142374	0.0105521	0.00581834	0.00727885	0.00669225	0.00742172	0.0106915	0.0118685	0.0148046	0.019848	0.0369694	0.0368971	0.0337823	0.0651045	0.0492896
tenir	0.0255397	0.0281986	0.0300156	0.0221185	0.0127831	0.0228868	0.0157776	0.0161336	0.0136457	0.0176081	0.0186601	0.0154127	0.0137538	0.0174526	0.0156411	0.024823	0.02447	0.0388883	0.0376425	0.0372567	0.0463874	0.0361275	0.030223	0.019946	0.0178163	0.0125936	0.0109208	0.0129432	0.0135334	0.0149449	0.0181152	0.0236199	0.0307586	0.0352986	0.0372406	0.0485041	0.0386026	0.0574308	0.0462854
sa	0.035115	0.0286665	0.027308	0.0211883	0.0123323	0.0245639	0.0193952	0.0181314	0.0155662	0.0211564	0.0248188	0.0187238	0.0169768	0.0207759	0.0200051	0.0216873	0.0190137	0.0278772	0.0286752	0.0292578	0.0394331	0.0337789	0.0305665	0.0231947	0.0215816	0.0144311	0.0174285	0.0168818	0.0258435	0.0249072	0.0314999	0.0330793	0.0360659	0.0353905	0.0354398	0.0308981	0.0294326	0.0367089	0.0322034
langue	0.0263914	0.0284437	0.0261947	0.0202487	0.014835	0.0252816	0.019893	0.0182259	0.0126141	0.0144541	0.0138864	0.0122419	0.0103327	0.0107258	0.0105671	0.0122128	0.0147124	0.0213671	0.0263378	0.0308126	0.0388196	0.0344395	0.0297285	0.0242273	0.0223257	0.0160833	0.0179767	0.0161043	0.0280807	0.0238026	0.0347675	0.0410938	0.0445423	0.0460925	0.0454797	0.0443427	0.0420236	0.0439955	0.0362953
</S>	0.0217655	0.0168343	0.015628	0.0203356	0.00845264	0.0134201	0.00968622	0.00790181	0.00720982	0.00948441	0.00807124	0.00711074	0.00612874	0.00603208	0.00476251	0.00408351	0.00465248	0.00440152	0.00732117	0.0102192	0.0215737	0.0165635	0.0185487	0.0236023	0.0227573	0.0183124	0.0247981	0.0238716	0.0387392	0.0487545	0.0580251	0.0694297	0.0732102	0.0780061	0.0669532	0.0585885	0.0513473	0.0487046	0.0447122
