 	a66	a87	a97	a13	a62	a21	a5	a37	a90	a25	a44	a93	a56	a61	a47	a88	a9	a87	a79	a21	a12	a75	a92	a94	a12	a96	a75	a85	a47	a5	a36	a98	a85	a6	a37	a61	a88	a71	a9	a99	a87	a97	a87	a97	a82	</S>
je	0.0419214	0.0422962	0.0584157	0.0549555	0.0326896	0.0533216	0.0274121	0.0228803	0.0165162	0.0163173	0.0200086	0.0129478	0.0215247	0.0246968	0.0195286	0.0154691	0.0117547	0.0114068	0.00918811	0.00773393	0.00946188	0.00782854	0.00767864	0.00617921	0.0119054	0.0137766	0.0117607	0.0175097	0.0189091	0.0192978	0.0129371	0.0110128	0.00965341	0.0140832	0.014217	0.0131383	0.0286875	0.0325699	0.0238478	0.0280688	0.022236	0.0279777	0.0232951	0.022156	0.0245172	0.0463094
me	0.0176795	0.0129238	0.02018	0.0197652	0.0491239	0.0534356	0.0598383	0.0768701	0.0378487	0.0334008	0.0253869	0.0238315	0.0285427	0.0188379	0.021834	0.0288523	0.0319925	0.0305236	0.025998	0.0171661	0.0140532	0.0182184	0.0146504	0.0138032	0.0150629	0.0151745	0.0157852	0.0158319	0.00696795	0.00747561	0.0101395	0.00995389	0.0128359	0.015913	0.0178736	0.0106677	0.019558	0.00872102	0.00729802	0.0106466	0.0146993	0.0173701	0.0215345	0.0155142	0.0189456	0.0172742
suis	0.0302355	0.00792559	0.00619379	0.00406975	0.0133722	0.013424	0.00958098	0.0126739	0.0122758	0.0203572	0.0156848	0.0262067	0.0544407	0.0364213	0.0599389	0.0726297	0.0489167	0.0285323	0.0294566	0.0379989	0.0357436	0.0377469	0.0187209	0.0159198	0.0158378	0.0182475	0.0266587	0.00729299	0.00824245	0.00901718	0.0100901	0.016923	0.0125463	0.0236758	0.0138112	0.0211748	0.0171871	0.0134761	0.0119859	0.0177206	0.014198	0.0284017	0.0163668	0.0147621	0.021387	0.0125305
égratigné	0.0306784	0.015906	0.00841294	0.00744149	0.00590925	0.00456882	0.00322838	0.00361531	0.00518495	0.00592752	0.00817712	0.010303	0.00938454	0.0178789	0.0166237	0.027018	0.0303478	0.0173634	0.0145592	0.0341908	0.0444027	0.03798	0.0409383	0.0416587	0.0476742	0.0483841	0.0273992	0.0329799	0.0208876	0.0313452	0.0224634	0.0143489	0.0382051	0.0211645	0.0336357	0.0276297	0.0346438	0.0326256	0.0230673	0.0204094	0.0140894	0.015853	0.0124862	0.0130149	0.0122517	0.0137419
au	0.042345	0.0266982	0.0141918	0.0115631	0.00358615	0.00577904	0.00284642	0.00221422	0.0026455	0.00684246	0.00608907	0.0124238	0.011223	0.0188407	0.0172564	0.0171712	0.0217274	0.0245739	0.0217716	0.0315085	0.0302289	0.0273325	0.0387644	0.0401516	0.0403346	0.0374457	0.0348158	0.0366825	0.0254428	0.0235687	0.0280158	0.0190327	0.0178172	0.0144064	0.0201928	0.0191879	0.0248936	0.0368437	0.0246075	0.0285506	0.0123132	0.0311816	0.015731	0.0265013	0.0185562	0.0261035
bras	0.0229936	0.0103387	0.00947532	0.00460768	0.0021784	0.00435481	0.0030502	0.00554922	0.00744407	0.00900545	0.0126674	0.0158694	0.0144905	0.0204616	0.0251036	0.0400159	0.0370464	0.0325706	0.0389176	0.055544	0.0612214	0.0410176	0.0397996	0.0317516	0.0200361	0.0160353	0.0142008	0.0168664	0.03158	0.0366784	0.0289256	0.0259933	0.0295375	0.0200533	0.0329516	0.0300546	0.0289312	0.032411	0.0300616	0.0202806	0.00641681	0.00898756	0.00416563	0.00877766	0.0066068	0.00497371
lorsque	0.0281719	0.0247709	0.0173493	0.0128823	0.00531117	0.00914085	0.00949111	0.0124488	0.01055	0.014232	0.0123627	0.0171312	0.0226633	0.0288435	0.0612763	0.0498115	0.0602516	0.0538054	0.0567318	0.0490057	0.0420822	0.0368531	0.0285274	0.0183804	0.0159276	0.0101811	0.00954963	0.00902796	0.0119337	0.0081768	0.0163353	0.0132748	0.0119664	0.0155794	0.0132255	0.0167313	0.0105189	0.0195804	0.0129968	0.0185486	0.0169629	0.0157778	0.0184812	0.018911	0.0186307	0.0156077
j'	0.0508168	0.0273388	0.0172311	0.016655	0.0107194	0.0118579	0.00735615	0.00851108	0.0108564	0.0121778	0.0103249	0.0172783	0.0196713	0.0255194	0.0296406	0.0244532	0.0288331	0.0355806	0.0259254	0.0159949	0.0141446	0.0141108	0.0144432	0.0158749	0.0160912	0.012595	0.0162528	0.0154784	0.0144706	0.0120777	0.0228174	0.0144027	0.0172175	0.0245351	0.0212407	0.0283487	0.0266464	0.0282988	0.0266294	0.0663643	0.0354922	0.0431056	0.0236628	0.0288858	0.0237739	0.0162974
ai	0.0304124	0.0188768	0.0206499	0.0180769	0.00749816	0.00986379	0.0049103	0.00577178	0.00853069	0.0102607	0.00819638	0.0210332	0.0275375	0.0511945	0.0578604	0.0413711	0.0569032	0.0490998	0.0442787	0.0343594	0.0296967	0.030146	0.0299825	0.0374427	0.0390988	0.0419094	0.0311571	0.0241573	0.0118905	0.00714751	0.0147281	0.00825411	0.00543389	0.00911654	0.00848911	0.0126173	0.0133872	0.0107316	0.0132516	0.0232318	0.0119274	0.0165935	0.0084804	0.0130768	0.0125638	0.00880292
heurté	0.0322011	0.0172481	0.0154847	0.0114864	0.00545603	0.00510681	0.00257987	0.0036287	0.00694123	0.00911522	0.00890496	0.0172841	0.0205632	0.0317017	0.0400119	0.0280576	0.0377162	0.0358802	0.0265431	0.0238014	0.021843	0.0256271	0.0281824	0.0366166	0.0399464	0.0435137	0.0345506	0.0277283	0.0139898	0.00933546	0.0226157	0.0131657	0.00999649	0.0140316	0.0139369	0.0216882	0.0243377	0.0276988	0.0214037	0.0431505	0.0197854	0.0282609	0.0143402	0.0174551	0.0222127	0.0248745
le	0.0449549	0.0206127	0.0213219	0.019571	0.00737372	0.00680833	0.00220731	0.00243796	0.0042041	0.00620732	0.00735157	0.0162167	0.0199106	0.0314943	0.0380676	0.0318161	0.0302937	0.0167609	0.0148713	0.0154663	0.014976	0.0213279	0.0265107	0.0356792	0.0375641	0.0438438	0.0364483	0.0257109	0.0163452	0.00986621	0.0206201	0.012611	0.00924274	0.0100361	0.00991636	0.0193846	0.0150336	0.017867	0.016547	0.0367931	0.0341257	0.0411785	0.0236226	0.0308086	0.0467192	0.029273
mur	0.0388431	0.0177908	0.0136924	0.0104505	0.00987978	0.00472833	0.00326754	0.00455	0.00971367	0.0172211	0.0253698	0.0316126	0.0324792	0.0371602	0.0376668	0.0335651	0.0252207	0.0193677	0.0134256	0.0160825	0.0170789	0.0177203	0.0181756	0.0205927	0.0263248	0.0290815	0.0282484	0.019638	0.00870321	0.00654326	0.010481	0.00398857	0.0101887	0.00705581	0.0124185	0.0275875	0.038077	0.0295373	0.02171	0.0500531	0.0411552	0.050028	0.0209189	0.0245834	0.0449519	0.0130707
</S>	0.0271527	0.00941851	0.0105556	0.0124822	0.0127406	0.00701456	0.00678356	0.00588449	0.00568316	0.00539944	0.00580651	0.00598719	0.00621137	0.00886677	0.00758775	0.00627188	0.00362341	0.00471408	0.00341358	0.00312753	0.0034408	0.004245	0.00432861	0.0046291	0.00541581	0.00527496	0.0099472	0.0115373	0.0183433	0.0153869	0.0236501	0.0148367	0.0134564	0.0176055	0.0187933	0.0241203	0.0265951	0.0484469	0.0360462	0.0729544	0.0683362	0.0862745	0.0686188	0.0809671	0.0779738	0.0800509
