 	a66	a10	a87	a23	a70	a75	a85	a92	a85	a37	a12	a37	a98	a47	a37	a98	a47	a85	a5	a18	a75	a5	a18	a11	a75	a21	a61	a25	a69	a58	a90	a92	a96	a88	a71	a3	a87	a97	a87	a10	a87	a97	a87	</S>
le	0.029743	0.0296648	0.0417408	0.0355713	0.0241315	0.0370516	0.0685684	0.0677427	0.0284466	0.0394017	0.0154764	0.0118268	0.00654905	0.00853528	0.0102847	0.0140752	0.00968134	0.0137936	0.0242422	0.0227476	0.020391	0.0327493	0.0412601	0.0373382	0.0265538	0.0325937	0.0313394	0.0343787	0.0392826	0.0194333	0.018997	0.0134439	0.00912542	0.0100827	0.0079247	0.00886257	0.00754731	0.00689815	0.00812753	0.0081613	0.00877807	0.00879562	0.00670702	0.0219537
guérisseur	0.00237684	0.00340097	0.00852151	0.0159717	0.0107301	0.0236914	0.0363064	0.0407854	0.0900144	0.0627751	0.0621952	0.053703	0.0691973	0.0884415	0.091569	0.0356035	0.0694474	0.0903812	0.0471521	0.0188834	0.00283485	0.0071719	0.0117225	0.00799613	0.00628788	0.00818061	0.00395448	0.00400049	0.00230153	0.0012852	0.00143852	0.00124507	0.00155495	0.0013537	0.00225952	0.00134487	0.00105584	0.00103471	0.0011845	0.00132714	0.00280206	0.00194326	0.00294687	0.00162594
a	0.0410431	0.0289652	0.029528	0.0421892	0.0353329	0.0433756	0.0896455	0.0700001	0.105372	0.0668062	0.047591	0.0355817	0.0263899	0.0222062	0.0345012	0.0356773	0.0568341	0.0594729	0.046908	0.0228986	0.00888872	0.00889889	0.00336567	0.00355249	0.00177159	0.00168439	0.00155871	0.00185683	0.00289727	0.00116102	0.00124055	0.000760422	0.00116668	0.00102233	0.00123354	0.00165381	0.00133827	0.00120311	0.00153213	0.00203021	0.00276886	0.00202799	0.00342662	0.002641
crachoté	0.0261756	0.0147876	0.011806	0.0126321	0.00728763	0.0114313	0.02626	0.0293192	0.0224934	0.027599	0.0233615	0.0537768	0.0369467	0.045242	0.0519768	0.0419124	0.0714034	0.074808	0.0874476	0.0283882	0.0101598	0.0180511	0.0134571	0.0247306	0.0154504	0.013635	0.0128216	0.00713606	0.00852251	0.00751866	0.00603363	0.00789535	0.00950878	0.00984634	0.0105512	0.0149585	0.0107599	0.0106317	0.0127478	0.0145759	0.0122041	0.00942163	0.0171451	0.017182
de	0.0209439	0.0103604	0.00846302	0.00485818	0.00897486	0.00768165	0.00803512	0.00786926	0.00789842	0.00830434	0.009151	0.042045	0.0338162	0.054887	0.0859642	0.0358626	0.0743095	0.0477942	0.11145	0.0324955	0.0375007	0.0444242	0.0298193	0.0200746	0.019764	0.0154427	0.0155439	0.0136717	0.0114771	0.0088449	0.00645712	0.00443111	0.00335962	0.0064174	0.00506805	0.00581387	0.0059881	0.00981	0.013603	0.0136865	0.0213109	0.0227273	0.0252347	0.0183647
l'	0.0427557	0.0191572	0.0140607	0.0101397	0.0112912	0.0134587	0.015839	0.0177049	0.0123313	0.00756756	0.0135678	0.0174991	0.0168549	0.0142549	0.021334	0.0344055	0.0477557	0.0234985	0.0257875	0.038173	0.0366135	0.0471368	0.0225738	0.0294367	0.0351216	0.0295344	0.0390668	0.03646	0.0443024	0.023625	0.0226842	0.0184181	0.0150005	0.0212258	0.0185932	0.0150859	0.0141771	0.0109554	0.0115952	0.0150239	0.0124092	0.0160236	0.0194498	0.0280502
herbe	0.0268802	0.0140914	0.0117199	0.00677355	0.00548055	0.00634567	0.00951477	0.0100651	0.00763235	0.0124403	0.0104215	0.0169143	0.0104109	0.0111552	0.0121391	0.0112681	0.0143167	0.00680347	0.0114638	0.0116015	0.0352837	0.04203	0.0281892	0.054534	0.0635844	0.0606543	0.0741519	0.0613862	0.0666848	0.0491615	0.0513395	0.034167	0.0229312	0.0183254	0.0122563	0.0110063	0.0105114	0.00739222	0.011685	0.0101217	0.00956473	0.0110545	0.0178716	0.00867504
mâchée	0.0219563	0.0132411	0.0108954	0.00761011	0.0102651	0.0135483	0.0170749	0.014853	0.0133811	0.0211646	0.0211053	0.0334464	0.0213424	0.0223331	0.027861	0.0228715	0.0245163	0.0203223	0.0278713	0.0170542	0.0200849	0.0183345	0.0123622	0.014805	0.0309104	0.0233961	0.0407261	0.044224	0.0549342	0.0663612	0.0484876	0.0376017	0.0248757	0.0172393	0.0143005	0.0142042	0.0135832	0.0162782	0.0188703	0.0196138	0.0177656	0.0147864	0.0212495	0.0122917
sur	0.0378039	0.0268844	0.0221294	0.0198461	0.0165573	0.0156587	0.0178447	0.0212437	0.0122424	0.0144345	0.0157303	0.0251623	0.0146604	0.0196036	0.0265082	0.0385785	0.0536554	0.0239663	0.070757	0.057399	0.0316875	0.0376604	0.0174656	0.0103761	0.0138032	0.0124822	0.0174343	0.0216531	0.0275183	0.0275159	0.0211859	0.0174708	0.0191508	0.0174607	0.0150043	0.0152056	0.0130707	0.0172397	0.0142274	0.0162806	0.0186567	0.0159999	0.0179499	0.0128344
le	0.0347347	0.0194116	0.0116876	0.00928873	0.0117924	0.00784529	0.00676688	0.00927309	0.00483651	0.00458257	0.00924029	0.0124419	0.0150552	0.0202645	0.0251478	0.0427091	0.0490767	0.0306991	0.0676136	0.06595	0.0482164	0.0435417	0.0249054	0.0236791	0.0303157	0.0216927	0.0347167	0.030115	0.028104	0.0183716	0.0176951	0.0141334	0.0133437	0.0160157	0.0142702	0.0118787	0.0135192	0.0111582	0.0137758	0.0198705	0.0214199	0.0228883	0.0232733	0.0246821
malade	0.0337255	0.0279544	0.0250562	0.0181262	0.0191058	0.0161938	0.0154674	0.0212182	0.0130346	0.0115779	0.0212531	0.0255672	0.0237373	0.0254941	0.0235571	0.0194594	0.0199363	0.023097	0.0289714	0.0269325	0.039658	0.0349262	0.0210321	0.0320746	0.0280568	0.0220064	0.0276374	0.0308359	0.0311317	0.019247	0.0200529	0.0208833	0.023846	0.022784	0.0164079	0.0118952	0.0112334	0.0114696	0.0127258	0.0171249	0.0158506	0.0278939	0.0278679	0.033893
</S>	0.0176709	0.0150742	0.0194081	0.0168093	0.0162431	0.015223	0.0154349	0.0186926	0.00968603	0.00857997	0.00710329	0.00984101	0.00682458	0.00482359	0.00446713	0.00511984	0.0062144	0.00598467	0.0106763	0.009424	0.0173449	0.0222851	0.00925331	0.017278	0.0210407	0.0151199	0.0258041	0.0285547	0.0302581	0.0263998	0.0253083	0.0317428	0.0321992	0.0474208	0.0307856	0.0269524	0.0328852	0.0369287	0.03954	0.0390738	0.053712	0.0373174	0.0489827	0.0805118
