 	a66	a87	a97	a99	a62	a47	a88	a0	a62	a47	a62	a31	a62	a83	a71	a9	a75	a21	a12	a18	a21	a12	a75	a98	a92	a37	a93	a90	a44	a43	a21	a12	a70	a50	a88	a71	a58	a30	a70	a88	a71	a50	a12	a18	a82	a97	a3	a97	</S>
je	0.023875	0.0205292	0.0247312	0.0200645	0.0244906	0.0154368	0.0206997	0.0123112	0.0282043	0.019927	0.0150243	0.015485	0.0304677	0.020436	0.0230959	0.0294198	0.029963	0.0340135	0.0316479	0.0218513	0.0147154	0.0190514	0.0131872	0.0109696	0.0126021	0.0151737	0.0133758	0.0181954	0.0206711	0.0334024	0.0312418	0.0161554	0.0297281	0.0184939	0.0174415	0.0192238	0.0167468	0.0199279	0.0158909	0.0116288	0.0133266	0.00739901	0.0131448	0.0128299	0.0133367	0.0148845	0.030212	0.0206297	0.0447399
m'	0.0274096	0.0287862	0.0227853	0.0224931	0.0275705	0.0283242	0.0282052	0.0217312	0.0224009	0.0148575	0.0128687	0.0105549	0.0151347	0.0139196	0.015702	0.0160608	0.0165482	0.0178555	0.022081	0.0210836	0.0337245	0.0309299	0.0314272	0.0355922	0.0416478	0.0307808	0.02255	0.0250577	0.0341739	0.0196888	0.012239	0.0254451	0.0204213	0.0106701	0.0115182	0.0113499	0.0125813	0.0112213	0.0119982	0.00867443	0.0175862	0.0217298	0.0198259	0.0228066	0.0161232	0.0135116	0.0119894	0.0144027	0.0139603
étonnais	0.0150879	0.0113647	0.00582195	0.00568481	0.00693865	0.00886211	0.01029	0.00736555	0.00927561	0.00641569	0.0129175	0.0121712	0.0101436	0.0132074	0.0182428	0.0165351	0.0264193	0.0249409	0.0563246	0.044166	0.0488089	0.0636798	0.0598542	0.118966	0.0783178	0.0625958	0.0262038	0.0240495	0.0125073	0.00294626	0.00334142	0.00561098	0.00505626	0.00255573	0.00213605	0.00440387	0.00405864	0.00417592	0.00615739	0.00811531	0.0116931	0.0101904	0.0133947	0.0136886	0.012809	0.0136048	0.0177027	0.0250521	0.0161485
de	0.0527436	0.0166668	0.00861568	0.00324287	0.00273525	0.00224996	0.00241764	0.001868	0.00168621	0.00104752	0.00265188	0.00292355	0.00334251	0.00692318	0.0103423	0.00881792	0.0131746	0.0117699	0.016878	0.0263695	0.0273696	0.013743	0.0210241	0.020697	0.0327874	0.034351	0.0325828	0.0609544	0.0473991	0.0360138	0.030265	0.0594562	0.0655497	0.0318737	0.0214477	0.0429611	0.0225672	0.0134792	0.0151495	0.0147243	0.0106117	0.0256792	0.00831878	0.0176663	0.0184765	0.0250047	0.0143132	0.0241658	0.0149014
voir	0.0297384	0.0146892	0.00758669	0.00792225	0.00613931	0.00778184	0.00633228	0.00654987	0.00463311	0.00335185	0.00629019	0.00704396	0.00617827	0.0105574	0.0151982	0.0089043	0.014224	0.0123687	0.0197681	0.0432801	0.0381097	0.0210297	0.0247429	0.0254786	0.035246	0.0282297	0.035132	0.0575974	0.0554827	0.0316749	0.0345536	0.02541	0.0446944	0.0222737	0.0156998	0.028041	0.0235542	0.0126968	0.0142756	0.0203384	0.0134629	0.0314474	0.00768932	0.0192023	0.0146031	0.0225786	0.0200731	0.0279789	0.0101654
quelqu'	0.0331998	0.0183126	0.0147995	0.0125714	0.010889	0.00910959	0.0100963	0.00790865	0.00492086	0.00373193	0.00740322	0.00796357	0.00594612	0.0128159	0.0196094	0.0104713	0.0173802	0.0115594	0.0240005	0.0352962	0.0372264	0.0215906	0.026159	0.0180105	0.0210856	0.0197618	0.0336482	0.0766875	0.0512861	0.0481393	0.0408596	0.0507931	0.0338545	0.0272115	0.0159098	0.0165756	0.0143988	0.0108059	0.0112101	0.0108836	0.00894256	0.0177442	0.0069275	0.0164517	0.016542	0.0202711	0.0212188	0.0141188	0.0137001
un	0.0288369	0.025712	0.0195279	0.0124924	0.010136	0.00932231	0.00864681	0.00628937	0.00724484	0.00977928	0.0111505	0.0160827	0.0130493	0.0173821	0.035282	0.0222664	0.0327847	0.0243299	0.049723	0.0492832	0.0373098	0.0452776	0.0330448	0.0321205	0.0414553	0.0415756	0.0322214	0.0416096	0.0319877	0.0238957	0.0192039	0.0158526	0.0115289	0.00763387	0.00531686	0.00932611	0.00566612	0.00352842	0.00360827	0.00449213	0.00435708	0.00981158	0.00527665	0.0129628	0.0103595	0.0245787	0.0194786	0.0302117	0.0269866
en	0.0185132	0.0132272	0.00998715	0.00705236	0.0108464	0.00971491	0.0100313	0.0098684	0.00871768	0.00885625	0.00858102	0.00930879	0.0136941	0.0157215	0.0119101	0.0142896	0.0234209	0.0139499	0.0219163	0.0272612	0.0241083	0.0160474	0.0164057	0.0125905	0.00815101	0.00578075	0.0113156	0.0137575	0.0174471	0.016779	0.0284157	0.0159374	0.0245764	0.0265758	0.0269039	0.0396365	0.0367108	0.0141298	0.0253471	0.0255087	0.0246052	0.0315311	0.0136916	0.040623	0.0290688	0.0398992	0.0540323	0.050072	0.0434834
cache-sexe	0.0156241	0.0116792	0.00898059	0.00652659	0.01013	0.0114103	0.012939	0.0120035	0.00906191	0.00919413	0.00977817	0.00853895	0.0136549	0.0147018	0.010205	0.014812	0.0252715	0.0195506	0.0246788	0.03227	0.0181091	0.0132234	0.0141606	0.0130992	0.0105072	0.00740932	0.0119055	0.0128974	0.0130151	0.0132605	0.0185135	0.0116839	0.0136101	0.0138714	0.0125519	0.0256017	0.0244355	0.0104756	0.0232867	0.0326045	0.0357335	0.0282171	0.0212622	0.0324439	0.039439	0.0368278	0.0635502	0.0575455	0.0897476
en	0.0296801	0.0292627	0.0174628	0.0189893	0.0152744	0.0302527	0.0226437	0.0248675	0.0172839	0.0100281	0.0153056	0.0123608	0.0109779	0.0109784	0.012145	0.0113926	0.0186258	0.0127586	0.0221048	0.0249818	0.0184826	0.0178326	0.0170804	0.0187219	0.0156992	0.0152245	0.0178018	0.0256545	0.0262176	0.0206107	0.0284784	0.0287545	0.0337706	0.0198752	0.0188737	0.0220733	0.0174094	0.00933201	0.0139721	0.0167582	0.0153864	0.0201528	0.0139974	0.0179383	0.0225904	0.0186546	0.0312415	0.0303665	0.0596721
