 	a85	a87	a23	a87	a97	a30	a53	a15	a47	a85	a41	a27	a61	a66	a9	a38	a70	a75	a98	a79	a96	a61	a31	a88	a13	a93	a70	a98	a85	a47	a37	a66	a61	a47	a66	a54	a36	a57	a97	a87	a23	a87	a23	a10	a87	</S>
il	0.0415969	0.022578	0.0291293	0.021611	0.0217583	0.0291993	0.0318985	0.0466433	0.0337559	0.0413112	0.0385212	0.0593323	0.0678273	0.0815218	0.0617161	0.042266	0.0286065	0.0194785	0.0374795	0.00962062	0.00467491	0.00341526	0.0028193	0.00397028	0.00261524	0.00255779	0.00279762	0.00426123	0.00325768	0.00226976	0.00361495	0.00576766	0.00649549	0.00991419	0.00807996	0.0137654	0.0136272	0.0130688	0.0143999	0.0114746	0.0164943	0.0140517	0.0183619	0.0161748	0.0147074	0.0215112
tend	0.00203215	0.00251946	0.00273445	0.00262319	0.00322394	0.00591094	0.00856953	0.0284975	0.0454982	0.106715	0.0659691	0.0414534	0.0477606	0.0866742	0.0433222	0.0442052	0.018899	0.0247766	0.0313557	0.025755	0.0183382	0.0115096	0.00718602	0.00927324	0.00654036	0.00935737	0.00888551	0.00593983	0.006594	0.00722848	0.0107909	0.00947963	0.0155919	0.016302	0.0253006	0.0235873	0.0244494	0.0198711	0.0215837	0.0197758	0.0150403	0.015174	0.0162581	0.015147	0.0155643	0.00673632
des	0.0339247	0.0238795	0.0161418	0.0108342	0.0149486	0.0181232	0.0169259	0.0137837	0.0149578	0.0232986	0.0246186	0.0217467	0.0138425	0.0298784	0.0311608	0.0313346	0.0360578	0.0111105	0.0177922	0.0162522	0.0174593	0.0231551	0.013586	0.0173659	0.00876951	0.0174704	0.0343011	0.0246513	0.0296735	0.0321507	0.0200843	0.0122925	0.0101717	0.0104999	0.0136427	0.0114106	0.0171991	0.0183645	0.0225623	0.0216596	0.0232306	0.021487	0.0303811	0.0286693	0.0377161	0.0614335
pièges	0.0170261	0.0170972	0.0185656	0.0127533	0.0154956	0.0211049	0.0118531	0.0208188	0.0248375	0.0153271	0.0092589	0.00636755	0.0129619	0.0318997	0.0376495	0.0349472	0.0331814	0.028833	0.0298321	0.0363506	0.0306641	0.0383325	0.0417773	0.0347004	0.0313121	0.0265851	0.025504	0.0202134	0.0242699	0.0245638	0.0160976	0.0144991	0.00964579	0.00939689	0.014212	0.0150428	0.0167118	0.0200477	0.0185938	0.0239558	0.0197663	0.0201289	0.0153715	0.0171786	0.0144795	0.0207882
en	0.0259134	0.0192732	0.0128965	0.00917635	0.00846499	0.00716742	0.00369525	0.00509565	0.0110493	0.0149417	0.0128178	0.00854514	0.0111985	0.0159011	0.0188842	0.0123943	0.0106946	0.0116253	0.011281	0.0107933	0.0102837	0.0109834	0.0130927	0.017369	0.0167391	0.0134967	0.0194582	0.0221964	0.0254848	0.0287179	0.0359569	0.0373102	0.0284928	0.0358434	0.038354	0.0413529	0.0384451	0.0403896	0.0494609	0.0468208	0.0323512	0.0393121	0.0275738	0.033629	0.0252971	0.0297794
bois	0.0123327	0.0119333	0.0097671	0.0101866	0.00969628	0.00962308	0.011749	0.020092	0.0242185	0.0210466	0.0145531	0.0147787	0.0161727	0.0203497	0.0316058	0.0307171	0.0262257	0.0258396	0.0182465	0.0197698	0.0209978	0.026604	0.0342108	0.0379054	0.0333157	0.0253885	0.0183554	0.0224026	0.0155875	0.0184197	0.0269329	0.0259404	0.0224958	0.0225325	0.0216916	0.0298988	0.0296724	0.0257912	0.0354981	0.0360315	0.0193551	0.0262929	0.0201472	0.018333	0.012869	0.0144264
pour	0.0101274	0.0071583	0.00585304	0.00724931	0.00656564	0.00734229	0.00619002	0.00665588	0.0106541	0.012812	0.0103493	0.0116313	0.0127281	0.0289316	0.0593651	0.0662829	0.025715	0.0132435	0.0123558	0.015652	0.0173099	0.0231122	0.0163519	0.0223372	0.0138327	0.0114695	0.0135306	0.0158041	0.0142018	0.0119065	0.0163946	0.0173153	0.0188191	0.021684	0.0260719	0.0349951	0.0364945	0.0352763	0.0533494	0.0507035	0.0375796	0.0395241	0.0325901	0.0357381	0.0244643	0.0222812
prendre	0.0133605	0.0104152	0.00896796	0.00957125	0.00742192	0.00465346	0.00325217	0.00507535	0.0125708	0.0147822	0.0149156	0.0114608	0.0112415	0.0151109	0.0205371	0.0199641	0.0105269	0.00687107	0.00819844	0.00645089	0.00455778	0.011015	0.00798044	0.00690985	0.00536972	0.00757919	0.0111198	0.0123198	0.0167251	0.0137915	0.0169941	0.0180025	0.0227129	0.0358455	0.040253	0.0539719	0.0506588	0.0409758	0.0664016	0.0553059	0.0549349	0.0460399	0.05273	0.0563358	0.0439501	0.0321707
les	0.0179953	0.0140135	0.0122279	0.0115354	0.00852422	0.0062186	0.00550544	0.00829849	0.0141338	0.00990564	0.017357	0.00957201	0.011732	0.0281048	0.0283181	0.0340597	0.0229259	0.0105379	0.0231244	0.0149454	0.0105963	0.0196404	0.0138909	0.0171628	0.0101666	0.0117	0.0154417	0.0104136	0.0147937	0.015742	0.014049	0.0105263	0.0151222	0.0203976	0.0227017	0.0221589	0.0298424	0.0239959	0.0412147	0.0339579	0.0422028	0.0534218	0.045774	0.0488151	0.0485134	0.078723
hérissons	0.0269043	0.0243928	0.0287035	0.0295273	0.0248102	0.0199019	0.0157487	0.0216728	0.0177223	0.011899	0.0146781	0.0111667	0.0115804	0.0178817	0.0220605	0.0231697	0.0163556	0.00953367	0.0129787	0.0118218	0.00908025	0.0204478	0.0202933	0.0245244	0.0135323	0.01503	0.0181478	0.0124329	0.0163808	0.0199655	0.0214138	0.0170455	0.0207558	0.0192034	0.0187427	0.0194352	0.0226568	0.0202843	0.0237383	0.0279447	0.041149	0.0440223	0.0349406	0.0426604	0.0347381	0.0489242
