 	a23	a79	a20	a30	a35	a61	a24	a25	a38	a30	a35	a54	a20	a76	a90	a38	a41	a35	a41	a25	a87	a23	a53	a20	a94	a58	a25	a10	a26	a24	a66	a26	a24	a25	a87	a23	a24	a66	a54	a30	a14	a30	a35	a66	a38	a54	a76	a94	a90	a34	a98	a14	a35	a75	a73	a57	a87	a23	a87	</S>
il	0.0101512	0.0190391	0.0261637	0.0296033	0.0312258	0.0966609	0.238082	0.0800004	0.0398778	0.0668003	0.0272115	0.0420607	0.00655365	0.0160623	0.0232821	0.0177378	0.00618034	0.00587181	0.00546561	0.0066937	0.00448258	0.00587833	0.00630955	0.00505342	0.0030849	0.00525485	0.00325189	0.00316034	0.0030861	0.00430588	0.00409093	0.00309731	0.00534146	0.00358277	0.00196923	0.00208458	0.00292668	0.00277466	0.0021489	0.00110653	0.00157221	0.00158773	0.00266943	0.00279161	0.00302994	0.00153862	0.00191723	0.00426312	0.00371026	0.00359481	0.004384	0.00630052	0.0114521	0.00901428	0.0180407	0.0108335	0.00932494	0.0134851	0.0119601	0.0108153
s'	0.00120372	0.00387292	0.00311398	0.00333794	0.00454687	0.0223839	0.0243754	0.023294	0.0281323	0.0303564	0.0235965	0.0355392	0.0102591	0.0137134	0.0130083	0.0077361	0.011846	0.0128075	0.011564	0.00946999	0.0103001	0.015999	0.0183663	0.0431603	0.0570063	0.0436576	0.0306054	0.0344728	0.0208166	0.0220685	0.0187177	0.0183152	0.0145003	0.0267673	0.017016	0.0158393	0.0163453	0.0398449	0.0110287	0.0129548	0.00602854	0.00650372	0.00375312	0.00304219	0.00254455	0.00276733	0.00452936	0.00590636	0.00545567	0.0123193	0.0158555	0.0140594	0.0173347	0.0170638	0.018017	0.0219708	0.0168488	0.0181346	0.0156584	0.0102669
est	0.0104003	0.00626382	0.00769387	0.0088319	0.0212367	0.0371333	0.0239171	0.0359931	0.0352826	0.0252557	0.0282129	0.0431104	0.0281719	0.0235904	0.0185401	0.0311093	0.0322213	0.0150068	0.00904798	0.00583184	0.00678805	0.00763885	0.00723483	0.0130938	0.0153274	0.00833825	0.0109109	0.0125449	0.00745989	0.0106981	0.0115214	0.0103711	0.00721396	0.00969794	0.0108417	0.010721	0.00917853	0.0153435	0.00341008	0.00554876	0.00301148	0.00291333	0.00373925	0.00347418	0.00312251	0.0112702	0.00498294	0.00607903	0.00884767	0.0105031	0.0146198	0.0158788	0.0329717	0.0283547	0.0402623	0.0265138	0.0271144	0.0347826	0.0328834	0.0479407
mis	0.00887157	0.00678492	0.00499279	0.0159333	0.0280109	0.0446738	0.0210466	0.0567634	0.0813851	0.085921	0.0647162	0.0301958	0.0311073	0.0228687	0.0125934	0.0122015	0.00449679	0.00529033	0.00540893	0.00394489	0.00606221	0.00498732	0.00394866	0.004379	0.00509122	0.00394003	0.00613829	0.00798313	0.0104976	0.0115822	0.00985135	0.00713753	0.0073548	0.0085108	0.00618862	0.00770062	0.00969095	0.00383931	0.0102625	0.0058059	0.0195681	0.0213781	0.0414955	0.0516637	0.0395283	0.0341595	0.0207984	0.0166961	0.0185773	0.0198101	0.00848144	0.00490873	0.00403499	0.00187562	0.00126167	0.00166246	0.00140375	0.00132966	0.00177984	0.00142721
une	0.016352	0.00949094	0.00874422	0.0128734	0.0150225	0.0230733	0.0259401	0.0176234	0.021969	0.030133	0.0224478	0.0239803	0.0245275	0.0190038	0.0212894	0.0200616	0.016742	0.0181571	0.0112914	0.0114305	0.015305	0.0138719	0.0131824	0.0240878	0.0257803	0.0216761	0.0207944	0.024762	0.0249259	0.0322015	0.0346703	0.018777	0.0255099	0.0284525	0.0249499	0.025037	0.0265037	0.0200829	0.0143856	0.0071079	0.0132126	0.0115159	0.00876749	0.00828293	0.00708357	0.00432578	0.00428753	0.00725647	0.0049832	0.00848702	0.00965213	0.00631216	0.00869514	0.00595263	0.0095751	0.0117613	0.0142756	0.0129131	0.0126434	0.0177995
amulette	0.0190835	0.0193067	0.0264692	0.0199233	0.0274411	0.0345367	0.0311955	0.0191932	0.029461	0.0227906	0.0266522	0.0152431	0.0209944	0.025943	0.0174346	0.0183748	0.00727515	0.00850061	0.00787681	0.0127465	0.0119297	0.015357	0.0188355	0.0220712	0.016954	0.0157558	0.0238593	0.0277937	0.0232287	0.0255384	0.0206116	0.0150015	0.0252875	0.0205146	0.0142375	0.0210711	0.0221337	0.0169031	0.011298	0.0118848	0.0169909	0.014568	0.0112282	0.0102423	0.00881239	0.013377	0.0124816	0.0108467	0.0117313	0.0105499	0.0102439	0.0114918	0.00981613	0.00923737	0.00752467	0.00993856	0.00745333	0.0074335	0.00781804	0.00750594
au	0.0317156	0.0207709	0.0174203	0.0172401	0.0158242	0.0213419	0.0446049	0.0183598	0.0271058	0.0380741	0.023572	0.0223461	0.00940841	0.00803861	0.0117781	0.0141066	0.00738807	0.0141413	0.0170079	0.0202853	0.0118981	0.0126468	0.0145116	0.0388234	0.0207468	0.024213	0.0183498	0.0200998	0.013785	0.0186726	0.0155248	0.0193526	0.00860502	0.0301141	0.022176	0.026472	0.021395	0.0126653	0.0134088	0.00607553	0.00809145	0.00567078	0.00357994	0.00263154	0.00187778	0.00268491	0.00250834	0.00471148	0.00299433	0.00496438	0.0071269	0.0120081	0.0167212	0.0187962	0.0212348	0.024076	0.0169214	0.0227077	0.0240541	0.0265724
cou	0.0202985	0.017799	0.0170694	0.0162497	0.0239099	0.0240495	0.0362129	0.0277215	0.0253533	0.0263803	0.0207278	0.0220227	0.0149286	0.0223542	0.0277976	0.0211177	0.019212	0.0229056	0.0206805	0.0208653	0.0139215	0.0210661	0.02534	0.0226288	0.0131773	0.013885	0.0191476	0.0213195	0.00845415	0.0181352	0.0110997	0.0104362	0.00968976	0.0111657	0.00670907	0.0112481	0.0190736	0.00837341	0.00730129	0.0078538	0.00890562	0.00972321	0.0212234	0.0147438	0.0142913	0.017747	0.0132245	0.0154782	0.0215421	0.00961843	0.0117594	0.0138891	0.00863173	0.0094826	0.0103559	0.0103584	0.0125315	0.0165277	0.014635	0.0176496
pour	0.0303071	0.0300217	0.0333612	0.0375882	0.0405514	0.0360955	0.0270023	0.0273353	0.0200949	0.0215083	0.0180845	0.0169942	0.0149597	0.0222939	0.0225669	0.0324914	0.0142216	0.0131168	0.012685	0.0161327	0.0119427	0.0235204	0.0274207	0.0297724	0.0197453	0.0110381	0.0204764	0.0223883	0.010938	0.0204032	0.0118508	0.00882149	0.00810712	0.0125562	0.0104163	0.014368	0.0189086	0.0079286	0.00802968	0.00665765	0.00694135	0.00821518	0.0119504	0.0107758	0.00815118	0.00638662	0.00492385	0.00885108	0.00955789	0.00515186	0.0084188	0.00625864	0.0081946	0.00926446	0.0131707	0.0112456	0.0127447	0.0155291	0.0130867	0.0284788
se	0.019804	0.0172265	0.0267735	0.0298705	0.0241572	0.024014	0.0219083	0.0121611	0.0119915	0.0171274	0.0122694	0.0101544	0.00819933	0.00919389	0.0111184	0.0150216	0.0150534	0.024398	0.0264347	0.0170947	0.0284836	0.0339786	0.0351478	0.0335205	0.0208665	0.0338196	0.0304887	0.0291879	0.0090497	0.0157622	0.00949337	0.0096371	0.0158627	0.0154394	0.00817658	0.0142149	0.0201077	0.00721819	0.0102965	0.00636451	0.0100212	0.00798782	0.00554098	0.00415211	0.00344536	0.00364991	0.00228787	0.00955681	0.00639654	0.00768521	0.0122703	0.0132559	0.0109965	0.00996951	0.0117448	0.0140812	0.0186903	0.0212467	0.0233435	0.0625897
