 	a23	a54	a14	a41	a61	a41	a32	a38	a75	a41	a98	a41	a31	a24	a41	a31	a62	a98	a94	a90	a41	a24	a43	a21	a41	a35	a44	a98	a41	a56	a75	a66	a62	a98	a9	a87	</S>
il	0.0887122	0.12793	0.157662	0.10419	0.0700175	0.0351521	0.0304518	0.024601	0.020168	0.0117494	0.0157243	0.0114245	0.0194769	0.0184198	0.0117582	0.0169343	0.01208	0.0107267	0.00962479	0.00845805	0.0085947	0.00798729	0.00757918	0.00761057	0.00755412	0.00637439	0.00388003	0.00605391	0.00758543	0.0125035	0.0137655	0.0161712	0.0208873	0.0219133	0.012732	0.0148749	0.0186711
faut	0.00555966	0.00796406	0.0107501	0.0251368	0.0382578	0.0531451	0.0381949	0.0509923	0.0571148	0.0312757	0.0448501	0.0254282	0.0529214	0.0530055	0.0655751	0.0430227	0.0264043	0.0211277	0.0181918	0.0117472	0.00973701	0.0190708	0.0106663	0.0170123	0.0226472	0.0169067	0.0196271	0.021812	0.02299	0.0269368	0.0190155	0.029846	0.0171825	0.0119384	0.0188478	0.022223	0.0128752
faire	0.0146926	0.00807908	0.00691918	0.00692094	0.00858751	0.0116848	0.0105332	0.0114248	0.0178436	0.00727586	0.0114581	0.0142257	0.0157572	0.0157493	0.0154563	0.0235116	0.0127218	0.00502126	0.00341011	0.00160923	0.00216877	0.00379551	0.00227183	0.00296333	0.0047342	0.00443958	0.00780785	0.00985835	0.0349871	0.0427379	0.0402308	0.0820304	0.106579	0.101446	0.112747	0.107183	0.111136
attention	0.0582224	0.0543021	0.0364195	0.0412526	0.0327174	0.0243589	0.0327472	0.0301509	0.0501916	0.0416924	0.028563	0.0470452	0.0328154	0.0402767	0.030746	0.0303923	0.0435618	0.0211897	0.0330038	0.025087	0.0331601	0.0264582	0.0382669	0.0307627	0.0150202	0.021451	0.0136978	0.0160744	0.0103978	0.0106502	0.00787563	0.00600819	0.00577919	0.00551718	0.00667028	0.00714128	0.0103329
à	0.052192	0.029454	0.0235504	0.0129712	0.00700959	0.00545181	0.00597506	0.00653107	0.00959111	0.00574678	0.0080445	0.00723473	0.00795065	0.00716438	0.0123922	0.0107933	0.0101006	0.012168	0.0138048	0.00698134	0.0109315	0.0127399	0.0126851	0.0195421	0.0267009	0.0288079	0.0564934	0.0342781	0.048663	0.0602675	0.0496831	0.0655884	0.0409231	0.029214	0.0804767	0.0982531	0.0696447
ce	0.105338	0.0591709	0.0487134	0.0260967	0.0131513	0.0104532	0.00860373	0.00874062	0.0140769	0.00510119	0.00675052	0.00861182	0.00981295	0.0150119	0.0283699	0.0218721	0.0235349	0.0179516	0.026076	0.0171062	0.0204072	0.0231334	0.02779	0.016902	0.0206625	0.0263146	0.0389224	0.0238382	0.0290058	0.0304125	0.0296943	0.033363	0.0280137	0.0292002	0.0384095	0.0538377	0.0555494
que	0.108546	0.0793293	0.0742937	0.0297358	0.0192179	0.0174983	0.00728198	0.0160522	0.0100705	0.00559106	0.00757703	0.00545263	0.0114144	0.0155931	0.0199287	0.0191575	0.013632	0.0138919	0.0207021	0.0149474	0.0158591	0.0128858	0.0182249	0.01148	0.0093196	0.0101812	0.0178422	0.0159795	0.014608	0.0283412	0.0182204	0.0307275	0.0311826	0.0401626	0.0519239	0.0659312	0.0972165
l'	0.0479416	0.0268722	0.0220477	0.0159501	0.012316	0.00773593	0.00560121	0.0112228	0.00762214	0.0041746	0.011506	0.00741208	0.0109137	0.0181286	0.0222033	0.0228492	0.018444	0.0209027	0.0218848	0.0110833	0.0134047	0.0127585	0.0116884	0.00735053	0.0115512	0.0102871	0.0190021	0.0194827	0.0231996	0.0575029	0.0299616	0.0711482	0.0990403	0.0935902	0.0879517	0.0702223	0.035046
on	0.0475291	0.0452631	0.0248741	0.0160234	0.00861167	0.00635609	0.00610374	0.00530284	0.0056566	0.00268424	0.00818672	0.0112034	0.0121765	0.0129669	0.0134343	0.0147765	0.00925035	0.0110763	0.00981483	0.00747857	0.017587	0.015817	0.0239604	0.0343291	0.0262845	0.033944	0.0305595	0.0201183	0.0119623	0.0215416	0.0226601	0.0413647	0.0589984	0.0512689	0.0742973	0.0708417	0.165696
vous	0.0398332	0.0423244	0.0314444	0.0184652	0.0106193	0.00833498	0.00563304	0.00706934	0.0141883	0.00593632	0.00769187	0.0121447	0.0154808	0.0160235	0.0288145	0.0202593	0.0234335	0.0217101	0.0250041	0.021493	0.0302736	0.0312793	0.0393853	0.0436862	0.0287367	0.0364267	0.0276655	0.0221606	0.00942099	0.0167544	0.0176742	0.0370574	0.0534565	0.042191	0.0554361	0.0547581	0.0777337
dit	0.0577643	0.0631736	0.0472854	0.0204367	0.0200475	0.0117407	0.0112733	0.0133174	0.0141628	0.00763342	0.00687673	0.0127085	0.0129321	0.0141292	0.0239649	0.0148217	0.0167482	0.0178408	0.0193596	0.0137907	0.0165856	0.0186202	0.0188838	0.0198566	0.019747	0.0272563	0.0180497	0.0175743	0.00903297	0.016256	0.0203573	0.0417903	0.0378339	0.054219	0.0832677	0.064024	0.0966379
</S>	0.055955	0.0372366	0.0185056	0.00964458	0.00669602	0.00383727	0.003915	0.00428252	0.00523325	0.00286173	0.00331232	0.00405751	0.00306978	0.00268117	0.00584754	0.00293191	0.00388103	0.00515547	0.00628757	0.00340229	0.00521989	0.00835614	0.00732746	0.0095536	0.0153957	0.0168245	0.0244703	0.0193414	0.0291322	0.0508606	0.0456368	0.0947586	0.0581186	0.08916	0.11048	0.120591	0.105978
