 	a66	a87	a23	a87	a79	a69	a4	a58	a54	a47	a92	a37	a92	a37	a44	a93	a90	a56	a96	a98	a6	a0	a54	a7	a93	a98	a92	a56	a96	a26	a54	a47	a36	a2	a57	a87	a23	a99	a97	a87	</S>
il	0.0210137	0.048772	0.0415689	0.0459904	0.10105	0.0530092	0.0668215	0.0429282	0.0263026	0.0179288	0.0153028	0.0139937	0.0159793	0.0137658	0.0095933	0.0061583	0.00611971	0.00973127	0.0111337	0.011053	0.00876472	0.00868452	0.0077985	0.00830885	0.0136286	0.0182192	0.0149515	0.00859398	0.00649183	0.0114703	0.012267	0.0151546	0.0299151	0.0400082	0.029062	0.0260553	0.0364502	0.0313946	0.0232457	0.0323502	0.0389693
n'	0.00873444	0.0107864	0.015821	0.0273078	0.0387464	0.0489537	0.0524801	0.0518395	0.0316987	0.0323154	0.0224546	0.0190041	0.0204569	0.0239984	0.0305658	0.0368665	0.0240268	0.0177965	0.0168218	0.00796507	0.0135044	0.0123627	0.0107814	0.0111353	0.00619912	0.00333723	0.00446306	0.0123138	0.0131503	0.0193708	0.0295006	0.031648	0.0348811	0.0363908	0.0351462	0.0349336	0.0368751	0.037202	0.0347305	0.0293492	0.0140853
y	0.0140558	0.0111637	0.00889998	0.00800266	0.00932646	0.0144164	0.0127232	0.0216608	0.0195943	0.0528471	0.0986593	0.0598193	0.0853091	0.131963	0.112708	0.101739	0.0450145	0.0231008	0.0148858	0.00584651	0.00556376	0.00450333	0.00450598	0.00307222	0.00123987	0.00161553	0.00137431	0.00279802	0.00177773	0.00632106	0.00507672	0.0105653	0.00815286	0.00555102	0.00872398	0.00803927	0.0129906	0.0149625	0.0145045	0.01324	0.013686
a	0.0774425	0.0699423	0.0502086	0.0392267	0.0323652	0.0222555	0.0206127	0.0283078	0.022096	0.0176878	0.0133911	0.0129336	0.0181272	0.011551	0.0180542	0.0196451	0.024046	0.0339905	0.0411667	0.0430256	0.0364859	0.0359041	0.0377111	0.0297891	0.0348188	0.0258276	0.0217939	0.0267016	0.0172355	0.00899526	0.00724417	0.00909634	0.00624643	0.00760271	0.00824441	0.00888819	0.0108352	0.0101184	0.00837476	0.00814709	0.023863
personne	0.0496145	0.0351778	0.0316164	0.0269552	0.0266365	0.028424	0.028164	0.0174071	0.0318163	0.0320008	0.031373	0.0300256	0.0426853	0.036727	0.0188171	0.0148809	0.0157015	0.0169725	0.0174464	0.0139105	0.0169561	0.0132337	0.0170915	0.0136809	0.011066	0.0110019	0.0105042	0.0114522	0.0117473	0.0120752	0.0123639	0.017111	0.0307745	0.026441	0.0346476	0.0312427	0.0302158	0.0240959	0.0311766	0.0311062	0.0556635
qui	0.0323665	0.0238073	0.0198932	0.0168434	0.0150943	0.0162066	0.0168859	0.0145773	0.0182653	0.0248838	0.0298351	0.0271404	0.0338183	0.0301454	0.0198105	0.0177017	0.0160092	0.014226	0.0106772	0.00844107	0.00887894	0.00790066	0.0105215	0.00917952	0.00841288	0.0205959	0.0174893	0.0245226	0.0244969	0.0294169	0.0305084	0.0395886	0.0427174	0.0425851	0.0408967	0.0419794	0.0424803	0.0366063	0.0384493	0.0396101	0.0365349
s'	0.033886	0.0152271	0.017287	0.0216868	0.0151447	0.0171058	0.017345	0.0175859	0.0182608	0.0291358	0.0310983	0.033794	0.0355981	0.0275416	0.0495958	0.0360898	0.025949	0.0171115	0.0108932	0.00703803	0.00776914	0.0102486	0.0133552	0.0132335	0.0149327	0.0255846	0.0390537	0.0457155	0.0285768	0.0621168	0.0450027	0.040559	0.0263881	0.0206311	0.0240033	0.0193459	0.0194537	0.0162235	0.0185292	0.0174181	0.0144846
entend	0.0204955	0.0117681	0.0138646	0.0159257	0.0152156	0.0188041	0.0207931	0.0238447	0.0251006	0.0328514	0.0231591	0.0305804	0.0347702	0.021488	0.0442312	0.0437834	0.0390818	0.0330357	0.0286913	0.0195611	0.0182025	0.0152934	0.0141071	0.0123292	0.00933798	0.0189123	0.0272778	0.0454752	0.0447032	0.0550438	0.0399216	0.0233352	0.0290392	0.020964	0.0148543	0.0154656	0.0199409	0.0139841	0.0181232	0.0119908	0.0146531
avec	0.033241	0.0184358	0.0187606	0.020865	0.0223324	0.0233392	0.0244105	0.0289441	0.0255056	0.0213525	0.0171052	0.0247491	0.0274845	0.0217298	0.0430539	0.0220421	0.0195582	0.0208069	0.013897	0.00728915	0.014938	0.0211526	0.0225402	0.0254264	0.0202875	0.0301659	0.0204145	0.0463594	0.0313247	0.0381021	0.0269763	0.0252969	0.0246455	0.0200983	0.019597	0.0238892	0.0293937	0.0227882	0.0313574	0.0294532	0.0208904
ma	0.0267119	0.0167807	0.0166097	0.0138372	0.0148485	0.0141249	0.0145236	0.0114126	0.010589	0.00995719	0.00867456	0.010994	0.0103125	0.00807475	0.0135459	0.0123697	0.0116745	0.0133939	0.0130735	0.00892246	0.0143179	0.01634	0.0234064	0.0157661	0.0177965	0.0169402	0.0134917	0.0269414	0.0310716	0.0386647	0.0349886	0.0323376	0.0552115	0.0477478	0.0384843	0.0538286	0.0614699	0.0504319	0.0625809	0.0534715	0.0342803
mère	0.0292463	0.0201113	0.0133464	0.0138511	0.0114442	0.0073068	0.00929731	0.00922467	0.0124442	0.0148134	0.0118644	0.0143759	0.0138286	0.00817293	0.0155242	0.0180813	0.0188776	0.0158892	0.0124189	0.00766864	0.0106173	0.0100011	0.0116612	0.0114027	0.00752585	0.00923421	0.00632542	0.00982957	0.00902848	0.028643	0.0297141	0.0330903	0.0449302	0.036071	0.0460902	0.0513649	0.0682412	0.0601712	0.0722285	0.0808705	0.0851717
dans	0.0196622	0.0216919	0.0156219	0.0144618	0.0160909	0.0082056	0.010044	0.00871277	0.0133927	0.0177268	0.0142365	0.0165846	0.0157821	0.0127636	0.0122945	0.00854956	0.00819246	0.00628346	0.00318955	0.00230022	0.00532427	0.00509642	0.00525209	0.00566212	0.00465735	0.00947468	0.00724805	0.0114088	0.0128814	0.0248372	0.0280772	0.0279292	0.0381879	0.0425877	0.039316	0.0621894	0.074996	0.0535799	0.0760582	0.0912451	0.128204
ce	0.0165847	0.013654	0.0139888	0.00853931	0.0112476	0.0101209	0.0120804	0.0111656	0.012204	0.0119611	0.00795508	0.0106664	0.00821702	0.00656554	0.00910261	0.00658491	0.00596397	0.00635746	0.0038996	0.00205837	0.00552026	0.00609099	0.0082017	0.00892813	0.00589562	0.00589891	0.00727823	0.0118957	0.019165	0.0411139	0.0487457	0.0436781	0.0584788	0.0651547	0.0569074	0.0706715	0.0757633	0.0652466	0.0728259	0.0680605	0.0655616
village	0.0162316	0.0122509	0.00849481	0.00577871	0.00584364	0.00457809	0.00553274	0.0060365	0.00885083	0.00909011	0.00601942	0.00830069	0.00733066	0.00432363	0.00708702	0.00885477	0.0103426	0.0112098	0.00862635	0.00809868	0.00963331	0.0102254	0.00893235	0.0128355	0.00857647	0.018622	0.0140073	0.0238825	0.0244205	0.053726	0.0471793	0.0414367	0.0547451	0.0542813	0.0560411	0.0684516	0.0656171	0.0582257	0.0725524	0.0651287	0.0685982
</S>	0.0140635	0.0133429	0.00867733	0.008534	0.00925016	0.0050605	0.00500358	0.00530316	0.00555286	0.00654514	0.00738731	0.00822395	0.00939404	0.00609752	0.00812151	0.00777775	0.00801504	0.0065445	0.0056349	0.00345566	0.00465684	0.00572039	0.00581055	0.00602626	0.0058845	0.0122457	0.008331	0.00625847	0.0067377	0.0338486	0.0436854	0.0504241	0.0524085	0.0626708	0.0737637	0.068715	0.0644444	0.0605828	0.0734733	0.0795155	0.122811
