 	a15	a66	a87	a23	a97	a79	a20	a15	a7	a44	a94	a4	a57	a38	a96	a70	a66	a62	a96	a83	a75	a79	a44	a62	a96	a94	a15	a79	a5	a37	a75	a85	a47	a36	a2	a57	a87	a23	a87	</S>
ils	0.0258428	0.0126927	0.028085	0.037593	0.04505	0.0452868	0.0321812	0.0584258	0.057489	0.0516744	0.0847656	0.0911391	0.0689726	0.0427623	0.0362945	0.0239152	0.0180034	0.0102919	0.00789302	0.00605212	0.00399066	0.00593554	0.00470356	0.00360069	0.00446545	0.00707119	0.0107515	0.00880245	0.00533944	0.00628458	0.00879829	0.00864197	0.0149696	0.0239708	0.0134929	0.0155482	0.017833	0.0157056	0.0160747	0.0196094
ont	0.00639283	0.0126411	0.0234251	0.0318849	0.0401051	0.065565	0.0635411	0.0410305	0.0408811	0.0147701	0.0115661	0.0170591	0.0253888	0.0130831	0.00959981	0.00702985	0.00553734	0.00580539	0.00936814	0.014174	0.0349971	0.0388421	0.0338437	0.0324777	0.0228434	0.0190584	0.0175787	0.0228336	0.025519	0.0172777	0.0259345	0.029962	0.0308052	0.0257605	0.0311492	0.0233948	0.0355461	0.0269621	0.0323859	0.01398
tué	0.0188157	0.0121054	0.014	0.014228	0.0129441	0.0103532	0.010183	0.0074303	0.00653821	0.0115589	0.00627762	0.00836952	0.00935835	0.00515482	0.0102422	0.00978826	0.0133877	0.0123712	0.0142565	0.0168046	0.0197671	0.0167415	0.0211971	0.020073	0.0153223	0.0132556	0.0125867	0.0158244	0.0384183	0.0266115	0.0504931	0.0382187	0.082632	0.042612	0.0809995	0.0726926	0.0530168	0.0683795	0.0628352	0.0241556
opepenga	0.0144121	0.0444494	0.0205667	0.024781	0.0222034	0.0206461	0.025646	0.0448519	0.0339354	0.0217319	0.0178708	0.0238167	0.0239305	0.0208285	0.0243079	0.0274655	0.0290265	0.0225861	0.0159467	0.0224932	0.0360982	0.0336759	0.0326571	0.0739225	0.0653939	0.0621444	0.0346017	0.0292328	0.0226261	0.0234497	0.0164675	0.0114145	0.0125825	0.00449071	0.00792526	0.00742512	0.00449179	0.00552642	0.00423004	0.0101479
c'	0.0197033	0.0311755	0.0175909	0.0194043	0.01036	0.0133252	0.01327	0.0176024	0.0151514	0.0162371	0.0120586	0.0181496	0.0149223	0.0109778	0.0135064	0.0227227	0.0207096	0.0163918	0.0132409	0.0182033	0.0253933	0.0284486	0.0193511	0.0327267	0.0254283	0.0256934	0.0115975	0.0115775	0.0174598	0.018728	0.0268999	0.0562636	0.0472178	0.0385088	0.0419179	0.0640703	0.0399261	0.0488568	0.035484	0.0497475
est-à-dire	0.0245997	0.015399	0.0227525	0.0179886	0.0137994	0.0243287	0.0256529	0.0333958	0.0521652	0.0664406	0.0534192	0.0772949	0.0697127	0.036515	0.0309658	0.0204769	0.0233343	0.0189755	0.027582	0.0241449	0.0217152	0.0214591	0.0108488	0.0102058	0.00944686	0.00673094	0.00470567	0.00399408	0.00447745	0.00639725	0.00687384	0.00773446	0.0207029	0.028241	0.0217625	0.0260939	0.0302627	0.0221571	0.0228131	0.0344335
le	0.0340585	0.0327582	0.0108755	0.00659853	0.00695732	0.00805065	0.00994613	0.00862952	0.0114554	0.0190784	0.0185932	0.0324719	0.0441381	0.0374852	0.0247311	0.02527	0.0258477	0.0289909	0.0406545	0.0212665	0.016133	0.0180073	0.0139207	0.00964542	0.013202	0.0117776	0.0166817	0.0179075	0.0241004	0.0239543	0.0273832	0.0282301	0.0417789	0.0442828	0.0273677	0.0349298	0.0410986	0.0355996	0.0428638	0.0632784
petit	0.0150447	0.0126693	0.0114492	0.00979554	0.0145003	0.0154494	0.0224631	0.0286305	0.0313947	0.0363522	0.0281656	0.0433793	0.0456073	0.0427493	0.05009	0.0372309	0.0327585	0.0248094	0.0222883	0.0115958	0.00903899	0.00648249	0.00828971	0.0123844	0.013267	0.0109667	0.010113	0.00773833	0.00938181	0.0120634	0.0106382	0.00948763	0.0211345	0.0263356	0.0363956	0.0314132	0.0502512	0.0479042	0.0485125	0.081778
du	0.0105739	0.00772759	0.00970901	0.00985308	0.01277	0.0119091	0.0217823	0.0324372	0.0332372	0.0534119	0.0310301	0.0768192	0.0714331	0.0684708	0.0674139	0.0479179	0.0498522	0.0171655	0.0183419	0.0101577	0.00654787	0.00715018	0.00865128	0.0124864	0.0134606	0.0142206	0.0142611	0.0117679	0.0127091	0.0102434	0.0161123	0.0120825	0.0184402	0.0175197	0.0147844	0.0194487	0.0259823	0.0232205	0.0197982	0.0590992
buffle	0.00817294	0.00790579	0.0111949	0.0123959	0.0125345	0.0127263	0.0188183	0.0415709	0.0468271	0.103181	0.0495343	0.0683891	0.050971	0.0332043	0.042088	0.0374754	0.032396	0.0122367	0.00968637	0.00812651	0.00785182	0.00888617	0.00758929	0.0151848	0.0161123	0.013059	0.0112542	0.00902294	0.0105754	0.0101389	0.0128338	0.0119732	0.0240392	0.025412	0.0286625	0.0270392	0.0381229	0.0296299	0.023001	0.0501763
</S>	0.0906545	0.0343262	0.0408626	0.0413233	0.0199386	0.0152803	0.00922053	0.00611082	0.00788204	0.0107337	0.0162131	0.0199503	0.0184423	0.0164926	0.00879855	0.0121407	0.0106284	0.00575255	0.0101978	0.00655993	0.00347661	0.0043752	0.00220595	0.00140493	0.00135851	0.00209105	0.003297	0.00375658	0.00733125	0.00939937	0.0119818	0.0105805	0.0284948	0.0506659	0.0584714	0.0544812	0.0593546	0.0634884	0.069637	0.152639
