 	a66	a87	a23	a79	a4	a58	a15	a79	a37	a96	a0	a93	a70	a93	a56	a75	a34	a61	a47	a96	a94	a57	a3	a87	a23	a87	</S>
c'	0.0610552	0.0960711	0.0655691	0.057796	0.0459752	0.0369217	0.0280647	0.0318493	0.0418975	0.0258529	0.0154216	0.0104351	0.0116054	0.0149556	0.0102454	0.0125681	0.0224484	0.0187755	0.0273013	0.044324	0.0365742	0.0514564	0.0416195	0.0312579	0.046082	0.0366565	0.0772204
est	0.0233283	0.0291084	0.0240769	0.0153281	0.0151531	0.0188283	0.0206169	0.0253649	0.038063	0.062274	0.0403915	0.0222608	0.0316222	0.03044	0.042367	0.060568	0.0574202	0.0482249	0.0298939	0.0331512	0.0304774	0.0299509	0.0558222	0.056169	0.063741	0.0652507	0.0301073
toi	0.0522338	0.0347386	0.0180133	0.0103672	0.0109631	0.00694827	0.00973809	0.0102454	0.0134013	0.0220043	0.0219415	0.0131545	0.0114269	0.0181039	0.0173824	0.0241555	0.0232666	0.0285018	0.0171819	0.0288424	0.0213554	0.0252428	0.0452982	0.106483	0.0762794	0.119199	0.213531
qui	0.026436	0.0201435	0.0190552	0.0213926	0.0134176	0.0120985	0.030205	0.0162483	0.00887508	0.0151757	0.0176327	0.0100423	0.00889203	0.0113165	0.0159064	0.0219405	0.0535454	0.078497	0.106202	0.105144	0.102244	0.0766279	0.0349631	0.0718515	0.0245037	0.0407793	0.0368633
a	0.024474	0.0163318	0.0122007	0.00426095	0.00271665	0.00357797	0.00755081	0.0114968	0.0120006	0.0365703	0.0393607	0.0256172	0.047343	0.0317785	0.0653697	0.0924823	0.108511	0.0920032	0.0484967	0.0698814	0.0438921	0.043275	0.0419804	0.046649	0.0267755	0.0312392	0.0141648
battu	0.0203117	0.0163013	0.0303931	0.0582585	0.0545505	0.0445942	0.13512	0.102998	0.0728547	0.094116	0.0789664	0.0260865	0.0189382	0.0149331	0.015984	0.0205404	0.0176241	0.0126318	0.0132754	0.0145885	0.0157531	0.0216551	0.0181794	0.0223113	0.0154126	0.0218168	0.0218057
les	0.0394271	0.0349471	0.0237116	0.0540088	0.0807094	0.120541	0.174237	0.0868928	0.0246292	0.0477315	0.0616862	0.0341723	0.0209221	0.0159369	0.0176376	0.0213137	0.0113053	0.00965729	0.00937415	0.0126716	0.0152302	0.0135976	0.0186761	0.0171643	0.0104503	0.0122768	0.0110922
paupières	0.0236878	0.0283815	0.0213454	0.0132046	0.0131483	0.0191049	0.0129853	0.0153739	0.0134179	0.0159948	0.0119393	0.00685412	0.00900013	0.0166945	0.015686	0.0414833	0.0313904	0.0251586	0.0306063	0.0394668	0.024889	0.0436555	0.0940402	0.107444	0.10995	0.112902	0.102196
en	0.0451435	0.0368469	0.0200595	0.00251942	0.0021024	0.00603329	0.00762606	0.00872927	0.00850401	0.012287	0.0110661	0.0112132	0.0105758	0.0167658	0.0156035	0.0398987	0.0496056	0.0508415	0.0512071	0.073842	0.0623606	0.0629189	0.107371	0.090122	0.0760999	0.0811093	0.039548
premier	0.0376816	0.0471639	0.0217188	0.0042551	0.00328193	0.0120486	0.0165541	0.0145468	0.0106292	0.01619	0.0184919	0.0195101	0.0137428	0.021941	0.0157469	0.0258065	0.0220811	0.0274871	0.0386645	0.0595278	0.0519446	0.0691945	0.0916443	0.102319	0.0777614	0.0810927	0.0789735
</S>	0.0402621	0.0578447	0.0131095	0.00499437	0.0035501	0.00905573	0.0107858	0.00957444	0.0070331	0.018237	0.0181535	0.0315056	0.0322727	0.0417623	0.0447442	0.0470108	0.0416441	0.0243743	0.0292953	0.0378289	0.0647797	0.0668239	0.106962	0.0690644	0.0627757	0.0743184	0.0322373
