 	a66	a87	a23	a99	a20	a76	a90	a98	a85	a47	a36	a56	a37	a54	a15	a94	a85	a47	a36	a15	a98	a15	a79	a15	a47	a36	a5	a0	a75	a85	a47	a7	a26	a36	a2	a57	a87	a23	a87	</S>
l'	0.0345141	0.0363365	0.0368567	0.0457734	0.0477197	0.0854282	0.0474142	0.104263	0.0631119	0.0543536	0.0218348	0.019668	0.0180688	0.0141769	0.0210364	0.0146784	0.00940604	0.00816143	0.00647303	0.0140528	0.00630735	0.0115215	0.0106793	0.011314	0.011263	0.00573427	0.00452771	0.00446166	0.00481734	0.0145666	0.0196644	0.0136066	0.0143434	0.016028	0.0147511	0.0178092	0.0123022	0.0215583	0.0203795	0.0610366
argent	0.00243192	0.00280012	0.00525266	0.0103502	0.0140107	0.0200078	0.0427412	0.0810243	0.0510815	0.0571513	0.0337209	0.0242163	0.0241361	0.0356794	0.0556956	0.0486846	0.0620907	0.0383823	0.0316216	0.0688059	0.0254524	0.020454	0.03383	0.0236603	0.0361986	0.0672761	0.0137675	0.0316695	0.0092943	0.00446824	0.00214775	0.00177194	0.00157136	0.0025269	0.000711972	0.00160128	0.00197073	0.00240916	0.00440527	0.00492747
que	0.0172444	0.0184124	0.0173037	0.0217856	0.0323529	0.0337628	0.0310514	0.0326516	0.0619425	0.098913	0.108596	0.0486174	0.0313252	0.0755824	0.0287868	0.0142037	0.0136409	0.0099597	0.0075616	0.0112521	0.0125439	0.00685643	0.00707302	0.00723529	0.00251655	0.00177244	0.00388691	0.00269494	0.00552105	0.0119757	0.0097064	0.0124849	0.0115114	0.0174487	0.0227882	0.0251992	0.0202811	0.0312616	0.0348732	0.0374232
j'	0.0765459	0.0284274	0.0254873	0.025063	0.0263534	0.00866079	0.00934923	0.00782737	0.0174737	0.0195315	0.0175211	0.0214446	0.0155508	0.0210926	0.0130941	0.0109457	0.00945055	0.0118168	0.00888571	0.0117596	0.0137589	0.0128183	0.0125813	0.0134613	0.0113053	0.0119358	0.00911721	0.0126933	0.00943044	0.0203808	0.0103269	0.0129025	0.0150099	0.0272337	0.0233713	0.0293292	0.0267699	0.0707947	0.08651	0.183988
avais	0.0428551	0.0146975	0.011486	0.0109443	0.0119683	0.0168289	0.0245672	0.0298347	0.0524142	0.0186972	0.013277	0.0421234	0.0217554	0.0249349	0.0162577	0.0485668	0.0313476	0.0270001	0.0248276	0.045677	0.0160795	0.027418	0.0339107	0.0348468	0.0378641	0.0260386	0.0159672	0.0136153	0.0181375	0.0148935	0.0165594	0.00716058	0.00838434	0.0183211	0.0102425	0.0200472	0.016248	0.0349627	0.023101	0.076141
gardé	0.0219344	0.0164962	0.0122101	0.00679102	0.00797733	0.0100656	0.0135122	0.0248114	0.0392729	0.0322333	0.0322721	0.053822	0.0464181	0.0527201	0.0297461	0.0449704	0.0339028	0.0338065	0.0440341	0.0398427	0.0293695	0.0329273	0.0318087	0.0276993	0.0243089	0.0155586	0.0129096	0.009542	0.0186448	0.024257	0.0172027	0.0125096	0.011865	0.0175563	0.0126255	0.0147548	0.00973141	0.0202011	0.0143606	0.0453279
chez	0.0211219	0.0101309	0.0145184	0.0110616	0.00848393	0.0178646	0.0293752	0.0421879	0.045048	0.0366557	0.0304113	0.0356189	0.0332871	0.0424728	0.0214227	0.0266486	0.0233971	0.0177905	0.0152976	0.0150514	0.00744617	0.0114483	0.011852	0.0106088	0.0142393	0.0178366	0.0259815	0.0132782	0.0210782	0.0220413	0.0247639	0.020167	0.0190648	0.0210005	0.0493429	0.0350648	0.0321299	0.0559451	0.03846	0.0504045
lui	0.0219313	0.0311212	0.0254336	0.0205932	0.019945	0.0173814	0.0183967	0.0123088	0.0158612	0.0094673	0.00731081	0.00983653	0.00387881	0.00696336	0.00335997	0.00650819	0.00441795	0.00408991	0.00352912	0.00880859	0.00258253	0.005325	0.0131699	0.0129394	0.0155923	0.0263214	0.072184	0.0421874	0.0797975	0.0528605	0.0590053	0.0412592	0.0341034	0.0414652	0.048194	0.045793	0.0424962	0.055698	0.0253773	0.0325058
est	0.0166069	0.0360128	0.0162873	0.0126597	0.0138955	0.0166449	0.0232882	0.0197053	0.0286493	0.0164971	0.0131714	0.0150745	0.0129729	0.0132884	0.0114191	0.0135732	0.00967716	0.0061999	0.00843502	0.0207788	0.00859061	0.00974885	0.0210361	0.0167354	0.0160076	0.0314159	0.0398942	0.0519993	0.0521442	0.0289977	0.0643787	0.0365793	0.0243446	0.0276418	0.0224536	0.0278135	0.026917	0.0461995	0.0353155	0.0869494
encore	0.0161398	0.0205877	0.0122347	0.00768867	0.0100425	0.0110661	0.0155534	0.0163295	0.0284682	0.0202156	0.0168547	0.0231693	0.0220296	0.0200799	0.0163583	0.0233049	0.0164096	0.0145686	0.0178478	0.0209977	0.01373	0.0131735	0.0154007	0.0158978	0.0185339	0.0205445	0.0221424	0.0183511	0.022421	0.0282341	0.0254251	0.0209184	0.0134913	0.0352624	0.0282755	0.0394676	0.0405212	0.0695398	0.0461793	0.142544
juste	0.0115157	0.0148916	0.0133525	0.0111095	0.0126196	0.0193719	0.0225728	0.0387361	0.0412966	0.0387435	0.0275318	0.0257958	0.0294649	0.0261653	0.0222504	0.0234086	0.0181936	0.0139771	0.0101287	0.0141391	0.00731003	0.00829318	0.0100895	0.0107159	0.0109316	0.0124271	0.0133274	0.00901955	0.0144687	0.0244598	0.0273916	0.0230055	0.0173619	0.034487	0.0320581	0.0380096	0.0361493	0.050696	0.0489641	0.135569
</S>	0.0243587	0.033016	0.0374134	0.0331532	0.0289603	0.0270024	0.0248235	0.0422925	0.0302783	0.0279457	0.0202251	0.0200855	0.01944	0.0169593	0.014913	0.0176502	0.0120714	0.0091781	0.00624142	0.0105756	0.00480729	0.00612858	0.00883528	0.00875711	0.00883507	0.00774596	0.0130081	0.00671069	0.0141718	0.0214802	0.032119	0.0205785	0.0183173	0.0284329	0.0357782	0.0423954	0.0417549	0.047841	0.0495913	0.126128
