 	a66	a87	a23	a30	a53	a69	a58	a99	a83	a99	a83	a62	a47	a21	a12	a94	a90	a56	a43	a75	a92	a56	a75	a56	a93	a4	a13	a53	a93	a96	a44	a7	a26	a57	a87	a23	a87	a23	a99	a53	a4	a13	a44	a15	a69	a58	a44	a34	a62	a88	a0	a47	a12	a90	a69	a44	a26	a36	a2	a57	a87	a23	a99	a97	</S>
il	0.0354357	0.0501917	0.045089	0.0464278	0.0559938	0.0411945	0.0677362	0.0281684	0.0531893	0.0326317	0.0192426	0.011648	0.00809175	0.00649597	0.00543684	0.00677239	0.00860232	0.00488323	0.0113512	0.0101282	0.0044406	0.00840051	0.00779493	0.00784381	0.00815852	0.00818042	0.00451705	0.00321998	0.00337654	0.00372843	0.00672077	0.00809591	0.0135784	0.0093157	0.0114261	0.0184247	0.0112256	0.00830245	0.00770781	0.00668327	0.00434815	0.00406479	0.00538596	0.00669591	0.0076827	0.00853578	0.00790594	0.0093241	0.00614063	0.0080433	0.00763917	0.00566266	0.00565607	0.00650717	0.006991	0.0113373	0.00855142	0.0143695	0.0161457	0.0164631	0.0202505	0.0212661	0.0210425	0.0214036	0.038735
a	0.00533956	0.00598497	0.00777326	0.0198058	0.0190652	0.0189097	0.0122026	0.0202415	0.014506	0.0172808	0.0248804	0.0319929	0.0424323	0.0357355	0.0195802	0.018832	0.00819906	0.0115097	0.00932883	0.0102622	0.0141866	0.0105208	0.00905093	0.0131397	0.0144521	0.0129422	0.0148715	0.0167917	0.0100864	0.010537	0.0094919	0.0150908	0.0124161	0.00949089	0.0138954	0.018173	0.013554	0.0115041	0.020091	0.0244641	0.0209912	0.0244863	0.0184558	0.00962061	0.00788341	0.00476838	0.0118456	0.00516304	0.00488479	0.00393805	0.00327977	0.00690711	0.00486506	0.011198	0.0197704	0.017448	0.0284049	0.0261504	0.0317461	0.0221417	0.0204097	0.0169069	0.021831	0.0173509	0.0109404
enterré	0.00677628	0.00267925	0.00171621	0.0021525	0.001986	0.00423434	0.00481633	0.00915461	0.00565691	0.0139382	0.0217034	0.049887	0.0812632	0.06964	0.0446838	0.0486555	0.0199837	0.0368337	0.028044	0.0159246	0.0276311	0.0252527	0.0157803	0.0165918	0.0124215	0.0122679	0.0236192	0.02912	0.0309365	0.0302868	0.0118931	0.016622	0.0144537	0.0108278	0.0127032	0.00702755	0.00818831	0.0070895	0.00679395	0.00721782	0.00419368	0.00818949	0.00448084	0.00313387	0.00299364	0.00248279	0.00323475	0.0030141	0.00350523	0.00457584	0.00611447	0.00648145	0.00857165	0.00709121	0.00611336	0.00460884	0.0088169	0.0121186	0.0170861	0.0112331	0.01398	0.0151067	0.0137938	0.0144182	0.0182071
un	0.0485261	0.0194969	0.0100332	0.0113471	0.00465645	0.0102422	0.00876009	0.0131153	0.0242021	0.0218979	0.0151286	0.0109874	0.007744	0.0105952	0.00707834	0.00632331	0.0120422	0.0131659	0.00890145	0.00911445	0.0147081	0.0103316	0.0179215	0.0123732	0.00797919	0.0173012	0.014875	0.011047	0.0181327	0.0120255	0.00933996	0.017757	0.0176577	0.0133491	0.0191599	0.023932	0.0151721	0.0180643	0.021283	0.0309666	0.034095	0.0197248	0.0297745	0.0195574	0.0190426	0.020014	0.0291508	0.0123939	0.0238787	0.0184833	0.0143518	0.0292792	0.00969115	0.00879981	0.00675985	0.00669579	0.00881144	0.012895	0.00947946	0.00897382	0.00920336	0.00895909	0.00920199	0.0102575	0.0237906
fétiche	0.00844768	0.00622429	0.00533288	0.00593353	0.0056871	0.00721776	0.00700866	0.00555655	0.00783721	0.00500355	0.00456448	0.00551417	0.00687501	0.0139774	0.0115973	0.0130151	0.0152412	0.014807	0.0137021	0.0180547	0.0281341	0.0209551	0.0245534	0.0222998	0.032459	0.0355116	0.030404	0.0269873	0.0238859	0.0215254	0.0197485	0.0231957	0.0344167	0.0214504	0.0286321	0.045312	0.0258406	0.0189999	0.0226934	0.0207069	0.0297116	0.0348348	0.0206976	0.0163137	0.0135482	0.0121594	0.013245	0.00611155	0.00753084	0.0036175	0.00410244	0.00497679	0.00702669	0.00582113	0.0049783	0.00558002	0.00641949	0.0107625	0.0111112	0.0137489	0.0129349	0.0153335	0.0100544	0.011649	0.00842093
au	0.00556933	0.00511193	0.0060042	0.00964456	0.0211377	0.0300141	0.0361736	0.0335195	0.018004	0.0263918	0.0149601	0.00965599	0.0100541	0.00960443	0.00932625	0.0153136	0.0154797	0.0215467	0.0219046	0.0210352	0.0310236	0.0216019	0.0209642	0.0167903	0.0292748	0.0235068	0.0331323	0.0177909	0.0195975	0.0207784	0.0192989	0.0183552	0.0195566	0.0211542	0.0142107	0.0192682	0.0219055	0.0218554	0.020732	0.0211437	0.0289778	0.0205087	0.0152386	0.0179637	0.0181431	0.0149809	0.00576864	0.0126818	0.0136145	0.00535263	0.00630257	0.00636719	0.00981819	0.003386	0.00353603	0.00495467	0.00386175	0.00475061	0.00267311	0.00538669	0.00584986	0.00457747	0.00444494	0.00279213	0.00567594
milieu	0.00395482	0.00395439	0.00534379	0.00427393	0.00460413	0.00588138	0.00942678	0.0103564	0.00969954	0.00891147	0.00378087	0.0043097	0.0053555	0.013661	0.011875	0.0235809	0.0213304	0.0292056	0.0337014	0.0388523	0.0437432	0.0611329	0.0318478	0.0427451	0.0307106	0.0362015	0.0360113	0.0248796	0.0286378	0.0195981	0.0191582	0.0165148	0.0355252	0.023662	0.0157084	0.0212378	0.0376137	0.0301414	0.0252703	0.0243419	0.0245745	0.0134209	0.010629	0.0132244	0.0127416	0.00819675	0.00592561	0.00266155	0.00525817	0.00366074	0.00335261	0.00626925	0.00350312	0.00159997	0.000740305	0.000689817	0.000582976	0.0025344	0.0024321	0.00218098	0.00294394	0.00373464	0.00244313	0.00442759	0.00553073
de	0.0281308	0.0126296	0.00619353	0.00395342	0.00309058	0.0147923	0.0197246	0.0222841	0.0234234	0.0206888	0.0150342	0.0120002	0.0087647	0.00776777	0.0110985	0.0115731	0.0185335	0.0252478	0.0214972	0.0117619	0.0207776	0.0260992	0.0443346	0.0226418	0.0115056	0.0261152	0.0216772	0.0247303	0.023287	0.00899768	0.0116085	0.0103879	0.0307512	0.0126331	0.0181961	0.0150518	0.0268767	0.0151399	0.0163925	0.0114492	0.0127721	0.00748686	0.00755789	0.00535293	0.00466117	0.00371218	0.0116364	0.0039523	0.0123077	0.0115011	0.00875793	0.0109863	0.0127278	0.00537911	0.00447349	0.00599972	0.00408784	0.0166196	0.0171195	0.0163202	0.0214046	0.0288795	0.0225791	0.0271452	0.0197365
la	0.0276507	0.0148692	0.0125392	0.00559729	0.00294787	0.00547123	0.00542642	0.00500114	0.00507888	0.00640526	0.00623037	0.00855105	0.00472624	0.0103164	0.00716899	0.00981261	0.011216	0.017457	0.0214234	0.0137514	0.0217553	0.0249778	0.0535143	0.0177286	0.0084542	0.0115196	0.0142912	0.0224002	0.0283168	0.0184623	0.014915	0.019824	0.0461121	0.0215668	0.0304194	0.0188734	0.036486	0.0265373	0.0214414	0.0174722	0.0189721	0.0106691	0.00941696	0.00840506	0.00549016	0.00528685	0.0159685	0.00654246	0.00866128	0.0151075	0.0104939	0.0132627	0.012484	0.00630442	0.00629148	0.00828579	0.00827731	0.0161419	0.020868	0.0174364	0.0182118	0.0247303	0.0171311	0.022026	0.0168263
route	0.00953803	0.0127683	0.0187602	0.014069	0.00442585	0.00410063	0.00346106	0.00530543	0.00531119	0.00792172	0.00856315	0.00453499	0.00316532	0.00512846	0.00483744	0.00453896	0.00703305	0.0101282	0.00921416	0.00778582	0.010003	0.00708824	0.0191138	0.0115606	0.00563369	0.012592	0.00990587	0.00885708	0.00773228	0.00796876	0.00831608	0.0135073	0.0166257	0.0138581	0.0154812	0.0380564	0.0316506	0.0368771	0.0365744	0.0347698	0.0510819	0.0254278	0.0351116	0.0269732	0.0206983	0.0230814	0.022808	0.00953666	0.00974388	0.0100801	0.00861391	0.0160122	0.0219661	0.00915514	0.00699427	0.0130407	0.0107574	0.0204992	0.0153935	0.0148663	0.021918	0.022973	0.0192914	0.0342117	0.0330015
