 	a66	a87	a23	a10	a54	a36	a18	a61	a21	a85	a15	a79	a20	a7	a44	a15	a47	a15	a6	a37	a18	a38	a88	a71	a25	a38	a54	a36	a2	a57	a87	</S>
dans	0.0373019	0.0496115	0.0786485	0.0729637	0.041796	0.021996	0.0748956	0.0825266	0.0461237	0.0181081	0.0251839	0.00856088	0.0105885	0.0137604	0.0259397	0.00969727	0.0137082	0.00752321	0.00662046	0.00702031	0.00774554	0.0135252	0.0165609	0.0184969	0.0292732	0.017595	0.0177105	0.0236444	0.0251153	0.0557003	0.0341135	0.0879449
son	0.0374466	0.0284609	0.0286783	0.0193927	0.015802	0.0161328	0.0205033	0.0325672	0.044158	0.0443268	0.0565189	0.0513715	0.0354929	0.0261494	0.0241643	0.0206005	0.0239495	0.0240483	0.0161151	0.0345796	0.0286291	0.0296681	0.0283107	0.0301045	0.036236	0.0238991	0.0289246	0.0316625	0.0376894	0.0381746	0.0438091	0.0424339
comportement	0.0362149	0.0308083	0.0245993	0.0408013	0.0323508	0.0691242	0.0809227	0.133014	0.101175	0.0603537	0.055263	0.0285698	0.0235461	0.0248122	0.0257907	0.0123257	0.0169042	0.0115298	0.0193343	0.0119765	0.0132967	0.0142394	0.00901417	0.0140164	0.0151053	0.0125569	0.0130431	0.0193752	0.0155475	0.0117776	0.00994933	0.0126622
cet	0.0334797	0.0211757	0.00871646	0.0104312	0.00995165	0.0316289	0.0168328	0.0361147	0.0469879	0.0708169	0.0399942	0.0501983	0.0438725	0.0657715	0.0528964	0.0379267	0.0223495	0.0327089	0.0310134	0.0257906	0.016144	0.0235484	0.0196254	0.0170434	0.0112341	0.0165347	0.034166	0.0308719	0.0385321	0.0234088	0.0280349	0.0521985
enfant	0.021294	0.024607	0.0365952	0.0418442	0.0534709	0.0482371	0.0407273	0.0353978	0.0560976	0.0735507	0.0586512	0.0729099	0.079434	0.078955	0.0499867	0.0304321	0.0157309	0.0195393	0.0221183	0.018808	0.0176759	0.0116225	0.0135526	0.014621	0.00637586	0.00597615	0.00615358	0.00907029	0.00643257	0.00607224	0.00739487	0.0166653
est	0.0356316	0.0261581	0.0264773	0.0153245	0.0106817	0.00844046	0.0197035	0.0266412	0.0313041	0.0295081	0.0273245	0.0316994	0.0502497	0.0579673	0.0440525	0.0156433	0.0154612	0.0119474	0.00858049	0.0173756	0.0128221	0.0258006	0.0394231	0.0335449	0.0365276	0.0549771	0.0736256	0.0655329	0.0506054	0.0340998	0.030349	0.0325198
comme	0.0313336	0.0250155	0.0296991	0.0243194	0.0304636	0.0319763	0.0256505	0.0186625	0.0213903	0.0267904	0.0279988	0.03197	0.0265791	0.0338271	0.0261607	0.0240769	0.0159411	0.0191228	0.0201498	0.0313846	0.0237862	0.0264227	0.029146	0.0322546	0.0227958	0.028131	0.0548895	0.0539057	0.0665443	0.0403676	0.0405462	0.0586982
son	0.0539687	0.0403661	0.0525373	0.0297521	0.0225826	0.00961331	0.0205124	0.0209492	0.0267787	0.0372967	0.0312691	0.0397254	0.0198493	0.0177506	0.0135968	0.00880753	0.00457811	0.00565451	0.00643984	0.00889866	0.00928675	0.0146111	0.0104148	0.012025	0.0176758	0.0273041	0.051407	0.0521046	0.0863771	0.0653239	0.0792119	0.103331
père	0.0562205	0.0330352	0.0366493	0.0304285	0.0330473	0.0286485	0.0261236	0.0458545	0.0543431	0.0579896	0.0360026	0.0611133	0.0319391	0.0287464	0.0234944	0.020794	0.0150756	0.0157311	0.0157756	0.0176194	0.0139695	0.0149847	0.00986072	0.00802503	0.0136804	0.0162468	0.0280914	0.0356475	0.0461594	0.0430919	0.0499746	0.0516365
</S>	0.0344576	0.0289531	0.0293742	0.0223721	0.0192062	0.00928924	0.0138327	0.0244305	0.0366926	0.0347355	0.0269673	0.0290357	0.0215925	0.0208719	0.0238417	0.0115597	0.010438	0.00893221	0.00681422	0.0152987	0.0125613	0.0198022	0.0134448	0.0125469	0.0129469	0.0198992	0.0302314	0.0335474	0.0669541	0.0767159	0.0809158	0.191738
