 	a66	a87	a97	a87	a10	a97	a87	a97	a38	a44	a90	a98	a47	a85	a92	a37	a66	a90	a25	a54	a25	a69	a40	a98	a85	a92	a85	a98	a79	a98	a47	a7	a37	a5	a36	a27	a30	a3	a10	a97	a87	a97	</S>
l'	0.0356944	0.0447162	0.0298302	0.0235931	0.0231886	0.0165856	0.0134257	0.0241239	0.0350746	0.0326342	0.025228	0.0323383	0.0730666	0.0738356	0.0860985	0.0764272	0.0400413	0.0211222	0.0196398	0.0278616	0.0224806	0.016785	0.00684723	0.00928723	0.00698982	0.00725943	0.00648015	0.0200174	0.00953767	0.00834913	0.0139337	0.0101754	0.0118328	0.0110389	0.00910232	0.00854085	0.00445615	0.00545839	0.00512194	0.00442924	0.00530451	0.0050998	0.0369466
enfant	0.00221255	0.00294743	0.00418731	0.00481319	0.0218685	0.0393423	0.0437233	0.0545893	0.0958291	0.0923085	0.0824271	0.0864528	0.0843753	0.0529196	0.0365891	0.0179741	0.0256215	0.0202659	0.023122	0.0268094	0.0154619	0.0208093	0.01961	0.0182595	0.0165696	0.00810405	0.0131761	0.0237443	0.0186426	0.0116662	0.00607401	0.0024241	0.0018649	0.000705937	0.000548271	0.000827284	0.000135867	0.00045209	0.000371156	0.000327576	0.000284218	0.000400257	0.0011624
a	0.0166836	0.0131377	0.0123816	0.0189869	0.0149228	0.0126841	0.0101682	0.0101132	0.013743	0.0132777	0.0160947	0.0232383	0.0249114	0.0431943	0.0546803	0.0564854	0.0836008	0.0467876	0.0584012	0.0680493	0.0892439	0.0359389	0.0311372	0.0348962	0.0266527	0.0296835	0.0205171	0.00739909	0.00380758	0.00449522	0.00366204	0.00489238	0.00538839	0.00435519	0.0029093	0.00474501	0.0016273	0.00511745	0.00303073	0.00914023	0.00842616	0.0336244	0.0177679
sali	0.0143046	0.0122391	0.00925961	0.00763309	0.00710975	0.00569288	0.00968449	0.0118759	0.00666624	0.00597579	0.00404142	0.00560572	0.00343321	0.00558621	0.0142099	0.015125	0.0482425	0.0351942	0.0513738	0.0485699	0.0613183	0.0684601	0.0754128	0.0790653	0.0848691	0.0628001	0.0551348	0.0335775	0.0160762	0.0151617	0.0113597	0.0176528	0.0136939	0.0146766	0.00877866	0.007787	0.00472298	0.00457819	0.00504609	0.00298681	0.00510848	0.00607252	0.0238372
son	0.0563306	0.0490667	0.0390829	0.0399827	0.0258228	0.0188894	0.0190487	0.0188751	0.00924744	0.0102837	0.00726895	0.0111555	0.00992803	0.0210142	0.0540943	0.0388623	0.032715	0.0238176	0.0243639	0.0259651	0.0246147	0.0268403	0.0257937	0.0211527	0.0198701	0.0183862	0.0156944	0.0133307	0.0143319	0.0153232	0.0156322	0.0257662	0.0267708	0.0200187	0.0102607	0.0122121	0.0069887	0.00809615	0.0113368	0.00567927	0.0103369	0.0115025	0.104246
habit	0.0166516	0.0111459	0.00834141	0.0105884	0.00914445	0.00901584	0.00900922	0.0118728	0.011591	0.00966777	0.00925096	0.0164993	0.0121698	0.0187362	0.020823	0.018765	0.0459414	0.0448415	0.0555477	0.0525395	0.0532146	0.0265482	0.0272391	0.0219523	0.0210525	0.0207096	0.0194058	0.01441	0.010541	0.0156057	0.0207443	0.0275429	0.0350865	0.0276628	0.0410688	0.0223476	0.0265007	0.0292044	0.0361497	0.0195933	0.0269909	0.0240686	0.030218
avec	0.0623676	0.0451918	0.0261812	0.0286305	0.0138669	0.0100013	0.00702847	0.00964758	0.0165612	0.0128392	0.0117096	0.0246884	0.0285196	0.05132	0.0543427	0.0319041	0.0332495	0.0300139	0.0372229	0.0567388	0.0662392	0.0395868	0.00902187	0.00860091	0.00464304	0.00677996	0.00607936	0.0180393	0.00823865	0.00644419	0.0104612	0.00714854	0.0143679	0.00777376	0.0171884	0.00718023	0.0140558	0.0112861	0.018274	0.0113194	0.0204615	0.0201555	0.0746291
l'	0.0473565	0.0153943	0.00922044	0.0113378	0.00466093	0.00373843	0.00343741	0.00490179	0.00499908	0.00440294	0.00640217	0.00990254	0.0126343	0.019553	0.0310921	0.0197129	0.0356945	0.030262	0.0292726	0.0466669	0.072786	0.0376562	0.0197122	0.0133615	0.00912594	0.00977663	0.0115495	0.0149572	0.0120077	0.0161959	0.0521645	0.0347152	0.0366803	0.0154891	0.0400814	0.013042	0.0354507	0.0204663	0.0247909	0.0221018	0.0403426	0.0314104	0.0654933
huile	0.0573123	0.0382093	0.0276559	0.026246	0.0174337	0.0118746	0.00861177	0.0166178	0.0188074	0.0208476	0.0227862	0.0278117	0.0204143	0.0261812	0.0351913	0.0258495	0.0372838	0.0307463	0.0307204	0.0329229	0.042455	0.0340616	0.0286599	0.023938	0.0162313	0.0259705	0.0251245	0.0219565	0.0277747	0.0241652	0.0231524	0.0154289	0.0173764	0.00460481	0.0158063	0.00673583	0.00494826	0.0106702	0.0139186	0.00850719	0.0160236	0.0272633	0.031703
de	0.0600897	0.0454953	0.0362562	0.0359974	0.00966367	0.00595362	0.00357906	0.00474675	0.00902499	0.0085063	0.00991543	0.0157325	0.0210173	0.0293031	0.0384891	0.0316809	0.0373712	0.0306129	0.0255679	0.0318266	0.0301469	0.0224677	0.00505821	0.00403595	0.00244121	0.00377412	0.0024366	0.00363298	0.001954	0.00487237	0.0132146	0.0098479	0.0227904	0.010957	0.0179684	0.0113322	0.018175	0.0226658	0.0309911	0.0350377	0.0262494	0.0544122	0.154708
