 	a57	a87	a10	a87	a10	a87	a40	a5	a62	a70	a98	a47	a85	a37	a26	a82	a38	a56	a96	a75	a79	a90	a15	a6	a37	a26	a11	a62	a75	a25	a98	a92	a37	a21	a44	a70	a90	a70	a4	a57	a3	a87	a23	a87	a23	a99	a87	</S>
les	0.0332732	0.0525125	0.0334441	0.0313389	0.0305696	0.0280786	0.0163218	0.0302122	0.048735	0.0544122	0.0530258	0.0802229	0.052375	0.0471876	0.0493386	0.0302971	0.015463	0.00944341	0.00822994	0.0131	0.0142492	0.00955421	0.0128308	0.00549082	0.00763961	0.0102091	0.00835838	0.0106717	0.0099624	0.0169599	0.0130973	0.0088757	0.00782102	0.0112396	0.0174347	0.0121597	0.0101929	0.00723337	0.00813219	0.00527165	0.00620393	0.00790523	0.00520562	0.00573126	0.00916973	0.0127552	0.00733718	0.0207262
femmes	0.00258678	0.00327338	0.00263321	0.00385519	0.00352054	0.00467976	0.00329767	0.00827175	0.0108464	0.0225498	0.0316964	0.0381642	0.0566503	0.0825777	0.0737587	0.0897218	0.0746124	0.0728818	0.0588905	0.0531077	0.0675009	0.0286752	0.0262836	0.0316574	0.0224752	0.0128489	0.00949358	0.0095637	0.00594967	0.00413541	0.00463243	0.00635596	0.00389572	0.00450952	0.0100883	0.0109373	0.00896913	0.00520877	0.00329982	0.00215888	0.00214569	0.00351625	0.00239132	0.00195229	0.00207668	0.00275379	0.00510235	0.00384628
le	0.0232866	0.0174497	0.0160988	0.0162342	0.0203225	0.0322393	0.0338592	0.0542018	0.0405338	0.014717	0.0156131	0.0357164	0.0241209	0.0483663	0.0341571	0.0279693	0.0464714	0.076122	0.0342621	0.0334103	0.0401099	0.0166998	0.00843112	0.0234576	0.0215751	0.0181141	0.0162358	0.0146536	0.0153789	0.01149	0.0272795	0.0140219	0.0100005	0.00911457	0.00820163	0.006098	0.00906123	0.00557583	0.00529043	0.00551039	0.0053599	0.008378	0.00687754	0.00558003	0.00739274	0.0106446	0.0136161	0.0106995
quittent	0.00282234	0.00170072	0.00254781	0.00161728	0.00246297	0.00434505	0.00871609	0.0164107	0.0199104	0.0302209	0.0355565	0.0493693	0.0568437	0.0472215	0.0567535	0.0572209	0.0699807	0.112837	0.0930113	0.0583713	0.0608334	0.0248508	0.0117406	0.0304024	0.0330657	0.0193779	0.0125725	0.00996059	0.00457313	0.00260005	0.0040071	0.00401099	0.00308323	0.00239515	0.00226204	0.00286402	0.0023133	0.00265365	0.00332992	0.0023537	0.00318978	0.0063462	0.00334121	0.00434654	0.00401636	0.00449785	0.0042908	0.00280101
parce	0.0196769	0.0099994	0.0109125	0.00918314	0.0125524	0.0119064	0.0166886	0.0279398	0.0274096	0.0437344	0.020517	0.031589	0.0329149	0.0346638	0.0326789	0.0333136	0.0497211	0.0685449	0.0353362	0.0498444	0.0617109	0.0522302	0.0434226	0.0322189	0.0378464	0.0387721	0.0201418	0.0180767	0.0132744	0.00839874	0.0124318	0.0108772	0.00769044	0.00749648	0.00368956	0.00209935	0.00221489	0.00147885	0.00278357	0.00185272	0.00219184	0.00389449	0.00330649	0.00365689	0.00575152	0.0076594	0.00585603	0.0098487
qu'	0.0405737	0.029291	0.0288138	0.0310462	0.0240072	0.0320971	0.0662235	0.0417647	0.0304464	0.02993	0.0292517	0.0295503	0.0286592	0.0371292	0.0237183	0.0355238	0.0323666	0.0585174	0.0325488	0.0262478	0.0387621	0.0285929	0.0233429	0.0137445	0.0126736	0.0120411	0.00661598	0.00618076	0.00504205	0.00307712	0.00487217	0.00430291	0.00324419	0.00310682	0.00295578	0.00374286	0.00339395	0.00398045	0.00574824	0.00502755	0.00769533	0.0125714	0.00703626	0.00895979	0.0128421	0.0190915	0.0235919	0.0300572
il	0.0492796	0.0313672	0.0246948	0.0316594	0.0325347	0.0293507	0.0345744	0.0255551	0.019021	0.0155361	0.0116993	0.0131276	0.0128562	0.0154658	0.0145394	0.0188503	0.0161833	0.0340844	0.0219771	0.0277994	0.0353807	0.0312944	0.0255247	0.0218419	0.0239565	0.028612	0.0154681	0.0144572	0.0122475	0.0100459	0.0169956	0.0173762	0.0156212	0.0148492	0.0145907	0.0140199	0.00887442	0.00922572	0.0155275	0.00839224	0.00990283	0.019529	0.0143141	0.0209204	0.0178563	0.0267454	0.0236906	0.0325843
est	0.0359501	0.0340613	0.0299374	0.0263296	0.0334446	0.0212394	0.0190487	0.0156385	0.012345	0.00536517	0.00457055	0.0045914	0.00348077	0.00500197	0.00534443	0.0070068	0.00586927	0.0107751	0.00856009	0.0151658	0.0245049	0.0336586	0.0229834	0.0219358	0.0216869	0.0331515	0.0280444	0.0266166	0.0274686	0.0213212	0.0297763	0.0319162	0.0203647	0.0184028	0.0156367	0.0123426	0.00842159	0.0126234	0.0183963	0.0107368	0.0153351	0.0298779	0.0210704	0.0273336	0.0321199	0.0414495	0.0414284	0.0476698
fainéant	0.0463437	0.0415315	0.0412226	0.0321019	0.0359747	0.0206903	0.0164171	0.0169836	0.0232099	0.0151072	0.0130014	0.0113275	0.00880408	0.0129096	0.0117858	0.0123862	0.016173	0.0255309	0.0155271	0.0246758	0.0273744	0.0333332	0.0274844	0.0148933	0.0170495	0.0250395	0.0172918	0.0181368	0.0184293	0.0157576	0.0160168	0.0109212	0.00875609	0.00792466	0.00993912	0.00805868	0.00574557	0.00727888	0.00955651	0.00684527	0.0118025	0.0184904	0.0165492	0.0229044	0.0289851	0.0417369	0.0418717	0.0701232
</S>	0.0647112	0.0416975	0.0268687	0.017956	0.0172097	0.00953644	0.00820053	0.007353	0.00952249	0.00913991	0.00863869	0.00937344	0.00866438	0.0102475	0.0108652	0.0091241	0.00936815	0.0104871	0.00700079	0.011131	0.0119547	0.0123245	0.0114904	0.00550955	0.00610961	0.011079	0.00687381	0.00528406	0.00598535	0.00604286	0.00856811	0.00855215	0.00628711	0.00619825	0.00699225	0.0089185	0.00894514	0.0146413	0.0175969	0.0156281	0.0299882	0.0411288	0.0329664	0.0454502	0.0658653	0.0830326	0.0698372	0.139654
