 	a23	a99	a54	a47	a37	a6	a37	a62	a83	a66	a62	a75	a56	a0	a11	a70	a93	a70	a62	a0	a43	a93	a75	a21	a47	a62	a21	a47	a62	a47	a18	a25	a10	a87	a23	a87	</S>
les	0.064924	0.0535906	0.124322	0.143354	0.0706209	0.0796033	0.0365973	0.0316923	0.0216615	0.0186683	0.0126851	0.0140126	0.0128163	0.00787035	0.00830028	0.00801073	0.00852847	0.00689183	0.00810754	0.00874574	0.00773506	0.00714199	0.00667502	0.00478342	0.0121912	0.013579	0.0129603	0.0146536	0.0119933	0.0147245	0.0199677	0.0163727	0.0248336	0.0207014	0.0189944	0.019244	0.0324464
enfants	0.00430177	0.00773343	0.0314844	0.0634004	0.0696623	0.123723	0.180972	0.0960983	0.0619986	0.0601994	0.0459141	0.0420847	0.0285077	0.0352629	0.0320446	0.0245667	0.0105876	0.0112127	0.00962863	0.0126689	0.00805319	0.00580416	0.00400554	0.00160591	0.00117165	0.000830497	0.00101565	0.00090778	0.00154441	0.00271224	0.00323178	0.00189307	0.00330494	0.00306501	0.00289927	0.00474112	0.00116108
ont	0.0308147	0.0691962	0.027254	0.0320773	0.0332909	0.0320515	0.0334601	0.0515309	0.06077	0.0439978	0.0647438	0.0487794	0.0349692	0.0438358	0.0139978	0.0354352	0.0359948	0.0334418	0.0367931	0.0395685	0.0413067	0.0372213	0.020237	0.00930106	0.0129435	0.00500165	0.00489354	0.00208937	0.00309554	0.00991178	0.00610183	0.00877997	0.0110177	0.00742016	0.00628364	0.00939674	0.00299548
piétiné	0.00437149	0.00395343	0.003341	0.00245331	0.00785167	0.0100398	0.0119174	0.0165013	0.0332131	0.0341704	0.0595219	0.076244	0.0922966	0.211855	0.106718	0.079959	0.0411789	0.026612	0.0224925	0.031338	0.0227994	0.0122348	0.00947917	0.00898186	0.00166751	0.00256636	0.00178601	0.00380129	0.0100573	0.00522542	0.00884561	0.00582125	0.00617477	0.00663665	0.00429305	0.00764627	0.00595495
l'	0.0329875	0.0264615	0.0219928	0.0284231	0.0336919	0.0605862	0.0775357	0.0853688	0.0683511	0.0995474	0.0713512	0.0585765	0.0393381	0.0235803	0.0198563	0.0168416	0.0300487	0.0242485	0.0140402	0.0143694	0.0154194	0.0111362	0.0100511	0.0147034	0.0098099	0.0110087	0.0054808	0.00791962	0.0049577	0.00698026	0.00473391	0.00417866	0.0064491	0.007045	0.00801694	0.00812927	0.0167832
herbe	0.00940177	0.00858673	0.0102544	0.015918	0.0139011	0.018091	0.0218952	0.0187734	0.0236488	0.0275109	0.0446657	0.0456736	0.0614914	0.106744	0.0822186	0.100011	0.0729253	0.0514853	0.0384738	0.0457833	0.0282676	0.0201528	0.0157959	0.0136564	0.0124553	0.00908293	0.00640624	0.00420134	0.003418	0.0114069	0.00651045	0.0043351	0.00878372	0.0120147	0.00878528	0.0088672	0.00840631
en	0.0220412	0.0183707	0.00739997	0.00953873	0.00925846	0.00933062	0.0122906	0.0142873	0.0118133	0.0155635	0.0167356	0.0189274	0.0311672	0.0339968	0.0303871	0.0630066	0.068984	0.0542204	0.0340489	0.0524129	0.0519151	0.0376306	0.0249697	0.0338286	0.026161	0.0169253	0.0136505	0.0186453	0.0171321	0.02528	0.0281577	0.0127921	0.0215813	0.043596	0.0243489	0.0341127	0.0354917
cherchant	0.0148296	0.0115672	0.00863948	0.0124725	0.0121329	0.0141228	0.0148459	0.0141754	0.0068427	0.0105901	0.011132	0.0120041	0.0197858	0.0200129	0.0112209	0.0242242	0.0286913	0.0295228	0.0261937	0.0321813	0.0434071	0.0487964	0.0540949	0.0681393	0.0449306	0.034409	0.0285094	0.0367855	0.0213369	0.0303736	0.0370727	0.0201007	0.0360101	0.0408631	0.029712	0.0371081	0.0531629
les	0.0516972	0.0259138	0.0232716	0.0325066	0.0236844	0.0175759	0.00686483	0.00437462	0.00216503	0.00253381	0.00207009	0.00193254	0.003045	0.00197756	0.00519682	0.00293238	0.0111682	0.0110658	0.0128024	0.0146122	0.0176911	0.0201187	0.0157027	0.0180957	0.0267875	0.0357269	0.031678	0.0660724	0.0311297	0.0300318	0.0551229	0.0343142	0.0577078	0.0744671	0.0675999	0.0702305	0.0901324
criquets	0.0316046	0.0221049	0.0219693	0.0314921	0.0339412	0.0391466	0.0358771	0.0383118	0.0258253	0.0273544	0.0205306	0.0232425	0.0254591	0.0187145	0.023549	0.0387224	0.0466019	0.0673448	0.0607259	0.0492898	0.0564074	0.0378312	0.0288555	0.0177986	0.0229425	0.0146009	0.0122521	0.0101264	0.00465609	0.0101599	0.00990425	0.00565269	0.0146953	0.0193622	0.0140821	0.0169237	0.0219416
</S>	0.0484434	0.0143966	0.0139614	0.018123	0.0169774	0.0140754	0.00678959	0.00654138	0.00452838	0.00848301	0.00745956	0.00664477	0.00866656	0.00703492	0.00526955	0.00560017	0.00855058	0.00904665	0.0133925	0.0152334	0.0165662	0.019429	0.0173496	0.0294168	0.0470459	0.0591638	0.0409649	0.0460217	0.0177969	0.0278479	0.0376295	0.0216782	0.0528574	0.0552811	0.0607363	0.060172	0.150825
