 	a82	a10	a87	a97	a10	a87	a23	a18	a53	a20	a7	a58	a40	a54	a44	a70	a96	a70	a66	a93	a70	a99	a4	a70	a90	a56	a4	a13	a70	a13	a30	a83	a37	a66	a26	a57	a97	a87	a23	a87	a23	a87	a97	</S>
les	0.0118555	0.0172947	0.0254545	0.0246763	0.0282157	0.0169873	0.0211772	0.0654268	0.102155	0.124356	0.171697	0.0904135	0.0390267	0.0277019	0.0136323	0.00761258	0.0102681	0.00518371	0.00884862	0.00810367	0.00959519	0.0119642	0.0134163	0.00783646	0.00263365	0.00258753	0.00232639	0.00146895	0.00225031	0.00265763	0.0029017	0.00678542	0.00847668	0.00998949	0.00890862	0.0098751	0.0105815	0.00680594	0.00879055	0.00599738	0.00706883	0.00825225	0.00587369	0.0228688
villages	0.00505901	0.00558278	0.00703827	0.00819004	0.0164555	0.017949	0.0227923	0.0232893	0.0251501	0.0320804	0.0595191	0.0500447	0.132418	0.0459121	0.12074	0.0545395	0.0400621	0.0203919	0.00654522	0.0281832	0.0109904	0.0220882	0.0432299	0.0254015	0.0206726	0.0164567	0.0153383	0.0115753	0.0116087	0.0109831	0.0239464	0.0182489	0.00942524	0.00966384	0.00600658	0.00278264	0.00553647	0.00309871	0.00230058	0.00187087	0.00200196	0.00169308	0.00222418	0.000914237
ngwakandi	0.0453344	0.0467253	0.0398801	0.0235368	0.0143726	0.0226643	0.0154967	0.0186531	0.0159093	0.0130825	0.0212007	0.0135509	0.0608839	0.0360874	0.0626292	0.0499199	0.0935443	0.0371486	0.0275094	0.0317195	0.0242942	0.0224278	0.0419301	0.0222703	0.0313639	0.0240419	0.0223272	0.00721904	0.00682878	0.00516726	0.00619065	0.00623578	0.00520879	0.00334788	0.00749148	0.00514906	0.00438147	0.00765648	0.00811383	0.00752918	0.00894596	0.00814655	0.018468	0.00541565
et	0.0167989	0.00911577	0.00634601	0.00524349	0.00397756	0.0073043	0.00830359	0.0148611	0.00940602	0.0211635	0.0169064	0.0239398	0.0451895	0.0395629	0.0287804	0.043254	0.0524965	0.0435472	0.0495049	0.0283818	0.0335872	0.032588	0.049518	0.0257182	0.0554296	0.0285955	0.0380479	0.0339511	0.0232288	0.0086835	0.0122354	0.0099305	0.0137875	0.00897047	0.0142588	0.00785842	0.00559471	0.0175878	0.0121109	0.0201098	0.0193303	0.0106078	0.0161356	0.0280509
ongondza	0.0328686	0.0163989	0.0149896	0.0141894	0.00905697	0.00937564	0.0124762	0.00741581	0.0110215	0.0125336	0.0308975	0.031672	0.041334	0.0454279	0.0353791	0.0329411	0.0230293	0.0196088	0.0376288	0.032942	0.028701	0.0235598	0.0252837	0.016774	0.0249098	0.02153	0.0280168	0.0307415	0.0255584	0.0232273	0.0221245	0.0141706	0.0138934	0.013417	0.0223023	0.0116233	0.00817128	0.0324904	0.0193847	0.0238921	0.0216132	0.0176698	0.0234433	0.0363148
sont	0.0480319	0.0255961	0.0177971	0.0119822	0.00619598	0.00636906	0.00662439	0.00811419	0.0106889	0.0101916	0.02052	0.0291035	0.0545961	0.0873266	0.0512935	0.0433875	0.0232063	0.0267109	0.0301623	0.027097	0.0170159	0.0134757	0.00941891	0.0114096	0.00977625	0.00829151	0.00840703	0.00726321	0.00706286	0.00788834	0.0115196	0.0178445	0.0316343	0.0286457	0.039459	0.0256545	0.0194459	0.0380041	0.0180575	0.02237	0.0262736	0.0183721	0.01726	0.0404549
éloignés	0.0519673	0.0342983	0.0306962	0.0251431	0.0143578	0.0179587	0.014503	0.0126716	0.0120906	0.00818363	0.013748	0.0188979	0.0309277	0.0461208	0.034934	0.0314571	0.0366704	0.0227771	0.0115787	0.0252671	0.0174476	0.0144441	0.0108149	0.00985365	0.0153828	0.0130934	0.0105104	0.00971123	0.00804644	0.00770074	0.00596493	0.00625137	0.00941921	0.00877366	0.0164237	0.024111	0.0115225	0.0188901	0.0328253	0.0436407	0.0528164	0.043772	0.0565263	0.0578086
l'	0.0504357	0.0314934	0.0171073	0.0106661	0.0119188	0.0110718	0.00793788	0.00552412	0.0026571	0.00239921	0.00277939	0.00398628	0.00486212	0.00650301	0.00435645	0.00400196	0.00388583	0.00759783	0.00746247	0.00558764	0.00480068	0.00439005	0.00851707	0.00851421	0.0245047	0.0130056	0.0182061	0.0145491	0.0127262	0.0111804	0.00882949	0.0139626	0.0283727	0.0236223	0.029861	0.0436662	0.0428769	0.0661884	0.0762377	0.0979389	0.0875709	0.0540033	0.0702613	0.0339796
un	0.0304763	0.0230288	0.0220629	0.0309293	0.0311323	0.0165658	0.0166149	0.00806067	0.00607221	0.00470495	0.0085634	0.0110718	0.0107512	0.0128102	0.00603786	0.0058475	0.00587562	0.00683862	0.00468306	0.00800172	0.00820262	0.0111785	0.0147046	0.0230898	0.0118073	0.0169537	0.0129639	0.0124219	0.0102285	0.00832143	0.00472494	0.00784603	0.0158843	0.0215189	0.0380141	0.056328	0.027185	0.027589	0.074798	0.0690948	0.0730896	0.0671818	0.0678242	0.0489196
de	0.0392086	0.0335049	0.0295156	0.0369866	0.0507134	0.0251638	0.0300469	0.0309264	0.0317456	0.0266741	0.0366923	0.0328309	0.0429748	0.0357008	0.0210433	0.0181232	0.0224634	0.0172936	0.0157267	0.0193241	0.0193209	0.0171496	0.0166053	0.0170269	0.013387	0.023603	0.0178254	0.013253	0.0113756	0.00839401	0.00415143	0.00652594	0.00812352	0.00790919	0.00933204	0.0126692	0.00763121	0.0102824	0.0229149	0.0240038	0.0326591	0.0247637	0.0356383	0.0387957
