 	a85	a87	a23	a99	a54	a6	a37	a75	a5	a37	a54	a73	a7	a84	a53	a69	a18	a5	a18	a24	a61	a98	a79	a94	a53	a90	a70	a75	a41	a85	a41	a7	a26	a90	a69	a58	a82	a87	</S>
a	0.0341627	0.0422815	0.0168479	0.0212119	0.0210459	0.02419	0.0254923	0.0235984	0.0405169	0.0276725	0.0196405	0.0194577	0.021326	0.023811	0.0178065	0.014934	0.0176326	0.0112556	0.0129537	0.0205105	0.0228743	0.0242454	0.0560028	0.0217345	0.028122	0.0484188	0.036485	0.0309974	0.0257979	0.0245251	0.0177406	0.0174527	0.0184756	0.0272639	0.0271745	0.0345445	0.027457	0.020042	0.0342978
côté	0.019598	0.0225787	0.0447346	0.0569883	0.0473873	0.0548659	0.062694	0.0513906	0.0379829	0.0392601	0.0841727	0.0506387	0.0842543	0.0199805	0.0110527	0.012035	0.0130022	0.0262823	0.0148088	0.0134447	0.0149412	0.0149685	0.00897408	0.0131042	0.00691004	0.00907328	0.00749648	0.00665293	0.0119235	0.0120443	0.0173603	0.0184572	0.0155802	0.0109635	0.0172932	0.0123942	0.0101381	0.00969765	0.0148745
du	0.0195372	0.0183023	0.0197685	0.0188334	0.0309554	0.0282923	0.0476052	0.0676917	0.043303	0.0286138	0.0306407	0.0340189	0.0504009	0.0136475	0.0112781	0.0121412	0.0105907	0.0176849	0.0171606	0.0255476	0.0314613	0.0236573	0.0185949	0.0181396	0.017425	0.0120519	0.0157431	0.0248997	0.0213708	0.0261035	0.0155715	0.0213291	0.0213551	0.03044	0.0383705	0.031909	0.0224958	0.0263255	0.0367426
village	0.0336903	0.0246526	0.0312089	0.0149974	0.034132	0.0554304	0.0632227	0.0619948	0.0752861	0.0402454	0.0294826	0.0440262	0.0507622	0.0358199	0.0179878	0.024263	0.0374075	0.0427132	0.0384255	0.03384	0.033949	0.0280658	0.0156066	0.0287539	0.0126622	0.0152204	0.0106564	0.01193	0.00678197	0.00793489	0.00547561	0.00495531	0.00338318	0.00373623	0.00223351	0.00253983	0.00351382	0.00371341	0.00929957
il	0.0794626	0.0546448	0.0573545	0.0505492	0.045427	0.0473873	0.0392778	0.0436752	0.0292819	0.0257487	0.0444904	0.0284512	0.0414248	0.0123073	0.0131487	0.00979387	0.0152585	0.0106167	0.0096948	0.0233511	0.0167565	0.0152534	0.0139781	0.014039	0.0089151	0.00590603	0.00628915	0.00742037	0.0041072	0.00586206	0.00461132	0.00831693	0.0145743	0.0184738	0.0262963	0.0234683	0.0277884	0.0319013	0.0646961
y	0.0418757	0.0203481	0.0299075	0.0164668	0.0158185	0.0152383	0.0122746	0.00775859	0.00510891	0.00572944	0.00588358	0.0047116	0.00673262	0.00595886	0.00733101	0.0060561	0.011235	0.0124629	0.011524	0.0163101	0.0123094	0.0174999	0.0174349	0.019445	0.0173379	0.0203552	0.0146707	0.0171726	0.0168056	0.0156786	0.0182617	0.0208179	0.0544952	0.0771363	0.107085	0.0932169	0.0718501	0.0607772	0.0689178
a	0.015111	0.0178443	0.0149828	0.0123734	0.010615	0.0114226	0.00961935	0.00845314	0.0048842	0.00755945	0.00692567	0.00462988	0.0039999	0.00390361	0.00430916	0.00533115	0.00652018	0.0105433	0.0127076	0.0237483	0.0247661	0.0242991	0.042679	0.0346655	0.0350249	0.0348464	0.0269182	0.0227655	0.0151371	0.0162164	0.0256731	0.0256914	0.0460059	0.0781191	0.0802891	0.0750023	0.0694034	0.0549928	0.0720207
une	0.0209223	0.0212056	0.0192464	0.0146364	0.012273	0.0149524	0.0147137	0.0158292	0.0110591	0.0106059	0.0121982	0.0125077	0.0154758	0.00863801	0.00689546	0.00759874	0.00966557	0.0158547	0.017679	0.0200061	0.0234174	0.0146161	0.0280437	0.0165757	0.0152846	0.0190542	0.012911	0.0115081	0.0107655	0.01262	0.0219192	0.0290643	0.0467893	0.0771531	0.0855733	0.0864079	0.0688049	0.0517411	0.0857875
grande	0.0204777	0.0183335	0.0215363	0.015452	0.0155677	0.0173373	0.0166131	0.0155982	0.00929343	0.00754975	0.00938688	0.00907393	0.014269	0.00441594	0.00513855	0.00617879	0.00856012	0.0164737	0.0245744	0.0292853	0.030337	0.0183546	0.0380884	0.0221681	0.0250312	0.0337609	0.0190784	0.0159771	0.0136718	0.0143924	0.0191149	0.0217793	0.0320327	0.0606777	0.0693873	0.076614	0.0684013	0.062702	0.0733151
bananeraie	0.054508	0.0418096	0.0389656	0.0291194	0.0277338	0.0388905	0.0304288	0.0250399	0.0205158	0.0133347	0.0128074	0.0125549	0.013329	0.0134721	0.0139213	0.0153494	0.00947748	0.00881714	0.0109718	0.016823	0.018179	0.0219955	0.0368554	0.0146399	0.0148466	0.00880119	0.010151	0.0123249	0.0112759	0.0137092	0.0171847	0.018761	0.0247011	0.0433872	0.0415364	0.0512531	0.0475426	0.0412407	0.103745
</S>	0.0588374	0.0397189	0.036406	0.0340119	0.0250301	0.0322943	0.0217917	0.0202431	0.016409	0.0139172	0.0132791	0.014293	0.0127586	0.0161272	0.0157032	0.0147468	0.0111644	0.0110114	0.0111038	0.0132252	0.0160422	0.0179306	0.0230056	0.0151577	0.0139559	0.00827478	0.0116534	0.0170383	0.0202393	0.0226522	0.0317134	0.0326786	0.0323468	0.0330856	0.0509443	0.0455015	0.0422823	0.0294289	0.103996
