 	a66	a87	a23	a40	a36	a7	a93	a56	a98	a47	a6	a36	a85	a6	a36	a85	a6	a61	a12	a75	a85	a47	a79	a98	a47	a36	a47	a36	a2	a57	a87	a23	a99	a30	</S>
les	0.0445045	0.0639084	0.0912997	0.0858353	0.113396	0.0966637	0.0755389	0.0424544	0.0390059	0.0225693	0.0242769	0.0179295	0.0116208	0.0146462	0.016333	0.0231346	0.0139697	0.0118322	0.010082	0.0155177	0.0227843	0.0270403	0.0222556	0.00829026	0.00962892	0.00645165	0.00341381	0.0065135	0.00425243	0.00676729	0.00473252	0.0070847	0.00669852	0.00835202	0.021216
petits	0.00618547	0.00842985	0.00960685	0.0184725	0.02754	0.0614552	0.0428459	0.100204	0.0837468	0.0773791	0.0464313	0.0651731	0.0960445	0.0960375	0.0407611	0.0395751	0.0284246	0.0347937	0.0408748	0.0355739	0.00773108	0.00469381	0.00292388	0.00738379	0.0012063	0.00102328	0.000812765	0.00295162	0.00245329	0.00162721	0.00117639	0.00358269	0.000895763	0.00116566	0.00081699
villages	0.0126859	0.00548788	0.00293919	0.00481701	0.0114779	0.0117307	0.0125037	0.0177304	0.0229112	0.0398922	0.0762284	0.116101	0.0883132	0.0666447	0.0502254	0.110459	0.132388	0.0774145	0.0250092	0.0127672	0.00443817	0.00439956	0.00943434	0.00863267	0.00582552	0.00380206	0.00421625	0.0106981	0.0117403	0.0108012	0.0090756	0.00639925	0.00661026	0.00372036	0.00247999
sont	0.0250458	0.0111424	0.00455397	0.00625796	0.00834765	0.0119128	0.0238919	0.0278879	0.0424578	0.0540582	0.139542	0.0555396	0.0545713	0.0381502	0.0364209	0.0875477	0.0609671	0.0548042	0.0404764	0.0300874	0.0187915	0.012426	0.0396059	0.0200931	0.0104002	0.0119501	0.0100582	0.00857947	0.0110911	0.00891045	0.00820936	0.00806625	0.00757538	0.00514255	0.00543772
bâtis	0.028709	0.0261858	0.0194193	0.022272	0.0196588	0.00785157	0.0183373	0.01476	0.0199967	0.0277168	0.0302875	0.0299171	0.0310885	0.0294179	0.0388789	0.0354587	0.0335387	0.0565103	0.0425264	0.0419317	0.0840604	0.044024	0.0477832	0.0865686	0.0274744	0.0239768	0.0252551	0.0187755	0.0131688	0.0113936	0.0082664	0.0118106	0.0118849	0.00505389	0.00604093
avec	0.0358644	0.027506	0.0215309	0.020545	0.0194547	0.0101422	0.00761781	0.00704432	0.00909238	0.0163397	0.021023	0.0166255	0.0191213	0.0202805	0.0313187	0.0306401	0.0482243	0.0537813	0.0552614	0.0485649	0.0622966	0.058639	0.0684608	0.0716001	0.0529847	0.0440416	0.0187797	0.00955645	0.00448344	0.013332	0.00628801	0.0157769	0.022434	0.0124668	0.0188814
deux	0.0646149	0.051187	0.0281116	0.0193741	0.0150773	0.01475	0.0197032	0.0145161	0.0159018	0.0212332	0.0210692	0.0362444	0.0306497	0.0473692	0.0322525	0.0239275	0.0301589	0.0268472	0.0171492	0.0146037	0.0151234	0.0149753	0.0160693	0.0131495	0.0206417	0.0443467	0.03074	0.0402355	0.0248161	0.0457845	0.0390083	0.0519198	0.0347733	0.0311498	0.0325259
rangées	0.046656	0.0333483	0.0280409	0.0196892	0.0215631	0.0209497	0.0100065	0.0079204	0.0112219	0.00859812	0.0127459	0.0212474	0.0143548	0.0173478	0.021356	0.0151829	0.0242402	0.0438764	0.0270164	0.0329263	0.0254292	0.0220657	0.0152777	0.0260756	0.0203296	0.0204488	0.0284804	0.0710091	0.041395	0.0588922	0.038842	0.063836	0.0525292	0.0372934	0.0398078
de	0.0677544	0.0364978	0.0234027	0.0159969	0.0157908	0.0141057	0.0107138	0.0104133	0.0172559	0.0234392	0.0232916	0.0402079	0.0342758	0.0420936	0.0389143	0.035665	0.0559056	0.052418	0.0401582	0.0402966	0.0296416	0.0282992	0.0151405	0.0171339	0.0161102	0.0135735	0.0104587	0.0156786	0.0204697	0.0210948	0.0223286	0.0524877	0.0295367	0.0444458	0.0250034
maisons	0.074866	0.0440938	0.035173	0.0273293	0.0220766	0.0153365	0.0162094	0.0123754	0.0148036	0.0216741	0.0195019	0.0255071	0.0208067	0.0269041	0.0306226	0.0205285	0.039183	0.0359507	0.0264289	0.0262858	0.0215156	0.0252177	0.0170544	0.0175436	0.0163005	0.0167767	0.0212792	0.0384322	0.0327435	0.0322504	0.041086	0.0416168	0.0396275	0.0373833	0.0455157
</S>	0.0298193	0.0209331	0.0143141	0.0101632	0.00825142	0.00604954	0.0107889	0.0122489	0.0161134	0.027086	0.0318034	0.0305453	0.0293667	0.0379824	0.0454564	0.0356194	0.0446358	0.0354622	0.0247669	0.0248996	0.0271654	0.0307948	0.0333648	0.0333558	0.0335118	0.0311292	0.0236788	0.0457912	0.0379922	0.0345207	0.0364815	0.0466931	0.0333332	0.0254722	0.0304092
