 	a66	a87	a97	a87	a97	a38	a90	a92	a85	a79	a44	a93	a56	a75	a56	a34	a56	a61	a0	a88	a9	a13	a75	a36	a37	a44	a57	a38	a62	a88	a9	a97	a87	a97	a87	a97	a87	a97	a99	a97	</S>
l'	0.0335061	0.0464845	0.0719557	0.0505856	0.0498888	0.0773204	0.0557623	0.0549846	0.0726207	0.068395	0.0379402	0.024915	0.0177732	0.011482	0.010944	0.0138754	0.0164541	0.0126014	0.00846017	0.00718812	0.00916671	0.00914927	0.0103699	0.01364	0.0129864	0.00998502	0.00912141	0.0115315	0.0117614	0.0190989	0.0136871	0.00939145	0.00859955	0.00855448	0.00792456	0.00906321	0.0119316	0.00978088	0.0156019	0.0128032	0.0327143
enfant	0.00416684	0.00495007	0.0112125	0.024855	0.0366954	0.0417075	0.0638737	0.114734	0.0853962	0.0631027	0.0436857	0.0755029	0.0837034	0.042297	0.0439625	0.047018	0.0401961	0.032168	0.0299413	0.0189882	0.0110272	0.0168585	0.0132356	0.0121669	0.0079501	0.00664811	0.00375585	0.00171191	0.00173036	0.00139724	0.00185217	0.00129816	0.000779346	0.000958049	0.000803624	0.00114004	0.00200211	0.00110633	0.00153091	0.0015044	0.0023856
s'	0.0586772	0.037767	0.0452781	0.0595641	0.078118	0.0486522	0.0437368	0.03466	0.0253845	0.02074	0.0198839	0.0100784	0.00844463	0.0069722	0.0149	0.0270148	0.047031	0.0836038	0.078936	0.0520171	0.0316629	0.0150677	0.0098967	0.00813387	0.00816186	0.00773596	0.00724198	0.00399465	0.00245424	0.00592769	0.00480771	0.00561063	0.00516047	0.00789919	0.00909659	0.014876	0.00838423	0.0128309	0.0110379	0.00987544	0.00868389
est	0.0251588	0.0104466	0.0095352	0.0104599	0.0101544	0.00676303	0.00760382	0.00556507	0.00834514	0.0144782	0.0468527	0.0324524	0.0182048	0.0221675	0.022022	0.0290551	0.0377187	0.0495679	0.0532535	0.0400221	0.0255633	0.0223427	0.0180821	0.0110011	0.0170713	0.0231486	0.0237862	0.0202926	0.015384	0.0263659	0.0189663	0.0143015	0.00939397	0.0260724	0.0290281	0.0273103	0.0452051	0.0385474	0.0314166	0.0330864	0.0638074
recroquevillé	0.018701	0.0293874	0.0186517	0.0258724	0.0260682	0.0116298	0.0308414	0.0229068	0.034885	0.0246432	0.0331916	0.0294708	0.0251564	0.0209858	0.0236568	0.0186697	0.023431	0.0294864	0.0282789	0.0427269	0.0312693	0.0715981	0.0797751	0.0641018	0.0573474	0.0304317	0.0180673	0.00881868	0.00838088	0.00749952	0.00869546	0.00794563	0.00571331	0.008212	0.00799988	0.00809241	0.0108502	0.00980377	0.0104879	0.0139036	0.012365
dans	0.0339522	0.0175022	0.00940226	0.00801155	0.0153463	0.0108688	0.0095567	0.00760671	0.0103898	0.0160908	0.0112075	0.0164066	0.0236669	0.0329012	0.0286858	0.0318869	0.0229835	0.014395	0.0154579	0.0215781	0.0342176	0.0265886	0.0260681	0.0342559	0.038785	0.0335579	0.0401728	0.0338035	0.0281756	0.0218241	0.0268487	0.0151036	0.0111123	0.0174258	0.0206891	0.0231991	0.0322658	0.0389444	0.0388097	0.0548749	0.0453805
le	0.0551279	0.0180301	0.0215344	0.0146688	0.0214113	0.0104495	0.00947031	0.00641484	0.00785382	0.00950817	0.004477	0.00919584	0.00760166	0.0151841	0.0208662	0.0316734	0.0226193	0.014827	0.0103483	0.0108855	0.0141403	0.0071968	0.00893102	0.0133595	0.0147594	0.0254111	0.0268512	0.0225441	0.0184993	0.0245472	0.0301524	0.0220806	0.0150621	0.028505	0.0291696	0.0363706	0.0490565	0.0536989	0.058492	0.0609003	0.118124
pagne	0.0462509	0.018638	0.0140919	0.011828	0.017528	0.014469	0.0124434	0.00573785	0.00374657	0.00452018	0.00240403	0.00261015	0.00299535	0.00484668	0.0119587	0.0250793	0.054155	0.0746793	0.0830287	0.0669389	0.0543203	0.0338441	0.0279343	0.0260361	0.0177241	0.0211375	0.0176821	0.0115735	0.00928297	0.0142102	0.0139492	0.0111812	0.00464022	0.0146334	0.0188482	0.031862	0.034626	0.0362698	0.0438374	0.0458566	0.0326011
à	0.0288955	0.0245566	0.0173356	0.016862	0.0234942	0.0148075	0.0148511	0.0129544	0.0122129	0.0119663	0.0126895	0.0130837	0.0297039	0.0266218	0.0369084	0.0368613	0.0313897	0.0391368	0.029802	0.0404453	0.0302545	0.0212438	0.0154186	0.0154778	0.0113251	0.0207941	0.0230762	0.013677	0.0146809	0.0185611	0.0256941	0.0116944	0.00548123	0.0138736	0.0187817	0.0317832	0.037057	0.0428904	0.0522085	0.0441565	0.0572916
cause	0.0331378	0.0243172	0.0196965	0.0176418	0.0207585	0.019892	0.0195534	0.016042	0.01074	0.0190648	0.00973938	0.0101817	0.0131144	0.0114596	0.0168104	0.0217441	0.0208234	0.0242597	0.0135704	0.017567	0.0155791	0.0127662	0.0122974	0.0132787	0.00956049	0.0144873	0.0168338	0.0089375	0.0149642	0.0168488	0.0198	0.0163155	0.00964183	0.0284115	0.0296397	0.048722	0.0663473	0.0482957	0.0671938	0.0632433	0.106722
du	0.0423664	0.0271452	0.041661	0.0234775	0.0283263	0.0210893	0.0171924	0.0111558	0.0152913	0.0169624	0.00787828	0.00969437	0.0172799	0.0212789	0.0204759	0.0201127	0.015116	0.0115453	0.00846436	0.00887984	0.0104136	0.00854248	0.0122893	0.0172411	0.0140743	0.0217824	0.0200469	0.0114754	0.0143207	0.0169856	0.0233887	0.0155892	0.0106871	0.0275495	0.023785	0.0415736	0.0461658	0.0388754	0.0514461	0.0478905	0.140484
froid	0.0500083	0.0295132	0.024985	0.0219464	0.0262053	0.0202323	0.0213331	0.0159741	0.0195008	0.0190299	0.0186429	0.0110723	0.019431	0.0306284	0.0412784	0.0486036	0.0498961	0.0564369	0.03698	0.0466925	0.0382741	0.0294644	0.0250646	0.0197358	0.010088	0.0137194	0.0123944	0.00736008	0.00818079	0.0102202	0.00950991	0.0114426	0.00957197	0.0138662	0.013044	0.0194752	0.0232775	0.0230815	0.0276153	0.0348203	0.0314032
