 	a66	a10	a87	a23	a53	a54	a7	a0	a75	a79	a37	a98	a15	a36	a0	a56	a43	a11	a24	a62	a0	a96	a75	a92	a12	a18	a75	a5	a96	a70	a93	a90	a56	a79	a69	a58	a54	a36	a26	a27	a30	a57	a87	a97	a99	a97	a87	a23	a99	a87	a30	</S>
mon	0.0398887	0.069251	0.0502064	0.0594324	0.0601652	0.0763495	0.0373926	0.0278838	0.0239896	0.0198413	0.0229223	0.0160455	0.00777829	0.00769215	0.00808165	0.01237	0.0116343	0.0107315	0.00975593	0.0115815	0.0110483	0.00813173	0.0116505	0.00962875	0.00890425	0.0116389	0.00786581	0.00739365	0.00879524	0.00754324	0.00955647	0.0134078	0.00811882	0.00712903	0.00482085	0.00501871	0.0056165	0.00515724	0.0177357	0.0214028	0.0235697	0.0275927	0.0166434	0.026094	0.0262785	0.0252396	0.0172134	0.0154696	0.0146953	0.0114278	0.0117734	0.0104448
épouse	0.00559256	0.0101258	0.0186682	0.0200172	0.0932029	0.132764	0.165605	0.0491988	0.034625	0.0443431	0.0302939	0.0232035	0.0281768	0.0142665	0.0109935	0.00438328	0.00568143	0.0031302	0.00325301	0.00462058	0.00302053	0.00524478	0.00571778	0.00500794	0.0061676	0.00788853	0.00695985	0.00844405	0.0154698	0.0204249	0.0165119	0.016697	0.0190429	0.0109609	0.0166349	0.034003	0.0168956	0.00902473	0.0168735	0.0116874	0.00830553	0.00407938	0.00447656	0.00313135	0.00262086	0.00343356	0.00318876	0.00305048	0.00373368	0.000969857	0.0057409	0.002445
a	0.0412678	0.0328361	0.0327097	0.0308754	0.0402699	0.0371006	0.053063	0.057491	0.0239398	0.033354	0.0103791	0.0143286	0.021016	0.0138152	0.0113681	0.0185458	0.0201668	0.019885	0.0147043	0.0210284	0.0191765	0.0244203	0.0241399	0.0182573	0.0141073	0.0109715	0.011968	0.010728	0.0125922	0.00833259	0.00888543	0.00704756	0.00671491	0.00459083	0.00459782	0.00912677	0.00958943	0.0163191	0.016976	0.0114922	0.0116525	0.01094	0.0159071	0.0155151	0.0169497	0.0257744	0.0208741	0.0149249	0.0204165	0.00885466	0.0311986	0.00881415
défait	0.0158149	0.00987229	0.013681	0.012824	0.0168828	0.0156471	0.0297162	0.03655	0.0256801	0.0369182	0.0376348	0.0331522	0.0408167	0.0375141	0.0265379	0.0173125	0.0233112	0.0175599	0.035713	0.0219687	0.0225287	0.0219672	0.0267712	0.0133696	0.0195038	0.0115825	0.0122901	0.0106202	0.0105716	0.00779981	0.0112345	0.00628411	0.00957134	0.0113286	0.0161276	0.0240052	0.015029	0.0195228	0.014338	0.0153092	0.00721975	0.0119828	0.0120864	0.0118919	0.013472	0.0169741	0.0191718	0.0233824	0.0185169	0.0139951	0.0179802	0.0284641
le	0.013263	0.00838089	0.0105652	0.0182112	0.0277746	0.0225933	0.0255491	0.0225622	0.0383587	0.037556	0.0670691	0.0578863	0.06597	0.0940928	0.0612419	0.0396767	0.0341891	0.0241406	0.0223875	0.0220681	0.0107105	0.0160091	0.0208677	0.0134989	0.0135764	0.0159786	0.0169573	0.0175632	0.0210025	0.00672828	0.0143963	0.0068449	0.00567754	0.00374676	0.00488834	0.00221378	0.00281733	0.00379994	0.00216117	0.00388698	0.00250955	0.00214961	0.00509604	0.004653	0.00527067	0.00481097	0.0070512	0.00802302	0.00691549	0.00939653	0.00687878	0.0203837
noeud	0.00333648	0.00325612	0.00385745	0.00457879	0.00822058	0.0137403	0.0225144	0.0236259	0.0258585	0.029753	0.0436871	0.0429275	0.0632695	0.0991191	0.100435	0.0584565	0.0413365	0.0258236	0.0256813	0.0203697	0.0138523	0.0191761	0.025049	0.0112667	0.0133747	0.0176571	0.016095	0.0150077	0.0168614	0.00987682	0.0170545	0.00999615	0.00815191	0.00564732	0.00412097	0.00416112	0.00448512	0.00456602	0.00429922	0.00693971	0.00280075	0.00371074	0.00640474	0.00559075	0.00808082	0.00905347	0.0123966	0.0157861	0.0117427	0.0117144	0.010754	0.014479
qu'	0.0145213	0.0123813	0.00826331	0.011521	0.00981016	0.0180222	0.016791	0.0155575	0.0263062	0.0199701	0.0295525	0.0370418	0.0383439	0.0602561	0.0567131	0.0491061	0.0380671	0.0276372	0.0251428	0.0242047	0.0166107	0.0206474	0.0204197	0.0189728	0.0141821	0.0238068	0.0230199	0.0275163	0.0251427	0.0166843	0.0284758	0.0142799	0.00924049	0.00651836	0.00392048	0.00315072	0.00486072	0.00686486	0.00747791	0.0122872	0.0107059	0.00756863	0.0121797	0.0104617	0.0102779	0.00977963	0.0133704	0.015199	0.0131652	0.0216453	0.0108947	0.0214636
elle	0.0554766	0.0419594	0.0637986	0.0526229	0.0226517	0.0247186	0.0326278	0.0240346	0.0182034	0.0203941	0.0184782	0.0227413	0.0200375	0.0213915	0.0239677	0.0268486	0.0266028	0.0268813	0.0196264	0.0254817	0.0168585	0.0177602	0.016484	0.00913601	0.0122419	0.0132013	0.0141333	0.0113061	0.0118176	0.00839393	0.00979778	0.00498236	0.00615238	0.00571042	0.00426364	0.00729334	0.0101916	0.0166082	0.0157353	0.00898361	0.00763888	0.00559291	0.0113262	0.0101951	0.0139974	0.0190856	0.0188865	0.015075	0.0163808	0.0206958	0.0179622	0.0335675
avait	0.0248526	0.0130517	0.00943706	0.0163568	0.0101997	0.0128488	0.0160453	0.0114282	0.0241597	0.0181369	0.0258742	0.0219743	0.0332318	0.0334928	0.0355714	0.0260722	0.019649	0.018104	0.0157117	0.0255181	0.014557	0.0162808	0.0175517	0.0149547	0.0209412	0.022376	0.0294101	0.0281961	0.0385494	0.0349963	0.0391066	0.0262429	0.0313529	0.0298879	0.0213426	0.0254158	0.0198691	0.0155511	0.0122499	0.00837283	0.00822867	0.00418256	0.00638994	0.0069356	0.00709613	0.00977184	0.0111201	0.00957866	0.0103375	0.0133419	0.0134886	0.0206076
fait	0.0338918	0.0232734	0.0229337	0.03939	0.0182202	0.0213805	0.0157538	0.00903643	0.019154	0.0154227	0.0215458	0.0159969	0.0236476	0.0251675	0.0239789	0.0145028	0.0112992	0.0120757	0.0112062	0.0149722	0.0118076	0.0107529	0.012213	0.0111246	0.0134691	0.0174755	0.0242327	0.0248854	0.0351981	0.0333239	0.0480982	0.0230279	0.0173311	0.026658	0.0200106	0.0250889	0.0177328	0.0156253	0.0120793	0.00928023	0.014021	0.00743625	0.0123763	0.0116788	0.0121524	0.016365	0.0167292	0.0138912	0.0133312	0.0177267	0.0198967	0.0421309
