 	a66	a87	a23	a10	a97	a23	a50	a62	a47	a61	a43	a0	a24	a21	a12	a21	a47	a61	a31	a0	a24	a94	a75	a98	a85	a92	a37	a85	a79	a36	a37	a98	a92	a85	a6	a36	a26	a57	a62	a31	a62	a88	a71	a38	a70	a83	a66	a13	a3	a97	a99	a30	</S>
la	0.0517169	0.0410603	0.0363693	0.0251964	0.0135479	0.0150866	0.0176181	0.0136146	0.0204656	0.0269589	0.031281	0.0174227	0.0218843	0.0365525	0.0168039	0.0123913	0.0139981	0.0120377	0.00961769	0.00449973	0.00495295	0.00412786	0.00509043	0.00549312	0.00515141	0.00821641	0.00919479	0.0107236	0.014625	0.0212865	0.0178514	0.0214684	0.0271869	0.0180572	0.0139677	0.0251866	0.0138049	0.00788447	0.0114679	0.0142875	0.0124378	0.0204078	0.0293578	0.0264583	0.0159495	0.0279847	0.0268708	0.0286093	0.0165273	0.0183225	0.0230378	0.0215337	0.034354
manière	0.00603454	0.00714121	0.0130675	0.0112175	0.012057	0.016174	0.0178187	0.0221697	0.0266642	0.0166855	0.0118078	0.0109094	0.0155843	0.0289045	0.0165109	0.0276988	0.0169588	0.0194946	0.0284213	0.0410126	0.0961648	0.0925408	0.0446654	0.130943	0.0440069	0.0238769	0.0136953	0.0279842	0.020093	0.0155317	0.0197765	0.00893086	0.00770836	0.00714146	0.00776123	0.0143571	0.0136474	0.00852902	0.00764319	0.00750201	0.00176944	0.0019692	0.00195892	0.00113182	0.000267336	0.00197123	0.0010736	0.00226467	0.00222716	0.000750367	0.00247743	0.00252444	0.000782047
dont	0.0355521	0.0401004	0.0212389	0.020168	0.0107907	0.01013	0.00673565	0.00832632	0.00931952	0.0138106	0.0071953	0.0102224	0.0122156	0.0100524	0.0118452	0.0137089	0.0267284	0.0429207	0.0468912	0.0436044	0.0251801	0.0142541	0.0372196	0.0119927	0.0267444	0.0227202	0.0256095	0.0378926	0.0248673	0.04314	0.0157789	0.0230264	0.0253746	0.0278787	0.0476744	0.0148216	0.0130507	0.0100458	0.0138593	0.00794452	0.00933594	0.00502249	0.00800721	0.00320257	0.00898102	0.0118018	0.00719828	0.0108228	0.0111087	0.0126212	0.0188177	0.00991252	0.0125356
ils	0.0201742	0.015692	0.00731778	0.00677533	0.00531914	0.00494886	0.00391408	0.00515212	0.00795718	0.00464582	0.00309842	0.00787592	0.00683689	0.00514498	0.00471602	0.0048474	0.0053641	0.0049073	0.00755776	0.0069803	0.0144731	0.0203599	0.0319767	0.0486237	0.0865575	0.0926621	0.180442	0.091819	0.0513583	0.0376868	0.0200269	0.0108566	0.0116014	0.00649182	0.00903749	0.00486431	0.00575741	0.0119364	0.0103629	0.0116716	0.0106991	0.00857345	0.0054673	0.00997361	0.00521683	0.0115421	0.00686215	0.0093485	0.00510276	0.00812196	0.00853386	0.00939617	0.00337105
ont	0.0372786	0.017919	0.00505229	0.00385553	0.00441942	0.00543621	0.00458927	0.00607816	0.00894403	0.0161306	0.00778874	0.0060952	0.0147447	0.00932597	0.00584432	0.00779382	0.0108551	0.0175428	0.0330548	0.01255	0.0168898	0.0221405	0.0279957	0.0465411	0.0802917	0.0571346	0.084738	0.0291736	0.0430167	0.0410893	0.0198826	0.0344232	0.0251918	0.0104757	0.0148766	0.00603383	0.0201282	0.0189154	0.022514	0.0253283	0.0132458	0.0112123	0.0102291	0.00380079	0.0046432	0.00401378	0.00336731	0.00824327	0.00387723	0.0133833	0.0093476	0.0180331	0.0145239
égaré	0.0328322	0.0158432	0.00545467	0.006893	0.00743571	0.00609333	0.00622106	0.00449045	0.00862363	0.0152123	0.0138557	0.00724764	0.0145601	0.010687	0.00775994	0.010011	0.016755	0.0430612	0.0732255	0.0392416	0.0295837	0.0229323	0.0372193	0.0193963	0.0078753	0.0156182	0.0105635	0.0136236	0.0152508	0.0258131	0.0289974	0.029811	0.0338645	0.0156282	0.0167516	0.0163124	0.0265041	0.0323164	0.0369713	0.0535508	0.0303491	0.0106445	0.0118708	0.00378137	0.0034595	0.00535677	0.00378105	0.00684069	0.00808406	0.0150637	0.0167438	0.0159533	0.0339833
mon	0.0381004	0.0234225	0.018356	0.0214634	0.02297	0.0156542	0.00989186	0.0111922	0.0148279	0.0112565	0.0103072	0.00673378	0.0122151	0.00771823	0.00791549	0.014961	0.0126149	0.021348	0.0507149	0.0358917	0.0354971	0.0310391	0.0537016	0.0356923	0.0153391	0.023084	0.0133768	0.0220526	0.0219392	0.026181	0.0281061	0.0300834	0.0328129	0.0154899	0.0200023	0.0213071	0.0250071	0.0258045	0.0288558	0.0269298	0.0152474	0.00374127	0.00475489	0.00328892	0.00166271	0.00305457	0.00241917	0.00506741	0.00569045	0.0100264	0.0129069	0.0133764	0.0189069
fils	0.0220796	0.0112393	0.00536325	0.00830594	0.00740126	0.00663653	0.0036355	0.00315244	0.00586773	0.00698874	0.0101424	0.0139975	0.00933957	0.012236	0.0172635	0.0160892	0.0373645	0.0286834	0.0463986	0.0382193	0.0272396	0.026657	0.0654081	0.0311729	0.00968719	0.0255936	0.0116872	0.025822	0.0145283	0.0193396	0.0272967	0.0300029	0.0328053	0.0206035	0.0205646	0.0184936	0.0153845	0.0168878	0.0171942	0.012147	0.00902944	0.00563096	0.00680175	0.00741961	0.00518453	0.011021	0.00950789	0.0148754	0.0270552	0.0349088	0.0284821	0.0355216	0.0256418
relève	0.0152349	0.00927564	0.00450537	0.00466446	0.00292072	0.00187992	0.000901744	0.000961618	0.00235051	0.00466611	0.00607349	0.0141844	0.00597821	0.00904508	0.0113955	0.00819275	0.0304914	0.0308704	0.0217551	0.0173364	0.0148506	0.0161035	0.0330695	0.016385	0.0171117	0.0331204	0.020822	0.040725	0.0284643	0.0302326	0.0367138	0.0404632	0.026029	0.0143951	0.0100184	0.00716501	0.0045236	0.00650365	0.00657107	0.00488783	0.00997216	0.0131637	0.0131965	0.0193112	0.0212878	0.0180326	0.0244673	0.0336081	0.0280648	0.0422114	0.0602857	0.0430353	0.0625245
de	0.0119039	0.00878266	0.00358935	0.00436741	0.00518527	0.00472484	0.00234972	0.00284608	0.0044077	0.00889306	0.00513329	0.00565676	0.0068321	0.0103558	0.00659702	0.00649497	0.0184567	0.0215672	0.0232121	0.016155	0.0154225	0.0118743	0.0206911	0.0168938	0.0195114	0.0264398	0.0287256	0.0323212	0.0440822	0.0462871	0.0499544	0.0561589	0.0262873	0.00765083	0.00461954	0.00541659	0.00425135	0.00551778	0.00537772	0.00539098	0.00900232	0.0146808	0.0151043	0.0178074	0.0232712	0.0258196	0.0219662	0.0325032	0.0289419	0.0505912	0.0426048	0.045043	0.0622789
