 	a66	a87	a97	a10	a87	a97	a53	a54	a92	a5	a37	a21	a47	a31	a0	a11	a93	a90	a15	a69	a20	a25	a44	a90	a56	a43	a11	a90	a69	a40	a47	a37	a6	a36	a2	a82	a87	a97	a62	a75	a79	a37	a93	a96	a93	a94	a96	a88	a71	a38	a70	a96	a66	a26	a9	a82	a97	a99	a97	a99	a97	</S>
ce	0.00664649	0.00940345	0.0114434	0.0106205	0.00783507	0.0144118	0.0187582	0.0161454	0.0356919	0.0579789	0.0463494	0.0402022	0.0308903	0.0197375	0.0153456	0.00659674	0.00681328	0.00830932	0.0145157	0.0170645	0.0138778	0.0145746	0.0379164	0.0218697	0.0201698	0.0191868	0.019265	0.022285	0.0201319	0.0165384	0.0115325	0.00996468	0.0188187	0.00544294	0.00751337	0.00696834	0.00462495	0.00760494	0.00897978	0.0079196	0.0202934	0.0161252	0.0184432	0.0161743	0.0261647	0.0382895	0.00693633	0.00785868	0.00715418	0.00463586	0.00445553	0.00968055	0.0151847	0.0146851	0.0149121	0.0138915	0.00836796	0.0083261	0.0114988	0.0144301	0.0133069	0.0192407
petit	0.00272915	0.00749862	0.0136425	0.0191834	0.033073	0.0469412	0.0549875	0.107215	0.0853361	0.059163	0.0351711	0.031249	0.0328052	0.033719	0.0109516	0.0163012	0.00851154	0.0168061	0.0214661	0.0189202	0.0195542	0.00924497	0.0114041	0.0114316	0.0173541	0.0187487	0.0159792	0.0173683	0.0220095	0.0158852	0.0147836	0.0164476	0.0165571	0.0116263	0.0136078	0.00868926	0.00929626	0.0186791	0.0063976	0.0102742	0.0120243	0.0096754	0.00399096	0.00258973	0.00302178	0.00290652	0.00100944	0.00251556	0.00100313	0.00207756	0.00151287	0.00106163	0.0011746	0.000713256	0.000913293	0.00146543	0.00162955	0.00137055	0.00163718	0.00142034	0.001923	0.00335476
enfant	0.00671737	0.0102449	0.0157839	0.0196728	0.0288218	0.0427679	0.0504577	0.0701229	0.0399146	0.0501266	0.0464743	0.055687	0.0503721	0.055513	0.0218151	0.0275701	0.0144892	0.00705398	0.00936387	0.0197389	0.0227737	0.0103527	0.0121895	0.0148528	0.0254616	0.0140948	0.0359533	0.0240321	0.0228711	0.0181962	0.0149217	0.0147154	0.00962607	0.0112055	0.013412	0.0129344	0.00927663	0.012169	0.00727126	0.00481256	0.00639976	0.0033492	0.00176783	0.000954933	0.00141923	0.00108241	0.00082501	0.0013683	0.000621113	0.000692397	0.000520114	0.000540065	0.00113255	0.000746982	0.00103173	0.00313467	0.00247059	0.00351006	0.00394914	0.00322589	0.00429476	0.00313284
n'	0.0465426	0.0179169	0.0153191	0.0118331	0.0135668	0.0129443	0.00918932	0.00951889	0.00706654	0.0109163	0.0146746	0.0156346	0.0258426	0.0220867	0.0110358	0.0147268	0.0144736	0.0140377	0.0166018	0.0208879	0.0186939	0.0133432	0.0214763	0.0147649	0.010822	0.0104307	0.00838256	0.00937322	0.00997114	0.0130954	0.0103939	0.0121931	0.0144475	0.020891	0.0122987	0.0174997	0.0154164	0.0105784	0.017074	0.00986092	0.00683944	0.00418383	0.00318245	0.0037232	0.00484448	0.00356116	0.0274416	0.00897116	0.00698723	0.00707405	0.0057401	0.0056801	0.0158691	0.0056493	0.00954241	0.0169487	0.0195729	0.0297102	0.0539435	0.0391315	0.0651385	0.0604419
a	0.0168144	0.0129195	0.00872476	0.00918615	0.0101391	0.00979585	0.00862739	0.00670833	0.00664721	0.0100664	0.0250381	0.0184117	0.0232689	0.0143631	0.00974528	0.0168474	0.0159746	0.030128	0.0295439	0.0306532	0.0454229	0.0394486	0.0363992	0.0290882	0.0408771	0.0391009	0.0323227	0.0304836	0.0281552	0.0447652	0.0235922	0.036827	0.029361	0.0460364	0.0212686	0.0237613	0.0161145	0.0102144	0.0109117	0.00695895	0.0087278	0.0096534	0.0029689	0.0051658	0.00283018	0.00238568	0.00592406	0.00337063	0.00280541	0.00260025	0.000835775	0.00105949	0.00137402	0.00147973	0.00193942	0.00119643	0.00313871	0.00387236	0.00552305	0.00468322	0.0105278	0.0132251
pas	0.0122166	0.0101704	0.00772123	0.00762656	0.0111142	0.0111273	0.0144323	0.00986646	0.00288925	0.00324622	0.00869568	0.00448455	0.00690718	0.00713097	0.00792321	0.0133549	0.0121117	0.0242322	0.0315057	0.0225179	0.0258949	0.0261355	0.0387296	0.0309786	0.0433851	0.0590357	0.0547971	0.0378634	0.0411818	0.0370713	0.0348059	0.0403438	0.0304736	0.0338974	0.0256762	0.0280532	0.0223795	0.0147699	0.0137133	0.013594	0.0100008	0.00746561	0.00563855	0.00535713	0.00467513	0.00315616	0.00803022	0.00509664	0.0048836	0.0045725	0.00199887	0.0014832	0.00197377	0.00137273	0.003651	0.00280005	0.00351343	0.00568397	0.00632491	0.0082054	0.00730044	0.0147613
pu	0.00920118	0.00559301	0.00506391	0.00542501	0.00610301	0.00624885	0.00699158	0.00832668	0.00614502	0.00739229	0.00890128	0.00894601	0.0103992	0.0076369	0.0101933	0.0132163	0.0126725	0.0192785	0.02522	0.0200836	0.0240218	0.0221002	0.0290635	0.0219426	0.0329819	0.046776	0.0444265	0.0338844	0.0323286	0.0353526	0.0292305	0.0383857	0.029109	0.0487904	0.0389052	0.0393128	0.031869	0.0171383	0.0206826	0.0154522	0.0165105	0.0102072	0.0115282	0.00901641	0.00930689	0.0053167	0.0113889	0.00876271	0.00654832	0.00424248	0.00222512	0.00128364	0.00196866	0.000604083	0.00361421	0.00302548	0.00530859	0.00724923	0.00697583	0.00945557	0.00941908	0.02125
bien	0.008183	0.00718242	0.00545621	0.0056581	0.00470777	0.00489317	0.00642697	0.00538722	0.00691855	0.0073023	0.00713648	0.00834197	0.00701999	0.00589737	0.00802119	0.0132192	0.0138196	0.0173516	0.0197575	0.018272	0.0213593	0.0196924	0.0232473	0.021881	0.0256176	0.0295771	0.0273944	0.0314948	0.02488	0.0283206	0.0309666	0.0355044	0.0254802	0.0327399	0.0268702	0.0273659	0.0242009	0.0181728	0.0262118	0.0191262	0.0202405	0.0132038	0.0135273	0.012508	0.011788	0.0064254	0.015921	0.0140897	0.01094	0.00777211	0.0081551	0.0066947	0.00981632	0.00570209	0.0137476	0.0154894	0.0129154	0.0200304	0.017972	0.0186982	0.020348	0.0229591
nettoyer	0.00778716	0.0056977	0.0049216	0.00307923	0.00312844	0.00414505	0.00424375	0.00219473	0.000963035	0.00112086	0.00198634	0.00273338	0.00243925	0.00176823	0.00167728	0.00356328	0.00469745	0.0211378	0.0240546	0.0198177	0.0159294	0.0299536	0.0333637	0.0336146	0.0348241	0.0543573	0.0320422	0.0530384	0.0351704	0.0403127	0.0308483	0.0270831	0.0271556	0.0464231	0.0197561	0.0212374	0.0166646	0.0100306	0.0170298	0.00683053	0.00759092	0.00431326	0.00309214	0.00432527	0.00474884	0.00278005	0.00742984	0.00413385	0.00380335	0.00788894	0.0058361	0.00810641	0.0136668	0.00559651	0.0170487	0.0135958	0.0228352	0.0244326	0.026815	0.0289687	0.0355187	0.0406504
son	0.0109486	0.00821201	0.00838424	0.00551198	0.00499556	0.00565512	0.00564835	0.00188546	0.00116238	0.00160234	0.00220356	0.00187443	0.00212182	0.00371531	0.00483223	0.00887682	0.0071795	0.0219305	0.0293834	0.0223875	0.019031	0.0267801	0.0406926	0.0506064	0.0419595	0.0603752	0.0314139	0.057344	0.0471119	0.0433692	0.0462076	0.0321157	0.028667	0.0227565	0.0144822	0.0128652	0.0129186	0.00564339	0.00961918	0.00631986	0.00633495	0.00484217	0.00284396	0.00456486	0.00510256	0.00447765	0.00809615	0.00464781	0.00441691	0.00621122	0.00564558	0.00761448	0.0121679	0.00574052	0.013439	0.0139741	0.0151488	0.0160731	0.0219862	0.0213213	0.017707	0.0288536
