 	a23	a20	a58	a84	a40	a73	a44	a11	a10	a11	a32	a25	a87	a79	a20	a58	a11	a75	a21	a85	a14	a30	a2	a57	a87	a79	a75	a94	a38	a73	a41	a12	a41	a37	a61	a96	a13	a54	a73	a84	a57	a79	a15	a69	a44	a24	a18	a25	a40	a75	a73	a84	a57	a87	</S>
il	0.0360452	0.0440088	0.0794336	0.0844211	0.0396521	0.0217779	0.0210376	0.0513492	0.0635541	0.0495421	0.0686253	0.058601	0.0264619	0.0131224	0.0297364	0.0154822	0.0223223	0.0150915	0.0119937	0.00664602	0.00541577	0.00527341	0.0100745	0.00798944	0.0205374	0.0153202	0.00954384	0.00348525	0.00343906	0.00366846	0.00284444	0.00418839	0.00454451	0.00406848	0.00317341	0.00269164	0.00325199	0.00201096	0.00215918	0.00143568	0.00234403	0.00261272	0.00491486	0.00400142	0.00489733	0.00811172	0.00384272	0.0052396	0.00696342	0.0100896	0.0143358	0.0168984	0.0101016	0.0106183	0.0210078
n'	0.00104079	0.00116996	0.00234022	0.00355883	0.00565247	0.0125907	0.0198488	0.0254266	0.0228921	0.0134148	0.0183821	0.0208562	0.0212427	0.0200091	0.0346356	0.0292841	0.0216893	0.0383955	0.0681136	0.0327639	0.0214877	0.0328393	0.035369	0.0126615	0.0364445	0.0297676	0.0537901	0.0295248	0.047094	0.0319957	0.0278859	0.0181786	0.0127638	0.0155191	0.0139322	0.0158306	0.01086	0.0100804	0.00478351	0.00400145	0.00493265	0.00625841	0.00881918	0.00780028	0.00762813	0.00820965	0.00815266	0.0100266	0.00727108	0.00826702	0.00846278	0.00902367	0.00834037	0.00856856	0.0101216
y	0.0119366	0.00725935	0.0144076	0.0192966	0.0164788	0.0118027	0.0149532	0.0169278	0.0199626	0.0183014	0.0183497	0.0176214	0.0125415	0.00990343	0.0120202	0.00571478	0.00728363	0.0115838	0.0244571	0.0149337	0.0108795	0.014164	0.0200858	0.0146048	0.0198833	0.0277722	0.020539	0.0180467	0.0363426	0.0142244	0.0604675	0.0345469	0.0453412	0.0385095	0.0361911	0.0217665	0.015363	0.00873648	0.00318953	0.00524312	0.00380758	0.00446427	0.00850309	0.00713126	0.00594848	0.00557634	0.00665832	0.00739147	0.0167579	0.0278304	0.0281432	0.0367055	0.0230995	0.0395718	0.0267779
a	0.0209957	0.01414	0.0121958	0.0142192	0.00861842	0.00990827	0.0143689	0.0244579	0.0234185	0.0191227	0.026293	0.0205873	0.0370896	0.0234138	0.0196303	0.0160979	0.0196306	0.0207192	0.0245983	0.0270929	0.0231702	0.0262409	0.0299499	0.0118031	0.0201152	0.0187961	0.0273752	0.0238808	0.0220774	0.0196165	0.0153023	0.018761	0.0213519	0.0209154	0.0185911	0.037577	0.0306761	0.0249432	0.0193207	0.0212737	0.0190844	0.0194124	0.0179474	0.0159313	0.0118446	0.0122217	0.00879673	0.00788721	0.0062114	0.00654953	0.00417037	0.00515096	0.00557123	0.00321412	0.00767057
plus	0.0286735	0.011258	0.00815361	0.0133457	0.00823443	0.0153634	0.0258052	0.0278949	0.0233071	0.0219072	0.0344705	0.0276594	0.0368197	0.0326781	0.0193757	0.0191726	0.0128987	0.0141673	0.0130844	0.0197619	0.0176915	0.019791	0.0244973	0.0228468	0.0310333	0.0248751	0.0290079	0.0293937	0.0211388	0.0285184	0.0268883	0.0311648	0.034888	0.0348487	0.0307182	0.0162641	0.0118433	0.0109576	0.00789486	0.00759121	0.00774952	0.0103861	0.00826593	0.0108475	0.00927774	0.0102999	0.00790097	0.00715135	0.0057738	0.00881377	0.00784992	0.00742212	0.00695435	0.00529651	0.0101263
de	0.0353892	0.0122528	0.0091933	0.0105629	0.00966396	0.0109083	0.00952043	0.00971997	0.0119402	0.00832721	0.00907477	0.0112305	0.0146477	0.0122681	0.012001	0.0153926	0.0159971	0.0168206	0.0174007	0.0189223	0.0178091	0.018229	0.0202149	0.0192987	0.0227906	0.0197952	0.0213736	0.0227709	0.0173265	0.0222762	0.0221455	0.0244248	0.0267128	0.0265496	0.0245069	0.0186767	0.0139656	0.0104784	0.00892852	0.00904491	0.0104114	0.0145808	0.0159334	0.0168472	0.0179056	0.0190502	0.0178388	0.0221253	0.0211005	0.0283478	0.0214837	0.0318103	0.0251693	0.0236907	0.0551533
pont	0.0592651	0.0322756	0.0219168	0.0237768	0.01943	0.0177354	0.00950795	0.00772495	0.0103815	0.00775388	0.00871612	0.00938456	0.0117479	0.0127449	0.0130547	0.00846593	0.0106474	0.0204647	0.0213588	0.0224655	0.0205814	0.0212555	0.0197131	0.0173589	0.0223273	0.0264467	0.0312397	0.0278942	0.0205124	0.0288434	0.0230852	0.0298698	0.045731	0.0236803	0.020639	0.0185877	0.0141728	0.0126785	0.0115597	0.0165486	0.0115115	0.0106663	0.010241	0.0124035	0.0117356	0.00998485	0.0108411	0.0145698	0.00997988	0.0140982	0.0110142	0.0174182	0.0116462	0.0129833	0.0293627
en	0.027075	0.0151761	0.00948954	0.00717963	0.0059328	0.00476731	0.00454804	0.00889421	0.0134261	0.00786143	0.00925666	0.010222	0.0122378	0.0144448	0.0162627	0.0134402	0.0137775	0.0211365	0.023932	0.0219034	0.0205669	0.0255244	0.0244606	0.0276037	0.0285846	0.0307877	0.0441324	0.0242733	0.0391943	0.0290787	0.0234156	0.0299627	0.0393797	0.0212121	0.0249054	0.0273954	0.0233219	0.0137296	0.0197491	0.0255391	0.0100046	0.00936464	0.00824462	0.0116816	0.0140724	0.0142033	0.0120038	0.0127365	0.0122236	0.0144685	0.0130347	0.0151709	0.0157001	0.0153251	0.0179844
aval	0.0317603	0.0163406	0.0122238	0.012041	0.010957	0.00761952	0.00615701	0.00879281	0.010769	0.0146272	0.0155562	0.0126279	0.00971075	0.00695954	0.0111024	0.0124864	0.0222943	0.0236822	0.030357	0.0193987	0.0235072	0.0290727	0.0504424	0.0491834	0.0380794	0.0316637	0.0327714	0.0162735	0.0189637	0.0105896	0.0116867	0.0123245	0.00674063	0.00823686	0.0106338	0.013929	0.0105287	0.00504362	0.010773	0.00836971	0.00796863	0.00838951	0.00848893	0.00866352	0.00954125	0.0170327	0.0125203	0.0146618	0.0136718	0.0356225	0.027125	0.0383325	0.0418329	0.0313264	0.0305451
de	0.0369744	0.026089	0.0138097	0.0162659	0.00655675	0.00628387	0.00676107	0.021331	0.0197473	0.0159723	0.0163555	0.0142176	0.0106649	0.00716495	0.0129539	0.0162126	0.0272681	0.0243841	0.018208	0.0147527	0.0192249	0.0239283	0.0382449	0.0217007	0.026634	0.0208014	0.0245498	0.0112564	0.0143033	0.00785421	0.0107224	0.0101664	0.00389499	0.00638743	0.0070817	0.00585397	0.00517626	0.00352848	0.00657016	0.00478563	0.00565801	0.00806349	0.0119557	0.0117716	0.0108172	0.0177928	0.0158645	0.0214362	0.0185485	0.0333949	0.0328125	0.0433743	0.0329362	0.0296542	0.101281
l'	0.0231905	0.00710506	0.0037205	0.00443064	0.0023991	0.00203882	0.0024706	0.00376716	0.0047481	0.00349626	0.00432416	0.00323445	0.00311681	0.0022112	0.00329504	0.00894046	0.0107573	0.00950266	0.014767	0.0120055	0.0147694	0.0219043	0.0358572	0.0295864	0.0333503	0.0297806	0.0519568	0.0348412	0.0413703	0.0252332	0.0302111	0.0270698	0.014568	0.0200121	0.0250916	0.0182562	0.0127904	0.00755837	0.00822021	0.00824489	0.00933618	0.0100458	0.0117071	0.014855	0.0165193	0.0205582	0.0237782	0.0279372	0.0254782	0.0398908	0.029515	0.0441063	0.0365516	0.0393149	0.0302126
