 	a66	a87	a23	a30	a93	a56	a25	a15	a98	a85	a92	a5	a21	a5	a21	a12	a62	a21	a85	a5	a6	a36	a2	a57	a87	a23	a99	a97	</S>
ma	0.040037	0.0348453	0.0440251	0.027761	0.0336294	0.0378693	0.0341428	0.0354266	0.0473821	0.101417	0.0747742	0.0516604	0.046546	0.0337401	0.0203249	0.0263441	0.0111659	0.0232335	0.0151867	0.0297757	0.0223689	0.0139516	0.0175906	0.019035	0.0235728	0.0208993	0.0383289	0.0213855	0.0535806
soeur	0.00501259	0.00364452	0.0034966	0.00711028	0.0075007	0.0293932	0.0441528	0.0708312	0.117333	0.139999	0.0990203	0.103193	0.0916511	0.086611	0.0886613	0.0373316	0.0264744	0.0167657	0.00278588	0.00503439	0.00277749	0.00103173	0.00135137	0.000364009	0.000400613	0.00208358	0.00181914	0.00342035	0.000749756
m'	0.0698349	0.061033	0.0367826	0.0307609	0.0278965	0.0297888	0.0243096	0.0257595	0.0242275	0.0254374	0.0155218	0.0222712	0.0166414	0.0249245	0.0232696	0.016013	0.0183461	0.0273472	0.0309093	0.0286168	0.0333776	0.0267475	0.033064	0.0440285	0.0539119	0.0564493	0.0551797	0.0694473	0.0481028
a	0.0645543	0.0257357	0.0116921	0.0180388	0.0159656	0.0194176	0.019353	0.0453241	0.0473569	0.0654326	0.0477353	0.0269043	0.0403228	0.0388776	0.0485912	0.0377184	0.0238378	0.0366803	0.0301135	0.030982	0.0243632	0.0149982	0.0140983	0.0343742	0.03984	0.0277794	0.0546804	0.0324503	0.0627822
offert	0.0264911	0.0423242	0.0349308	0.0215404	0.0270948	0.0262253	0.0268225	0.0422046	0.0469519	0.0551767	0.0760962	0.102965	0.0980885	0.0858852	0.078439	0.0549376	0.0268073	0.0179665	0.0103577	0.00541153	0.0127846	0.00152285	0.00338035	0.00712642	0.00900846	0.00510123	0.0198627	0.00809162	0.0264053
un	0.0437703	0.0228293	0.0141913	0.0113105	0.0160249	0.0181074	0.0141854	0.0229808	0.0326902	0.0620508	0.0399557	0.039601	0.0412162	0.0415502	0.0522093	0.0739627	0.0356374	0.0372127	0.0580019	0.0413416	0.0392579	0.0295259	0.0276156	0.0392724	0.0304843	0.0216244	0.0339814	0.022664	0.0367444
gros	0.049944	0.0442887	0.0246702	0.0292478	0.0327553	0.0452517	0.0338177	0.0358211	0.0268014	0.0206475	0.0114868	0.0192869	0.0279261	0.0248244	0.0579078	0.0471716	0.034421	0.0459999	0.0591945	0.0410301	0.0339456	0.0417902	0.0497817	0.03332	0.0291338	0.0250696	0.0251489	0.0267057	0.0226099
paquet	0.0604746	0.0599444	0.0421502	0.0321713	0.0381052	0.0445147	0.0344287	0.0224305	0.0135061	0.0172128	0.0169498	0.0275757	0.0403017	0.0387231	0.0356012	0.0236254	0.023708	0.0234297	0.0420923	0.0174089	0.0194892	0.0448559	0.0286856	0.0552866	0.0477519	0.0307726	0.0520164	0.0305708	0.036217
de	0.0440608	0.0353767	0.0138415	0.00649369	0.00753883	0.0151082	0.00908936	0.0170618	0.0123954	0.0117667	0.00690449	0.0109022	0.00889269	0.0124808	0.011882	0.00866584	0.0183437	0.0216452	0.0154235	0.023142	0.0272895	0.0354869	0.0304361	0.1089	0.11763	0.0781325	0.0964324	0.0761397	0.118537
feuilles	0.0426459	0.0283723	0.0169191	0.0123828	0.0141559	0.0250285	0.0135888	0.0151477	0.0101623	0.0100189	0.00672088	0.0115886	0.00789463	0.0103599	0.00765976	0.00961279	0.0171615	0.0189831	0.0142865	0.0292726	0.0304622	0.0278436	0.0390988	0.0896002	0.0936328	0.110473	0.0698187	0.109335	0.107773
de	0.0468722	0.0503659	0.0376821	0.0122056	0.0213377	0.0530517	0.0293006	0.0477658	0.0271449	0.0241865	0.0167012	0.0209998	0.0142267	0.0196977	0.00904031	0.0125685	0.0199372	0.0174753	0.0238522	0.0208618	0.0344181	0.0183022	0.0364738	0.0444578	0.058717	0.0599133	0.0507068	0.0717033	0.100034
manioc	0.0471895	0.0383335	0.0268223	0.0186115	0.0183877	0.0564496	0.0327277	0.0417343	0.0309058	0.0253318	0.0161347	0.013132	0.0126376	0.016369	0.0143116	0.01529	0.0227747	0.0184895	0.0357324	0.0199258	0.033208	0.0289751	0.0356435	0.0475415	0.0567821	0.0630045	0.0513642	0.0766194	0.0855708
</S>	0.0576873	0.0315178	0.0181854	0.017043	0.0264047	0.0614452	0.0398256	0.0577598	0.044642	0.0280709	0.0203419	0.0154895	0.0187393	0.0237903	0.0436124	0.0159114	0.0202624	0.0186401	0.0344012	0.0172303	0.0297729	0.0245785	0.0237377	0.0433084	0.0588599	0.0361372	0.0553994	0.0521694	0.0650362
