 	a66	a87	a23	a87	a23	a97	a87	a23	a54	a6	a5	a36	a21	a5	a34	a61	a21	a12	a18	a75	a5	a0	a43	a75	a92	a37	a92	a21	a12	a75	a92	a37	a61	a21	a12	a18	a71	a9	a99	a87	a23	a87	a97	a87	</S>
le	0.0193551	0.0338631	0.0682685	0.0561209	0.042944	0.0438629	0.0365443	0.0404257	0.0443616	0.0534177	0.0676897	0.0510167	0.0560681	0.0430513	0.0219044	0.0161817	0.0110746	0.00772379	0.0112558	0.0118758	0.00955543	0.00866746	0.0066658	0.00665883	0.00542565	0.00816163	0.0101044	0.00812425	0.0169716	0.0157155	0.0169107	0.0102415	0.0111268	0.0068615	0.00782581	0.0123838	0.0130537	0.0168884	0.00920646	0.0076879	0.00576279	0.00706953	0.0107483	0.0066574	0.0245193
père	0.00234666	0.00525728	0.0105652	0.0118483	0.0180936	0.0252499	0.018881	0.0272021	0.0238197	0.0293087	0.0527107	0.100357	0.159353	0.0832924	0.0720267	0.0603241	0.0346579	0.0464945	0.0328407	0.0115596	0.0152501	0.0161043	0.0182312	0.0178133	0.0231245	0.0212185	0.0120006	0.00751436	0.00437947	0.00546497	0.00519796	0.00144887	0.00133217	0.00122505	0.00183227	0.00241741	0.00232272	0.00175505	0.0014192	0.00207085	0.00215714	0.00237358	0.00256754	0.00257999	0.00201061
a	0.0169198	0.0161527	0.0154439	0.0136001	0.0175557	0.0242934	0.0254892	0.0207582	0.0206335	0.0267887	0.0238387	0.0265308	0.0309797	0.0346044	0.0275283	0.0266015	0.0256363	0.0399814	0.0267396	0.0373468	0.0801082	0.055609	0.0887794	0.0825308	0.0489991	0.0349436	0.0304775	0.0134968	0.0125546	0.00735736	0.00610452	0.00702948	0.00271936	0.00152792	0.00319164	0.00686358	0.00216435	0.00197324	0.00164786	0.00165348	0.00336245	0.00256683	0.0033055	0.00205211	0.00155843
écrit	0.0109538	0.00807747	0.00576414	0.00439413	0.00248547	0.00466366	0.0043034	0.00434157	0.004374	0.00571989	0.00661214	0.00611077	0.00710324	0.0181932	0.0239916	0.0315281	0.0359556	0.0540222	0.0293918	0.0653328	0.112269	0.0677147	0.112301	0.0774579	0.0602508	0.066224	0.0261725	0.0233679	0.0178966	0.0096491	0.00845165	0.00337356	0.00455322	0.00321928	0.00453292	0.00365098	0.00522013	0.00551215	0.00792233	0.00719777	0.00883448	0.0063348	0.00761875	0.00879691	0.00815845
une	0.043141	0.0525498	0.0398733	0.0370468	0.0214441	0.0201389	0.014459	0.0069994	0.00716626	0.00900121	0.0137465	0.0119357	0.0212368	0.0457339	0.0482701	0.054698	0.0552313	0.0554226	0.040774	0.050399	0.044536	0.0316459	0.0192926	0.0216911	0.0115973	0.0114894	0.0139405	0.0166062	0.0216047	0.02559	0.0228902	0.0124801	0.0121221	0.00733201	0.0073798	0.00617679	0.00355764	0.00526436	0.00389503	0.00650082	0.00541257	0.00611053	0.00694784	0.0071829	0.0194862
lettre	0.0178542	0.0113101	0.00761814	0.00514543	0.00515184	0.00736995	0.00794823	0.00556259	0.00451977	0.00298726	0.00296657	0.00202083	0.00366888	0.00651359	0.0139843	0.0283918	0.0390344	0.0468016	0.0470192	0.0396235	0.0648784	0.0574871	0.0487818	0.0406961	0.0349968	0.0405458	0.0304211	0.0357642	0.0374564	0.0379074	0.0357862	0.0300319	0.0178266	0.0129142	0.016114	0.0243468	0.0155305	0.0219443	0.0053209	0.0101912	0.0146944	0.0144855	0.0177632	0.0128763	0.0157468
à	0.0320597	0.0173644	0.0131969	0.0121947	0.00850869	0.00877922	0.00794624	0.00567314	0.00405167	0.00235632	0.00311464	0.00181951	0.00410998	0.0134659	0.0152428	0.0234463	0.0287779	0.0244175	0.0256718	0.0267023	0.0325619	0.0231311	0.0200207	0.0202817	0.0149108	0.024469	0.0199287	0.0133399	0.0158676	0.0153759	0.0194395	0.035736	0.0433606	0.0389806	0.0393101	0.0337215	0.0264123	0.0388161	0.0252479	0.026655	0.0399823	0.03559	0.0309743	0.0328743	0.054113
son	0.0441623	0.0213809	0.0180738	0.0129808	0.00778061	0.00878442	0.00664839	0.00589644	0.00445157	0.00280407	0.00314717	0.0017198	0.00240257	0.0065569	0.00952272	0.0103658	0.0167164	0.0127757	0.0145172	0.0177426	0.0244428	0.0130379	0.0197469	0.0190302	0.0133354	0.0167839	0.0225995	0.011966	0.0145851	0.0105293	0.0130627	0.024984	0.0343977	0.0415955	0.0374387	0.0317658	0.0356086	0.0472332	0.0438798	0.0388182	0.0624816	0.0502413	0.046909	0.055756	0.0413404
fils	0.0285041	0.0272777	0.0350022	0.0349499	0.03595	0.0348087	0.0221486	0.0243	0.0119845	0.00778215	0.00647117	0.00557939	0.00653512	0.0126258	0.0124782	0.0225877	0.0333486	0.0265616	0.024781	0.0459493	0.0418373	0.0266991	0.0405683	0.0305977	0.0220502	0.026487	0.0275606	0.0142496	0.0148663	0.00758039	0.00660367	0.00678726	0.00784309	0.00902637	0.00912029	0.010326	0.021337	0.0238153	0.0213317	0.0189792	0.0252316	0.0221064	0.0271456	0.0343216	0.0439026
qui	0.0368567	0.0367099	0.0404063	0.0340362	0.0221153	0.0223977	0.0139094	0.012181	0.00839941	0.00434563	0.00518325	0.00218886	0.00407668	0.00894758	0.0105648	0.0188681	0.0423659	0.0177969	0.0297742	0.0297514	0.024328	0.0144562	0.0155649	0.0159151	0.0112244	0.0164968	0.0167708	0.0111503	0.0153841	0.0162762	0.0129491	0.0191621	0.0209516	0.0219018	0.0136186	0.0213678	0.0151074	0.0362442	0.0106704	0.0181685	0.0377139	0.0388992	0.0423211	0.0570983	0.0753841
