 	a66	a87	a23	a20	a15	a7	a25	a79	a5	a21	a5	a61	a18	a62	a88	a18	a21	a12	a98	a47	a92	a79	a56	a32	a9	a10	a87	a23	a99	a97	</S>
on	0.0506512	0.111696	0.0767047	0.0741083	0.0528945	0.0377649	0.027635	0.0216148	0.0207433	0.0201215	0.0381287	0.033738	0.0333657	0.0286852	0.0178718	0.0130465	0.0111443	0.0134681	0.0164971	0.0189724	0.0362465	0.0359069	0.029443	0.0289399	0.0208924	0.0185553	0.0174686	0.0193805	0.0268575	0.0121952	0.0352618
fabrique	0.0178406	0.034174	0.0481283	0.0330727	0.0352653	0.0335416	0.0192982	0.0192248	0.0186516	0.0113872	0.0162313	0.0185604	0.01829	0.0404707	0.0313574	0.0330299	0.0385006	0.0347338	0.032628	0.0398396	0.0245783	0.0453753	0.0559855	0.055761	0.0567938	0.0504356	0.030169	0.0355335	0.0287508	0.0248939	0.0174973
l'	0.0709149	0.027435	0.0210087	0.0163145	0.0242075	0.042888	0.0303793	0.0301824	0.010322	0.0123951	0.0129661	0.0133838	0.0130978	0.0147093	0.0103272	0.0216367	0.0178512	0.0187521	0.0186119	0.0332762	0.0191794	0.0233432	0.0210248	0.0244651	0.0312106	0.037114	0.0375957	0.052338	0.0520658	0.102203	0.138801
eyalala	0.0668804	0.0421917	0.0276361	0.025462	0.0199715	0.0129308	0.0137859	0.0106643	0.013369	0.0247114	0.0329342	0.0501869	0.0603114	0.0582368	0.0645924	0.0603273	0.0617829	0.0571017	0.0676265	0.0732484	0.016774	0.0103689	0.0136508	0.00985208	0.0166508	0.00888191	0.01558	0.0159098	0.018902	0.01518	0.0142981
avec	0.033049	0.01969	0.0167183	0.0146014	0.0117644	0.0061052	0.009521	0.00929096	0.00910239	0.015244	0.0277149	0.0537609	0.0517262	0.0597342	0.0504452	0.0562752	0.0592831	0.0414771	0.0462549	0.0385256	0.0390341	0.0249042	0.0243218	0.0252959	0.0233382	0.0265275	0.0339425	0.0397786	0.0399287	0.049489	0.0431553
les	0.0615617	0.0364802	0.0209498	0.0142615	0.0220991	0.0241627	0.0167414	0.0194093	0.00906919	0.00666277	0.00944872	0.00944779	0.0263674	0.0225843	0.014575	0.0154326	0.0117882	0.0162276	0.0193284	0.0225742	0.053942	0.0487575	0.0592053	0.0353599	0.0391381	0.0477004	0.0717369	0.056466	0.0559992	0.0580035	0.0745192
fibres	0.0798723	0.0388324	0.0199774	0.01392	0.0176082	0.0170668	0.0148959	0.0171338	0.0107375	0.00734608	0.00618614	0.00611231	0.00915264	0.0116351	0.0127887	0.0164917	0.0186907	0.0214641	0.0255156	0.0264484	0.043648	0.0445874	0.0363867	0.0387334	0.0351386	0.0473873	0.0720093	0.0704604	0.0527268	0.0690575	0.0979889
de	0.0591705	0.0577829	0.0159594	0.00972991	0.0135724	0.0201276	0.0222772	0.0399943	0.0191342	0.0215534	0.0152989	0.015488	0.0211398	0.0148924	0.00751639	0.00917821	0.0098467	0.0174402	0.0186207	0.0196095	0.035871	0.0422685	0.0416662	0.0517448	0.0427616	0.0538072	0.0654486	0.0673414	0.0545753	0.0610195	0.0551632
lianes	0.0438844	0.0317339	0.0142562	0.00813088	0.00712484	0.0113553	0.011253	0.0132593	0.0104766	0.0152349	0.00864593	0.00956675	0.0116197	0.00986909	0.00694067	0.0112598	0.00806382	0.00739246	0.0151459	0.018944	0.0432457	0.0458011	0.0359725	0.054899	0.0367353	0.0638804	0.102455	0.113015	0.0804587	0.0876565	0.061723
</S>	0.0432791	0.0349934	0.0310348	0.0227159	0.012494	0.0169134	0.0136955	0.0131561	0.0113504	0.0126891	0.00989425	0.0122063	0.0155448	0.0160998	0.0128432	0.0140437	0.011125	0.00890385	0.0105659	0.0109218	0.0101394	0.0121676	0.0103995	0.0226098	0.0167389	0.0325291	0.0619499	0.0985595	0.0805691	0.116515	0.203352
